Gen	TotalRecuentos
ATCG00020	28105485
ATCG00490	24853641
ATCG00340	5303872
ATCG00280	4810150
ATCG00350	4641622
ATCG00680	3778688
ATCG00270	2703929
AT2G41310	2539022
AT2G09250	2529300
ATCG00040	2122934
ATCG00720	1890128
ATCG00120	1826035
ATCG00480	1666629
AT1G29930	1657861
ATCG00580	1557983
ATCG00130	1508793
AT2G07698	1429817
ATCG00140	1412642
ATCG00730	1346400
ATCG00560	1286241
ATCG00400	1183978
ATCG00330	1076832
ATMG01190	1072282
AT2G07671	1059740
AT1G67090	1043693
ATCG00570	1043008
ATMG01080	1004104
AT5G38410	987762
AT4G02970	986059
ATCG00860	961475
ATCG01280	930350
ATCG01310	899296
ATCG00550	893749
ATCG01050	892220
ATCG00540	887140
ATCG01130	867012
ATCG00670	800096
ATCG01100	776627
ATCG00830	767065
ATCG00100	735828
AT3G09260	714457
ATCG00890	674853
AT5G38430	666193
ATCG01250	658757
AT2G39730	653229
ATCG00710	651513
ATCG00470	642970
AT1G05163	631373
AT1G15405	631182
ATCG00150	623827
AT1G20620	621869
AT2G07741	606609
ATCG00530	600992
ATCG00900	594856
AT5G38420	583202
ATCG01240	567628
AT5G60390	566137
AT2G08665	533059
AT2G34420	533058
ATCG00450	531377
ATMG01360	528717
AT2G07727	524113
AT4G21960	516560
AT5G17920	492997
ATCG00520	482630
ATCG00210	480175
AT5G02500	476531
ATCG00170	466741
ATCG01060	465272
ATCG00510	464004
ATCG00790	446351
ATCG00800	433040
ATCG01010	429600
ATCG01020	426084
ATCG00690	418547
ATCG01000	416350
ATCG00070	412313
ATCG00640	406929
ATCG00740	406361
AT1G13440	404854
AT3G14210	404142
AT1G29910	400257
AT1G56070	395520
AT5G53460	393056
AT1G07920	389927
AT4G10340	384931
ATCG00220	383598
ATCG00630	382233
ATCG00180	370712
AT1G79040	368159
ATCG00905	367251
ATCG00940	367098
ATCG01200	363023
ATMG00410	358515
ATCG01190	358272
AT5G66570	354014
AT3G06345	353358
ATCG00360	350775
ATCG00780	350467
ATCG01230	350123
ATCG00930	346208
ATMG00160	345419
AT1G29920	342951
ATCG01110	342665
AT1G37130	340347
ATCG00300	339697
AT4G13940	338386
AT5G26000	329920
ATCG00500	329103
AT2G07687	327909
AT3G47470	325408
ATCG00430	324352
AT1G07590	317281
ATCG01080	313002
AT3G08580	307755
AT1G07930	307539
AT4G05320	305656
ATMG00730	305380
ATCG00080	300434
ATMG00580	300079
AT1G07600	299167
AT4G38970	292143
ATCG00810	291688
ATMG01170	290846
ATCG00190	287447
AT5G13630	286722
ATMG00480	285117
ATCG00030	284269
ATMG00090	283562
AT1G06680	279026
AT4G30190	278191
ATCG00380	275596
AT3G60750	275305
ATMG01200	274136
AT3G41762	271637
AT1G59870	271324
ATCG01070	270749
AT3G02470	264881
AT3G61470	261785
AT3G04120	258559
ATMG00220	256367
ATCG01090	253951
AT5G04140	248631
ATCG00700	248483
AT1G15820	245397
AT2G36530	242917
ATCG00420	242085
AT2G07707	239403
AT5G50920	238906
ATCG00750	238212
AT1G61520	238149
AT5G01530	235393
ATCG00650	234119
ATCG01300	233174
AT5G09730	232813
AT3G54890	232170
ATCG00820	230893
ATCG00770	229935
AT5G54770	229030
AT3G16420	228853
ATCG00840	227790
AT1G20340	226216
AT3G44310	221266
AT1G62380	220876
AT5G54270	219794
AT3G04720	216955
AT1G07940	209438
AT1G66200	207715
AT5G35630	206260
AT3G17390	203144
AT3G26520	203065
AT2G18960	201841
ATCG00440	200551
AT1G23310	199549
AT1G04410	198378
AT2G30860	193844
AT1G09310	190255
AT3G45140	189179
AT1G33140	187857
AT3G26650	186923
ATCG00660	185455
AT1G74470	180111
AT4G02510	179160
AT1G42970	178663
AT1G43170	175550
AT5G25980	174479
ATCG00600	172485
AT1G33120	172429
AT4G37930	170320
AT2G07725	169690
ATCG00760	168382
AT2G04965	166771
AT5G11670	165889
AT5G04590	165224
AT4G12800	165170
AT5G40450	164607
AT1G77760	164080
AT3G02260	161849
AT1G02780	160657
AT5G14740	160479
ATMG00510	160283
AT3G06325	158669
AT3G12780	158591
AT1G78900	155479
AT2G38540	155224
AT4G25100	155212
AT3G09200	153182
AT4G33010	152015
ATCG01040	151330
ATCG00590	149116
ATMG00270	148122
AT3G11130	147538
AT1G15690	147300
AT4G23670	146144
AT2G06520	145786
AT4G28750	145475
AT4G24190	145182
AT3G56940	144995
AT5G05170	144991
ATMG00080	144466
ATMG01280	144017
AT1G65930	142966
AT2G30570	142352
AT3G55440	142023
AT3G08530	140949
AT2G05100	140590
ATCG00620	140155
AT1G73600	139857
AT4G05180	139058
AT3G14310	138692
AT3G52930	138127
AT2G07629	136924
AT2G21330	136879
ATCG00610	136664
AT3G58610	136198
AT3G25520	135106
ATCG00160	134940
AT5G46110	132831
AT4G20362	132253
AT4G20360	132076
ATMG00070	131501
AT1G11910	131465
AT3G16400	131446
AT3G08940	131120
AT4G34110	130329
AT3G18780	129439
AT2G25510	128051
AT5G56030	127778
AT3G15950	127379
AT2G34430	126215
AT4G02520	126087
AT3G15730	125265
AT4G28755	124028
AT2G45180	124018
AT3G09840	123997
AT2G45960	123660
AT1G01320	123652
AT1G35720	123444
AT2G07718	122541
AT5G56010	122476
AT4G35830	122256
AT4G04565	122249
AT3G61440	122160
AT1G05850	121853
ATMG00060	121358
AT3G01500	121281
AT1G05207	120900
AT1G31330	120848
AT5G02565	120722
AT5G42530	119830
AT1G09687	119828
AT1G12900	119806
AT3G48990	119733
AT2G28000	118933
AT5G20700	118527
AT4G38770	118194
AT1G08380	118138
AT4G31700	116572
AT3G16460	116467
AT3G14420	116157
AT1G30380	115261
AT5G20290	114239
AT1G07890	113946
AT2G31141	113904
AT3G53420	113876
AT1G80070	113469
AT5G28540	113427
AT5G08670	113254
AT1G78850	113056
AT4G02770	112728
AT1G06647	112653
AT3G03475	111706
AT5G08690	111077
AT4G34710	110678
AT5G02380	109773
ATMG00690	109528
AT1G72370	108573
AT5G25460	107874
AT4G22690	107867
ATCG00065	107667
AT2G05070	107019
AT5G42980	106604
AT1G11860	106363
AT1G06643	106135
AT2G36880	106056
AT2G15620	105766
AT1G12110	105166
AT4G21280	103469
AT4G04640	103233
AT2G30870	102824
AT1G32060	102659
AT1G55490	102552
AT1G70320	101902
ATCG00410	101819
AT2G06850	101789
AT3G02090	101689
AT2G16600	101600
ATMG00560	101577
AT1G54410	101075
AT1G05010	100404
AT2G07835	100023
AT4G23100	99811
AT3G12120	99790
AT4G28080	99570
AT1G65960	98256
AT2G01008	97320
AT2G29630	96767
AT4G27090	96200
AT5G39740	96091
AT4G34870	95808
ATCG00110	95789
AT5G65010	94957
AT2G41090	94116
AT3G16770	93809
AT5G09810	93612
ATCG01270	93197
ATCG00870	93171
AT1G14320	93131
AT2G34480	93046
AT2G07689	92990
AT5G42020	92605
AT4G29060	92197
AT3G62030	92098
AT5G02870	91753
ATMG00640	91399
AT2G13360	91330
AT1G26630	90846
AT2G32240	90607
AT1G79550	90581
AT4G27440	90415
AT1G60950	90122
AT3G62250	89757
AT3G14415	89228
AT3G09630	88981
ATMG00020	88839
AT5G64740	88699
AT2G30490	88629
AT5G64040	88522
AT2G05710	88518
AT1G58848	88427
AT5G10360	88384
AT5G44340	88376
AT3G09440	88308
AT4G39080	87959
AT5G49720	87891
AT5G66190	87839
AT3G19820	87821
AT3G32980	87766
AT5G36790	87745
AT3G03780	86982
AT4G34450	86921
AT5G14780	86635
AT1G52400	86477
AT4G32410	86402
AT1G44575	86135
AT3G04840	85977
AT3G01120	85812
AT3G46780	85736
AT1G67430	85703
ATMG00180	85673
ATMG00210	85533
AT2G01250	85506
AT1G72600	85499
AT4G14880	85362
AT4G34050	85209
AT1G72610	85172
ATMG01320	84921
AT5G15200	84668
AT1G59124	84621
ATCG01120	84536
ATCG00290	84395
AT1G53310	84228
AT2G43970	84065
AT2G36830	83690
AT2G22125	83520
AT1G18080	83482
AT1G31580	83478
AT1G58983	83391
AT5G36700	83301
AT4G01150	83247
AT4G26970	83006
AT2G26080	82940
AT1G18540	82907
AT2G21870	82257
AT5G02960	82185
AT3G23810	82032
AT1G49240	81594
AT1G76180	81489
AT1G11840	81211
AT3G50820	81136
AT4G13430	81049
AT3G55800	80856
AT3G16240	80608
AT3G62870	80536
AT5G61310	80508
AT1G50480	80251
AT2G18020	80102
AT1G58807	79884
AT1G58684	79827
AT4G09000	79822
AT3G49910	79688
AT4G14960	79623
AT5G20720	78823
AT1G45201	78643
AT5G07090	78510
AT1G09780	77950
AT2G37170	77918
AT3G04400	77457
AT4G34620	77216
ATMG00290	77153
AT4G30960	77022
AT3G01420	76974
AT2G38170	76608
AT3G13920	76575
AT4G13930	75868
AT4G17140	75855
AT5G18380	75785
AT1G02500	75728
AT1G55670	75718
AT3G28940	75508
AT4G16260	75508
ATMG00650	75421
AT4G39090	75207
AT5G23060	75144
AT3G05590	74980
AT1G78040	74903
AT3G49120	74724
AT4G34200	74582
AT3G59970	74515
AT1G68560	74510
AT1G52300	74502
ATMG00520	74448
AT1G62750	73623
AT4G01850	73608
AT2G04030	73285
AT4G24280	73252
AT2G07715	72903
AT3G18080	72856
AT1G59218	72749
AT2G25450	72604
AT3G61430	72175
AT1G78370	72088
AT5G03240	72045
AT1G25098	71996
AT1G52230	71975
AT5G07440	71643
AT3G49010	71357
ATMG00516	71182
AT1G57720	71137
AT2G07734	71000
AT1G55673	70948
AT1G77120	70851
AT5G08680	70508
AT5G26742	70252
AT2G33040	70174
AT2G28290	70150
AT3G60245	69854
AT3G52590	69546
AT1G58602	69441
AT4G11150	69438
AT1G04040	69329
AT1G20020	69301
AT2G07695	68897
AT3G09390	68691
AT5G47210	68459
AT1G64720	68350
AT2G07641	68274
AT2G41220	68272
AT3G45780	68243
AT2G21390	68178
AT4G22710	68015
AT4G02480	68002
AT3G16640	67924
AT4G37870	67873
AT4G35090	67857
AT1G09340	67790
AT1G04270	67635
AT3G56150	67545
AT3G41761	67504
AT2G42600	67322
AT4G11650	67198
AT4G15000	67171
AT5G53300	67104
