Gen	TotalRecuentos
ATCG00020	392906
ATCG00490	256471
ATCG00400	205287
ATCG00560	163212
ATCG00100	150102
ATCG00570	129072
AT2G09250	125015
ATCG00550	107531
ATCG00450	105421
ATCG00580	91742
ATCG00140	84923
ATCG00210	79299
ATCG01200	73863
ATCG00940	73600
ATCG01190	71726
ATCG00930	70340
ATCG00690	60987
ATCG00510	60432
ATCG00030	59487
ATCG00220	54362
ATCG00330	52774
ATCG00280	50169
ATCG00710	43563
ATCG00720	43386
ATCG00630	42010
ATCG00730	41450
ATCG00130	40339
ATCG00080	40164
ATCG01020	39854
ATCG00270	37738
AT2G04965	37224
ATCG00680	36793
ATCG00340	35662
ATCG00070	32924
AT1G07600	32069
AT1G15405	31900
ATCG00350	30545
ATCG00640	30023
ATMG01080	29459
ATCG00620	28160
ATCG01060	28106
ATCG00700	27869
ATCG00610	27520
ATCG00300	26697
ATCG00470	23938
AT1G06647	23157
ATCG00590	23111
ATCG00600	22505
ATCG00760	21875
AT1G06643	21811
ATCG00905	21104
ATCG00410	20720
AT2G07671	20180
AT1G29930	20165
ATCG01230	20115
ATCG00670	20052
ATCG00040	19881
ATCG00110	19745
ATCG00900	18903
ATCG01240	17981
AT4G02970	17964
ATCG00120	17751
ATCG00480	16529
ATCG00790	16233
ATCG01310	16229
AT2G41310	15832
ATCG00780	14097
ATCG00065	13984
AT3G06345	13886
ATCG00830	13821
ATCG00540	13686
ATCG00360	13647
ATCG00290	13549
ATCG01070	13155
ATMG00665	12970
ATCG00530	12937
ATCG00520	12900
AT1G05163	12851
ATCG00150	12360
ATCG00820	12282
ATCG01300	12274
AT1G67090	12219
ATCG00840	12001
ATCG00650	11340
AT1G09687	11183
ATCG01100	10622
ATMG01190	10383
AT5G38410	10379
ATCG00800	9782
ATMG09450	9283
AT5G38420	9197
ATCG00090	9165
ATCG00810	8964
ATMG00480	8827
ATCG00390	8806
ATCG01080	8750
ATCG01050	8701
AT2G07698	8631
ATCG00200	8595
ATCG00890	8561
ATCG00750	8459
ATCG00770	8416
ATCG01250	8360
ATCG00440	8200
ATCG00660	7775
AT2G07741	7737
AT2G34420	7651
AT2G08665	7637
AT3G06325	7588
ATCG00420	7526
ATMG09730	7501
AT2G07707	7394
ATCG01090	7253
ATCG00430	7092
AT5G02565	7044
AT1G79040	6988
ATCG00380	6757
ATCG01140	6523
ATMG00160	6512
AT4G28755	6499
ATCG00990	6498
AT3G41761	6154
ATCG00240	6132
ATCG00740	6080
ATCG01000	5986
ATCG01270	5915
ATCG00870	5913
AT3G09260	5850
AT5G38430	5195
AT1G05207	5057
ATCG00850	5024
ATCG01290	5021
ATMG01360	4937
AT1G29910	4919
AT2G07687	4851
ATCG01120	4696
AT2G39730	4594
ATMG01200	4569
AT2G07642	4521
ATCG00370	4469
ATCG01110	4289
AT4G21960	4176
AT4G10340	4140
ATMG00410	4008
ATCG00050	3958
ATMG00080	3951
AT1G29920	3914
AT3G47470	3763
ATCG00250	3740
ATMG00650	3676
AT5G60390	3596
AT3G41762	3587
AT2G07629	3560
ATMG00270	3540
AT4G04565	3520
AT5G66570	3501
ATMG00070	3390
AT1G13440	3353
ATCG00500	3321
ATMG00516	3306
ATMG00060	3302
ATMG00220	3201
ATMG00730	3115
ATMG01170	3101
AT1G07920	3099
AT1G06680	3076
AT3G14210	3065
AT1G15820	3049
AT2G06520	3017
ATMG00580	2976
AT5G42530	2941
AT2G07766	2930
AT1G09310	2854
AT5G02380	2849
AT2G08770	2846
ATCG01010	2843
ATCG00160	2810
AT3G04720	2803
AT3G61470	2779
AT1G33140	2777
AT2G38540	2772
AT5G02500	2752
AT3G54890	2735
AT4G28750	2722
AT1G20620	2718
ATCG00180	2683
AT3G08785	2678
AT5G54270	2655
AT4G04125	2640
AT3G08580	2630
ATMG00330	2629
AT5G26000	2574
AT5G01530	2520
AT1G33120	2511
AT1G20340	2506
ATMG00090	2506
AT3G03475	2500
AT2G31141	2499
ATMG01120	2469
AT2G25510	2462
ATCG00980	2456
AT4G38970	2442
ATMG01280	2426
ATCG01150	2401
ATCG01130	2398
AT1G07930	2396
AT2G07727	2385
AT3G26520	2339
ATMG00640	2331
AT2G30860	2324
ATCG01040	2279
AT2G07835	2277
ATMG00210	2263
AT3G16420	2259
AT1G62380	2253
AT4G13940	2250
AT1G30380	2235
AT3G04120	2234
ATMG00690	2234
AT2G30570	2220
AT1G55673	2211
AT4G05320	2206
AT5G17920	2197
AT1G61520	2193
ATCG00460	2191
AT4G12800	2163
AT1G08380	2158
AT1G02780	2140
AT2G07689	2127
AT2G07754	2126
AT1G07737	2113
AT5G54770	2111
ATCG00860	2072
AT4G09320	2046
ATCG01280	2004
ATMG00510	1994
ATCG00260	1984
AT1G07590	1949
AT4G27090	1949
AT2G03855	1949
AT4G23670	1937
AT2G07875	1917
AT1G24996	1911
AT2G45180	1900
AT3G02470	1871
ATMG00660	1826
AT1G04410	1823
AT3G08795	1823
AT1G66200	1821
AT3G17390	1774
AT4G38775	1714
ATCG00170	1676
AT2G07793	1673
AT4G12485	1667
AT4G05180	1634
AT4G34620	1627
ATMG00780	1622
AT2G36530	1622
AT5G02960	1622
AT1G52300	1607
AT5G44420	1595
AT5G02575	1587
AT3G26650	1578
ATMG01130	1577
AT1G37130	1564
AT3G09200	1548
AT4G21280	1544
AT1G56070	1540
AT3G60245	1536
AT1G52230	1529
AT5G42980	1522
AT1G67430	1520
AT5G20290	1512
AT2G07725	1508
AT1G31330	1503
ATMG01160	1502
ATMG00420	1500
AT2G05100	1499
AT4G25100	1495
AT1G43170	1488
AT5G03985	1486
AT4G02770	1483
AT2G07751	1468
AT4G31700	1459
AT5G35630	1457
AT2G34430	1451
AT1G55670	1448
AT3G56940	1445
AT3G08940	1435
ATMG00560	1429
AT1G42970	1426
AT1G31580	1409
AT2G05070	1408
AT1G60950	1365
ATMG01320	1357
AT1G26630	1357
ATMG00285	1353
AT1G72610	1348
AT1G54410	1346
AT2G30870	1344
ATMG01000	1343
AT3G25520	1337
ATMG01275	1336
AT3G62250	1336
AT1G23310	1331
AT2G07759	1329
AT3G44310	1321
ATCG00190	1320
AT2G09785	1320
AT3G47348	1317
AT1G35720	1315
AT4G01150	1307
AT5G25980	1304
AT5G64040	1298
AT3G12780	1293
AT3G55440	1285
AT1G74470	1283
AT4G34870	1278
AT2G41105	1277
AT2G34480	1276
AT1G04237	1276
AT3G60750	1273
ATMG00990	1271
AT4G37930	1267
AT2G07641	1258
AT4G02520	1255
AT2G35750	1253
AT1G72370	1245
AT1G07940	1235
AT1G62480	1222
AT2G47110	1210
AT5G09730	1199
ATCG00230	1198
AT3G16525	1185
AT4G06695	1181
AT3G21055	1177
AT3G04400	1169
AT3G48140	1153
AT4G15000	1147
