PX_Cd0_Rep1_nat	PX_Cd0_Rep2_nat	PX_Cd0_Rep3_nat	WT_Cd0_Rep1_nat	WT_Cd0_Rep3_nat
AT1G01010	664	663	653	511	478
AT1G01020	466	500	561	449	470
AT1G01030	139	133	140	146	150
AT1G01040	2431	2928	3194	2271	2952
AT1G01046	43	51	50	33	61
AT1G01050	2656	2522	2928	2659	2567
AT1G01060	4395	5085	5227	3559	3501
AT1G01070	351	330	325	357	302
AT1G01080	826	1229	1350	1064	1600
AT1G01090	3349	4557	4793	4003	5599
AT1G01100	5497	5549	6490	5975	4954
AT1G01110	195	183	225	272	258
AT1G01120	2368	2201	2402	2396	2241
AT1G01130	123	93	106	125	116
AT1G01140	1991	2040	2096	2043	2283
AT1G01150	10	12	8	8	11
AT1G01160	1631	1699	1682	1536	1684
AT1G01170	1728	1594	1698	1680	1586
AT1G01180	545	406	477	392	360
AT1G01183	9	21	25	15	18
AT1G01190	314	235	273	254	237
AT1G01200	116	100	111	136	96
AT1G01210	339	356	403	328	299
AT1G01220	1363	1495	1598	1270	1505
AT1G01225	121	108	127	138	117
AT1G01230	1068	905	1068	1196	961
AT1G01240	371	409	461	451	549
AT1G01250	62	36	62	53	49
AT1G01260	963	1086	1149	935	1010
AT1G01270	0	0	0	0	1
AT1G01280	1	0	0	0	0
AT1G01290	526	532	576	491	554
AT1G01300	926	2036	2375	891	2490
AT1G01305	0	0	0	0	1
AT1G01310	31	46	73	45	50
AT1G01320	22241	28688	30828	17297	24598
AT1G01335	0	0	0	0	0
AT1G01340	665	665	732	491	598
AT1G01350	1045	1034	1052	877	852
AT1G01355	7	8	9	6	10
AT1G01360	564	535	500	490	472
AT1G01370	151	159	163	177	149
AT1G01380	40	45	48	42	73
AT1G01390	139	132	122	100	87
AT1G01400	0	1	0	0	0
AT1G01410	0	0	0	0	0
AT1G01420	739	537	601	568	513
AT1G01430	2425	2362	2409	2400	2381
AT1G01440	1394	1339	1389	1163	1280
AT1G01448	203	233	284	201	299
AT1G01450	152	160	204	132	216
AT1G01453	215	160	220	187	160
AT1G01460	3	1	1	0	1
AT1G01470	2037	1408	1619	1989	1468
AT1G01480	103	96	85	79	50
AT1G01490	4879	4073	4371	3603	3237
AT1G01500	559	534	587	584	573
AT1G01510	2220	2187	2317	2175	2282
AT1G01520	88	116	104	83	78
AT1G01530	4	9	7	9	3
AT1G01540	2552	2764	2956	2395	2747
AT1G01550	5595	5075	5641	4822	4650
AT1G01560	178	165	187	147	108
AT1G01570	79	72	101	60	79
AT1G01580	2092	1526	1627	1021	598
AT1G01590	4	2	4	3	0
AT1G01600	599	532	516	786	513
AT1G01610	2370	2501	2742	2248	2373
AT1G01620	7600	6798	7577	9205	8071
AT1G01630	2901	2694	2868	2473	2173
AT1G01640	299	234	284	237	268
AT1G01650	1086	1231	1479	1027	1297
AT1G01660	161	154	129	150	120
AT1G01670	71	56	57	49	66
AT1G01680	64	66	103	89	31
AT1G01690	292	266	291	249	272
AT1G01695	8	14	16	17	25
AT1G01700	59	72	107	77	90
AT1G01710	1446	1428	1574	1384	1445
AT1G01715	113	128	143	122	111
AT1G01720	1286	1187	1313	911	819
AT1G01725	219	204	205	183	185
AT1G01730	844	837	996	844	798
AT1G01740	380	429	491	376	361
AT1G01750	1244	815	935	1001	751
AT1G01760	397	388	435	326	388
AT1G01770	859	1008	1066	833	948
AT1G01780	975	782	891	752	740
AT1G01790	3857	4438	4793	3872	4603
AT1G01800	2191	2122	2480	2164	2050
AT1G01810	61	65	61	45	37
AT1G01820	1861	1831	2087	1802	1704
AT1G01830	1241	1398	1366	1072	1200
AT1G01840	132	146	128	120	136
AT1G01860	437	426	419	415	437
AT1G01870	0	1	0	1	0
AT1G01880	99	79	72	90	75
AT1G01890	0	1	0	0	0
AT1G01900	532	495	553	604	534
AT1G01910	2062	2078	2242	2200	2137
AT1G01920	681	724	766	699	683
AT1G01930	750	768	788	697	738
AT1G01940	664	655	720	512	539
AT1G01950	1630	1574	1760	1652	1626
AT1G01960	5175	7830	8329	5245	8507
AT1G01970	781	830	905	850	906
AT1G01980	2	1	1	3	2
AT1G01990	471	439	484	370	433
AT1G02000	578	511	552	533	434
AT1G02010	380	459	479	407	481
