""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Nckap5"	0	1.43974476437739	0.696	0.015	0
"Il2ra"	0	3.11582273203376	0.941	0.04	0
"Zeb2"	0	1.75050725862225	0.718	0.025	0
"Atp8b4"	0	2.56121058871685	0.916	0.052	0
"Tshz2"	0	1.52067802554091	0.447	0.007	0
"Mcub"	0	1.258622576828	0.663	0.05	0
"Epb41l4b"	0	1.00957642758034	0.615	0.006	0
"Plac8"	0	3.24014188228079	0.864	0.042	0
"Myl10"	0	3.26397681549197	0.963	0.095	0
"Adamts17"	0	1.78866716131071	0.744	0.03	0
"Pgpep1l"	0	1.38047291500709	0.667	0.054	0
"Plekha7"	0	1.34777800190697	0.839	0.094	0
"Ifitm2"	0	1.07603356679936	0.641	0.014	0
"Ldlr"	0	1.30595395572555	0.652	0.048	0
"1500009L16Rik"	0	1.20816760347752	0.769	0.082	0
"Tmem121"	0	1.31451054503805	0.678	0.04	0
"Trgc1"	0	2.6059941624727	0.886	0.02	0
"Trgc2"	0	2.76540571627295	0.886	0.022	0
"Trgv2"	0	2.19105906352869	0.663	0.019	0
"Trgc4"	0	2.05245385052348	0.788	0.016	0
"Ctla2a"	0	1.01628180125141	0.568	0.022	0
"Gm4632"	0	3.27870577791942	0.927	0.011	0
"Hes1"	0	2.04416066769803	0.773	0.01	0
"Notch3"	0	2.03185476128692	0.846	0.09	0
"Gfra1"	0	1.76439610497556	0.725	0.081	0
"Gria3"	0	2.03113912291138	0.886	0.044	0
"Myc"	5.31295476812823e-279	1.10786095260318	0.703	0.082	1.79025323866849e-274
"Ccnd2"	1.85425566728891e-265	1.176258669761	0.85	0.114	6.24809989649672e-261
"Notch1"	7.73721537992912e-248	2.06754855460098	0.963	0.224	2.60713209442091e-243
"Eef2k"	3.21400116173627e-247	1.14574775327667	0.78	0.116	1.08298983145865e-242
"Hdac4"	2.75285257046276e-236	2.31608892860701	0.927	0.204	9.27601202143132e-232
"Cdk6"	2.40596934125505e-219	3.00760611582121	1	0.37	8.107154292293e-215
"Tsc22d1"	7.12398288838038e-211	1.61664074988236	0.857	0.168	2.40049727406865e-206
"Rnf220"	2.88493163197609e-189	1.76735836989112	0.894	0.222	9.72106562710665e-185
"Ccdc18"	9.81604541041255e-177	1.32269509368712	0.703	0.127	3.30761466149261e-172
"Ptcra"	1.96913841065609e-170	1.36236324559378	0.692	0.132	6.63520878854675e-166
"Gm11342"	7.33245152100191e-159	1.09972642136945	0.678	0.121	2.4707428645168e-154
"Fkbp5"	3.00961037451908e-156	2.12613538145738	0.996	0.48	1.01411831179795e-151
"Susd1"	2.02520043382983e-149	1.0152070059671	0.685	0.136	6.82411538183299e-145
"Crip1"	3.34089883430298e-148	2.80903892477114	0.974	0.503	1.12574927120673e-143
"Wwox"	7.23861564224104e-146	2.52335963128834	0.971	0.358	2.43912392680954e-141
"Bst2"	4.88273827410922e-144	1.23238164341027	0.879	0.246	1.64528748884384e-139
"Angpt1"	1.32695959002777e-141	1.09124232657493	0.758	0.157	4.47132303455757e-137
"Maml3"	1.13523376649016e-132	1.42889509854946	0.886	0.255	3.82528369956526e-128
"Phgdh"	5.66952414652744e-124	1.03714560725669	0.835	0.237	1.91040285641389e-119
"Arhgap26"	2.07931615912474e-123	1.14982617133632	0.857	0.243	7.00646372978673e-119
"Zfp36l2"	1.00773446258105e-109	1.21015804955788	0.872	0.317	3.39566204511311e-105
"Uck2"	9.26247001711791e-107	1.38654030633556	0.952	0.414	3.12108189696805e-102
"Rps19"	1.19224499168622e-106	1.47577689346586	0.982	0.833	4.01738872398588e-102
"Trdc"	2.10821224994407e-106	1.09215128852109	0.681	0.174	7.10383199741155e-102
"Immp2l"	5.13180672955565e-106	1.05405419964557	0.681	0.167	1.72921359559107e-101
"Etv6"	3.15498441819344e-101	1.32822059452137	0.971	0.453	1.06310354955446e-96
"Fam169b"	1.55151984360068e-100	1.37207320905223	0.978	0.524	5.22800126499686e-96
"B2m"	1.74222572182356e-100	1.3395163609666	0.985	0.577	5.87060379225666e-96
"5830418P13Rik"	3.89642462489109e-100	1.06199412493293	0.908	0.318	1.3129392416033e-95
"Tmem131"	1.09019864859902e-98	1.41445716697532	0.967	0.526	3.67353336631926e-94
"Mta3"	8.61989306974846e-98	1.12403159727299	0.923	0.384	2.90455916878244e-93
"Pgls"	5.70071284556403e-97	1.04033659068197	0.912	0.353	1.92091220044126e-92
"Rps2"	1.59332037407949e-91	1.38647627141309	0.985	0.799	5.36885233249825e-87
"Rpl32"	7.90915082650781e-90	1.18411826522036	0.967	0.866	2.66506746250007e-85
"Rps14"	4.04012556157535e-89	1.14239003646325	0.993	0.879	1.36136070922843e-84
