cluster,gene,avg_log2FC,pct.1,pct.2,p_val,p_val_adj
0,Trav4-3,0.020694618353527,0.36,0.09,6.64977644008649E-266,1.3299552880173E-262
0,Prss2,0.033190698294947,0.119,0.146,4.38531281573923E-21,8.77062563147846E-18
0,Dock3,0.003485252248417,0.054,0.024,8.23337070456734E-21,1.64667414091347E-17
0,Trav7d-2,0.008232581583705,0.037,0.023,3.85215735769835E-14,7.7043147153967E-11
0,C920021L13Rik,0.094915374602718,0.295,0.349,1.27953185117063E-10,2.55906370234127E-07
0,Gm30003,0.004015117719174,0.001,0,8.57452267595732E-10,1.71490453519146E-06
0,Cacna1c,0.084818245557067,0.262,0.298,3.17343427580481E-06,0.00634686855161
0,Kcnj16,0.001667441483682,0.046,0.035,1.59676600354751E-05,0.03193532007095
1,AA467197,0.066244406182844,0.382,0.159,1.62921183478405E-67,3.25842366956809E-64
1,Trbv2,0.135916750013646,0.382,0.312,7.14809659639352E-08,0.000142961931928
2,Hp,0.024382871945048,0.332,0.023,0,0
2,Mapk10,0.160325065961629,0.223,0.188,3.90978839402007E-21,7.81957678804014E-18
2,Slc1a3,0.025507009705802,0.046,0.019,2.63237307366597E-18,5.26474614733194E-15
2,Syn3,0.043958029178195,0.34,0.265,4.50232667596279E-18,9.00465335192558E-15
2,Ube2e2,0.403516643281681,0.263,0.319,3.01909581423993E-13,6.03819162847986E-10
2,Cpeb3,0.077465334924487,0.178,0.242,2.92698002429354E-09,5.85396004858708E-06
2,Zfp286os,0.00985061562797,0.001,0.001,2.00593375725513E-07,0.000401186751451
3,Pdgfc,0.012733329199524,0.155,0.005,2.81225912561939E-160,5.62451825123878E-157
3,Inhbc1,0.006080000576708,0.128,0.013,6.9804284256143E-130,1.39608568512286E-126
3,Tnfsf12,0.000759113831391,0.077,0.004,1.14988959967162E-73,2.29977919934324E-70
3,Zfyve91,0.003092189774643,0.203,0.054,4.30787591901396E-67,8.61575183802792E-64
3,Gm49016,0.004913098021178,0.001,0.003,1.80641874101937E-48,3.61283748203873E-45
3,Bcl2l111,0.752117973703354,0.525,0.418,1.80447152397437E-27,3.60894304794875E-24
3,Klrb1a,0.036357529646146,0.017,0.001,1.59651673116824E-21,3.19303346233648E-18
3,Trav13-1,0.050643163918905,0.273,0.266,2.60096610935145E-09,5.2019322187029E-06
4,H1f5,4.99700008538138,0.998,0.522,0,0
4,H2ac8,4.37211561980899,0.998,0.492,0,0
4,H2ac24,3.9690893344001,0.994,0.344,0,0
4,H3c3,3.87584562780895,0.995,0.293,0,0
4,H2ac4,3.74893084496357,0.997,0.328,0,0
4,H4c4,3.60532945045037,0.998,0.498,0,0
4,H2ac22,3.1758425172009,0.996,0.361,0,0
4,H1f4,2.92260593503392,0.994,0.593,0,0
4,H2ac20,2.73267201905043,0.992,0.375,0,0
4,H1f1,2.70825130225645,0.986,0.409,0,0
4,H2ac10,2.38169501606156,0.981,0.127,0,0
4,H4c8,2.02093252045087,0.985,0.378,0,0
4,H2bc15,2.01325702020329,0.976,0.397,0,0
4,H3c6,1.90086853350919,0.973,0.453,0,0
4,H2bc18,1.86811116675057,0.967,0.354,0,0
4,H3c11,1.71119838889945,0.965,0.414,0,0
4,H3c7,1.63772633886354,0.943,0.365,0,0
4,H3c2,1.5354629192129,0.941,0.098,0,0
4,H4c3,1.37861404765471,0.927,0.352,0,0
4,H2ac15,1.20284941863061,0.921,0.348,0,0
4,H4c12,0.754163728019527,0.747,0.174,0,0
4,H2ac18,0.773345278244335,0.736,0.309,2.15005238782885E-297,4.3001047756577E-294
4,H4c1,0.706925517523123,0.747,0.356,9.52880862548023E-296,1.90576172509605E-292
4,Acaa1b,0.003540165167431,0.151,0,3.33631321758514E-254,6.67262643517027E-251
4,Dhdh1,0.005528980351862,0.131,0.084,6.3234958331734E-06,0.012646991666347
5,S1pr1,1.29302465749123,0.569,0.031,0,0
5,Igfbp4,1.03586816588886,0.504,0.087,6.30234559545977E-307,1.26046911909195E-303
5,Gm4956,0.436344237537898,0.299,0.019,2.01454605823407E-131,4.02909211646813E-128
5,Trav16d-dv11,0.017400159397814,0.261,0.113,1.21307135990032E-54,2.42614271980063E-51
5,Tnfrsf9,0.340657552606507,0.336,0.238,3.43873524388068E-12,6.87747048776137E-09
5,Itgad,0.000482902873405,0.058,0.079,1.10463116494583E-07,0.000220926232989
6,Dab2,0.008409429855907,0.346,0.006,0,0
