	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Ikzf2	0	2.37565956785022	0.875	0.539	0
Cd5	0	1.95528750688996	0.889	0.528	0
Tox	0	1.82467267269981	0.994	0.797	0
Tmsb10	0	1.38354815585346	0.981	0.811	0
Cd2	3.37995891897093e-302	1.3621782695229	0.849	0.499	6.75991783794186e-299
St6gal1	6.08494191935345e-203	0.957313588231507	0.849	0.562	1.21698838387069e-199
A430093F15Rik	2.48820016433969e-186	1.31690742107613	0.642	0.351	4.97640032867938e-183
Tmsb4x	1.49408380572154e-175	0.538451454356018	1	0.914	2.98816761144309e-172
Cytip	6.79804765503601e-167	0.896470061405643	0.887	0.713	1.3596095310072e-163
Hivep3	3.10763010665432e-162	1.56203923254354	0.663	0.409	6.21526021330863e-159
Lef1	7.70456883957221e-157	1.04164092182807	0.968	0.875	1.54091376791444e-153
Lcp1	5.22500678087309e-155	0.942009062090522	0.797	0.559	1.04500135617462e-151
Id3	7.75439589514828e-154	1.51537640077553	0.737	0.509	1.55087917902966e-150
Bcl2	8.55420388792328e-153	0.708265175772779	0.724	0.447	1.71084077758466e-149
Itm2a	3.93802230751727e-126	1.05726428934885	0.643	0.421	7.87604461503454e-123
Cd69	1.93181845253849e-123	1.29044476814606	0.605	0.378	3.86363690507699e-120
Bach2	9.89032646853613e-121	0.580532137003553	0.697	0.409	1.97806529370723e-117
Maml2	4.80156066699585e-119	0.755119650689234	0.814	0.588	9.60312133399171e-116
Shisa5	8.65712938051968e-112	0.487788011890826	0.743	0.499	1.73142587610394e-108
Hecw2	1.04610900447727e-111	0.442047888037553	0.434	0.192	2.09221800895454e-108
Basp1	7.64343308722803e-109	0.947727663238941	0.594	0.382	1.52868661744561e-105
Samsn1	1.16362795574857e-104	0.532968931874405	0.591	0.358	2.32725591149713e-101
Cenpe	9.09447528378335e-104	-0.759340090140249	0.275	0.492	1.81889505675667e-100
Ldha	6.69285716165851e-103	0.614340513751144	0.824	0.6	1.3385714323317e-99
Chl1	4.9691569080913e-101	0.356303277047823	0.455	0.174	9.93831381618261e-98
Egr1	2.74695448817578e-92	1.47330253037285	0.535	0.314	5.49390897635155e-89
Lockd	6.18271041055136e-91	-1.11241584037643	0.244	0.462	1.23654208211027e-87
Mki67	5.82128085823729e-90	-1.38771885510299	0.167	0.398	1.16425617164746e-86
Gpr174	2.4791563476695e-89	0.619586463958729	0.597	0.405	4.95831269533899e-86
Dusp2	9.02270184370202e-88	0.974700969590507	0.631	0.452	1.80454036874041e-84
Stk39	2.55559190626172e-87	0.282289375988964	0.475	0.215	5.11118381252345e-84
Cd53	5.10776948140497e-86	0.564330567120598	0.59	0.368	1.02155389628099e-82
Lef1os1	3.52969452513869e-84	0.767605469736279	0.519	0.298	7.05938905027738e-81
Arid5b	3.67414003589619e-82	0.769745460746173	0.604	0.414	7.34828007179237e-79
Eif4a1	6.15671320517012e-79	0.487065280625834	0.953	0.761	1.23134264103402e-75
Tacc3	1.34963560177227e-78	-0.393074186438871	0.106	0.358	2.69927120354454e-75
Gm525	1.46878662529561e-77	-0.613425671936723	0.25	0.45	2.93757325059122e-74
