""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Malat1"	3.28729338038578e-66	0.406026217534213	0.999	0.997	1.10768637745479e-61
"Satb1"	6.73095072361152e-55	0.399509985743451	0.991	0.971	2.26806115582814e-50
"Camk4"	3.99666753792389e-44	0.446266088094566	0.955	0.912	1.34671709357884e-39
"Skap1"	6.24160292887867e-42	0.376516521640757	0.985	0.954	2.10317052291496e-37
"Gm4258"	2.33586192763133e-41	0.462896822649297	0.945	0.931	7.87092035134652e-37
"Themis"	4.32075924547527e-40	0.419192860827431	0.98	0.958	1.45592303535535e-35
"Ptprc"	4.90301692678524e-36	0.29548675711587	0.988	0.992	1.65212058364955e-31
"Slc9a9"	1.12985869544643e-33	0.44684607322155	0.941	0.928	3.8071718601763e-29
"Camk1d"	7.98208752636385e-33	0.367971023297576	0.964	0.982	2.68964421288356e-28
"Cd247"	1.03808807724025e-31	0.358442610630958	0.951	0.937	3.49794158506874e-27
"Znrf1"	5.35147421203337e-29	0.362817096694012	0.935	0.94	1.80323275048676e-24
"Lck"	3.32697905879775e-27	0.275836542594114	0.945	0.948	1.12105886365249e-22
"Mir142hg"	4.72376024938675e-26	0.30689217089511	0.951	0.98	1.59171825363336e-21
"Glcci1"	6.97197223330513e-26	0.386491733332149	0.89	0.885	2.3492757637345e-21
"Ccr9"	2.98334051044775e-25	0.337142760259928	0.83	0.789	1.00526641840047e-20
"Tnrc6b"	3.96044215460452e-25	0.33720703852611	0.933	0.95	1.33451058841554e-20
"Ssbp2"	3.96242429402403e-25	0.381556104114526	0.918	0.915	1.33517849011434e-20
"Ccnd3"	5.23968754818109e-25	0.305903705225365	0.968	0.967	1.7655651162351e-20
"Foxp1"	1.3950711188499e-24	0.334126052935944	0.962	0.975	4.70083164207662e-20
"Ets1"	8.16537340142094e-24	0.259633066481199	0.947	0.946	2.7514042213428e-19
"Celf2"	2.76863055969741e-23	0.346033969425331	0.917	0.935	9.32917753395638e-19
"Sil1"	5.94474513069058e-23	0.000276783698897221	0.149	0.26	2.0031413192375e-18
"Pip4k2a"	1.93510608900336e-22	0.319482516247704	0.924	0.941	6.52053347750574e-18
"Itk"	2.98360599619054e-22	0.365830990921241	0.831	0.84	1.00535587647637e-17
"Ablim1"	4.14797877048436e-22	0.320853420424099	0.874	0.892	1.39770292650241e-17
"Dock2"	5.58670702729179e-22	0.336861352117824	0.923	0.942	1.88249679991624e-17
"Eri3"	6.05137082676799e-22	0.00696283314442636	0.181	0.304	2.03906991378774e-17
"Tdp2"	1.50891459727535e-21	0.00946239434092355	0.214	0.35	5.08443862697903e-17
"Mier1"	1.8935972612599e-21	0.345220628813058	0.916	0.943	6.38066533154137e-17
"Sh3kbp1"	4.53773154433725e-21	0.300497930361806	0.925	0.943	1.52903402117988e-16
"mt-Atp6"	8.33297903122775e-21	0.276948396052281	0.998	0.995	2.8078806143625e-16
"Ubxn2a"	2.05529486438465e-20	0.0125716915286524	0.173	0.29	6.92552157503051e-16
"Gnb1l"	2.82125269369147e-20	0.0026383466413919	0.139	0.239	9.50649307666279e-16
"Cd4"	2.82937418571492e-20	0.326155550644554	0.791	0.746	9.53385925618498e-16
"Chsy1"	4.28002827954225e-20	0.0145933643704989	0.131	0.228	1.44219832907456e-15
"Cdk17"	4.5280914492782e-20	0.384508053172979	0.84	0.864	1.52578569474878e-15
"Aff3"	4.53169783610086e-20	0.378826041881162	0.922	0.928	1.52700090285254e-15
"Grap2"	5.02374892986992e-20	0.334688747869442	0.886	0.908	1.69280243940897e-15
"Mdn1"	5.55221856167292e-20	0.00596882554636452	0.143	0.245	1.87087556654131e-15
"Arhgap45"	5.88778596345932e-20	0.303352179906406	0.854	0.899	1.98394835824725e-15
"Zdhhc8"	2.68871969714497e-19	0.00373484892126397	0.197	0.319	9.05990989149968e-15
"Lclat1"	3.01361577610359e-19	0.0198200757943101	0.188	0.305	1.01546797191587e-14
"2610307P16Rik"	3.37456522042266e-19	0.36043709114543	0.887	0.881	1.13709349667362e-14
