""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"C2"	0	1.07486515099762	1	0	0
"Lap3"	1.09898557505102e-59	0.216233038812554	0.366	0.059	3.70314179369193e-55
"Mettl1"	4.43330394917935e-51	0.224274749374308	0.314	0.05	1.49384609871547e-46
"Cenph"	3.9230813938072e-50	0.457318288776461	0.483	0.111	1.32192150645727e-45
"Mnd1"	8.27126574037138e-50	0.138121887557797	0.244	0.033	2.78708570387554e-45
"Nt5dc2"	1.11207390462151e-48	0.370893599606577	0.448	0.099	3.74724422901264e-44
"Odc1"	4.06396027431755e-48	0.488960965507037	0.558	0.145	1.36939205403404e-43
"Tmem107"	6.82876418182643e-48	0.152151633781478	0.273	0.041	2.30102037870823e-43
"Tmem97"	1.33414747624128e-45	0.252173849390842	0.331	0.062	4.4955433359426e-41
"Pclaf"	1.88267945216962e-45	1.20002311311059	0.587	0.171	6.34387668203075e-41
"Exo1"	2.02833650406946e-45	0.242197314855304	0.366	0.073	6.83468268411247e-41
"Fabp5"	2.13933662877631e-45	0.93457316612939	0.564	0.172	7.20870870432467e-41
"Fignl1"	2.58446061076602e-45	0.387713530485588	0.477	0.115	8.70859847403717e-41
"Pole"	3.07380488434327e-45	0.369145971190806	0.401	0.086	1.03574929382831e-40
"Hells"	2.63099903324215e-44	0.874548962421503	0.506	0.137	8.86541434241275e-40
"Ccna2"	1.76097685702695e-43	0.663398614055209	0.506	0.131	5.93378761743801e-39
"Dnph1"	4.49249217529902e-43	0.208437978748483	0.308	0.057	1.51379016338876e-38
"Cdc6"	5.04901122178259e-43	0.357444789876183	0.355	0.073	1.70131482129186e-38
"Ppa1"	7.69847410873635e-42	0.528747249873889	0.5	0.138	2.5940778356798e-37
"Syce2"	1.21473892639045e-41	0.401739589709515	0.413	0.098	4.09318428636525e-37
"Dctd"	2.41386558636484e-41	0.103108997881515	0.169	0.02	8.13376147981497e-37
"Chek1"	2.76656363033733e-41	0.287107904201319	0.372	0.081	9.32221280878468e-37
"Mcm10"	2.77658427502048e-41	0.280295817575184	0.349	0.073	9.35597837310901e-37
"Dhfr"	6.44760099242581e-41	0.414331553242309	0.436	0.107	2.1725836304078e-36
"Srm"	1.58468608968496e-40	0.337301966674217	0.326	0.066	5.33975824780245e-36
"Rad51ap1"	3.02623491909289e-40	0.398467442757643	0.442	0.11	1.01972011833754e-35
"Mcm3"	3.20341135286238e-40	0.705484867965973	0.535	0.158	1.07942148946051e-35
"Tacc3"	5.9698374111282e-40	0.560097463877552	0.512	0.14	2.01159641405376e-35
"Cenps"	1.23337008181804e-39	0.270642082570358	0.407	0.096	4.15596382769407e-35
"Spc24"	1.35267597629518e-39	0.729790558272272	0.517	0.147	4.55797696972422e-35
"Ccnb1"	1.89132964062036e-39	0.609074382597413	0.442	0.113	6.37302435703436e-35
"AI506816"	1.95585784778758e-39	0.387558547023654	0.459	0.12	6.59045860390504e-35
"Fen1"	2.54362290558905e-39	0.370070875727411	0.535	0.148	8.57099174267286e-35
"Ckap2"	2.88994787969436e-39	0.360049962668497	0.453	0.115	9.7379683754181e-35
"Uhrf1"	4.61730322322813e-39	0.764403746529892	0.558	0.177	1.55584649409895e-34
"Cdca3"	9.35470568528535e-39	0.582708547489649	0.512	0.141	3.15216162771375e-34
"Gins1"	1.05494716998652e-38	0.257168958841117	0.39	0.091	3.55474998398657e-34
"Nmral1"	2.39455617248014e-38	0.209027205044836	0.36	0.079	8.06869647878907e-34
"Cad"	2.39669337795813e-38	0.14708672801835	0.267	0.048	8.07589800636772e-34
"Gcsh"	3.13645085506446e-38	0.235159357026021	0.326	0.067	1.05685848012252e-33
"Mad2l1"	3.59516169962353e-38	0.397811426936482	0.494	0.136	1.21142568630514e-33
"Fam111a"	4.80392949088036e-38	0.472154432225769	0.483	0.135	1.61873208124704e-33
"Mthfd1"	5.39123125260738e-38	0.262057892500293	0.384	0.089	1.81662928287858e-33
"Chaf1a"	6.66902304907917e-38	0.327660760094731	0.401	0.098	2.24719400661772e-33
"Lyar"	7.68271726745132e-38	0.662992457385519	0.622	0.213	2.5887684104404e-33
"Kif15"	8.80945381676933e-38	0.659383335980738	0.506	0.143	2.96843355809859e-33
"Cenpw"	1.07259961957709e-37	0.517480279045833	0.512	0.151	3.61423167812698e-33
"Cdca8"	1.23885664523268e-37	0.680103145385849	0.523	0.151	4.17445135177603e-33
"Pus7"	1.24648042136814e-37	0.184597375607887	0.279	0.052	4.20014042784208e-33
"Rrm2"	1.40672543285506e-37	0.847621074449703	0.506	0.145	4.74010201854842e-33
"Acaca"	1.53348114580939e-37	0.501011805211867	0.477	0.134	5.16721806891933e-33
"Vars"	1.69464911046117e-37	0.399070072851964	0.453	0.123	5.71028964260996e-33
"Rad51b"	2.10269982857893e-37	0.699844387823383	0.453	0.123	7.08525734237956e-33
"Trip13"	2.83426401377698e-37	0.206707962552838	0.378	0.087	9.55033602082292e-33
"Smyd2"	3.51308922085515e-37	0.147738172718637	0.262	0.047	1.18377054385935e-32
"Jpt2"	3.83135215380241e-37	0.169564376523827	0.343	0.074	1.29101242174526e-32
"Ncapg2"	6.77539092409422e-37	0.498235929462314	0.477	0.131	2.28303572578279e-32
"Cenpm"	7.81168399512585e-37	0.323319083929919	0.39	0.096	2.63222503899761e-32
"Timm8a1"	9.99755349108886e-37	0.390765236193168	0.465	0.127	3.3687756243573e-32
"Cdk1"	1.01376819404017e-36	0.769091366203105	0.488	0.14	3.41599330663777e-32
"Zwilch"	1.0521387508386e-36	0.25014927595973	0.419	0.104	3.54528673482576e-32
"D17H6S56E-5"	1.24293896605855e-36	0.511922815571635	0.512	0.149	4.18820714003088e-32
"Sapcd1"	1.28872900571527e-36	0.157801543836914	0.233	0.039	4.34250125765819e-32
"Kif11"	1.40289761132308e-36	0.758929713070302	0.529	0.156	4.72720379111425e-32
"Lig1"	1.98647240625408e-36	0.585041068007835	0.494	0.141	6.69361742011376e-32
"Kntc1"	2.53329517713504e-36	0.271742080670515	0.384	0.092	8.53619142887423e-32
"Siva1"	2.63631586361396e-36	0.771523372680679	0.593	0.206	8.8833299340336e-32
"Clspn"	2.80361102736215e-36	0.532535586133884	0.471	0.129	9.44704771779951e-32
"Rad51"	3.69233137269486e-36	0.464335945869729	0.413	0.108	1.24416797934326e-31
"Chchd6"	4.13934183167737e-36	0.198405063629373	0.337	0.074	1.39479262360201e-31
"Tyms"	5.60940319196723e-36	0.729447969582483	0.517	0.156	1.89014449956528e-31
"Nabp2"	1.17534939303608e-35	0.220637703746277	0.424	0.106	3.96045731477438e-31
"Magohb"	1.41235415321937e-35	0.358568298659249	0.512	0.15	4.75906855468798e-31
"Rad54b"	1.47397925286804e-35	0.226169559232684	0.36	0.084	4.96672049046416e-31
"Umps"	2.28643691100516e-35	0.303653299187861	0.436	0.115	7.704377815323e-31
"Birc5"	2.74984023587453e-35	0.914147558872231	0.523	0.16	9.26586165880282e-31
"Exosc2"	3.03358394509647e-35	0.181796459667177	0.378	0.089	1.02219644613971e-30
"Diaph3"	3.23236867542101e-35	0.685266310259208	0.535	0.164	1.08917894886987e-30
"Ccnb2"	3.95639916157868e-35	0.805419751769448	0.5	0.15	1.33314826148555e-30
"Cdca7l"	4.38974252698501e-35	0.173190227421724	0.355	0.081	1.47916764189287e-30
"Apex1"	4.52453610069716e-35	0.418060302079999	0.424	0.113	1.52458768449092e-30
"Ndufaf6"	4.95670775209904e-35	0.159519307766951	0.314	0.066	1.67021224414729e-30
"Cenpk"	5.19139637190323e-35	0.436252538770537	0.459	0.13	1.74929292147651e-30
"Pus1"	5.78136584278007e-35	0.220161409013076	0.326	0.071	1.94808903438317e-30
"Idi1"	6.20222450114834e-35	0.419806580162737	0.43	0.117	2.08990156790695e-30
"Pbk"	6.93569139052032e-35	0.457744385173242	0.43	0.114	2.33705057094973e-30
"Nek2"	9.15672303460904e-35	0.212097253122955	0.337	0.075	3.08544939374186e-30
"Dctpp1"	1.28012869568007e-34	0.696016667277978	0.517	0.17	4.31352165296358e-30
"Sgo2a"	1.34091556568967e-34	0.35747782114993	0.413	0.106	4.51834909014792e-30
"Ifrd2"	1.5956430203954e-34	0.136891017235589	0.273	0.053	5.37667872152435e-30
"Uqcc6"	1.75859457056487e-34	0.319088320855825	0.477	0.136	5.92576026497539e-30
"Hint1"	2.16694538329648e-34	0.953974517344343	0.802	0.399	7.30173916355582e-30
"Nefh"	3.18068142506589e-34	0.156024405906465	0.198	0.031	1.0717624129902e-29
"Sgo1"	3.35802226025489e-34	0.404982164524277	0.459	0.127	1.13151918081549e-29
"Mki67"	3.83496419109606e-34	0.9785181730073	0.558	0.181	1.29222953383173e-29
"Rfc4"	4.2729208019745e-34	0.532856187485783	0.488	0.148	1.43980339343333e-29
"Mcm5"	4.65130034981319e-34	0.444098682509599	0.471	0.137	1.56730216587305e-29
"Slc7a5"	4.66654815884971e-34	0.14123410884216	0.297	0.061	1.572440067606e-29
"Rfc3"	5.33185503674327e-34	0.419198165268114	0.477	0.138	1.79662187318101e-29
"Stil"	6.26012929649128e-34	0.265494563656694	0.401	0.102	2.1094131677457e-29
"Bub1"	6.42167482550458e-34	0.390990121592799	0.419	0.112	2.16384754920202e-29
"Psat1"	7.78858715062886e-34	0.209021432502816	0.372	0.091	2.6244423262759e-29
"Cip2a"	7.85820952905804e-34	0.315992474230463	0.43	0.115	2.6479022829114e-29
"Pold1"	8.41756823536348e-34	0.186967349237586	0.372	0.09	2.83638379258808e-29
"Shmt2"	9.02186469582854e-34	0.228314324571202	0.314	0.07	3.04000752790638e-29
"Gm56577"	1.04924529601324e-33	0.228087108722493	0.25	0.048	3.53553694944622e-29
"Cdc45"	1.10678814823507e-33	0.314435647423406	0.395	0.103	3.7294333442929e-29
"Hmgn5"	1.2029193341351e-33	0.564210215897675	0.605	0.21	4.05335698830162e-29
"Cenpp"	1.85284547944093e-33	0.634023887765459	0.552	0.177	6.24334812752415e-29
"Polq"	2.08209098443332e-33	0.280066763045336	0.384	0.098	7.0158137811465e-29
"Cdc20"	2.10943531796676e-33	0.645337782255884	0.448	0.128	7.10795324742079e-29
"Ncaph"	2.56284284176926e-33	0.284697330186479	0.465	0.129	8.63575523962569e-29
"Shmt1"	3.06123241299979e-33	0.160641462890351	0.291	0.061	1.03151287388441e-28
"Rad54l"	4.63854744811448e-33	0.179744666386496	0.279	0.057	1.56300494811665e-28
"Sdf2l1"	5.45771131742406e-33	0.345643008748397	0.442	0.127	1.83903040551921e-28
"Rcc1"	5.49593275105272e-33	0.305774527199222	0.43	0.119	1.85190949979473e-28
"Top2a"	6.93615003038192e-33	1.12299501464573	0.576	0.198	2.33720511423749e-28
"Pole2"	1.21622984407939e-32	0.266743404962184	0.395	0.104	4.09820808260993e-28
