""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"F8"	0	1.68944525008876	1	0.002	0
"Mcub"	1.13634517796118e-12	0.136726432312749	0.171	0.058	3.82902871165799e-08
"Emp1"	3.16532740400814e-12	0.122025616763659	0.127	0.037	1.06658872205458e-07
"Zfp704"	3.20138047135653e-12	0.323240452660801	0.417	0.22	1.0787371636283e-07
"Nucks1"	7.62161379686778e-12	0.599343101517534	0.632	0.417	2.56817898499257e-07
"Cenpa"	2.51183463184525e-11	0.54693650851021	0.373	0.2	8.46387797546576e-07
"Mrps27"	2.9911528922169e-11	0.201479341647195	0.241	0.102	1.00789887856141e-06
"Plac8"	4.14386776973144e-11	0.508198267804791	0.154	0.053	1.3963176836887e-06
"Ccnb1"	7.48464161467712e-11	0.326707158574473	0.254	0.114	2.5220248384816e-06
"Diaph3"	7.97491288525956e-11	0.472611990548986	0.329	0.166	2.68722664581706e-06
"Dynlt3"	8.42593507945816e-11	0.141794943347692	0.215	0.087	2.83920308437422e-06
"Uhrf1"	9.89839370097053e-11	0.342571787044716	0.351	0.178	3.33536274147903e-06
"Cip2a"	1.13281530749624e-10	0.218192806170442	0.259	0.117	3.81713446013932e-06
"Nap1l1"	1.35665590582027e-10	0.450896272222079	0.623	0.405	4.57138774025199e-06
"Plekho1"	1.57439401170658e-10	0.147836026076824	0.232	0.1	5.3050780618465e-06
"Aspm"	1.6242364218175e-10	0.281470751624582	0.237	0.105	5.47302704695624e-06
"Gzma"	1.6610619180172e-10	0.460863700273281	0.311	0.153	5.59711423895076e-06
"Fads2"	2.11799937553891e-10	0.0945421884215328	0.145	0.051	7.13681069581591e-06
"Smarcb1"	2.20962053921851e-10	0.283493747136672	0.482	0.277	7.4455373689507e-06
"1500009L16Rik"	2.22714507082543e-10	0.178905990913432	0.215	0.091	7.50458803065336e-06
"Dlgap5"	2.32804509604986e-10	0.358765142264597	0.276	0.133	7.84458075564961e-06
"Ccnb2"	2.71512486186937e-10	0.458162170287853	0.303	0.152	9.14888473455504e-06
"Psrc1"	3.53381761311207e-10	0.163602918481512	0.127	0.042	1.19075518291424e-05
"Ldlr"	3.78181077947192e-10	0.145067244533766	0.154	0.056	1.27431896025086e-05
"Anp32e"	3.82676030490728e-10	0.468979415067265	0.75	0.567	1.28946515234156e-05
"Sapcd1"	4.35884492519827e-10	0.0827970301159936	0.123	0.04	1.46875638599481e-05
"Cdc20"	4.90619541811131e-10	0.383184040892218	0.268	0.129	1.65319160808679e-05
"Cenpe"	4.96447588450464e-10	0.570547586354913	0.303	0.153	1.67282979404268e-05
"Knstrn"	5.04539347075863e-10	0.269020298829183	0.289	0.143	1.70009578390683e-05
"Spc24"	5.96852423580016e-10	0.301464469423347	0.303	0.148	2.01115392649522e-05
"Acp1"	5.97518727404087e-10	0.20457996128056	0.439	0.243	2.01339910386081e-05
"Lockd"	7.35719782270585e-10	0.52308958095868	0.434	0.245	2.47908137833896e-05
"Bub1b"	7.59681024164525e-10	0.294565291741148	0.289	0.142	2.55982117902478e-05
"Tmbim4"	8.01598273623684e-10	0.149446679552451	0.355	0.181	2.70106554280237e-05
"Bahcc1"	8.1977322735518e-10	0.0666303377501414	0.158	0.058	2.76230786689601e-05
"Mastl"	9.82032807166386e-10	0.143634679989651	0.25	0.115	3.30905774702785e-05
"H2ac11"	1.0231518109301e-09	0.111047746176513	0.206	0.087	3.44761234211005e-05
"Elovl6"	1.04899328295172e-09	0.110731022566203	0.206	0.087	3.53468776623413e-05
"Rpl23a"	1.18571505529366e-09	0.363772638833159	0.921	0.809	3.99538545031753e-05
"Wee1"	1.21637777827234e-09	0.154522301163813	0.228	0.103	4.09870656166649e-05
"Rrm1"	1.31046370202071e-09	0.226953795481464	0.36	0.188	4.415738490329e-05
"Tpx2"	1.33369623229549e-09	0.442685545434342	0.285	0.141	4.49402282434288e-05
"Nek2"	1.64663293574141e-09	0.157382205472428	0.184	0.077	5.54849434027426e-05
"ENSMUSG00000121399"	1.82550408684235e-09	0.109099707297029	0.228	0.101	6.15121857102397e-05
