""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"C9orf72"	0	1.65132833711417	1	0.003	0
"Ifi30"	5.61848231819841e-24	0.399405840351317	0.116	0.042	1.89320380194013e-19
"Plp2"	1.31791809221195e-23	0.160644482352865	0.234	0.116	4.44085680351739e-19
"Tuba1b"	3.71146681383613e-19	0.438324389266485	0.446	0.297	1.25061585759022e-14
"Rps29"	2.15366369140256e-17	0.253013831795482	0.95	0.878	7.25698517455005e-13
"Rps12"	1.58810144913139e-16	0.320526688273154	0.937	0.844	5.35126664299314e-12
"Utp6"	2.18894401228973e-16	0.11683911597821	0.307	0.182	7.37586574381146e-12
"Mcm5"	2.59634714119297e-16	0.168381002772475	0.24	0.136	8.74865132696384e-12
"Nenf"	2.75240900985458e-16	0.0635660089684103	0.145	0.068	9.274517399606e-12
"Fkbp2"	3.69760449468016e-16	0.18767576640833	0.338	0.213	1.24594481052743e-11
"Pkig"	3.80338499984693e-16	0.144059687661879	0.226	0.126	1.28158860954842e-11
"Rpl23"	8.05247758861463e-16	0.245430928603061	0.951	0.864	2.71336284825959e-11
"Txnl1"	1.09253770073215e-15	0.179282755922631	0.507	0.346	3.68141503638704e-11
"Rplp1"	1.21265154547519e-15	0.254137995378517	0.946	0.878	4.08615064763321e-11
"Rpl35a"	1.23232120290367e-15	0.237510706356923	0.943	0.864	4.1524295253042e-11
"Asf1b"	1.29193433947042e-15	0.175448939711154	0.223	0.126	4.35330195027953e-11
"Samd1"	2.76851350658001e-15	0.172296909729594	0.229	0.132	9.32878311177202e-11
"Gm43305"	3.11606711901672e-15	0.246749970907935	0.295	0.182	1.04998997642387e-10
"Hells"	3.9046171646317e-15	0.256186214933404	0.235	0.136	1.3156997997943e-10
"Rps18"	4.20385454478245e-15	0.26922350906673	0.933	0.841	1.4165308274099e-10
"Myo5a"	4.31468513280002e-15	0.103245758403157	0.199	0.108	1.4538763023483e-10
"Rps19"	4.36602157195068e-15	0.266436740232146	0.926	0.831	1.4711746288845e-10
"Rplp0"	7.68210896172716e-15	0.254219221522822	0.943	0.85	2.58856343574358e-10
"Ncapg2"	8.14625170674369e-15	0.195927713517628	0.225	0.13	2.74496097510435e-10
"Rnf19b"	8.25981212376937e-15	0.108882841657426	0.122	0.056	2.78322629322533e-10
"D17H6S56E-5"	9.2791593987131e-15	0.156735837787418	0.25	0.147	3.12670555099037e-10
"Rps5"	9.49702838136685e-15	0.279995452862295	0.896	0.804	3.20011868338537e-10
"Rps3a1"	1.23161881987974e-14	0.220845696188577	0.957	0.879	4.15006277546677e-10
"Smc6"	1.29059350757108e-14	0.210355580114345	0.576	0.419	4.3487838831115e-10
"Mcm3"	2.02516293166183e-14	0.219635608610795	0.257	0.156	6.8239890145277e-10
"Rpl39"	2.18651408595241e-14	0.272219780778028	0.926	0.832	7.36767786402524e-10
"Hint1"	2.40096875344366e-14	0.328696364188959	0.519	0.398	8.09030431160377e-10
"Eef1a1"	2.70034447305056e-14	0.247814841421305	0.96	0.9	9.09908073639116e-10
"H2-M3"	2.72062955573237e-14	0.0692570476278897	0.175	0.091	9.16743335099581e-10
"Rps4x"	2.85668983434381e-14	0.245613642868971	0.929	0.836	9.6259020658049e-10
"Arhgap21"	2.99460293742648e-14	0.104480852754564	0.128	0.061	1.00906140579523e-09
"Rps24"	3.07720888462411e-14	0.240062868253298	0.934	0.875	1.03689630576294e-09
"Cenpk"	3.73899158301141e-14	0.155855054976156	0.222	0.128	1.25989060381153e-09
"H3c3"	3.90078670809505e-14	0.38995065936806	0.236	0.14	1.31440908915971e-09
"Sdf2l1"	3.90864753682773e-14	0.174762151533401	0.216	0.125	1.31705787400947e-09
"Rpl35"	3.9262804507039e-14	0.245391157348688	0.879	0.767	1.32299946066919e-09
"Pbk"	3.97130161946107e-14	0.183570053489088	0.2	0.113	1.3381697936936e-09
"Rps20"	4.13859088896324e-14	0.283944635096677	0.928	0.856	1.39453958594505e-09
"Rpl3"	4.71985628478052e-14	0.283014316328909	0.834	0.727	1.59040277371964e-09
