""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Malat1"	1.84883078211894e-89	0.341094919062876	0.998	0.999	6.229820203428e-85
"Satb1"	3.13821530471845e-68	0.333483402236419	0.991	0.982	1.05745302907793e-63
"Camk4"	6.94397961085578e-59	0.402093689549452	0.954	0.939	2.33984336967396e-54
"Themis"	4.73994938856918e-56	0.3842482188844	0.979	0.972	1.59717334597227e-51
"Gm4258"	5.0017245095295e-52	0.391892750272266	0.944	0.941	1.68538109073106e-47
"Slc9a9"	1.00274137590815e-49	0.415827083628496	0.94	0.939	3.37883734026011e-45
"Camk1d"	5.20884977322723e-49	0.377620320292909	0.963	0.978	1.75517401958665e-44
"Skap1"	3.78674814131303e-45	0.299388335720438	0.985	0.975	1.27598265369684e-40
"Foxp1"	1.28348927683633e-41	0.340783994704618	0.961	0.972	4.32484546722769e-37
"Tnrc6b"	6.46436532157515e-41	0.33721547905284	0.931	0.953	2.17823253875796e-36
"Ptprc"	2.31253464140627e-40	0.231216260739678	0.987	0.994	7.79231672768256e-36
"Cd247"	1.03158326706071e-38	0.307157595488389	0.948	0.956	3.47602297668777e-34
"Ssbp2"	1.71888106087646e-37	0.356984845465365	0.918	0.919	5.79194162272932e-33
"mt-Atp6"	1.39885297018655e-36	0.28396339527208	0.997	0.997	4.71357496834059e-32
"Dock2"	1.77954569137546e-33	0.333203777273886	0.921	0.942	5.99635716165877e-29
"Aff3"	1.23850282064182e-32	0.360538788762364	0.922	0.926	4.17325910443469e-28
"Pip4k2a"	6.50680919638904e-32	0.300827633959408	0.922	0.944	2.19253442681525e-27
"Mier1"	9.26700117265644e-31	0.309635425498215	0.914	0.939	3.12260871513831e-26
"Ccnd3"	9.33821448287105e-31	0.262530091993906	0.966	0.977	3.14660475214823e-26
"Znrf1"	2.47757798024761e-30	0.280986394477043	0.933	0.949	8.34844676224233e-26
"Lck"	3.13741878969435e-29	0.222430936391841	0.941	0.964	1.05718463537541e-24
"Celf2"	5.32651589488741e-28	0.297166871919835	0.915	0.935	1.79482279594126e-23
"Zbtb20"	2.42366327291217e-27	0.329127144626743	0.89	0.904	8.16677576440483e-23
"Glcci1"	3.35128319423726e-27	0.304629436698912	0.888	0.898	1.12924838513019e-22
"Orc2"	6.30585395362369e-27	0.00100265146454814	0.203	0.312	2.12482054821304e-22
"Itgb3bp"	6.84183142617902e-27	0.00441234728953876	0.229	0.344	2.30542351736528e-22
"Ablim1"	7.63886177229498e-27	0.271744202603421	0.871	0.898	2.57399086279252e-22
"Xpo4"	2.37269500386028e-26	0.0074203254874482	0.26	0.385	7.99503308500759e-22
"Eipr1"	5.35126421564571e-26	0.00671395240423123	0.201	0.308	1.80316199010398e-21
"2610307P16Rik"	7.10024653806455e-26	0.328146422761054	0.885	0.893	2.39249907346623e-21
"Nin"	9.20574859284408e-26	0.000992641179493492	0.269	0.397	3.10196904584474e-21
"Jade2"	1.94851110689664e-25	0.00150733871219605	0.165	0.258	6.56570302579892e-21
"Htt"	2.74339165146139e-25	0.00943716974369091	0.244	0.364	9.24413250876432e-21
"Fancl"	3.02025925615199e-25	0.00520270108817306	0.149	0.237	1.01770655895297e-20
"Mir142hg"	6.00321427325884e-25	0.222320539296554	0.947	0.983	2.0228430815173e-20
"Aifm1"	6.33801605367607e-25	9.16353322023555e-05	0.229	0.341	2.13565788944669e-20
"Ndufaf2"	1.22931487277636e-24	0.00310340136729143	0.179	0.275	4.14229939530723e-20
"Akap11"	1.80993408226008e-24	0.011378548144703	0.261	0.382	6.09875388358356e-20
"Syne3"	2.47993395810987e-24	0.0015837872256671	0.117	0.192	8.356385465247e-20
"Naa35"	3.38137367852222e-24	0.00652914939298477	0.218	0.327	1.13938767471485e-19
"1110059E24Rik"	3.73708770988828e-24	0.0297639585169042	0.186	0.285	1.25924907472395e-19
"Lclat1"	4.02505265757629e-24	0.0222477138388542	0.182	0.277	1.35628174349691e-19
"Gnb1l"	5.13141279540648e-24	0.0154255944560909	0.133	0.214	1.72908085554017e-19
"Lars"	5.31604300071688e-24	0.00727092385665773	0.257	0.376	1.79129384952156e-19
"Nol10"	5.87803928168418e-24	0.00124270468048265	0.125	0.203	1.9806641163563e-19
"Gtf2f2"	8.84124385595394e-24	0.0210463185335035	0.288	0.416	2.97914552970224e-19
"Dgcr8"	9.24689593198042e-24	0.00982449599852975	0.21	0.313	3.11583405324012e-19
"Nxn"	1.1815295567204e-23	0.0178996366958993	0.206	0.308	3.98128199432506e-19
"Cstf2"	1.35717371425971e-23	0.00390300131065763	0.188	0.286	4.57313254756951e-19
"Zc3h4"	1.708481316218e-23	0.00161287393075416	0.222	0.329	5.75689864312819e-19
"Tdp2"	2.49848310673871e-23	0.0140492473123619	0.207	0.311	8.41888867646677e-19
"Copz1"	2.59152671445747e-23	0.00388958312629284	0.235	0.347	8.73240841703589e-19
"Sil1"	2.82084445831298e-23	0.0239667916115435	0.144	0.227	9.50511748673141e-19
"Camta1"	3.14093973075052e-23	0.00198565074286183	0.308	0.44	1.0583710516737e-18
"Lpin2"	3.50216523773575e-23	0.00782553744002257	0.218	0.322	1.18008959850744e-18
"Rnf213"	3.63060889033391e-23	0.0147025225464749	0.154	0.238	1.22336997168692e-18
"Ext2"	4.19133387925815e-23	0.00398562462619501	0.179	0.272	1.41231186395483e-18
"Ash2l"	4.24062870019162e-23	0.00436974564293813	0.217	0.321	1.42892224681657e-18
"mt-Co2"	4.31543844900547e-23	0.245730279470491	0.995	0.998	1.45413013977688e-18
"Cops8"	5.1673663438824e-23	0.00279426825307005	0.231	0.342	1.74119576323461e-18
"Atp6v1a"	5.47384138478709e-23	0.00532688252751312	0.204	0.305	1.84446559301786e-18
"Hivep3"	7.31476291468564e-23	0.0957271853100677	0.21	0.308	2.46478251173247e-18
"Tmem120b"	7.38243286698626e-23	0.00773619433793182	0.239	0.349	2.48758457885969e-18
"Tbce"	7.5683239867405e-23	0.0127591784420146	0.248	0.361	2.55022245057208e-18
"Eri3"	8.06223269886233e-23	0.0187262345204551	0.175	0.267	2.71664993020865e-18
"Prrc2a"	1.04984215545475e-22	0.00820532773233151	0.298	0.427	3.53754812702032e-18
"Nmd3"	1.17169082751317e-22	0.000199604866642833	0.199	0.296	3.94812941238838e-18
"Lancl1"	1.51787027877891e-22	3.69802267011776e-05	0.131	0.208	5.11461569137341e-18
"Flot2"	1.57905566123604e-22	0.00365218141566803	0.176	0.267	5.32078595610097e-18
"Ltn1"	1.69022536761526e-22	0.000278643386268262	0.27	0.388	5.69538339871638e-18
"Suclg2"	1.69242940318024e-22	0.0115731753526678	0.156	0.241	5.70281011695615e-18
"Grap2"	1.99761402549387e-22	0.291344194042875	0.883	0.912	6.73116022030414e-18
"Ets1"	2.51942950194256e-22	0.19266012408543	0.945	0.959	8.48946964974566e-18
"Ctr9"	3.13124307784411e-22	0.00289798331068569	0.253	0.367	1.05510366751035e-17
"Supt3"	3.96933884989802e-22	0.0229990017304273	0.256	0.368	1.33750841886164e-17
"Coro1c"	4.07540337842884e-22	0.00650932511962576	0.179	0.271	1.37324792239538e-17
"Cnep1r1"	4.15288749051226e-22	0.0134525037876064	0.235	0.344	1.39935696880301e-17
"Amfr"	5.4207319047196e-22	0.0174983939807731	0.186	0.279	1.82656982261432e-17
"Cntrl"	5.50276622367067e-22	9.42990136743038e-06	0.349	0.482	1.85421210672807e-17
"Rcn2"	6.04318826012773e-22	0.00893563652867102	0.208	0.308	2.03631271613264e-17
"Dcp2"	6.30797431916017e-22	0.00856234274917744	0.248	0.358	2.12553502658421e-17
"Efcab14"	7.19081995309434e-22	0.0130663572081555	0.22	0.325	2.42301869139467e-17
"Yipf1"	7.50130017476142e-22	0.0108341350265704	0.26	0.375	2.52763810688761e-17
"Ipp"	9.62441482475121e-22	0.000661033067997169	0.088	0.15	3.24304281934817e-17
"Usf1"	9.8330140967484e-22	0.00550768986268396	0.175	0.266	3.31333243004034e-17
"Tmem209"	9.85350515000581e-22	0.00487478745633868	0.142	0.221	3.32023709534596e-17
"Cdc16"	1.01623668598306e-21	0.0140212313922818	0.205	0.303	3.42431113708852e-17
"Ubxn2a"	1.03192507533113e-21	0.0155167009044987	0.167	0.256	3.47717473383578e-17
"Mbnl2"	1.1600607570869e-21	0.315398279192568	0.781	0.806	3.90894072708001e-17
"Ddx11"	1.16295651552509e-21	0.0030775287800546	0.104	0.171	3.91869827471336e-17
"Flii"	1.76077398729427e-21	0.00990516378977502	0.252	0.365	5.93310402758678e-17
"Alg13"	1.87203772847186e-21	0.00706559548871893	0.16	0.244	6.30801832985879e-17
"Hars"	2.03174697619024e-21	0.00743852807509526	0.211	0.31	6.84617461097062e-17
"Arhgap45"	2.3067537645596e-21	0.251845663615393	0.849	0.901	7.77283748506003e-17
"Elp2"	2.40505834725828e-21	0.0172578568717263	0.157	0.242	8.10408460692151e-17
"Ncbp3"	2.48656479433443e-21	0.00924551041102761	0.287	0.41	8.37872873098928e-17
"Arpp21"	2.91879062354895e-21	0.278395783781324	0.83	0.826	9.83515688511053e-17
"Tle3"	3.36490969579236e-21	0.0119756043231419	0.255	0.366	1.13383997109419e-16
"Yipf5"	3.37169916044445e-21	0.000212038025588335	0.221	0.323	1.13612774910336e-16
"Nmt2"	3.69436151609225e-21	0.0162957055937024	0.21	0.309	1.24485205646245e-16
"Washc3"	4.65093281509598e-21	0.00371945654738415	0.243	0.351	1.56717832137474e-16
"Abhd17b"	4.77329287450346e-21	0.00949796564161609	0.245	0.351	1.60840876699268e-16
"Gfm1"	5.3804461161878e-21	0.0171272513982106	0.113	0.182	1.81299512331064e-16
"Nf2"	6.06115831200533e-21	0.0178578052803505	0.182	0.271	2.04236790481332e-16
"Sh3kbp1"	7.70858363921761e-21	0.238150961548436	0.922	0.951	2.59748434307076e-16
"Tex2"	7.7907725154481e-21	0.0103903663647542	0.147	0.225	2.62517870680539e-16
"Cd4"	7.96459330085228e-21	0.253485163025544	0.789	0.778	2.68374935865518e-16
"Sart1"	8.26995643459145e-21	0.00130433165971766	0.225	0.328	2.78664452019994e-16
"Syap1"	8.55355114702705e-21	0.010240302185957	0.201	0.298	2.88220459450224e-16
"Nploc4"	8.60845072186309e-21	0.00947176141297834	0.184	0.274	2.90070355523899e-16
"Rnf130"	8.85770140915482e-21	0.00435589262396707	0.272	0.385	2.98469106682881e-16
"Hmg20b"	9.38080188363014e-21	0.0184237595779407	0.246	0.357	3.16095500270801e-16
"Trappc13"	9.82362645697279e-21	0.0123878542890035	0.232	0.336	3.31016917094155e-16
"Ube2f"	1.00126184612704e-20	0.0037061027764636	0.193	0.287	3.37385191670967e-16
"Sucla2"	1.06716918495261e-20	0.00763416201310063	0.272	0.388	3.59593328561632e-16
"Ten1"	1.12490190119266e-20	0.000158877705210614	0.284	0.405	3.7904694462588e-16
"Nsmaf"	1.12581039191177e-20	0.00089570592588506	0.268	0.378	3.79353069658591e-16
"Snx1"	1.18476849074902e-20	0.00993581923128517	0.262	0.374	3.99219590642789e-16
"Taf5l"	1.29915945678188e-20	0.00186510617445834	0.189	0.28	4.37764770557222e-16
"Med20"	1.32311508385387e-20	0.00258052322235203	0.145	0.224	4.458368586554e-16
"Bckdk"	1.32943700516619e-20	0.00337367030834912	0.067	0.119	4.47967093260801e-16
"Heatr1"	1.33720000369385e-20	0.00622672267534091	0.11	0.178	4.50582913244678e-16
"Stard4"	1.41481079148625e-20	0.00729972859349221	0.078	0.134	4.76734644299207e-16
"Palm"	1.4762774560278e-20	0.00935089909528275	0.123	0.195	4.97446451583127e-16
"Med24"	1.49878047156262e-20	0.0101077387596676	0.145	0.224	5.05029067697742e-16
"Timmdc1"	1.51021026479645e-20	0.00235096854805694	0.253	0.362	5.0888045082581e-16
"Pml"	1.59380460917965e-20	0.00929246117966448	0.138	0.214	5.37048401109176e-16
"Reep3"	1.76648146032327e-20	0.018660366942211	0.235	0.339	5.95233592870528e-16
"Cwc22"	1.77948078592645e-20	0.00860099018103588	0.215	0.313	5.99613845625776e-16
"Acot13"	2.01234280154159e-20	0.00817728040433729	0.226	0.328	6.78079030407455e-16
"Setdb1"	2.20385562104506e-20	0.0188886139271282	0.245	0.352	7.42611190067342e-16
"Casp2"	2.34325517001603e-20	0.00146923290491313	0.192	0.284	7.89583262088602e-16
"Tiam1"	2.65775696131784e-20	0.0161351483240203	0.254	0.361	8.95557785685659e-16
"Dag1"	2.82970705003679e-20	0.0119406417312153	0.101	0.165	9.53498087580397e-16
"Ccz1"	2.86356877249528e-20	0.00599954864385732	0.278	0.392	9.64908133580011e-16
"Kif16b"	2.86993361764058e-20	0.0441544246954125	0.202	0.297	9.6705283180017e-16
"Mfsd14a"	2.92354956443516e-20	0.0173409270838043	0.21	0.308	9.8511926123207e-16
"Cep295"	3.41225749419675e-20	0.016544801494795	0.257	0.366	1.14979428524454e-15
"Atm"	3.47142246016839e-20	0.0139646732843987	0.2	0.293	1.16973051217834e-15
"Camk2g"	3.48821945557219e-20	0.0111165286302691	0.218	0.318	1.1753904277496e-15
"Txndc12"	3.66665544374681e-20	0.0130048483759051	0.162	0.246	1.23551621832493e-15
"Anapc7"	3.99045342501441e-20	0.00959905947220985	0.173	0.258	1.34462318609286e-15
"Vamp4"	4.01202776544976e-20	0.00316040394884654	0.304	0.427	1.35189287584595e-15
"Nol9"	4.08859054006998e-20	0.00524756285306191	0.099	0.162	1.37769146838198e-15
"Haus6"	4.35138675728351e-20	0.0185646723511858	0.186	0.276	1.46624328173425e-15
"Clpb"	4.40058936974416e-20	0.00469759520152779	0.121	0.191	1.48282259402899e-15
