""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"C9orf72"	0	1.59521774526189	0.914	0.01	0
"Plp2"	1.70588282161218e-18	0.139694480616902	0.223	0.117	5.74814275570439e-14
"Tuba1b"	6.02097724366187e-17	0.452802004568679	0.436	0.297	2.0288284920243e-12
"H3c3"	1.78761379582479e-16	0.438495166920819	0.247	0.139	6.02354344641121e-12
"Txnl1"	2.9532503455407e-16	0.203298627218256	0.508	0.347	9.95127236433393e-12
"Asf1b"	6.0391329876043e-16	0.190774823759954	0.226	0.126	2.03494625150314e-11
"Cenpk"	1.9002101227496e-15	0.172159332361176	0.228	0.128	6.40294802961704e-11
"Mcm5"	1.94727027048248e-15	0.180011461794141	0.238	0.136	6.56152190341775e-11
"Spc25"	5.68117439043064e-15	0.256880595708039	0.209	0.116	1.91432852259951e-10
"Rpl35a"	7.53936946854541e-15	0.236177667864598	0.942	0.864	2.54046593612106e-10
"Gm29170"	7.96395836476377e-15	0.0626583470023404	0.104	0.043	2.6835354105908e-10
"Fignl1"	8.3575065255254e-15	0.129624205236878	0.207	0.114	2.81614539884104e-10
"Fkbp2"	1.17839327309173e-14	0.199648914806019	0.332	0.213	3.9707139730099e-10
"Smc6"	1.84466047123031e-14	0.226863929734444	0.575	0.42	6.21576792385764e-10
"Ncapg2"	2.37121823187486e-14	0.216379118803108	0.226	0.13	7.99005695412552e-10
"Rrm2"	2.67352922837268e-14	0.327840707342343	0.243	0.144	9.00872408792458e-10
"Rps29"	3.0918414467773e-14	0.232463576428144	0.948	0.878	1.04182689390608e-09
"Pbk"	3.66485795945145e-14	0.204446425071799	0.202	0.113	1.23491053801676e-09
"D17H6S56E-5"	4.22456031957131e-14	0.174459341786191	0.25	0.148	1.42350784528275e-09
"Arhgap21"	4.28872277074661e-14	0.112119073852095	0.129	0.062	1.44512802483078e-09
"Rpl23"	4.92176497924506e-14	0.236851304748019	0.947	0.864	1.65843792740642e-09
"Fam111a"	5.02050505412659e-14	0.161302342182826	0.231	0.134	1.6917093830385e-09
"Utp6"	5.45745787939964e-14	0.104501676634207	0.299	0.183	1.8389450070425e-09
"Kif15"	5.67718123197992e-14	0.270954809686248	0.24	0.142	1.91298298792795e-09
"H2ac10"	6.27312831771003e-14	0.253693777705649	0.19	0.104	2.11379331793557e-09
"Rpl27a"	7.16214264437019e-14	0.237861075886425	0.946	0.873	2.41335558544698e-09
"Rps12"	7.54396382145744e-14	0.308099408716091	0.934	0.844	2.5420140492783e-09
"Tyms"	7.98236441890243e-14	0.282404086825568	0.255	0.155	2.68973751459336e-09
"Rplp1"	9.9918340565587e-14	0.243551078548804	0.944	0.879	3.36684840369802e-09
"Rps18"	1.06020638164066e-13	0.264039463262862	0.93	0.842	3.57247142357638e-09
"Cdc45"	1.0995450611433e-13	0.110694219545813	0.186	0.102	3.70502703802846e-09
"Rplp0"	1.17999835552427e-13	0.253797498851761	0.94	0.851	3.97612245877459e-09
"Pclaf"	1.26863177655496e-13	0.48615068879563	0.271	0.171	4.27478163427958e-09
"E2f8"	1.27781789201257e-13	0.188163504078225	0.193	0.108	4.30573516892554e-09
"Rps3"	1.38551639426849e-13	0.231017913908493	0.925	0.84	4.66863604212709e-09
"Rps3a1"	1.39117752390957e-13	0.219292821578968	0.957	0.879	4.68771178456568e-09
"Neil3"	1.52287861558523e-13	0.264747005123171	0.213	0.122	5.13149178307598e-09
"H2ac22"	1.54364963065025e-13	0.370504673846777	0.261	0.161	5.20148179543907e-09
"Samd1"	2.00947399196554e-13	0.146597602309087	0.226	0.132	6.7711235633271e-09
"Rps24"	2.16268281703588e-13	0.240820758903677	0.932	0.875	7.28737602028409e-09
"Anp32b"	2.26790840733963e-13	0.317366842985257	0.753	0.642	7.64194416937163e-09
"Mcm3"	2.42192217674366e-13	0.220643254309512	0.256	0.157	8.16090896675543e-09
"Rpl39"	2.60019060119115e-13	0.277639752845066	0.92	0.832	8.76160224977371e-09
"Stil"	3.11671847666586e-13	0.114663977756742	0.184	0.101	1.05020945789733e-08
"Rps20"	3.40459805726583e-13	0.289035903504662	0.926	0.857	1.14721336137629e-08
"Rpl26"	3.85664010023399e-13	0.226470075288568	0.937	0.848	1.29953344817485e-08
"Mki67"	3.93686541122504e-13	0.46846588234061	0.281	0.18	1.32656616896639e-08
"Gmnn"	4.30699326581095e-13	0.23637858505425	0.293	0.189	1.45128445084766e-08
"Kif24"	5.096801346028e-13	0.122771193925606	0.202	0.114	1.71741818155759e-08
"Ndc80"	5.30495292521718e-13	0.205843340805502	0.232	0.139	1.78755693768118e-08
"Rps5"	5.33887682753132e-13	0.273708383711193	0.892	0.805	1.79898793580495e-08
"Rps7"	5.33901912830037e-13	0.229877426554617	0.935	0.846	1.79903588547209e-08
"Fbxo5"	5.6251119656857e-13	0.309487986497564	0.242	0.148	1.89543772795745e-08
"Gm43305"	5.7121606029884e-13	0.24305757318861	0.288	0.183	1.92476963678297e-08
"Cenpw"	6.37690766373216e-13	0.133960518920192	0.25	0.15	2.14876280637119e-08
"H2az1"	6.76440052065389e-13	0.459715559075924	0.795	0.695	2.27933239943954e-08
"Rpl10"	8.27818434952432e-13	0.263484927365695	0.871	0.78	2.78941699841572e-08
"Rps4x"	8.38727145791738e-13	0.236684925893301	0.926	0.836	2.82617499045984e-08
"Rpl3"	8.76802338653216e-13	0.284965474227514	0.828	0.728	2.95447316032588e-08
"Paics"	9.30794177424172e-13	0.191500401945431	0.393	0.27	3.13640406024849e-08
"Tacc3"	1.05642175233422e-12	0.193882598479611	0.232	0.139	3.5597187366654e-08
"Shcbp1"	1.10931333763619e-12	0.147572577083256	0.191	0.109	3.73794222249892e-08
"Ccnf"	1.11274978672496e-12	0.210275146487595	0.191	0.109	3.74952168134843e-08
"Ppia"	1.14745990074487e-12	0.312975100212866	0.943	0.867	3.86648088154993e-08
"Mad2l1"	1.24450526397414e-12	0.134525541271718	0.227	0.136	4.19348493748726e-08
"Plk4"	1.29546971304906e-12	0.149787378623384	0.228	0.137	4.36521474509012e-08
"Atp5o"	1.32088807480508e-12	0.203948117477832	0.701	0.561	4.4508644568632e-08
"Hells"	1.3771998758796e-12	0.26203312330029	0.227	0.136	4.64061270176388e-08
"Pa2g4"	1.40965965545711e-12	0.203165407960231	0.463	0.33	4.74998917502829e-08
"Rpl4"	1.50920294428471e-12	0.249470813488558	0.83	0.721	5.08541024106174e-08
"H2bc8"	1.58257501012229e-12	0.124621566907027	0.203	0.117	5.33264475410805e-08
"Diaph3"	1.59951262460931e-12	0.290932501158284	0.26	0.164	5.38971773988354e-08
"Rps19"	1.64336126239501e-12	0.241085565903671	0.921	0.831	5.53747010976622e-08
"H2bc18"	1.75978686490589e-12	0.182054459830531	0.215	0.127	5.9297778199869e-08
"Usp1"	1.78660667405607e-12	0.198236824007497	0.412	0.286	6.02014984889932e-08
"Sgo1"	1.83466487987391e-12	0.187803019407802	0.214	0.127	6.18208677922311e-08
"Rps25"	1.85406083459913e-12	0.24048571090114	0.9	0.806	6.24744338826522e-08
"Hmgn5"	1.88039222227738e-12	0.167583814243015	0.321	0.209	6.33616963218586e-08
"Clic4"	1.9753500488545e-12	0.147968700373582	0.436	0.301	6.65613952462013e-08
"Rpl34"	2.12152923178091e-12	0.216779855703418	0.93	0.851	7.14870489940896e-08
"Pkig"	2.25966017710711e-12	0.113173483206778	0.215	0.127	7.61415093278011e-08
"Cks1b"	2.3045297614605e-12	0.235116435297268	0.316	0.208	7.76534348421729e-08
"Rps16"	2.3624421063969e-12	0.217793170128936	0.951	0.872	7.96048492171501e-08
"Rpl5"	2.37862753307269e-12	0.218047664272447	0.916	0.825	8.01502333544173e-08
"Nenf"	2.46036031188842e-12	0.0655934801702344	0.136	0.069	8.29043010693921e-08
