""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"LTO1"	0	1.54610811548839	0.999	0.013	0
"Ccnb1"	1.726450635778e-55	0.418137436610576	0.229	0.104	5.81744806231756e-51
"Tacc3"	1.44540184813902e-51	0.305199284668699	0.265	0.13	4.87042606748923e-47
"Aurka"	4.03106853922007e-50	0.253638962993888	0.224	0.104	1.35830885497559e-45
"Hmmr"	9.0782353150598e-48	0.434713467427302	0.229	0.11	3.05900217176255e-43
"Cdca8"	1.73803250713826e-47	0.458941388891984	0.271	0.142	5.85647433605307e-43
"Ptma"	2.02858149806497e-47	0.510913734579228	0.976	0.916	6.83550821587971e-43
"Cenpf"	4.73489791480294e-47	0.66099332583596	0.269	0.141	1.595471201372e-42
"Kif2c"	4.8756118373506e-47	0.186357839782444	0.187	0.082	1.64288616471366e-42
"Nusap1"	9.94181203918564e-47	0.625577721289501	0.255	0.129	3.34999298472399e-42
"Tpx2"	3.57829054592413e-46	0.472891411763423	0.256	0.131	1.20574078235459e-41
"Ckap2l"	3.84009632219202e-46	0.275841801560803	0.224	0.107	1.29395885672582e-41
"Kpna2"	4.5174470829243e-46	0.261897750666569	0.229	0.111	1.52219896906217e-41
"Ppia"	7.60927396616792e-46	0.405951831908974	0.959	0.861	2.56402095563994e-41
"Birc5"	1.82770839278647e-45	0.594858505751743	0.281	0.151	6.15864620033328e-41
"Cdk1"	2.63565771643942e-45	0.45757702927757	0.254	0.131	8.88111224131426e-41
"Racgap1"	3.38648264360165e-45	0.308453942851722	0.262	0.136	1.14110919158801e-40
"Aurkb"	4.55431950608216e-45	0.26044348466595	0.216	0.102	1.53462350076945e-40
"Ccna2"	8.15246594183215e-45	0.353612859335114	0.244	0.123	2.74705492375976e-40
"Cep55"	1.92037366509844e-44	0.195435810816671	0.203	0.095	6.47089110191571e-40
"Aspm"	5.34093755542675e-44	0.282623068532704	0.204	0.096	1.7996823186766e-39
"Tuba1b"	5.47786203753542e-44	0.653510230228982	0.439	0.289	1.84582039216793e-39
"D17H6S56E-5"	1.13149199799088e-43	0.278971220711924	0.266	0.14	3.81267543643006e-39
"Dlgap5"	1.18037920563786e-43	0.304924541045572	0.242	0.123	3.97740577131733e-39
"Cdc20"	1.40122794057489e-43	0.443859899470957	0.236	0.12	4.72157766856115e-39
"Mis18bp1"	2.9463134867986e-43	0.302941263260218	0.223	0.109	9.92789792511658e-39
"Sgo2a"	3.08719250214018e-43	0.246758271779454	0.207	0.099	1.04026038552115e-38
"Cks1b"	3.10339475068113e-43	0.387302346931737	0.34	0.199	1.04571989518951e-38
"Ckap2"	3.40811756913246e-43	0.204035946670274	0.221	0.107	1.14839929609487e-38
"Sgo1"	3.73654767054572e-43	0.248911720197904	0.237	0.119	1.25906710306709e-38
"Ect2"	3.88561997610629e-43	0.359478949856584	0.283	0.154	1.30929850714878e-38
"Plk1"	5.00954206758182e-43	0.213920026675913	0.193	0.089	1.68801529509237e-38
"Bub1b"	1.00353679321531e-42	0.270881426810734	0.254	0.132	3.3815175784183e-38
"Arhgap19"	1.29679619737114e-42	0.164223349233715	0.195	0.09	4.36968446666179e-38
"Cdkn3"	2.21088856832817e-42	0.177419723767927	0.187	0.085	7.4498101198386e-38
"Mad2l1"	2.51597709935289e-42	0.17630802768713	0.25	0.128	8.47783643397949e-38
"Nuf2"	3.79358065967308e-42	0.154535911177822	0.19	0.087	1.27828493908344e-37
"Ccnb2"	7.1251336372572e-42	0.488940283418899	0.263	0.142	2.40088503041019e-37
"Anln"	7.74046499047673e-42	0.227479734266029	0.214	0.103	2.60822708319104e-37
"Cdca3"	1.11211083300603e-41	0.375477659569173	0.252	0.132	3.74736866289711e-37
"Spc25"	1.20738751124478e-41	0.307558403539841	0.221	0.109	4.06841295789042e-37
"Cenpa"	1.43765226405197e-41	0.515741708624882	0.324	0.189	4.84431306894952e-37
"Kif18a"	1.95872400725712e-41	0.240487929362917	0.255	0.132	6.60011641485359e-37
"Knl1"	3.27395102732129e-41	0.445702623332724	0.268	0.146	1.10319053816618e-36
"Kif4"	4.80606683054382e-41	0.300717517003287	0.231	0.118	1.61945227922004e-36
"Mki67"	7.8810590785343e-41	0.692545824048086	0.298	0.172	2.65560166710292e-36
"Smc2"	9.62558285609634e-41	0.357786224398577	0.388	0.238	3.24343639919022e-36
"Spc24"	1.0616354581044e-40	0.339084249189405	0.26	0.139	3.5772868396286e-36
"Ube2c"	1.12176020003717e-40	0.854534654371492	0.269	0.15	3.77988317004526e-36
"Kif14"	1.17907896740444e-40	0.171929780284344	0.184	0.085	3.973024488566e-36
"Pclaf"	1.37740609604861e-40	0.533886703589451	0.293	0.163	4.64130758124538e-36
"Top2a"	1.88968144284239e-40	0.774579714284204	0.319	0.189	6.36747058980171e-36
"Cks2"	1.94402840904382e-40	0.595777723509283	0.335	0.203	6.55059812711406e-36
"Rpsa"	2.07124345278287e-40	0.353900330331001	0.937	0.821	6.97926193849716e-36
"Ncapg"	5.62760865162082e-40	0.220508331236616	0.215	0.107	1.89627901125015e-35
"Kif15"	5.68141258471361e-40	0.340373053670924	0.254	0.135	1.9144087845451e-35
"Ran"	6.18626450448497e-40	0.431580349972811	0.673	0.515	2.08452368743125e-35
"H2ax"	6.65613757275163e-40	0.569479353158246	0.402	0.258	2.24285211651439e-35
"Shcbp1"	8.51483821094445e-40	0.192427818786421	0.208	0.102	2.86915988355984e-35
"Gapdh"	2.07919471483793e-39	0.325819636070336	0.863	0.722	7.0060545111179e-35
"Pimreg"	2.61235971367904e-39	0.138569192140817	0.142	0.059	8.80260729121291e-35
"Plk4"	2.65580527114461e-39	0.149218426241973	0.248	0.13	8.94900144164889e-35
"Kif11"	3.00295721267338e-39	0.432677145813808	0.269	0.148	1.01187646238242e-34
"Cip2a"	4.15630504866004e-39	0.186036400341364	0.215	0.108	1.40050854919649e-34
"Bub1"	4.39784889398776e-39	0.196616765706219	0.211	0.104	1.48189916331811e-34
"Kif20b"	4.88593588050127e-39	0.283145829815152	0.275	0.152	1.64636495429371e-34
"Prc1"	6.41696306277144e-39	0.505174000687939	0.266	0.148	2.16225987363146e-34
"Cenpe"	6.76094940273322e-39	0.436387429478167	0.261	0.143	2.27816951074499e-34
"Hmgn2"	8.07552415527875e-39	0.573791243741692	0.568	0.42	2.72112861936273e-34
"Rangap1"	9.16968327085833e-39	0.192168544390437	0.384	0.231	3.08981647494842e-34
"Neil3"	1.33904021659087e-38	0.273792913653553	0.228	0.116	4.5120299138246e-34
"Ccnf"	1.36621949772226e-38	0.227213832250892	0.207	0.103	4.60361321952491e-34
"Depdc1a"	1.48752302572585e-38	0.27284631875107	0.215	0.108	5.01235758748582e-34
"Anp32b"	1.57066426985389e-38	0.397771290107519	0.773	0.633	5.29251032369967e-34
"Cox5b"	2.0649867180206e-38	0.279657197160387	0.732	0.565	6.95817924504221e-34
"Diaph3"	2.59781556995424e-38	0.384114100190946	0.279	0.156	8.75359934451781e-34
"Pif1"	5.37146599753822e-38	0.113238170958021	0.134	0.054	1.80996918253048e-33
"Parpbp"	5.60979275027958e-38	0.176410598243694	0.174	0.081	1.89027576513421e-33
"Cenpw"	1.17211058162437e-37	0.17998273882905	0.264	0.143	3.94954381584146e-33
"Nucks1"	1.46857720078507e-37	0.477165410680255	0.55	0.406	4.94851773576536e-33
"Rps8"	2.53639808370346e-37	0.301421922099628	0.96	0.865	8.54664698284717e-33
"Kifc1"	3.18410824872336e-37	0.137653780204661	0.2	0.098	1.07291711548982e-32
"Rps16"	9.49767937844779e-37	0.269066178544777	0.964	0.866	3.20033804336177e-32
"Rpl28"	1.19762173561635e-36	0.273182657924124	0.958	0.857	4.03550620033286e-32
"Selenoh"	2.91485875424602e-36	0.308052595109279	0.385	0.247	9.82190805830738e-32
"Kif20a"	7.12012080817989e-36	0.0989311712026619	0.181	0.086	2.3991959075243e-31
"Snrpg"	9.4265886015159e-36	0.304245314510678	0.83	0.688	3.1763832951668e-31
"Kif18b"	1.40351058140686e-35	0.140487726879728	0.163	0.075	4.72926925510855e-31
"Tubb4b"	1.49748108988935e-35	0.504889850208904	0.442	0.301	5.04591228049114e-31
"Ndufs6"	1.50658256408865e-35	0.232584656285743	0.626	0.441	5.07658060795311e-31
"Rplp2"	1.60300196525456e-35	0.292323646849602	0.944	0.852	5.40147542212177e-31
"Rbm3"	2.15812752349849e-35	0.319441998636341	0.824	0.678	7.2720265031805e-31
"Ncapd2"	2.21536652165813e-35	0.243407621178731	0.345	0.208	7.46489903137923e-31
"Foxm1"	2.86449585954532e-35	0.127865312583063	0.168	0.078	9.65220524832389e-31
"Tyms"	3.19474687897928e-35	0.28184962915737	0.266	0.148	1.07650190834086e-30
"Ska1"	6.19157337034734e-35	0.122132064160451	0.18	0.087	2.08631256287224e-30
"H2ac24"	7.24218244149396e-35	0.643194341182518	0.337	0.209	2.44032579548581e-30
"Fbxo5"	7.95185095424112e-35	0.310317973246656	0.255	0.141	2.67945569754109e-30
"Tmpo"	8.3807485973925e-35	0.360594537425549	0.59	0.432	2.82397704737738e-30
"Ndc80"	8.69850096818782e-35	0.255176181558725	0.243	0.133	2.93104688624057e-30
"Eef1a1"	1.00729298332525e-34	0.279179159359216	0.971	0.896	3.39417443661276e-30
"Rps2"	1.15062215246923e-34	0.366431975665172	0.909	0.79	3.87713640496031e-30
"Cit"	1.54951561263235e-34	0.196129078547783	0.206	0.107	5.22124780832596e-30
"Lockd"	1.63739458549355e-34	0.534945269012667	0.363	0.235	5.51736479527907e-30
"Atp5g2"	1.7422375027023e-34	0.2832391703022	0.725	0.564	5.87064348910568e-30
"Stmn1"	1.91227882876886e-34	0.575928354032258	0.683	0.551	6.44361474141956e-30
"H2az1"	2.07963399048793e-34	0.600017786420359	0.811	0.687	7.00753469434815e-30
"Rpl13"	2.41762079367926e-34	0.291499670250849	0.96	0.864	8.14641502638164e-30
"Incenp"	2.45430253711713e-34	0.263739440687402	0.281	0.163	8.27001782906989e-30
"2700099C18Rik"	2.49370267274229e-34	0.134961854169079	0.186	0.092	8.40278052607241e-30
"Tuba1c"	2.98113369088349e-34	0.262060781878695	0.217	0.114	1.0045228084801e-29
"Lsm6"	2.98672484597558e-34	0.256624287287439	0.507	0.35	1.00640680409993e-29
"Knstrn"	3.06648385964884e-34	0.208757382642224	0.246	0.134	1.03328240134727e-29
"Pbk"	4.92028674698563e-34	0.253729276527728	0.206	0.107	1.65793982226428e-29
"Alyref"	5.97542894016409e-34	0.296873646029879	0.542	0.382	2.01348053567769e-29
"Cenpk"	6.2244851832236e-34	0.180552107634597	0.229	0.122	2.09740252733902e-29
"Rps27a"	7.8129123457368e-34	0.272386828911393	0.952	0.851	2.63263894401947e-29
"Clic1"	8.60983753522917e-34	0.292745996693287	0.887	0.754	2.90117085587082e-29
"Hint1"	9.31370123213272e-34	0.321704143964567	0.539	0.389	3.13834476717944e-29
"Cox8a"	1.26540763666428e-33	0.303455179803207	0.803	0.657	4.26391757250396e-29
"Hmgb2"	1.33035892708521e-33	0.812156670226446	0.689	0.568	4.48277744070631e-29
"Cox6c"	1.62874677262308e-33	0.268267433157042	0.855	0.712	5.48822512503072e-29
"Rad51ap1"	1.64601906933778e-33	0.140483293595177	0.202	0.103	5.54642585604057e-29
"Fignl1"	1.74762783205833e-33	0.154271713216914	0.209	0.109	5.88880674290376e-29
"Rpl32"	1.817448229664e-33	0.286576075540994	0.955	0.858	6.12407355467581e-29
"Dbf4"	1.91292618007484e-33	0.186831875397687	0.335	0.203	6.4457960563802e-29
"Rpl8"	2.17635653236979e-33	0.267383193504994	0.947	0.845	7.33345097147323e-29
"Kif23"	2.63878903082265e-33	0.283205178679119	0.333	0.204	8.89166351825999e-29
"Depdc1b"	2.76992964391361e-33	0.179960592992011	0.169	0.081	9.33355492813129e-29
"Tubb5"	2.85905907078828e-33	0.437972123157939	0.829	0.713	9.63388544492818e-29
"Crip1"	4.34248431999183e-33	0.373802425637067	0.634	0.497	1.46324351646445e-28
"Rps29"	4.55163149575613e-33	0.254014078593496	0.962	0.872	1.53371774880999e-28
"Cox7a2"	5.11955408417014e-33	0.263393470993792	0.79	0.644	1.72508494420197e-28
"Mxd3"	8.75615155660857e-33	0.175018203266135	0.18	0.089	2.95047282851482e-28
"Hsp90b1"	8.98431599093838e-33	0.202397371877335	0.601	0.43	3.0273551163066e-28
"Eif5a"	1.1107451257441e-32	0.318346230017423	0.743	0.592	3.7427667757073e-28
"Kifc5b"	1.215442511565e-32	0.0888389368045664	0.146	0.066	4.09555508696942e-28
"Spag5"	1.32508433249179e-32	0.135658442727637	0.163	0.078	4.46500416676434e-28
"2610318N02Rik"	1.43085479599701e-32	0.111886361877027	0.175	0.085	4.82140832059152e-28
