""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"F8"	0	1.64168623635139	0.996	0.001	0
"Cenpa"	2.07330637017355e-15	0.551002154490693	0.402	0.199	6.98621314493678e-11
"Ccnb1"	1.36441594156078e-14	0.36025464047172	0.273	0.114	4.5975359566832e-10
"Uhrf1"	1.57667269223142e-14	0.377131655784085	0.373	0.178	5.31275630374299e-10
"Plac8"	2.44714880557821e-14	0.468426669842317	0.165	0.053	8.24591261527634e-10
"Diaph3"	1.01765123349943e-13	0.493576320447978	0.345	0.165	3.42907759639968e-09
"Nucks1"	1.13264529448946e-13	0.631942151912226	0.635	0.417	3.81656158431168e-09
"Ccnb2"	1.25317824154714e-13	0.501002983794637	0.321	0.151	4.22270940271724e-09
"Gm33699"	1.31936920021435e-13	0.0647563902667286	0.1	0.025	4.44574645704229e-09
"Gzma"	1.64725246855387e-13	0.449804004756074	0.329	0.153	5.55058191803913e-09
"Mcub"	2.83701715451999e-13	0.143611832885421	0.169	0.057	9.55961300387054e-09
"Knstrn"	3.18894084759168e-13	0.274609250429108	0.309	0.143	1.07454550800449e-08
"Zfp704"	3.62932743445558e-13	0.312891705729711	0.418	0.219	1.22293817231415e-08
"H2ac11"	5.72004755617842e-13	0.12636688753799	0.221	0.087	1.92742722452988e-08
"Cenpm"	6.16785838305099e-13	0.146109532657527	0.237	0.097	2.07832156075286e-08
"Acp1"	6.36536234243688e-13	0.220189146255036	0.462	0.243	2.14487249490753e-08
"Fads2"	6.9378023441794e-13	0.0953992467810228	0.153	0.05	2.33776187789469e-08
"Spc24"	7.78394307143029e-13	0.358336777814101	0.317	0.148	2.62287745734915e-08
"Plekho1"	9.1598448658834e-13	0.168892001789455	0.241	0.099	3.08650132600807e-08
"Rrm1"	9.45148827275612e-13	0.25135388411352	0.382	0.187	3.1847734883879e-08
"Aspm"	1.15939377861318e-12	0.29563343449587	0.245	0.105	3.90669327641496e-08
"Mrps27"	1.20552126663987e-12	0.187684072792888	0.245	0.102	4.06212446006972e-08
"Dlgap5"	1.59887095991669e-12	0.38083338981657	0.285	0.133	5.38755558653527e-08
"Trip13"	1.6155847507347e-12	0.149267384435939	0.217	0.088	5.44387437607565e-08
"Nek2"	1.63362436303155e-12	0.173047055773763	0.197	0.076	5.50466065367111e-08
"Emp1"	1.73040710437238e-12	0.111764775033656	0.124	0.037	5.83077977889318e-08
"Nap1l1"	1.83133077574097e-12	0.460019485274304	0.635	0.404	6.17085218193676e-08
"Mcm5"	2.05507606232958e-12	0.174108295554165	0.305	0.138	6.92478429962575e-08
"Cip2a"	2.14637253624451e-12	0.216537682329682	0.265	0.116	7.2324168981295e-08
"Cenpe"	2.92406567886884e-12	0.600574778464166	0.313	0.153	9.85293171151644e-08
"Cdc20"	3.27281511765974e-12	0.412525832501014	0.277	0.129	1.10280778204663e-07
"Dnal4"	3.32565170149215e-12	0.0926309019392888	0.209	0.081	1.12061159733479e-07
"Psrc1"	3.36662854541772e-12	0.158598106365966	0.133	0.042	1.13441915466396e-07
"Bub1b"	3.85072426779106e-12	0.3089206044476	0.301	0.141	1.29754004927488e-07
"1500009L16Rik"	4.13507710339849e-12	0.175854727420593	0.221	0.091	1.39335558076115e-07
"Rad51b"	4.46506752850952e-12	0.31373294096259	0.273	0.124	1.50454915440657e-07
"Trim37"	4.6217913714203e-12	0.139901543098407	0.353	0.171	1.55735882051378e-07
"Mastl"	4.85972707951049e-12	0.149997577498931	0.261	0.115	1.63753363671186e-07
"Lockd"	8.51855884973564e-12	0.56578210767489	0.442	0.245	2.87041359000692e-07
"Cenpp"	1.17411920474019e-11	0.36339445555529	0.353	0.178	3.95631207229254e-07
"Cenps"	1.19174997794399e-11	0.141055341749751	0.229	0.097	4.01572072568008e-07
"Strip2"	1.19723341152805e-11	0.0635439923859599	0.129	0.041	4.03419770348493e-07
"Rpl23a"	1.20495265089587e-11	0.392171128993713	0.928	0.809	4.06020845245874e-07
"Cks1b"	1.20639693807499e-11	0.474997266791139	0.382	0.211	4.06507512253749e-07
"Ephb2"	1.26599672746544e-11	0.114145852541037	0.181	0.069	4.26590257286756e-07
"Kif2c"	1.45904183013113e-11	0.179550094305468	0.217	0.09	4.91638735080985e-07
"Anp32e"	1.55323937415661e-11	0.491850965594078	0.755	0.567	5.23379539515812e-07
"Hmgn5"	1.85175261078309e-11	0.315116802252042	0.394	0.211	6.23966559729469e-07
"Racgap1"	1.91088759754539e-11	0.28189537730546	0.305	0.146	6.43892684868894e-07
"Clspn"	1.96562638357433e-11	0.270053039693217	0.281	0.13	6.62337466209206e-07
"Tpx2"	2.12221789768934e-11	0.456492488547234	0.293	0.141	7.151025428054e-07
"Top2a"	2.22880143326011e-11	0.659454675621133	0.378	0.2	7.51016930951325e-07
"Smarcb1"	2.38071257475154e-11	0.273484118106812	0.486	0.277	8.0220490918828e-07
"H2ax"	2.39388285959181e-11	0.570632044053261	0.47	0.27	8.06642768368057e-07
"Fam111a"	2.59684799738578e-11	0.198413341751074	0.289	0.137	8.75033901199113e-07
"Dynlt3"	3.14362757600581e-11	0.12557614560387	0.213	0.087	1.05927674801092e-06
"Cenph"	3.24097300512725e-11	0.13848071571825	0.253	0.113	1.09207826380768e-06
"Gm56577"	3.41777828945204e-11	0.10146531485534	0.141	0.048	1.15165457241376e-06
"Wee1"	4.19347826916395e-11	0.16343762765361	0.233	0.103	1.41303443757749e-06
"Pclaf"	4.5198209231685e-11	0.452948301040865	0.341	0.173	1.52299885827086e-06
"Shcbp1"	4.64922588498436e-11	0.150057792811583	0.249	0.11	1.56660315420433e-06
"Ttc9c"	4.94224317007573e-11	0.152393505247578	0.438	0.229	1.66533825858872e-06
"Tmem256"	5.07578901715503e-11	0.251683137714663	0.466	0.265	1.71033786722056e-06
"Nop53"	6.47524631277268e-11	0.23574286706089	0.643	0.39	2.18189899755188e-06
"Ncapg2"	7.09868085835067e-11	0.227339398875404	0.281	0.132	2.39197150202984e-06
"Cenpk"	7.34503443424638e-11	0.201802401646252	0.277	0.131	2.47498280296366e-06
"Skp2"	7.8501301706184e-11	0.130885094322086	0.245	0.11	2.64517986229158e-06
"Ckap2"	8.48889095030564e-11	0.223292432820859	0.253	0.116	2.86041669461499e-06
"Alg8"	8.5351675151585e-11	0.0705598303323276	0.185	0.073	2.87601004590781e-06
"Dcps"	8.55617054909948e-11	0.219604205009024	0.414	0.221	2.88308722822456e-06
"Hmgb3"	9.06898659936325e-11	0.233866769631095	0.337	0.173	3.05588572452144e-06
"Tada2a"	9.99092463910533e-11	0.115570973694379	0.209	0.087	3.36654196639293e-06
"Cdca3"	1.13023856309725e-10	0.354100938754437	0.289	0.142	3.80845186221251e-06
"Mrps22"	1.14458201284011e-10	0.100995492218066	0.313	0.153	3.85678355046604e-06
"Gria3"	1.17702118723752e-10	0.41612576849142	0.153	0.056	3.96609059251555e-06
"Siva1"	1.19626623031161e-10	0.271769938844636	0.386	0.207	4.03093868965799e-06
"Dsn1"	1.30254394561286e-10	0.0664246858250735	0.189	0.076	4.3890520791371e-06
"Myl10"	1.42065000839542e-10	0.360666619094467	0.237	0.106	4.78702226828919e-06
"Dnajc25"	1.52869350269113e-10	0.133114435935328	0.161	0.06	5.15108562666803e-06
"Ebna1bp2"	1.59423690042587e-10	0.220240429897655	0.49	0.283	5.371940659675e-06
"Tmem97"	1.69089733300854e-10	0.0817117416153249	0.165	0.063	5.69764765330559e-06
"Cks2"	2.04582933003928e-10	0.496157525232939	0.386	0.214	6.89362651050037e-06
"Bahcc1"	2.09165928296967e-10	0.0669245609147573	0.157	0.058	7.04805511989459e-06
"Mad2l1"	2.17921552210735e-10	0.189019203032215	0.281	0.138	7.34308462329293e-06
