""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Themis"	5.38950811333581e-121	4.33483417218398	0.987	0.186	1.81604865386963e-116
"Satb1"	2.18887689636628e-118	3.46536529882217	0.994	0.554	7.37563958999583e-114
"Camk4"	5.65860717588542e-111	3.54356739907338	0.96	0.196	1.90672427398635e-106
"Bcl11b"	2.37463485972313e-108	3.14662862747396	0.957	0.235	8.00156962332307e-104
"Tcf7"	7.97005439352343e-108	2.86971311227805	0.957	0.314	2.68558952844166e-103
"Gm4258"	1.13611936402253e-103	3.84913890191717	0.95	0.348	3.82826780901033e-99
"Cd247"	6.82055556585743e-102	2.64471115656713	0.958	0.25	2.29825440347132e-97
"Lck"	1.66955088200478e-101	2.50152974262498	0.953	0.294	5.62571865200331e-97
"2610307P16Rik"	8.46433823758092e-99	3.36081158482092	0.896	0.118	2.85214341253527e-94
"Trbc2"	2.95322329960636e-97	3.35298404992475	0.936	0.422	9.95118123035361e-93
"Znrf1"	1.12648771706228e-93	2.47218593458974	0.942	0.426	3.79581301141307e-89
"Ssbp2"	1.15988430274857e-91	2.83736298941621	0.925	0.333	3.90834614654157e-87
"Skap1"	1.3958899707147e-91	2.3209334205761	0.991	0.309	4.70359084532025e-87
"Tcf12"	2.1637244568402e-85	2.30477906427	0.969	0.657	7.29088592976874e-81
"Ccnd3"	2.42999597070655e-85	2.22480542193387	0.972	0.623	8.18811442289278e-81
"Arpp21"	4.66179615850839e-85	3.91197951397739	0.837	0.147	1.57083883357099e-80
"Lef1"	3.32790012871295e-82	3.19137481716001	0.845	0.176	1.12136922737111e-77
"Glcci1"	6.23064426499189e-81	2.91990339004287	0.896	0.397	2.09947789153167e-76
"Cd8b1"	8.04369460220363e-79	3.2536455435582	0.813	0.147	2.71040333315853e-74
"Ccr9"	9.74353391391461e-78	2.56003211588867	0.835	0.152	3.28318118763267e-73
"Mier1"	1.74377556035456e-75	2.31477112050606	0.922	0.574	5.87582612817071e-71
"Rhoh"	3.7014916983332e-75	1.97337856821603	0.882	0.412	1.24725464267035e-70
"Cux1"	3.76203906879486e-73	1.93183109704929	0.923	0.574	1.26765668462112e-68
"Dntt"	4.09133219530748e-73	3.05044860629041	0.77	0.123	1.37861529653081e-68
"Cd3d"	2.7119417320135e-72	2.11754690922018	0.853	0.225	9.13815886019268e-68
"Ets1"	2.28364018256968e-71	1.71874777575492	0.953	0.495	7.69495395918679e-67
"Itk"	6.58033100330214e-69	1.97340131694572	0.839	0.216	2.21730833487269e-64
"Rmnd5a"	1.64419079559714e-67	2.20546787852078	0.838	0.358	5.54026530484413e-63
"Ramp1"	2.11573958972045e-67	1.89604611390702	0.813	0.23	7.12919612152201e-63
"Grap2"	9.90056110752567e-67	1.9241999752973	0.893	0.49	3.33609307079185e-62
"Nsg2"	2.932022369306e-65	2.19851553361123	0.726	0.074	9.87974257561348e-61
"Rag1"	1.33638284898332e-64	3.16230724560536	0.739	0.132	4.50307564793418e-60
"Abtb2"	3.24814237662496e-63	2.21437385520676	0.754	0.123	1.09449405522755e-58
"Cd3e"	6.67969574777072e-63	1.68493645861691	0.869	0.245	2.25079027916882e-58
"Cd4"	7.83640742318395e-63	2.02674943181695	0.794	0.176	2.64055584531606e-58
"Thy1"	2.33635874982355e-62	2.02075610635223	0.781	0.221	7.87259444340543e-58
"Sh2d1a"	1.08279437298715e-61	1.93408317386406	0.768	0.206	3.6485839192175e-57
"Lat"	1.29502705720272e-61	1.74837479747313	0.763	0.196	4.36372317195029e-57
"Zfp280d"	3.16008976541019e-60	1.87556828073294	0.837	0.422	1.06482384735262e-55
"Aqp11"	4.25493027005492e-60	2.35389732297209	0.672	0.044	1.43374130379771e-55
"Cd8a"	1.70651422696909e-59	2.27177345085504	0.756	0.191	5.75027033919503e-55
"Plxdc2"	4.12692764063249e-59	2.24373764063425	0.737	0.127	1.39060953778752e-54
"Mad1l1"	1.22879769107126e-58	2.27508484603774	0.749	0.221	4.14055669983373e-54
"Ap3s1"	1.77611160507712e-58	1.83660795391278	0.794	0.358	5.98478566446785e-54
"Cd27"	2.38203517513452e-58	1.80293948284938	0.786	0.255	8.02650572613328e-54
"Smc4"	2.46106252911312e-58	2.02973273861361	0.792	0.368	8.29279629809957e-54
"Cd3g"	1.1360120274601e-56	1.62201280162008	0.878	0.284	3.82790612772954e-52
"Hmgb1"	1.3435460875392e-56	1.72508607698131	0.937	0.833	4.52721289657209e-52
"Myb"	5.39396566828172e-56	2.0527449177364	0.718	0.167	1.81755067158421e-51
"A630014C17Rik"	9.89271743477334e-56	1.81960224672927	0.668	0.074	3.33345006682122e-51
"Hdac7"	1.61700264461317e-54	1.66980819903739	0.762	0.27	5.44865211128852e-50
"Ldhb"	2.64525663839563e-54	1.86651341663686	0.674	0.083	8.91345676873793e-50
"Slc9a9"	6.44481040994985e-54	1.7463818974861	0.944	0.549	2.1716433157367e-49
"Chrna9"	4.85548304252459e-53	2.18211726374081	0.646	0.059	1.63610356600909e-48
"Rasgrp1"	1.17069346428473e-52	1.65209694303047	0.784	0.304	3.94476869725384e-48
"Sh3kbp1"	1.25425703143597e-52	1.43405558010936	0.93	0.637	4.22634449312663e-48
"Rgcc"	1.7502904217333e-52	1.83088857239442	0.701	0.167	5.89777860507253e-48
"Nrip1"	2.06564248801256e-52	1.88221321379016	0.773	0.324	6.96038892760713e-48
"Trat1"	2.85310996122947e-52	1.87049899510603	0.678	0.127	9.61383932535882e-48
"Gm26936"	9.17144180236319e-52	2.2902283766299	0.662	0.093	3.0904090297243e-47
"Nfatc3"	2.8737370109802e-51	1.66483399016344	0.841	0.525	9.6833442321989e-47
"Xrcc6"	1.92437230427027e-50	1.8844944124508	0.712	0.255	6.48436491646909e-46
"Cbl"	2.6165585606546e-50	1.4336916737459	0.9	0.652	8.81675572598174e-46
"Sox4"	1.23218697488366e-49	1.82775800636944	0.673	0.123	4.15197723056797e-45
"Cnot2"	1.63868210264694e-49	1.43707113384973	0.85	0.574	5.52170321307914e-45
"Airn"	1.76539768005866e-49	1.9779764949925	0.672	0.127	5.94868402272565e-45
"Foxp1"	2.20324473363391e-49	1.41183345776435	0.966	0.701	7.42405345445281e-45
"Dnai4"	8.54652812021951e-49	2.00341121588169	0.631	0.078	2.87983811538917e-44
"Top2b"	2.51248064221501e-48	1.40180264760263	0.846	0.564	8.46605477200771e-44
"Aff3"	2.91588924112035e-48	1.50262262915868	0.927	0.51	9.82538038687912e-44
"Trbc1"	1.76165109172457e-47	3.09499402910235	0.71	0.265	5.93605951867513e-43
"Tnrc6b"	4.26436563958449e-47	1.31119571815824	0.938	0.672	1.43692064591439e-42
"Ablim1"	3.41739969564923e-46	1.35778335902604	0.881	0.456	1.15152700144597e-41
"Stat5b"	5.02622701193335e-46	1.51743231314808	0.803	0.451	1.69363745394106e-41
"Ntrk3"	6.41411517503568e-46	1.88687343836197	0.637	0.118	2.16130024938002e-41
"Itpr2"	8.34097178929906e-46	1.53862035839884	0.862	0.539	2.81057385412221e-41
"Runx1"	2.27129546486738e-45	1.58935644161869	0.836	0.495	7.65335719841714e-41
"Rbm39"	4.10025125054373e-45	0.953894656261932	0.964	0.77	1.38162066138322e-40
"Nck2"	1.10999951729877e-44	1.63760641736735	0.711	0.299	3.74025437348995e-40
"Prkcb"	1.46896182926107e-44	1.36472071059948	0.915	0.603	4.94981377987811e-40
"Endou"	1.97282313971563e-44	1.7644659180128	0.608	0.088	6.64762485158579e-40
"Ppm1h"	2.28411908070538e-44	1.57444437845308	0.869	0.48	7.69656765434483e-40
"Prrc2c"	3.51269817725509e-44	1.09172804587029	0.911	0.716	1.18363877780787e-39
"Cdk17"	2.35712843812484e-43	1.48686596336802	0.846	0.539	7.94257998510548e-39
"Nipbl"	2.90550098001601e-43	1.16239792734339	0.924	0.701	9.79037610226195e-39
"Trp53inp1"	3.08668310737336e-43	1.53718753495153	0.729	0.284	1.04008873986053e-38
"Tox"	5.60946988772925e-43	2.84978106410402	0.704	0.235	1.89016697336925e-38
"5330438D12Rik"	1.13337068364815e-42	1.67377181712513	0.754	0.426	3.81900585562081e-38
"Gmfg"	7.40746402611728e-42	1.45793860257061	0.811	0.559	2.49601907824048e-37
"Desi1"	1.03028838504933e-41	1.66901005182804	0.667	0.27	3.47165974226222e-37
"Ano6"	5.29544897836933e-41	1.6375885348772	0.726	0.353	1.78435448775133e-36
"Rorc"	7.07157906867121e-41	1.61902193650652	0.568	0.064	2.38283928297945e-36
"Atp10a"	4.07298895790795e-40	1.79611776368002	0.622	0.157	1.37243435925666e-35
"Tnik"	4.19661896720805e-40	1.71515516966518	0.685	0.225	1.41409272719042e-35
"Stx6"	7.9690496843685e-40	1.55808824008835	0.691	0.309	2.68525098164481e-35
"Khdrbs1"	9.93935149071178e-40	1.19427746277411	0.842	0.627	3.34916387831024e-35
"Arl5c"	1.18605318851178e-39	1.75076146602739	0.644	0.186	3.9965248240093e-35
"Hivep2"	1.8912562906348e-39	1.57986513330283	0.809	0.461	6.37277719692302e-35
"Zeb1"	2.47381864880194e-39	1.40245706740327	0.838	0.574	8.33577931900302e-35
"Spint2"	4.11294881771046e-39	1.38811884509138	0.682	0.304	1.38589923361572e-34
"Klf13"	5.72615310295074e-39	1.31749750777994	0.83	0.569	1.92948454957028e-34
"Malat1"	6.37903710250546e-39	0.923399054292628	1	0.902	2.14948034206024e-34
"Magi3"	1.15316802887966e-38	1.61743357734255	0.636	0.191	3.88571499011291e-34
"Cd28"	1.74979808882265e-38	1.66407833434552	0.661	0.216	5.89611964009681e-34
"Ets2"	2.14547309104382e-38	1.54833024119926	0.594	0.127	7.22938612758126e-34
"Septin1"	2.54217826174918e-38	1.19123930698923	0.758	0.392	8.56612387079002e-34
"Colq"	2.81251026028163e-38	1.79034782486962	0.551	0.083	9.47703457304497e-34
"Dgka"	2.90722060347238e-38	1.50490846327209	0.67	0.25	9.79617054546053e-34
"Chd1"	3.50427041568743e-38	1.3948968352162	0.729	0.422	1.18079895927004e-33
"Pan3"	4.30403699732438e-38	1.22729300817731	0.88	0.637	1.45028830661842e-33
"Usp3"	6.9813156356038e-38	1.39555643956244	0.782	0.48	2.35242411657306e-33
"Msi2"	8.52634140674477e-38	1.33466608183005	0.832	0.544	2.87303600041672e-33
"Rtn3"	5.39814325734815e-37	1.20964403671023	0.811	0.574	1.81895835199603e-32
"Atl2"	5.70794449377524e-37	1.46597143040266	0.653	0.255	1.9233489766225e-32
"Helz"	7.06745115078011e-37	1.34236577732347	0.724	0.417	2.38144833976687e-32
"Trac"	9.11688772062434e-37	1.53540654770194	0.665	0.196	3.07202648634158e-32
"Plcl1"	1.64944183083623e-36	1.76990950275052	0.649	0.196	5.55795919318578e-32
"Nebl"	2.84225331628088e-36	1.39927558541148	0.587	0.123	9.57725677454006e-32
"Mir142hg"	6.65437516901008e-36	1.01268838689829	0.956	0.716	2.24225825694964e-31
"Kremen1"	7.32331429757801e-36	1.56336547794031	0.559	0.127	2.46766398571189e-31
"Pten"	1.35134336101112e-35	1.15426483681231	0.834	0.623	4.55348658926308e-31
"Spacdr"	2.10688597251882e-35	1.00053358535284	0.818	0.632	7.09936297299942e-31
"Prkcq"	2.17985642311692e-35	1.32035417840418	0.732	0.24	7.34524420333476e-31
"Tespa1"	3.72811085103555e-35	1.33769659043194	0.757	0.392	1.25622423236494e-30
"F13a1"	3.94163824507612e-35	1.72114975108358	0.502	0.039	1.32817442306085e-30
"Paip2"	4.60439443604239e-35	1.02566264072109	0.801	0.588	1.55149674916884e-30
"Ptprc"	1.18354958662497e-34	0.851456759884113	0.99	0.799	3.98808868709151e-30
"Epb41"	1.38560595166215e-34	1.44590110515314	0.749	0.456	4.66893781472077e-30
"Ezr"	3.33764288590011e-34	1.13310136265764	0.758	0.549	1.1246521468329e-29
"Cyb5a"	7.61130504777691e-34	1.15590810549529	0.801	0.529	2.56470534889891e-29
"Edem1"	1.02086842857705e-33	1.07869340270086	0.737	0.412	3.43991825693322e-29
"Dnajc6"	1.48439803980531e-33	1.65670212193184	0.473	0.034	5.00182763492798e-29
"Xrn1"	3.27982161075567e-33	1.2807442358535	0.76	0.51	1.10516868996023e-28
"Rsrp1"	5.65932541665178e-33	0.959048135570826	0.927	0.76	1.90696629239498e-28
"Slc38a2"	2.44827477907967e-32	1.17225578221453	0.788	0.539	8.24970669558687e-28
"C1galt1"	2.52021021615989e-32	1.31544483760417	0.634	0.289	8.49210034437237e-28
"Osbpl8"	1.01921875210454e-31	1.0878672006314	0.818	0.564	3.43435950709145e-27
"Smg6"	1.11320048517666e-31	1.25387859038409	0.738	0.475	3.75104035485127e-27
"Bcl2l1"	1.4782669179736e-31	1.47995282719858	0.559	0.172	4.98116820680386e-27
"Gm16599"	1.02784052859522e-30	1.45291903646021	0.566	0.201	3.46341144515444e-26
"Dnah8"	1.07324411939033e-30	1.37398866707153	0.523	0.118	3.61640338469765e-26
"Mef2a"	1.07591697809537e-30	1.09059152858912	0.836	0.637	3.62540984939016e-26
"Tapt1"	1.29087428703675e-30	1.32399444161159	0.59	0.23	4.34972999759902e-26
"Ankrd11"	1.46054755911359e-30	0.928825284045589	0.892	0.691	4.92146105518917e-26
"Gsk3b"	3.35073519336331e-30	1.0841110745792	0.792	0.593	1.1290637307557e-25
"Hnrnpa2b1"	3.56049225881189e-30	0.72566633972333	0.933	0.838	1.19974347152925e-25
"Pip4k2a"	4.59347115916142e-30	1.00874598799596	0.928	0.681	1.54781604179103e-25
"Ikzf1"	6.64087027915743e-30	1.04146934978086	0.91	0.701	2.23770764926489e-25
"Ube2h"	7.12087055376033e-30	1.1941015066038	0.771	0.52	2.39944854179508e-25
"Cep97"	1.93168135451302e-29	1.2451078282823	0.586	0.216	6.50899349216706e-25
"Btg2"	7.27208135304974e-29	1.10340047586445	0.83	0.623	2.45040053272364e-24
"Kansl1l"	1.00688603862658e-28	1.42165249762804	0.673	0.368	3.39280319575611e-24
"Tle5"	1.40031369749247e-28	0.94767118372831	0.794	0.613	4.71849703507062e-24
"Atp13a3"	1.82883749133303e-28	1.05126042592562	0.667	0.382	6.16245081079578e-24
"Ezh2"	2.91641638039569e-28	1.40229708986919	0.598	0.279	9.82715663538132e-24
"Rag2"	3.26170148849865e-28	1.29780047984789	0.429	0.039	1.09906293356451e-23
"Tnrc6c"	3.47292154135101e-28	1.06031461387011	0.797	0.569	1.17023564257364e-23
"Stag1"	4.26670425963853e-28	0.989359843611294	0.834	0.667	1.4377086673278e-23
"Ldlrad4"	4.88120573075371e-28	1.3095659810919	0.732	0.451	1.64477108303477e-23
"Gm26930"	6.86811368507795e-28	1.25189731913879	0.431	0.039	2.31427958732387e-23
"Agfg2"	7.4656792814737e-28	1.37671927881954	0.551	0.186	2.51563529068538e-23
"Strbp"	1.12503642557584e-27	1.15609362674653	0.716	0.471	3.79092273962036e-23
"Arhgap45"	1.35697066667113e-27	0.919363026757666	0.861	0.603	4.57244835841504e-23
"Gtf2h4"	1.48781031625855e-27	1.35625977744817	0.514	0.147	5.01332564166482e-23
"Rcsd1"	1.59862645118117e-27	1.17778268607728	0.777	0.539	5.38673168990009e-23
"Cdca7"	7.22421980814988e-27	1.30367205382633	0.444	0.074	2.43427310655418e-22
"H2az2"	7.97321454820538e-27	1.187983406402	0.701	0.436	2.68665437416328e-22
"Ncor1"	1.46365284374099e-26	0.793098924966853	0.885	0.73	4.93192462226964e-22
"Cd96"	1.65474487886265e-26	1.09999777918872	0.564	0.176	5.57582834381557e-22
"Slco3a1"	1.75045839473063e-26	1.05698654865064	0.673	0.294	5.89834460688431e-22
"Arntl"	1.94092656580986e-26	1.2394462246975	0.567	0.23	6.54014615615289e-22
"Pag1"	2.03048824377857e-26	1.02825028152134	0.824	0.544	6.84193318623628e-22
"Rock1"	2.10988845142431e-26	0.944321161471827	0.849	0.662	7.10948012591935e-22
"Mgat5"	2.20571999887473e-26	1.14832262417777	0.733	0.466	7.43239410820829e-22
"Fubp1"	2.53185204566759e-26	0.959759405507188	0.764	0.603	8.53132865308151e-22
"Mbnl2"	2.6335639932932e-26	0.952781072574286	0.788	0.559	8.87405723180076e-22
"Abcc5"	3.78133809236367e-26	1.33031570320613	0.549	0.186	1.27415968360286e-21
"Lbr"	6.86739818689547e-26	1.13210443164667	0.635	0.358	2.3140384930563e-21
