""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Satb1"	8.07557703108601e-188	2.37275484983213	0.994	0.784	2.72114643639474e-183
"Gm4258"	5.82744588442379e-180	3.4115305775064	0.952	0.576	1.96361616521544e-175
"2610307P16Rik"	4.57745010228632e-168	2.85838831983915	0.901	0.241	1.5424175864664e-163
"Themis"	5.34630655514979e-161	2.52241001773528	0.984	0.693	1.80149145682327e-156
"Tcf7"	7.24837581796286e-161	1.91013753790605	0.955	0.706	2.44241271562077e-156
"Arpp21"	1.26849954906423e-159	3.7037943756407	0.844	0.173	4.27433608052682e-155
"Ssbp2"	1.34679076170835e-152	2.49664264606076	0.926	0.571	4.53814615065246e-148
"Glcci1"	1.90967051010778e-149	2.8907251830978	0.898	0.513	6.43482575085918e-145
"Camk4"	2.83712226317336e-145	2.26685068847743	0.959	0.622	9.55996717798895e-141
"Bcl11b"	9.84760018127985e-141	1.91991363468555	0.956	0.64	3.31824735708406e-136
"Tcf12"	1.51212153804169e-140	2.00101988773663	0.968	0.827	5.09524473458528e-136
"Dntt"	1.61566910494545e-134	2.94492825983633	0.776	0.18	5.44415861602419e-130
"Cux1"	1.51275319896149e-133	1.83147068868892	0.924	0.703	5.09737317922064e-129
"Znrf1"	2.27543444702164e-133	1.85108266663564	0.941	0.685	7.66730391268411e-129
"Cd4"	7.64661824696828e-128	2.19921286799879	0.801	0.173	2.57660448449843e-123
"Rag1"	5.52845532819668e-118	3.03427589231316	0.745	0.168	1.86286830738915e-113
"Mier1"	1.9905347672601e-117	1.99206089429336	0.922	0.759	6.70730595175965e-113
"Cd247"	1.08481303398278e-116	1.62830154735086	0.957	0.642	3.65538599930838e-112
"Slc9a9"	7.92249330301757e-110	1.9249406217964	0.944	0.741	2.6695633433848e-105
"Lck"	6.28013153976855e-108	1.38939115644873	0.951	0.675	2.11615312364041e-103
"Rmnd5a"	1.57299513973591e-107	1.97920055686487	0.838	0.553	5.30036442285413e-103
"Aqp11"	3.06274679396279e-107	2.24875350748738	0.678	0.089	1.0320231596937e-102
"Sh2d1a"	1.50272208080427e-100	1.85316898583257	0.771	0.358	5.06357232347808e-96
"Myb"	7.81283170661992e-98	1.97365349357703	0.722	0.239	2.63261177186265e-93
"Ccnd3"	8.82211395770374e-98	1.4694540145713	0.971	0.843	2.97269951918785e-93
"Plxdc2"	5.06177951387033e-97	2.11242610820485	0.741	0.249	1.70561722499375e-92
"Hmgb1"	1.52172979440404e-96	1.61605725666715	0.936	0.929	5.12762071522386e-92
"Ap3s1"	1.67708900527231e-95	1.66638935696464	0.795	0.508	5.65111911216557e-91
"Chrna9"	4.15470610358074e-94	2.110797715973	0.652	0.099	1.39996976866257e-89
"Trbc2"	1.82854864288591e-93	1.64672190473638	0.935	0.736	6.16147750706836e-89
"Ldhb"	5.63478664739726e-91	1.79843202148844	0.678	0.188	1.89869770870698e-86
"Mad1l1"	2.53330830222417e-90	2.03638799595314	0.752	0.363	8.53623565517455e-86
"Cbl"	5.36182778219328e-90	1.39208351387584	0.899	0.782	1.80672148948785e-85
"Endou"	1.73860925418225e-85	1.98697585192239	0.613	0.104	5.85841774289252e-81
"Ets1"	7.66272501690406e-85	1.18353083385819	0.952	0.754	2.58203182169599e-80
"Gm26936"	2.85984594257839e-84	2.23958247701355	0.665	0.206	9.63653688811216e-80
"Zfp280d"	8.98304998409373e-84	1.55546206083082	0.836	0.642	3.02692852264022e-79
"Xrcc6"	1.25496998293206e-83	1.77952743804216	0.714	0.381	4.22874685448786e-79
"Rhoh"	4.80773019858288e-80	1.26811847359668	0.88	0.713	1.62001276771449e-75
"Skap1"	4.08454645457901e-79	1.15822004940754	0.99	0.678	1.37632877333494e-74
"Rorc"	2.1283091562737e-78	1.65713012072768	0.574	0.071	7.17155053297985e-74
"Cnot2"	1.17633162774668e-77	1.3310257966444	0.85	0.708	3.96376705285522e-73
"Nebl"	2.64844261266632e-74	1.645878883265	0.592	0.124	8.92419222764045e-70
"Runx1"	4.31197706013196e-74	1.5146742674639	0.836	0.662	1.45296379018207e-69
"Dnai4"	5.48819655920933e-74	1.85700329928932	0.634	0.201	1.84930271259117e-69
"Hdac7"	3.36150372575407e-73	1.43056244045926	0.763	0.464	1.13269229543009e-68
"Nfatc3"	1.85840252986697e-71	1.38999773219286	0.84	0.703	6.26207316463974e-67
"Atl2"	2.5039035089246e-71	1.64797021372617	0.657	0.282	8.43715326367234e-67
"Nck2"	1.20952777850964e-70	1.47818723954226	0.713	0.409	4.07562480246608e-66
"Ccr9"	3.27824597445423e-70	1.48540974687123	0.832	0.599	1.1046377635521e-65
"Ntrk3"	5.30064518576947e-70	1.68578398536205	0.64	0.218	1.78610540179688e-65
"Desi1"	1.16863178122744e-69	1.58693939951787	0.669	0.36	3.93782165002397e-65
"Thy1"	5.0524293329331e-69	1.37350769995686	0.78	0.541	1.70246658802514e-64
"Prkcb"	5.8179128575805e-69	1.22783189976633	0.914	0.807	1.96040391649033e-64
"Rbm39"	2.22459704109971e-68	0.789147446478643	0.963	0.901	7.49600218968959e-64
"Itpr2"	2.07120715172624e-67	1.34154522191852	0.86	0.761	6.97913961845674e-63
"Nrip1"	3.65158298160552e-66	1.55185503577539	0.773	0.563	1.23043740148179e-61
"Malat1"	6.32442760775162e-66	0.816913962080126	0.999	0.954	2.13107912670799e-61
"A630014C17Rik"	8.62050147440812e-66	1.42423239921938	0.668	0.332	2.90476417681656e-61
"Nipbl"	2.59526712136527e-64	1.01521319355412	0.923	0.863	8.74501209215242e-60
"Trat1"	3.28270451881743e-64	1.46506609654255	0.679	0.33	1.10614011466072e-59
"Ramp1"	4.72593839010269e-64	1.14741939420566	0.81	0.629	1.592452199929e-59
"Trp53inp1"	5.34441968043183e-64	1.42656405164319	0.73	0.437	1.80085565551831e-59
"Ets2"	1.11651926700166e-63	1.52323631399245	0.597	0.201	3.76222332208879e-59
"Pan3"	1.80067454181131e-63	1.27905506741987	0.88	0.766	6.06755293608741e-59
