""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Cyp27a1"	0	0.198560217250046	0.102	0	0
"Pid1"	0	0.911951974087615	0.129	0.001	0
"Fcgr2b"	0	0.790109901385333	0.201	0.002	0
"Fcer1g"	0	2.42011028672254	0.279	0.013	0
"Ifi213"	0	0.917229372762542	0.459	0.04	0
"Ifi207"	0	0.609343534926858	0.152	0	0
"Ifi211"	0	0.546590462728533	0.135	0.001	0
"Batf3"	0	0.27500806610625	0.109	0	0
"Kynu"	0	0.945766503079568	0.211	0	0
"Spi1"	0	1.07504740620625	0.239	0.002	0
"Lmo2"	0	0.354082987922648	0.162	0.002	0
"Sirpa"	0	1.4382467470367	0.218	0.002	0
"Hck"	0	0.697964241793756	0.188	0.001	0
"Samhd1"	0	1.08860820398448	0.635	0.072	0
"Cd40"	0	0.30306214450065	0.107	0	0
"Ctss"	0	2.64359545503662	0.805	0.056	0
"S1pr1"	0	0.945290175580445	0.452	0.035	0
"Vcam1"	0	2.37148497956512	0.157	0.002	0
"Bcar3"	0	0.646542162468577	0.129	0.001	0
"Bank1"	0	2.0986602971324	0.175	0.003	0
"Lyn"	0	1.69773455573172	0.373	0.025	0
"Cd72"	0	0.650390182251194	0.284	0.009	0
"Pax5"	0	0.669454775400071	0.104	0	0
"Sdc3"	0	1.04160460624024	0.208	0.005	0
"Runx3"	0	1.41501260252493	0.688	0.083	0
"C1qb"	0	2.49621718186197	0.152	0.002	0
"C1qc"	0	2.48946872930017	0.152	0.002	0
"C1qa"	0	2.83950429682506	0.157	0.002	0
"Cdk14"	0	0.860159282149528	0.175	0.002	0
"Cd38"	0	0.77590483679362	0.178	0.003	0
"Ncf1"	0	0.419272051494597	0.254	0.005	0
"Irf5"	0	0.396601442623967	0.213	0.006	0
"Rassf4"	0	0.807357488493417	0.231	0.002	0
"Clec4n"	0	1.09849230115871	0.117	0	0
"Gm15987"	0	1.4552588372507	0.226	0.002	0
"Clec7a"	0	1.1846001573813	0.119	0.001	0
"Klrd1"	0	0.681177796866673	0.264	0.012	0
"Plbd1"	0	1.39884733594394	0.228	0.003	0
"Ptpro"	0	0.38961159338843	0.112	0	0
"Myadm"	0	0.348931082888761	0.124	0.001	0
"Tyrobp"	0	2.53502429346882	0.282	0.006	0
"Siglecg"	0	0.431677801905618	0.142	0.001	0
"Nkg7"	0	1.56620296556756	0.51	0.035	0
"Napsa"	0	0.98776695673684	0.251	0.003	0
"Fcgrt"	0	0.442913754186748	0.145	0.002	0
"Marchf1"	0	1.36170733693589	0.259	0.001	0
"Tbc1d9"	0	0.527378816665431	0.155	0.003	0
"Adgrg5"	0	0.306156175325157	0.213	0.005	0
"Jaml"	0	0.778405118008226	0.343	0.016	0
"Ctsh"	0	1.43595108222584	0.299	0.002	0
"Pkib"	0	0.68470880772092	0.198	0.003	0
"Lyz2"	0	3.73563958644356	0.213	0.006	0
"Plek"	0	0.893256702846857	0.259	0.005	0
"Adam19"	0	0.961550362811103	0.414	0.022	0
"Trim7"	0	0.300162487608648	0.114	0.001	0
"9930111J21Rik2"	0	0.887011636625549	0.536	0.051	0
"Cxcl16"	0	0.621682785133265	0.129	0.001	0
"Itgae"	0	1.40785694360702	0.525	0.041	0
"Wfdc17"	0	1.45298221042145	0.137	0.002	0
"Cd300a"	0	0.761920299054351	0.135	0	0
"Cd300c2"	0	0.764171139352581	0.147	0.001	0
"Ly86"	0	1.43930941324533	0.297	0.003	0
"Cd83"	0	0.638954734355118	0.157	0.002	0
"Tgfbi"	0	0.622512962967373	0.102	0	0
"Mef2c"	0	1.44679625636111	0.226	0.007	0
"Zfp366"	0	0.526112408237763	0.112	0	0
"Cd180"	0	0.760363306102288	0.211	0.002	0
"Dnase1l3"	0	0.560929905347264	0.109	0.001	0
"Wdfy4"	0	1.53508563405306	0.269	0.011	0
"Rnase6"	0	0.807976196318712	0.228	0.001	0
"Rubcnl"	0	0.242348178743106	0.152	0.002	0
"Csf2rb"	0	0.309889995192169	0.127	0	0
"Cyth4"	0	1.00294498215685	0.599	0.072	0
"Lrrk2"	0	0.630547692264111	0.16	0.002	0
"Ciita"	0	0.828929885427535	0.211	0.006	0
"Iglc3"	0	0.885969267737901	0.145	0.002	0
"Cd86"	0	0.960565830034459	0.279	0.008	0
"App"	0	0.601979763911529	0.213	0.006	0
"Snx9"	0	0.590181952538515	0.322	0.019	0
"Fgd2"	0	0.452200145486205	0.152	0.001	0
"H2-K1"	0	2.73764733377846	0.957	0.232	0
"H2-DMb2"	0	0.735072122375996	0.19	0.004	0
"H2-DMb1"	0	0.954268901595569	0.239	0.004	0
"H2-Aa"	0	4.19579853630402	0.343	0.009	0
"H2-Eb1"	0	4.00545885039183	0.325	0.007	0
"H2-Eb2"	0	0.36144963121482	0.117	0	0
"Aif1"	0	1.97292916283377	0.216	0.002	0
"H2-Q6"	0	0.535328261548841	0.299	0.014	0
"H2-Q7"	0	1.91527347529421	0.787	0.076	0
"Rasgrp3"	0	0.523873455899027	0.155	0.001	0
"Haao"	0	0.265528641978435	0.16	0.003	0
"Cd74"	0	5.08218668788952	0.404	0.031	0
"Smad7"	0	0.961120822757419	0.591	0.061	0
