	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
C77080	0.116840965501418	-0.859319787373239	0.064	0.126	1
Rab6b	1.48202833429161e-13	0.747428809202419	0.505	0.049	4.99384267522899e-09
Jun	0.000243490272804512	0.706390124723849	0.532	0.34	1
H1f5	0.580289764894583	0.653489005748705	0.358	0.398	1
Hnrnpa0	3.42083796403939e-10	0.602778698937309	0.927	0.913	1.15268556036271e-05
Gm10076	5.60778235592289e-07	-0.602602033928979	0.908	0.903	0.0188959834265178
Tshz2	0.0806080961743012	-0.586729274879254	0.404	0.515	1
Isg15	0.240200776079842	0.559024372259852	0.312	0.262	1
Auts2	0.265654949113088	0.556798364205208	0.257	0.204	1
Hmgb2	0.0543416644325548	-0.525757139140481	0.78	0.893	1
Zfp990	4.69500407457812e-11	-0.52492116910541	0.018	0.379	1.58202857296984e-06
H2ac8	0.19119270850812	0.514934387358362	0.358	0.301	1
Camk1d	0.000341060170833795	0.473435219314596	1	0.981	1
Tmtc2	0.140082977366285	0.462371498783832	0.349	0.272	1
Hs6st3	0.682506807608166	0.459406324526354	0.028	0.019	1
Ptpn11	0.460151871453239	-0.451762618980099	0.45	0.476	1
Cdkn1a	0.00218470339780366	-0.438200474973729	0.275	0.456	1
Gm47283	0.000402555612768315	0.429995615383346	0.862	0.709	1
L3mbtl3	0.00307649234451501	0.426335988386986	0.807	0.689	1
Zmynd8	7.56162833991818e-05	-0.424626364323559	0.752	0.913	1
Map2k4	7.20784957141885e-05	0.419777996752803	0.817	0.553	1
Ralgps1	0.0150416587100237	0.419774209569105	0.541	0.369	1
Gm16599	0.00715289621001302	0.404301475655247	0.853	0.748	1
Gramd4	0.0048214860878459	0.40398486378368	0.514	0.35	1
Celsr1	0.00157492510137182	0.399796444732167	0.413	0.243	1
Gm16337	0.139712623063458	0.399641058312767	0.642	0.612	1
Stard3nl	0.0317383375004428	-0.397233663731438	0.284	0.398	1
Nsg2	0.000955446517692688	-0.392775319216817	0.349	0.553	1
Pik3cd	0.0467904389481443	0.390196221896601	0.798	0.767	1
Unc5cl	0.217797929610462	0.389903262705614	0.514	0.466	1
Pde4b	0.00846335696223461	0.38088940154128	0.688	0.592	1
Umad1	0.001799871949419	0.379737277055411	0.486	0.272	1
Gtdc1	0.257229816873787	-0.376516849282752	0.303	0.359	1
Nsmaf	0.000832087542453623	-0.375768280197829	0.385	0.621	1
