	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rab6b	0	-0.690575427299789	0.008	0.221	0
Mir142hg	0	0.551482226634481	0.975	0.917	0
Gm56655	2.23503442565311e-273	-0.555681602585658	0.047	0.233	7.53117200068072e-269
Hnrnpa0	5.73034895430442e-219	-0.558686355200354	0.695	0.787	1.93089838364242e-214
Kif1b	3.55809774184396e-205	0.665022491387949	0.321	0.119	1.19893661509174e-200
Agtrap	2.38671745045462e-170	-0.449504657565328	0.084	0.239	8.04228312105189e-166
Gm43305	2.03441197002689e-146	0.524694702163805	0.238	0.084	6.85515457420261e-142
Cmss1	9.16597012826677e-130	-0.296807448316396	0.968	0.971	3.08856529442077e-125
Jun	1.94838981713607e-128	-0.470560668661446	0.055	0.17	6.56529432782171e-124
Rsrp1	3.64582633993293e-112	0.349643762622227	0.942	0.896	1.2284976435038e-107
Gphn	1.36787504588218e-99	-0.360563229455442	0.9	0.926	4.60919175460459e-95
Gm10076	5.91611154187286e-94	0.488721548993747	0.664	0.573	1.99349294514948e-89
Camk1d	5.17711976246502e-89	-0.40024461936402	0.956	0.976	1.74448227516021e-84
Srsf7	1.83412127115191e-78	0.304509252241616	0.8	0.709	6.18025503527349e-74
Gm19951	2.09579377352024e-68	-0.370330815192951	0.21	0.329	7.0619866992538e-64
2610035D17Rik	4.93275574693146e-67	-0.421537046954411	0.265	0.388	1.66214137648603e-62
Rps29	3.5415401756481e-64	0.29800192128748	0.884	0.859	1.19335737758639e-59
Rps27	3.7854252244103e-62	0.250508202545137	0.873	0.848	1.27553688361729e-57
Hspa8	8.28405648691492e-62	-0.397914050603575	0.74	0.776	2.79139567383085e-57
Slc15a2	1.64241815302258e-60	0.292458672837781	0.192	0.097	5.5342922084249e-56
Gm47283	5.54315087546035e-57	-0.359639011837008	0.402	0.51	1.86782011899512e-52
Zmynd8	2.06212974612865e-53	0.315507960923371	0.476	0.367	6.94855239255509e-49
H2ac6	2.59666266262463e-51	-0.317389170696576	0.114	0.194	8.74971450797994e-47
Rnaset2a	2.43387025531139e-40	-0.25163031639459	0.352	0.44	8.20116921229727e-36
Btg2	3.92409364489369e-40	0.262946676638859	0.845	0.792	1.32226259458338e-35
Rbm3	5.60325130213544e-40	0.29663390289282	0.705	0.645	1.88807155876756e-35
Rnf167	6.73141158576733e-40	0.254687792273425	0.503	0.408	2.26821644794016e-35
Lars2	8.70365977307106e-38	-0.2650979458524	0.723	0.781	2.93278519713403e-33
H2bc4	5.7763452195606e-20	-0.255827728258334	0.147	0.197	1.94639728518314e-15
Mllt3	2.60775631288279e-17	-0.258781893740748	0.632	0.676	8.78709567188985e-13
Tex14	6.03134891666627e-08	-0.329689899758736	0.222	0.256	0.00203232333095987
H2ac24	0.364588945025071	0.290038321171104	0.206	0.214	1
