	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
C2	0	1.07486515099762	1	0	0
Cenph	3.9230813938072e-50	0.457318288776461	0.483	0.111	1.32192150645727e-45
Nt5dc2	1.11207390462151e-48	0.370893599606577	0.448	0.099	3.74724422901264e-44
Odc1	4.06396027431755e-48	0.488960965507037	0.558	0.145	1.36939205403404e-43
Tmem97	1.33414747624128e-45	0.252173849390842	0.331	0.062	4.4955433359426e-41
Pclaf	1.88267945216962e-45	1.20002311311059	0.587	0.171	6.34387668203075e-41
Fabp5	2.13933662877631e-45	0.93457316612939	0.564	0.172	7.20870870432467e-41
Fignl1	2.58446061076602e-45	0.387713530485588	0.477	0.115	8.70859847403717e-41
Pole	3.07380488434327e-45	0.369145971190806	0.401	0.086	1.03574929382831e-40
Hells	2.63099903324215e-44	0.874548962421503	0.506	0.137	8.86541434241275e-40
Ccna2	1.76097685702695e-43	0.663398614055209	0.506	0.131	5.93378761743801e-39
Cdc6	5.04901122178259e-43	0.357444789876183	0.355	0.073	1.70131482129186e-38
Ppa1	7.69847410873635e-42	0.528747249873889	0.5	0.138	2.5940778356798e-37
Syce2	1.21473892639045e-41	0.401739589709515	0.413	0.098	4.09318428636525e-37
Chek1	2.76656363033733e-41	0.287107904201319	0.372	0.081	9.32221280878468e-37
Mcm10	2.77658427502048e-41	0.280295817575184	0.349	0.073	9.35597837310901e-37
Dhfr	6.44760099242581e-41	0.414331553242309	0.436	0.107	2.1725836304078e-36
Srm	1.58468608968496e-40	0.337301966674217	0.326	0.066	5.33975824780245e-36
Rad51ap1	3.02623491909289e-40	0.398467442757643	0.442	0.11	1.01972011833754e-35
Mcm3	3.20341135286238e-40	0.705484867965973	0.535	0.158	1.07942148946051e-35
Tacc3	5.9698374111282e-40	0.560097463877552	0.512	0.14	2.01159641405376e-35
Cenps	1.23337008181804e-39	0.270642082570358	0.407	0.096	4.15596382769407e-35
