	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
F2	0	1.08431257493892	0.941	0	0
Kif15	3.79955432044322e-31	1.03722232520379	0.588	0.144	1.28029782381655e-26
Tpx2	7.9475347484767e-31	1.16524560288035	0.576	0.141	2.67800130884671e-26
Pimreg	3.77228446521929e-30	0.444672993146178	0.376	0.065	1.27110897340029e-25
H3c3	4.80678604598751e-30	1.57188754958937	0.576	0.142	1.61969462605595e-25
Hmmr	1.284691847054e-29	1.13500132945562	0.518	0.12	4.32889764783315e-25
Knl1	1.85318517543665e-28	1.19606690598226	0.588	0.156	6.24449276715134e-24
Ccnb2	2.31813153489872e-28	1.161145880337	0.576	0.152	7.81117601999472e-24
Ncapg	1.18584286401644e-27	0.561698044924073	0.506	0.116	3.99581611458981e-23
Birc5	1.45701351644116e-27	1.36723154425104	0.588	0.162	4.90955274500014e-23
Mki67	2.13042745953254e-27	1.55730172680308	0.624	0.182	7.17868836764084e-23
Aspm	3.21416094649045e-27	0.924889158398798	0.459	0.105	1.08304367252942e-22
Bub1b	3.84427234587082e-27	0.817969176039738	0.553	0.142	1.29536600966463e-22
Ccna2	5.49575910459333e-27	0.957000275626987	0.529	0.133	1.85185098788377e-22
Cenpf	6.12633361664262e-27	1.45602937116415	0.565	0.151	2.0643293754639e-22
Ccnb1	1.29434307413965e-26	0.892261822189427	0.482	0.114	4.36141842262096e-22
Mad2l1	1.35882482081349e-26	0.552099132736826	0.541	0.138	4.57869611621313e-22
Ckap2l	1.54609931674114e-26	0.691680709080253	0.494	0.117	5.20973625769094e-22
Cdca8	1.90721961818003e-26	1.07125039878424	0.565	0.152	6.42656722541942e-22
Cenpe	3.3100908644122e-26	1.28706489130547	0.553	0.153	1.11536821767233e-21
Cdca3	3.764350189984e-26	1.01378889928547	0.541	0.142	1.26843544001701e-21
Depdc1a	4.47805605753289e-26	0.916606199601947	0.482	0.117	1.50892576914628e-21
Kif14	4.89692957287212e-26	0.664333121367963	0.424	0.093	1.65006938887499e-21
Tacc3	5.86528248883273e-26	0.843008242035153	0.541	0.141	1.97636558743708e-21
Kif11	1.32628036416921e-25	1.23676140055575	0.565	0.158	4.46903431510456e-21
Melk	1.81600939328468e-25	0.423733513873363	0.376	0.077	6.11922525161205e-21
Dlgap5	2.69382289945288e-25	0.730690994447259	0.518	0.133	9.07710564199643e-21
Cenph	4.73042184910904e-25	0.576654339406116	0.471	0.113	1.59396294627578e-20
Ube2c	5.00740541712255e-25	1.67037288195336	0.565	0.16	1.68729532935361e-20
Gm2296	6.59662740562653e-25	0.315491512836209	0.435	0.095	2.22279957059991e-20
Cenpk	6.9895130329949e-25	0.536871491994934	0.518	0.131	2.35518631159796e-20
Ttk	8.19673370782318e-25	0.550331847933845	0.4	0.087	2.7619713901881e-20
Shcbp1	1.1437882381244e-24	0.677297083223756	0.459	0.111	3.85410884718397e-20
Rrm2	1.83567200140487e-24	1.08562212831203	0.541	0.147	6.18548037593386e-20
Ckap2	3.09464499208179e-24	0.693384155474372	0.471	0.116	1.04277157653188e-19
Fignl1	3.2332983689776e-24	0.394588705397587	0.482	0.117	1.08949221841069e-19
Spc24	4.73760037731128e-24	0.986956686522471	0.529	0.149	1.59638182313881e-19
Fbxo5	8.93063148182868e-24	0.927538421223549	0.541	0.151	3.00926558411699e-19
Cip2a	9.0483981905551e-24	0.52916220728769	0.471	0.117	3.04894825428945e-19
Mxd3	1.00790023791777e-23	0.741413261833635	0.412	0.097	3.39622064168772e-19
Cdc20	1.24779448831614e-23	0.932244525282272	0.494	0.129	4.20456830783007e-19
Cks2	1.267617941349e-23	1.37493483720267	0.635	0.214	4.27136541516961e-19
Spc25	1.30905749409251e-23	0.822256542244621	0.471	0.119	4.41100013209413e-19
Diaph3	1.45798001384049e-23	1.05051700414341	0.565	0.166	4.91280945463691e-19
Cenpm	2.2194863546136e-23	0.35831993789016	0.424	0.097	7.47878122050599e-19
Neil3	3.02405047476024e-23	0.935833404826247	0.482	0.125	1.01898404797521e-18
Sgo2a	3.07662415411131e-23	0.738212844922874	0.435	0.108	1.03669927496935e-18
Aurkb	3.81608830955012e-23	0.782513247183629	0.447	0.112	1.28586911678601e-18
2700099C18Rik	4.96257535299626e-23	0.49208443167738	0.424	0.1	1.67218939094562e-18
Pclaf	5.49857735812445e-23	1.31798713371161	0.576	0.173	1.85280062659362e-18
Cenpw	5.83213809534477e-23	0.613253669134683	0.541	0.153	1.96519725260737e-18
Kif4	5.979571139533e-23	0.82361177009187	0.482	0.127	2.01487629117704e-18
Syce2	8.05463739837145e-23	0.410614298904838	0.424	0.099	2.71409061775524e-18
Bub1	8.18060202036624e-23	0.659719350612115	0.447	0.113	2.75653565678261e-18
Prc1	1.01634167718623e-22	1.33879850431376	0.529	0.158	3.4246649154467e-18
H2ac10	1.14743862872029e-22	0.922360110703708	0.435	0.106	3.8664092033359e-18
Pif1	1.21159730605232e-22	0.373151699741965	0.318	0.061	4.08259828247389e-18
Mis18bp1	1.31078567551638e-22	0.900276675180495	0.459	0.119	4.41682341221999e-18
Cep55	1.31541284724055e-22	0.580319352630428	0.424	0.104	4.43241513006175e-18
E2f8	1.34070221224666e-22	0.615874846822005	0.447	0.11	4.51763017438635e-18
Uhrf1	1.5723064329896e-22	0.782440367657082	0.588	0.178	5.29804375660177e-18
Racgap1	1.77506683837504e-22	0.771853453314393	0.518	0.146	5.98126521858854e-18
Cdk1	2.09889944665835e-22	1.04570582114101	0.506	0.141	7.07245157545996e-18
H2ac4	2.31279765459587e-22	1.56992863548821	0.541	0.162	7.79320297692625e-18
Kif20a	4.12546493131105e-22	0.408728845327906	0.4	0.094	1.39011666325457e-17
Ddah2	4.48955638655838e-22	0.314156093469267	0.412	0.094	1.51280092001471e-17
Ect2	1.0027809264482e-21	1.04251267833313	0.541	0.165	3.37897060975984e-17
Ndc80	1.32649437085186e-21	0.696133405748286	0.506	0.142	4.46975543202244e-17
H2bc14	1.35472368496105e-21	0.647628811448675	0.435	0.111	4.56487692884476e-17
Ncaph	1.49556699770548e-21	0.538043330740839	0.482	0.131	5.03946255546839e-17
D17H6S56E-5	2.32717319100495e-21	0.695181209218692	0.518	0.15	7.84164278441029e-17
Top2a	2.56743134712832e-21	1.6576798801805	0.588	0.2	8.6512166672836e-17
Nek2	2.73338660284212e-21	0.342027380278254	0.353	0.077	9.21041949693681e-17
Anln	3.67295155501261e-21	0.620369837010308	0.435	0.113	1.23763775597705e-16
Wee1	4.0766530257112e-21	0.31699629873667	0.424	0.103	1.37366900354364e-16
Asf1b	4.72190465202275e-21	0.624250147591043	0.471	0.129	1.59109299154559e-16
Nusap1	5.17743193054618e-21	1.47332999676286	0.482	0.14	1.74458746331684e-16
Prr11	6.31232761087424e-21	0.470334288877315	0.353	0.078	2.12700191176018e-16
Gm43434	6.79381494788335e-21	0.384082093596612	0.4	0.094	2.28924388483878e-16
H2bc18	1.08424142739719e-20	0.74568945606054	0.471	0.129	3.65345991375758e-16
Troap	1.28015738278927e-20	0.283098069411412	0.271	0.049	4.31361831704671e-16
Cit	1.44730815364909e-20	0.456736297137962	0.447	0.115	4.87684955453598e-16
Esco2	1.59807747652749e-20	0.694993673614873	0.412	0.104	5.38488186490703e-16
Clspn	2.21446507128586e-20	0.713739152233389	0.471	0.131	7.46186150420485e-16
2610318N02Rik	2.38571130546101e-20	0.455494631404285	0.388	0.093	8.03889281488141e-16
Cks1b	2.74519484463489e-20	0.907378193196507	0.612	0.211	9.25020854848172e-16
Cdin1	3.00707190503709e-20	0.481203767710333	0.482	0.133	1.0132629491213e-15
Rad54b	3.67655723943627e-20	0.38307588275056	0.365	0.085	1.23885272740044e-15
Zfp367	3.75519256012813e-20	0.459611189755397	0.482	0.131	1.26534968506078e-15
Rtkn2	3.83332306841089e-20	0.405573177673364	0.365	0.085	1.29167654113173e-15
Kif24	4.10943244548967e-20	0.441016138468255	0.447	0.117	1.3847143568322e-15
Spag5	4.49375594932345e-20	0.378840779751523	0.365	0.085	1.51421600468403e-15
Plk1	4.57648851011127e-20	0.655792898988638	0.388	0.098	1.54209356836709e-15
Kif18b	6.0599154537325e-20	0.421097864795401	0.353	0.082	2.0419491112897e-15
Fam111a	6.07866641056626e-20	0.537843931632808	0.482	0.137	2.04826743370441e-15
Kif20b	6.21593530161412e-20	0.68553780446262	0.529	0.162	2.09452155923189e-15
H3c7	7.11737937250655e-20	0.721520885958422	0.435	0.118	2.39827215335981e-15
Nucks1	7.62622817040802e-20	1.14490784129111	0.824	0.418	2.56973384430069e-15
Efcab11	1.01729173467589e-19	0.734128498020123	0.388	0.097	3.42786622916389e-15
Rrm1	1.06977683910537e-19	0.713449493229747	0.576	0.188	3.60472003704946e-15
Cenpa	1.30655864605564e-19	1.28296496020214	0.576	0.2	4.40258001374909e-15
Kif2c	1.49333039831485e-19	0.453113521878887	0.376	0.091	5.03192611016171e-15
Plk4	1.78849091260393e-19	0.475508880748192	0.482	0.14	6.02649897911021e-15
Cdc45	1.83307340625847e-19	0.326555890120788	0.412	0.105	6.17672414972854e-15
H2bc7	1.93836721483182e-19	0.313812763161254	0.376	0.089	6.53152216709729e-15
Ccdc18	2.70311705619067e-19	0.594921230837012	0.471	0.134	9.10842323254008e-15
H2bc3	2.72984258710448e-19	0.509942810522481	0.412	0.107	9.19847758150725e-15
Cenpp	3.44825050199616e-19	0.719754251284453	0.565	0.179	1.16192248915263e-14
Sgo1	3.74980539158818e-19	0.798236964360841	0.447	0.129	1.26353442474955e-14
H2ac18	4.03298416452593e-19	0.343136842594632	0.365	0.086	1.35895434407866e-14
Pbk	5.70095022493117e-19	0.633100718704526	0.424	0.115	1.92099218779281e-14
Stil	6.13887064386047e-19	0.417952202913331	0.4	0.103	2.06855385215522e-14
Sap30	6.83146218835756e-19	0.262477795651855	0.518	0.147	2.30192949898896e-14
Rad51ap1	8.16629806244017e-19	0.507038679622348	0.412	0.112	2.75171579511984e-14
Ccdc34	9.87346908144103e-19	0.719180500472883	0.576	0.192	3.32696414168237e-14
Cep89	1.05503883581013e-18	0.431728380095999	0.329	0.074	3.55505886114582e-14
Gmnn	1.06999958960745e-18	0.707014671999168	0.576	0.191	3.60547061714126e-14
Aurka	1.07149349703928e-18	0.723197462983588	0.412	0.114	3.61050448762357e-14
Depdc1b	1.18115886645855e-18	0.673237166681757	0.353	0.089	3.98003291641875e-14
Brca1	1.65422783635842e-18	0.468206398839652	0.412	0.107	5.57408611739332e-14
H2bc11	1.65612144455193e-18	0.706151878228738	0.447	0.129	5.58046681956219e-14
Eldr	1.93708031265042e-18	0.266242389020139	0.259	0.05	6.52718582150686e-14
Gins3	2.08953546677561e-18	0.286208903274478	0.365	0.089	7.04089870884711e-14
Ccnf	2.5603601548881e-18	0.70886136645581	0.412	0.111	8.62738957791094e-14
Ulbp1	2.69189870056034e-18	0.517518232858589	0.506	0.157	9.07062186140812e-14
Kif18a	2.76404410116377e-18	0.730082213501426	0.471	0.143	9.31372300328144e-14
Ppia	2.84707169800016e-18	0.995083411169088	0.988	0.87	9.59349279358134e-14
Tk1	3.72959089610759e-18	0.341439868081436	0.4	0.103	1.25672294835241e-13
