	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rab6b	1.28908680567574e-22	-0.556382118037512	0.015	0.214	4.34370690040496e-18
Hnrnpa0	8.85504077296532e-22	-0.65847402326218	0.767	0.903	2.98379453885839e-17
Gm56655	2.02669114368725e-17	-0.5210046500194	0.07	0.286	6.82913847776857e-13
Mir142hg	4.98402707346369e-17	0.620072787864254	0.992	0.977	1.67941776267433e-12
Gm43305	2.20110386550176e-15	0.657114471687972	0.389	0.133	7.41683958519474e-11
Agtrap	8.00990198886703e-15	-0.3913159194341	0.095	0.302	2.69901657416863e-10
Camk2b	1.14771803874898e-10	0.259323251096391	0.226	0.055	3.86735070336855e-06
Rsrp1	8.5266148345706e-09	0.366494350757113	0.973	0.935	0.000287312813465691
Rpl18	1.48098289241514e-08	-0.33885849825068	0.92	0.958	0.000499031995428204
Rpl19	4.03897433080243e-08	-0.302638322211262	0.935	0.961	0.00136097279050719
Uba52	1.92736620366142e-07	-0.362211420859517	0.731	0.831	0.00649445315985753
Kif1b	2.3931820557387e-07	0.395867584838505	0.378	0.208	0.00806406625501714
Hspa8	4.89610521205906e-07	-0.519818294206531	0.81	0.877	0.0164979161225542
Rpl8	5.65100410072221e-07	-0.311169762624951	0.918	0.958	0.0190416234177936
Rps6	7.186337986957e-07	-0.34617295329643	0.879	0.929	0.0242150844808503
Gm49912	1.33703848559252e-06	0.363525272242077	0.275	0.127	0.0450528488105255
Jun	1.59471347873519e-06	-0.326241540506426	0.095	0.208	0.0537354653794611
Pip4k2a	1.74005702813935e-06	0.336939138485197	0.962	0.935	0.0586329616201834
Gm2000	1.98695583096655e-06	-0.335805619205226	0.343	0.471	0.0669524636802487
Rps19	2.14857174870777e-06	-0.400311918247237	0.903	0.964	0.0723982736444571
Hsp90ab1	2.29439775165692e-06	-0.366466134314693	0.867	0.935	0.0773120266398314
Dad1	2.81535421290375e-06	-0.363657670042046	0.628	0.731	0.0948661755580047
Rps13	3.51194410751977e-06	-0.256844703321129	0.932	0.958	0.118338468646986
Rpl18a	4.72482027965508e-06	-0.270440251098661	0.915	0.958	0.159207544143258
Rpl10	4.96362660805198e-06	-0.337104650543101	0.854	0.912	0.167254362184919
Gm11808	5.53387523877478e-06	-0.260557738777768	0.376	0.5	0.186469460045755
