	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
C1qc	0	4.17373172987341	0.714	0.004	0
C1qa	0	4.12717204865966	0.667	0.005	0
C1qb	0	3.72916490674925	0.667	0.004	0
Mpeg1	0	3.42900255218471	0.714	0.007	0
Lpl	0	3.27476061910988	0.429	0.002	0
Clec7a	0	3.25029886286581	0.571	0.003	0
Lpcat2	0	2.77056004353921	0.667	0.005	0
Ccl12	0	2.60662508675428	0.238	0	0
C3	0	2.41094866700623	1	0.001	0
Ifi207	0	1.81908230831603	0.619	0.003	0
Tgfbi	0	1.77896852068955	0.429	0.002	0
Pla2g7	0	1.61441743068318	0.524	0.002	0
Itgb5	0	1.56398857581004	0.476	0.002	0
Fcgr3	0	1.3956510740968	0.476	0.002	0
Ly6i	0	1.26541389031309	0.333	0.001	0
Trem2	0	0.983071366598992	0.19	0	0
Msr1	0	0.831254122817299	0.286	0	0
Mmp2	0	0.503497927818186	0.19	0	0
Sirpd	0	0.361754778602668	0.19	0	0
Chil3	0	0.300446204311427	0.143	0	0
Wfdc17	9.31672284092795e-308	2.79243221551904	0.571	0.004	3.13936292847908e-303
Ms4a4a	1.65671719440465e-304	0.567485413984999	0.238	0.001	5.58247425826592e-300
Clec4a3	3.25088396463848e-299	2.17437929222913	0.381	0.002	1.09541786072458e-294
Klra2	8.52519878687416e-299	1.14568109099288	0.286	0.001	2.87265098322512e-294
Gm56663	1.63967286356697e-294	2.55098125353449	0.476	0.003	5.52504168107526e-290
Sirpb1c	1.60254055133231e-292	0.585278291634676	0.19	0	5.39992064176934e-288
Ifi204	1.23254938383321e-289	1.60192707441482	0.429	0.002	4.15319840376439e-285
Fcgr1	1.52467037096606e-285	0.717487462744507	0.286	0.001	5.13752928200724e-281
Igf1	2.49194109260264e-283	2.31934858354455	0.429	0.002	8.39684470563387e-279
Lyz2	2.27377182366739e-280	5.77009548225703	0.81	0.01	7.66170153702962e-276
Clec4n	6.1808553715912e-278	2.51879851181898	0.429	0.003	2.08270102601137e-273
Cxcl16	1.09100407001002e-271	1.72546226626662	0.476	0.003	3.67624731430577e-267
Pla2g2d	4.68979872221059e-271	2.2925451114926	0.381	0.002	1.58027457743608e-266
Sirpa	9.01487602552544e-270	2.73433654034702	0.619	0.006	3.03765262556105e-265
Cd300c2	6.9933166475231e-264	1.85532838642284	0.476	0.003	2.35646797754938e-259
Cd63	6.37813284447698e-263	3.191179309539	0.619	0.006	2.14917564327496e-258
Plxnb2	3.48291578325683e-259	0.843113412463142	0.381	0.002	1.17360330232622e-254
H2-M2	1.60826256182922e-252	1.50824190462841	0.286	0.001	5.41920152833973e-248
Vis1	1.90874487466071e-240	0.43228297131968	0.238	0.001	6.43170672965672e-236
Ltc4s	1.25520967352972e-235	1.04549579051829	0.143	0	4.22955451592575e-231
Gm57441	1.30748946000644e-235	0.321469481498183	0.143	0	4.40571648443771e-231
Pf4	1.36194460708134e-235	0.60612496771293	0.143	0	4.5892085480213e-231
Vcam1	9.17411223485622e-234	3.1635702693081	0.524	0.005	3.09130885865715e-229
Lilrb4b	1.96102128311267e-228	0.873212729215067	0.238	0.001	6.60785731557645e-224
Nupr1	3.57096493278556e-225	0.268669943799531	0.19	0.001	1.20327234375142e-220
Kcnj10	1.56734979809786e-217	0.996328576471128	0.238	0.001	5.28134187967056e-213
Gm35154	2.05653299536723e-217	0.548648361845169	0.238	0.001	6.92969358118943e-213
Cybb	4.31543743311762e-216	3.64869091252705	0.619	0.007	1.45412979746331e-211
Dnase1l3	1.1526068200753e-211	1.11379497079622	0.381	0.003	3.88382394092571e-207
Wdfy3	1.23364717662911e-210	1.13570210055057	0.429	0.003	4.15689752636946e-206
Ctsh	3.29690855484812e-210	2.67582865817297	0.619	0.008	1.11092630664162e-205
Il1rn	4.42185515616824e-209	0.547301479100571	0.19	0.001	1.48998831342245e-204
Zeb2os	8.65184350042638e-208	0.761846510170607	0.333	0.002	2.91532518590367e-203
Gas6	2.70413576793158e-206	1.60177267587764	0.143	0	9.11185588362225e-202
Aif1	1.89745508114336e-204	3.00270521522534	0.571	0.007	6.39366464142066e-200
Adgre1	5.7106046347707e-201	2.10316150358476	0.381	0.003	1.92424533773233e-196
Pilrb2	2.75121861735437e-195	0.68442167137294	0.19	0.001	9.27050625303728e-191
Cfb	1.53270282853521e-193	1.55760662020094	0.286	0.002	5.16459545103226e-189
C3ar1	1.73493138948246e-190	0.707099572069482	0.238	0.001	5.84602481000011e-186
Csf1r	3.70326063799823e-190	2.1646527979862	0.476	0.005	1.24785070457989e-185
