	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rab6b	0	-0.682173996582792	0.009	0.223	0
Mir142hg	0	0.547072214917407	0.975	0.921	0
Gm56655	1.22621174376623e-300	-0.549874839354581	0.048	0.236	4.13184309179468e-296
Hnrnpa0	2.67644622614615e-248	-0.563765393651632	0.705	0.796	9.01855320362206e-244
Kif1b	1.86920687418876e-218	0.646944628325972	0.327	0.125	6.29847948326643e-214
Agtrap	4.23612999804354e-188	-0.446938173618909	0.088	0.246	1.42740636414075e-183
Gm43305	5.55426684865838e-173	0.542779452757138	0.255	0.09	1.87156575732393e-168
Cmss1	3.22206112876733e-146	-0.300837423893423	0.97	0.973	1.08570571794944e-141
Jun	2.59568027750184e-138	-0.470006024430028	0.06	0.176	8.74640426307021e-134
Rsrp1	2.02943993688493e-118	0.344764477231555	0.944	0.899	6.83840081132745e-114
Gphn	2.12482083596769e-108	-0.358119991435776	0.904	0.929	7.15979628887674e-104
Gm10076	2.00247915387858e-106	0.494064124628303	0.678	0.59	6.74755375690928e-102
Camk1d	1.21521030432481e-98	-0.400535402838321	0.958	0.976	4.09477264145288e-94
Srsf7	2.58134320044945e-81	0.292211262023918	0.807	0.718	8.69809404823447e-77
Gm19951	2.59026159069938e-73	-0.365791992517324	0.216	0.334	8.72814545602064e-69
Rps29	5.63162736165748e-70	0.293366966596671	0.891	0.867	1.8976331557841e-65
2610035D17Rik	2.09865472829148e-69	-0.40835707711845	0.27	0.391	7.07162697245096e-65
Hspa8	1.61040908869092e-67	-0.39895322953705	0.748	0.785	5.42643446525293e-63
Slc15a2	2.33977535009845e-64	0.28236126624587	0.192	0.098	7.88410701969172e-60
Zmynd8	9.19617535499084e-60	0.314516298840358	0.486	0.374	3.09874324761771e-55
Gm47283	1.27390667297566e-58	-0.347525638661219	0.415	0.517	4.29255592525878e-54
H2ac6	5.23533845124996e-55	-0.319431976666306	0.123	0.204	1.76409964453319e-50
Rbm3	6.42223812917628e-46	0.302022829641285	0.716	0.656	2.16403736000724e-41
Rnaset2a	3.33731701835726e-43	-0.251679517778277	0.365	0.45	1.12454234250566e-38
Btg2	5.29937813443343e-43	0.260295793576995	0.849	0.796	1.78567845617869e-38
Lars2	9.23103011014737e-43	-0.259760667259052	0.73	0.787	3.11048790591526e-38
H2bc4	7.0204466040696e-20	-0.251694185402804	0.158	0.207	2.36560968770729e-15
Mllt3	3.85176253345114e-19	-0.257191055554308	0.639	0.682	1.2978899032717e-14
Tex14	6.53588603900915e-08	-0.323202961426279	0.227	0.26	0.00220233215970452
H4c4	2.66933918353133e-05	0.250271507520126	0.432	0.402	0.899460531282719
H2ac24	0.866964531538539	0.322477720831413	0.22	0.223	1
