	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Hnrnpa0	9.68732285551259e-23	-0.664982940617324	0.761	0.904	3.26424030939352e-18
Rab6b	5.74406097869984e-21	-0.554815013807193	0.012	0.205	1.9355187873827e-16
Mir142hg	1.42449642621926e-18	0.670027513509894	0.992	0.974	4.79998315778841e-14
Gm56655	1.34974639835263e-16	-0.488437039466056	0.062	0.274	4.54810546388901e-12
Agtrap	3.90753652559894e-13	-0.404145340916289	0.093	0.287	1.31668350766582e-08
Gm43305	2.63687712202239e-11	0.612802131941844	0.368	0.158	8.88522115036665e-07
Cmss1	1.04579192542182e-08	-0.285392019470341	0.979	1	0.000352390047190138
Rpl18	3.67454146821371e-08	-0.338635880417301	0.914	0.957	0.00123817349312929
Jun	4.76298848138544e-08	-0.377731729676049	0.088	0.221	0.00160493659868764
Rsrp1	9.00088971361676e-08	0.357782031299697	0.969	0.934	0.0030329397979003
Hspa8	1.95786213144287e-07	-0.532884304363544	0.792	0.881	0.00659721223810991
Uba52	2.368232422446e-07	-0.36690375665612	0.728	0.835	0.00797999597067403
Rpl19	4.05108592278979e-07	-0.286175769302264	0.928	0.96	0.0136505391254325
Gm11808	5.40837884646763e-07	-0.323017767358318	0.358	0.505	0.0182240733610573
Rps6	1.21137259349041e-06	-0.351335988755419	0.874	0.934	0.0408184109102529
Kif1b	1.67590356856743e-06	0.399775909039793	0.352	0.195	0.0564712466464481
Phpt1	1.84356908782953e-06	-0.281022423678568	0.224	0.37	0.0621209039835038
Rpl10	2.10018178613248e-06	-0.35162649326659	0.842	0.917	0.07076772546552
H2ac6	2.15726112600527e-06	-0.374409918703613	0.16	0.287	0.0726910709018735
Rps19	2.92362702947418e-06	-0.395343125937628	0.895	0.964	0.0985145363851618
Gm49912	3.01051722652451e-06	0.35405212889833	0.274	0.129	0.10144238846497
Rpl8	4.90709051652486e-06	-0.294904127206692	0.914	0.964	0.165349322044822
Hsp90ab1	5.81934877333428e-06	-0.365489940489403	0.862	0.934	0.196088776266272
Gm10076	6.58605324332236e-06	0.440843109201718	0.776	0.759	0.22192365008699
Rps13	8.97577212575068e-06	-0.253570988240259	0.93	0.96	0.302447617549295
Rpsa	9.85025625901105e-06	-0.366927828541919	0.881	0.95	0.331914234903636
Gm2000	1.10281815545454e-05	-0.284163144000118	0.337	0.465	0.371605605661961
Dad1	1.47424658984546e-05	-0.326201121846465	0.623	0.736	0.496762130914327
Rpl18a	1.60363231744377e-05	-0.267974551076939	0.909	0.96	0.540359945685852
