	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rab6b	6.33630691013903e-54	-0.535896924266914	0.01	0.239	2.13508197644045e-49
Hnrnpa0	7.15176719826069e-40	-0.551913045686922	0.813	0.902	2.40985947512592e-35
Gm56655	9.35152772070944e-32	-0.423916076209445	0.056	0.254	3.15109078077025e-27
Gm43305	7.07843874169434e-30	0.694514221936216	0.374	0.126	2.38515071840132e-25
Mir142hg	6.13636773221062e-29	0.561488229505192	0.994	0.973	2.06771047104569e-24
Agtrap	4.25453898020229e-25	-0.365158192462621	0.124	0.322	1.43360945476896e-20
Kif1b	5.66577405407581e-22	0.54028845424357	0.362	0.156	1.90913922526138e-17
Gphn	1.42755658656626e-18	-0.373604934232908	0.934	0.97	4.81029467409366e-14
Jun	8.98655376361616e-17	-0.402845241102234	0.086	0.223	3.0281091561881e-12
Gm10076	1.73794783026153e-16	0.488048476984675	0.809	0.744	5.85618900884926e-12
Cmss1	2.32511076035062e-16	-0.308771839391275	0.991	0.993	7.83469321807745e-12
Rsrp1	1.25837183754111e-15	0.371180891542115	0.979	0.948	4.24020974377854e-11
Gm49980	4.52766799211777e-13	0.267439558974938	0.254	0.113	1.525643006624e-08
Gm19951	2.52591042642583e-12	-0.286634212746365	0.25	0.407	8.51130777288448e-08
Camk1d	9.44335796950393e-12	-0.274322097202201	0.965	0.99	3.18203390140405e-07
mt-Nd3	7.97067934807672e-11	0.29242367678734	0.917	0.878	2.68580011312793e-06
Hspa8	2.36737271960836e-10	-0.378811626355284	0.831	0.89	7.97709911599233e-06
Srsf7	2.46533381110598e-10	0.251571331278455	0.881	0.829	8.3071888099027e-06
Rbm3	7.87500457255356e-10	0.375904834734297	0.846	0.789	2.65356154076765e-05
Gm11808	8.71899707104624e-10	-0.282307738146087	0.37	0.489	2.93795325305974e-05
Uba52	6.84058899534942e-08	-0.275561451181971	0.75	0.81	0.00230500486787294
Gm47283	2.28791474546088e-07	-0.34514181588026	0.497	0.591	0.007709357526305
H2ac6	4.57243717825455e-07	-0.27017991210155	0.195	0.294	0.0154072843158465
Mllt3	1.43995077118711e-05	-0.295043974507312	0.685	0.753	0.485205811859208
Btg2	2.65789207736995e-05	0.257106626051306	0.901	0.877	0.895603314390579
Ighm	0.420100493303281	0.692368243662762	0.607	0.633	1
Gm2682	0.0336411870833735	-0.562150501113152	0.077	0.105	1
Gm12840	0.010177123187812	-0.435993070604847	0.072	0.107	1
Il7r	0.236470210888504	-0.322820180223001	0.137	0.155	1
Tex14	0.0491329715792805	-0.311436982707128	0.282	0.318	1
AW112010	0.756098323587035	-0.303424577376733	0.185	0.189	1
Ms4a4b	0.0204087460870611	-0.292928289583578	0.16	0.201	1
Gm39323	0.00527601624720836	0.28426629682237	0.356	0.308	1
Gm49912	0.000843742505423207	0.269972942118025	0.225	0.162	1
H2ac24	0.697834951689729	0.268642782532628	0.33	0.349	1
Gm27230	0.000103659853071244	0.265567328077172	0.199	0.129	1
Ube2e2	0.0299873871215079	0.258935143365264	0.115	0.085	1
Socs1	0.000439631689775439	0.258301917336651	0.631	0.572	1
H2ac4	0.418067647992332	-0.257478254787727	0.252	0.262	1
Bcl2	0.266631267882036	-0.257188832271313	0.325	0.351	1
Ifi27l2a	0.0603098608475037	-0.255765932802065	0.136	0.168	1
Zmynd8	9.32396805849632e-05	0.255556115091678	0.522	0.446	1
H1f3	0.00610391827700323	-0.250618496742937	0.346	0.401	1
