	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
F10	0	1.54815131539721	0.308	0	0
C7	0	1.15566652090804	0.385	0	0
Fam20c	0	0.338027084934295	0.154	0	0
Abca9	4.45780242480492e-278	0.629347431688301	0.308	0.001	1.50210110506227e-273
Tnfaip2	1.45817443872218e-157	0.292157134044129	0.308	0.001	4.91346458871827e-153
C3	1.98182351765192e-157	0.291037667092231	0.308	0.001	6.67795252507992e-153
Gm13391	2.70798994091391e-148	0.449126094839942	0.231	0.001	9.1248429049035e-144
Vis1	1.31312440896957e-140	0.439841430270309	0.231	0.001	4.42470400846385e-136
Lilrb4b	1.76254672299126e-133	0.423837491069194	0.231	0.001	5.93907743779133e-129
Rnf217	2.70094573195436e-132	0.582795498514293	0.154	0	9.1011067383934e-128
Cebpa	5.87589871520614e-128	0.431913799131814	0.308	0.002	1.97994283107586e-123
Pik3r6	1.09108326077348e-121	0.615546264801038	0.308	0.002	3.67651415550232e-117
Spint1	1.41227646722458e-121	1.29048917424564	0.231	0.001	4.75880678395996e-117
Klra2	1.63532168556062e-121	0.847923804675315	0.231	0.001	5.51037995166505e-117
Clec4a3	2.19816450564483e-121	0.699937119162468	0.308	0.002	7.40693511822082e-117
Cd300ld	3.54209497648741e-119	1.85975366238014	0.154	0	1.1935443232772e-114
Clec7a	1.85763104482553e-117	2.05290509515533	0.385	0.003	6.25947356864412e-113
Fcgr1	2.58909775468256e-116	1.35718125036026	0.231	0.001	8.72422379417834e-112
Nlrp1c-ps	2.09664516472794e-111	0.2504425993855	0.231	0.001	7.06485554706728e-107
Tmem119	1.92277121023522e-108	0.34157382889012	0.154	0.001	6.47896987000861e-104
Tfec	2.33823373467026e-108	0.446558608316466	0.154	0.001	7.8789123923449e-104
Sh3pxd2b	3.81480680902844e-107	1.33878164236109	0.231	0.001	1.28543730237022e-102
Fgd4	4.11202107659767e-103	0.778457756079578	0.308	0.002	1.38558662197035e-98
Or5v1b	1.68096504109509e-99	0.566964108713373	0.154	0.001	5.66417980247403e-95
Batf3	1.09562695594886e-96	0.603407416988108	0.308	0.003	3.69182459076526e-92
Snx24	1.1552909353648e-95	1.02569036547836	0.231	0.001	3.89286833580522e-91
Slamf8	1.26466404997792e-95	0.364036645910859	0.231	0.001	4.26141198280561e-91
Cd33	2.53385590834123e-92	0.387022139801557	0.231	0.001	8.53808086874659e-88
Gm7644	3.06539153061995e-92	0.316709098977954	0.231	0.001	1.0329143301577e-87
Nupr1	6.06277095530977e-92	0.264677006611902	0.154	0.001	2.04291130110118e-87
Lilrb4a	1.16518277012819e-89	0.918060794510583	0.308	0.003	3.92619986222394e-85
Upp2	1.81722352211552e-86	0.313314073508451	0.231	0.002	6.12331638012047e-82
Gm44662	1.78587029900327e-85	0.352390929112889	0.154	0.001	6.01766855952141e-81
Rab7b	3.87059513822242e-81	0.434355970799086	0.231	0.002	1.30423573777543e-76
Ms4a4a	7.23607244861237e-80	0.41029124869045	0.154	0.001	2.43826697228443e-75
Creb5	5.54460743810417e-79	1.56319516508184	0.231	0.002	1.86831092234358e-74
Cfb	7.07457707442687e-79	0.572454367785049	0.231	0.002	2.38384949099888e-74
Adap2	9.86123287744513e-77	0.931870171227063	0.231	0.002	3.32284103038391e-72
Gm56663	1.15471374971559e-76	1.07410120918265	0.308	0.003	3.89092345104164e-72
Havcr2	1.83704035665542e-76	0.528742058440285	0.308	0.003	6.19009118578611e-72
Rnf180	2.36712776743807e-75	0.569799785927922	0.308	0.003	7.97627372515931e-71
Stab1	6.82083728561304e-75	0.329079179214744	0.154	0.001	2.29834933176017e-70
Myadm	3.93645230106629e-74	0.320561529775404	0.308	0.003	1.3264269673673e-69
Shtn1	7.35771306179462e-71	0.686121838636312	0.308	0.004	2.47925499330232e-66
P2ry6	1.10919930660451e-70	0.391609153400912	0.231	0.002	3.73755798353456e-66
Ccl9	1.44857450821564e-70	0.469216075095917	0.154	0.001	4.88111666288343e-66
Abcd2	1.55716617084129e-70	0.259663956775342	0.154	0.001	5.24702712926682e-66
Camk1	7.09808522380749e-70	0.783446642001745	0.385	0.006	2.39177079701417e-65
Pid1	7.13534291202893e-69	1.30440719877618	0.308	0.004	2.40432514763727e-64
Tlr4	8.79411272906788e-69	0.381117386928114	0.231	0.002	2.96326422518671e-64
Cd300c2	1.03557231963843e-68	0.606773092115528	0.308	0.004	3.48946448825366e-64
Naip6	4.15673926986013e-67	0.274250016108969	0.231	0.002	1.40065486437207e-62
Pla2g7	4.40255426257614e-67	0.657315775125341	0.231	0.002	1.48348468431765e-62
Rtn1	1.43940034836746e-65	0.565683000415294	0.231	0.002	4.85020341385898e-61
Sirpa	3.22499826420364e-65	2.15590779609064	0.385	0.006	1.08669541510606e-60
Ccr1	3.21245227021753e-63	0.399929893072511	0.154	0.001	1.0824679169725e-58
Gda	3.48281589469278e-63	0.332861705588163	0.154	0.001	1.17356964387568e-58
Zeb2os	1.59850580579322e-62	0.413630847157135	0.231	0.002	5.38632516320083e-58
F11r	3.45832494620854e-61	0.462827667251813	0.231	0.002	1.16531717387443e-56
Cttnbp2nl	4.08769369189217e-61	0.26213635417695	0.231	0.002	1.37738926641998e-56
Nlrp3	3.49137560235968e-60	0.304593556739404	0.154	0.001	1.17645392297112e-55
Tgfbi	7.37970044516496e-60	1.19107562150342	0.231	0.002	2.48666386200278e-55
Aif1	7.81283573941865e-58	1.82342849239329	0.385	0.007	2.63261313075451e-53
Ptpro	2.25298312643804e-57	0.6130749805583	0.231	0.002	7.59165194284561e-53
Gm34084	2.46694613843233e-57	0.319973818746678	0.154	0.001	8.31262170806159e-53
Gm35154	2.57758660179114e-57	1.85895719353774	0.154	0.001	8.68543581339544e-53
Fcgr3	4.1301990725688e-57	0.394173175093598	0.231	0.002	1.39171187949278e-52
Tnfrsf11a	4.80718675130803e-56	0.421945893033457	0.231	0.003	1.61982964772075e-51
Wfdc17	7.72478423990897e-56	0.939557188090419	0.308	0.005	2.60294329747972e-51
Fes	1.14807713708592e-54	0.368696864739689	0.308	0.005	3.86856072112472e-50
Itgb5	7.47331385066665e-54	0.715390831704331	0.231	0.003	2.51820783512063e-49
Ppfia4	9.9795222335781e-54	0.270876007805937	0.231	0.003	3.36269981182648e-49
Ifi204	4.74158470451199e-53	1.3396816189568	0.231	0.003	1.59772438203236e-48
Sulf2	5.87785202772178e-53	0.682209420577327	0.308	0.005	1.98060101926113e-48
Itpripl2	7.329911225734e-53	0.382895184481487	0.308	0.005	2.46988688662333e-48
Cmklr1	2.0320073812344e-52	0.326065184624507	0.154	0.001	6.84705207180744e-48
C1qb	2.66880094375855e-52	2.72259746070415	0.308	0.005	8.99279166008882e-48
Gatm	5.89127957378886e-52	0.736787582394322	0.231	0.003	1.98512556518389e-47
Aoah	8.09824200498189e-52	0.37273661551803	0.231	0.003	2.7287836259987e-47
Tbxas1	3.10911613414455e-51	0.671742136930292	0.308	0.005	1.04764777256135e-46
Vcam1	1.24030390760618e-50	2.03212356308976	0.308	0.005	4.17932804706978e-46
C3ar1	2.86012384818517e-50	0.251433725120026	0.154	0.001	9.63747331884476e-46
Csf1r	6.36781004154834e-50	1.39108058634186	0.308	0.005	2.14569727160013e-45
Cdc42bpb	6.55915774009112e-50	0.273979489756429	0.231	0.003	2.2101737921011e-45
Dab2	2.22836580362e-48	0.768389913524816	0.154	0.001	7.50870141187795e-44
Mgl2	2.64643568679165e-48	1.29433971426366	0.154	0.001	8.91742969021316e-44
Rab3il1	2.77962443825756e-48	0.282838681459182	0.154	0.001	9.36622250715267e-44
Lpcat2	2.78181635821847e-48	1.56313918980638	0.308	0.005	9.37360840065296e-44
Tppp3	2.91948370236979e-48	0.252111243781568	0.154	0.001	9.83749228350525e-44
Cdk14	2.29141072263707e-47	1.31930622010996	0.308	0.006	7.72113757099787e-43
H2-M2	1.90116178153328e-46	0.47456438778862	0.154	0.001	6.40615473905454e-42
Amz1	2.15676802448584e-45	0.475291185057838	0.308	0.006	7.26744553530747e-41
Sowahc	4.86790582460143e-45	0.312460915795856	0.231	0.003	1.6402895466577e-40
Dock1	9.11327247682577e-44	0.493643969679713	0.231	0.003	3.07080829379121e-39
Tmem51	1.18126876196537e-43	0.600012037508819	0.231	0.003	3.9804032203185e-39
Mertk	7.9874049672812e-42	1.55125686826316	0.154	0.002	2.69143597777507e-37
Mgst1	1.01874329956384e-41	0.318464535774706	0.154	0.002	3.4327574222103e-37
Ifi207	3.53826942071544e-41	1.30076563867356	0.231	0.004	1.19225526400428e-36
Trpm2	1.9383261569665e-40	0.449398153148141	0.154	0.002	6.53138381851434e-36
Cxcl16	2.00441523429732e-40	0.961703403322517	0.231	0.004	6.75407757348826e-36
Ifi205	2.28277707345283e-40	0.451929709551144	0.154	0.002	7.69204562670667e-36
Clec4a1	3.12687938377253e-40	0.342431060624923	0.231	0.004	1.05363327715599e-35
Lyz2	1.10047023831972e-39	4.75242758303901	0.385	0.01	3.70814451504212e-35
Wdfy3	1.17660379116284e-38	0.485735887598388	0.231	0.004	3.96468413470231e-34
Rassf4	1.40194446478902e-38	1.38869451148237	0.308	0.007	4.72399206855309e-34
Kcnk13	1.36989344788867e-37	0.854851286680585	0.231	0.004	4.61599296200568e-33
Fgd2	1.63697268187813e-37	0.363851836163433	0.231	0.004	5.51594314885653e-33
Marchf1	1.76938315125934e-37	1.08835625463803	0.308	0.007	5.96211346648346e-33
Spi1	2.46515157746817e-37	1.12829355604799	0.308	0.007	8.30657475543676e-33
Ms4a6d	2.52457557422111e-37	0.749794158078122	0.308	0.007	8.50680985489546e-33
Ptafr	6.84095909224709e-37	0.651073820245042	0.154	0.002	2.30512957572358e-32
Pld1	7.57759986531537e-37	0.490465771821088	0.154	0.002	2.55334805061667e-32
Mpeg1	9.60871481758358e-37	1.53842288925228	0.308	0.007	3.23775254493296e-32
Apba1	3.52519338836891e-36	0.675937432380866	0.231	0.004	1.18784916414479e-31
Clmp	9.03662713795971e-36	0.281026323326796	0.154	0.002	3.0449818804069e-31
Tyrobp	3.10744294375606e-35	2.50848884377201	0.385	0.012	1.04708397432804e-30
Grk3	6.46710184831407e-35	0.634185893390543	0.308	0.008	2.17915463880791e-30
Emilin2	7.71662697711882e-35	0.551983057232544	0.154	0.002	2.60019462620996e-30
Clec4a2	9.77570964424115e-35	0.373894756006461	0.154	0.002	3.2940231217235e-30
Plbd1	6.12261021917205e-34	1.29328112025362	0.308	0.008	2.06307473945221e-29
Flt1	6.9981184610034e-34	0.591450165587608	0.154	0.002	2.3580859966197e-29
Tnfsf12	7.30264529916532e-34	0.384749235069529	0.154	0.002	2.46069936000675e-29
Gpr141	7.62033170010141e-34	0.548761768097994	0.154	0.002	2.56774696966617e-29
Cybb	9.59468813389667e-34	2.14501204261426	0.308	0.008	3.23302611359782e-29
Hpse	3.75807673731557e-33	0.527336874847348	0.231	0.004	1.26632153740586e-28
