	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
H1f5	0.342432396228214	3.36784388820062	0.545	0.25	1
H2ac24	0.0892750744194387	3.35116898250093	0.5	0	1
Akt3	0.425177590970868	-3.2867606451254	0.5	0.5	1
H2ac8	0.113690903757054	3.23287914982232	0.455	0	1
Stmn1	0.0924354778479702	3.21722807664132	0.682	0.25	1
Dnajc6	0.0242923860655241	-2.98397906675275	0.364	0.75	1
Pabpc1	0.0104702151541334	2.8133013473398	0.818	0	1
Cyp4f18	0.16645921519188	-2.79883454037669	0.045	0.25	1
H2az1	0.0787390518994483	2.68894027714636	0.818	0.25	1
Hmgb2	0.267780991632314	2.68720052590294	0.818	0.5	1
Scai	0.698993020215032	-2.65706168861944	0.5	0.25	1
Pclaf	0.143019891682676	2.63876063118452	0.409	0	1
Gm36723	0.0251814644044597	-2.6007112804464	0	0.25	1
Gapt	0.0251814644044597	-2.6007112804464	0	0.25	1
Lgals1	0.039636563900387	2.59767199886346	0.636	0	1
Foxo3	0.0852813084043627	-2.55509507678412	0.5	0.75	1
Fam210b	0.16645921519188	-2.53687440533436	0.045	0.25	1
Tuba1b	0.0691563987082217	2.53169390334333	0.545	0	1
Gbe1	0.0921472323521321	-2.51291998008663	0.182	0.5	1
Hnrnpa1	0.0150516892351222	2.50097404452718	0.773	0	1
Nubpl	0.336879463667468	-2.48453841764107	0.091	0.25	1
Snd1	0.260651512805178	-2.48358360077366	0.636	0.75	1
Tmsb10	0.188522489010486	2.47803273846778	0.909	1	1
Rbm3	0.0093662719701802	2.47319759701998	0.909	0.5	1
Rps2	0.0381367016112015	2.44626415998857	0.864	0.25	1
Zdhhc14	0.00103837601207309	-2.42877128980568	0.318	1	1
Acss1	0.112300029762745	-2.42380746268154	0.182	0.5	1
Orc3	0.0013700718405568	-2.42254273970823	0.318	1	1
Mlxip	0.642111594640719	-2.4016741421231	0.182	0.25	1
Katnip	0.0328275727361515	-2.39396590081694	0.273	0.75	1
Kmt5b	0.00998711103011653	-2.34651276910978	0.591	1	1
Egln2	0.207623970198656	-2.33797030499357	0.273	0.5	1
Ptpn12	0.113690903757054	2.33545885539842	0.455	0	1
Itm2a	0.177970226323902	2.3238484113489	0.364	0	1
Mad1l1	0.00179971853745994	-2.31833868164628	0.682	1	1
Hmgn2	0.155154925980266	2.31282664088001	0.591	0.25	1
Traf2	0.177970226323902	-2.29789398823441	0.273	0.5	1
5830418P13Rik	0.224917071479809	-2.29612448216531	0.318	0.5	1
Mrpl1	0.350888334867971	-2.29302133435435	0.364	0.5	1
Phtf1	0.373807312292447	-2.28360969329183	0.455	0.5	1
Lrrc8d	0.116137486047278	-2.27777623208118	0.5	0.75	1
Kremen1	0.000953811126924587	-2.26938815145971	0.409	1	1
Spindoc	0.277339485331945	-2.25868071847545	0.273	0.5	1
