	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
F2	0	0.726678260347688	1	0.004	0
Kif18b	6.86849480799809e-30	0.949013622926077	0.875	0.083	2.31440801050304e-25
Gm10184	3.33825117844704e-29	0.384341158555426	0.562	0.036	1.12485711708951e-24
Hspa2	6.07868690904461e-28	0.296978252250017	0.375	0.017	2.04827434087167e-23
H3c10	8.2704447512731e-28	0.349818408209073	0.625	0.045	2.78680906338898e-23
Troap	5.01854439607379e-26	0.69566784096819	0.625	0.05	1.69104871970102e-21
Zfp599	4.84317676159451e-25	0.429649527636429	0.562	0.041	1.63195684158689e-20
Ttk	5.37604933119455e-25	1.06760175155867	0.812	0.088	1.81151358263932e-20
H4c6	7.24522961614053e-25	0.334394302914809	0.438	0.026	2.44135257145471e-20
Ccnb1	7.79925486615178e-25	1.56202135146621	0.938	0.115	2.6280369196985e-20
Aspm	2.85819780662847e-24	1.64022630555279	0.875	0.106	9.63098332921528e-20
Hmmr	7.31987432045668e-24	1.68892800178613	0.938	0.121	2.46650485102108e-19
Prr11	1.44457198740338e-23	0.887616228573491	0.75	0.079	4.86762976875444e-19
Aurkb	2.66609416448789e-23	1.5471014767955	0.875	0.113	8.9836708966584e-19
Pimreg	2.78761976887258e-23	0.810708465989305	0.688	0.066	9.39316357319306e-19
Kifc5b	4.88418338696482e-23	0.394842775602498	0.75	0.073	1.64577443407167e-18
H2bc13	6.01757672160516e-23	0.635483422129903	0.625	0.056	2.02768265211208e-18
LTO1	1.11676262713988e-22	0.51364805864456	0.938	0.109	3.76304334841053e-18
Ska3	2.25644148534908e-22	0.522800259467065	0.75	0.078	7.60330522903224e-18
H2ac7	3.39507242495772e-22	0.56738245883146	0.625	0.057	1.14400360431375e-17
Plk1	3.81571459216959e-22	1.18902599403112	0.812	0.099	1.28574318897747e-17
Mxd3	5.05544508674695e-22	1.19749827325717	0.812	0.098	1.70348277643025e-17
Depdc1a	6.71305313295383e-22	1.58117119354542	0.875	0.118	2.26203038368012e-17
Ska1	9.88480817173166e-22	0.732344132541381	0.812	0.096	3.3307849615467e-17
Nusap1	1.06846615433825e-21	2.32081260670517	0.938	0.141	3.60030355365816e-17
Fancd2	1.51065997199127e-21	0.613982038523542	0.688	0.071	5.09031984162177e-17
Ckap2l	2.03323904885054e-21	1.34520848168557	0.875	0.118	6.85120229900679e-17
Mis18bp1	3.19596377471994e-21	1.5372290363599	0.875	0.12	1.07691195352963e-16
Tpx2	8.60960658225314e-21	1.85870982682144	0.938	0.142	2.90109303395602e-16
Cdk1	1.0914506733878e-20	1.77327996073459	0.938	0.143	3.67775218904753e-16
Cip2a	1.26983157487628e-20	0.927512939994333	0.875	0.118	4.2788244747031e-16
Cep55	1.48855241664272e-20	0.98675528218783	0.812	0.105	5.0158262231193e-16
Gas2l3	3.18483277012342e-20	0.98156176088222	0.625	0.065	1.07316125022079e-15
Tuba1c	4.77330310929831e-20	1.73001676999075	0.875	0.124	1.60841221570916e-15
Parpbp	5.49963005340189e-20	0.919576323751898	0.75	0.089	1.8531553427943e-15
H3c3	5.74162144448853e-20	2.24443682463717	0.938	0.144	1.93469676193486e-15
Sgo2a	6.27319235736938e-20	1.276050743354	0.812	0.109	2.11381489673919e-15
Cenpf	8.7658720597631e-20	2.44921126941898	0.938	0.153	2.95374824925777e-15
Cdca8	1.02948951735615e-19	1.81640785522974	0.938	0.153	3.4689678776833e-15
Cdc20	1.79674308906757e-19	1.67457583126611	0.875	0.13	6.0543055129221e-15
Psrc1	1.82999531465927e-19	0.55012634844837	0.5	0.043	6.16635221227589e-15
Shcbp1	2.06468156323231e-19	1.12384666946124	0.812	0.112	6.95715099546759e-15
Knl1	2.20590395536812e-19	1.97737102806865	0.938	0.157	7.43301396800841e-15
Racgap1	3.25407075215609e-19	1.29979393108859	0.938	0.147	1.09649168064652e-14
Ube2c	3.27507337948186e-19	2.72977924329414	0.938	0.161	1.10356872595021e-14
Anln	3.47732449073908e-19	1.26812654979437	0.812	0.114	1.17171926039944e-14
Kif4	4.15522741479021e-19	1.28258540423474	0.875	0.128	1.40014542968771e-14
Nuf2	4.17037872182974e-19	0.870152137444216	0.75	0.097	1.40525081410775e-14
Ccna2	4.99380070657264e-19	1.51288104299056	0.875	0.134	1.68271108608672e-14
Melk	6.21021659102657e-19	0.527584242486182	0.688	0.078	2.09259458251231e-14
Kif11	6.72369308617268e-19	1.94046621568199	0.938	0.159	2.26561562231675e-14
Kif20a	7.17966640083965e-19	0.792444666529748	0.75	0.094	2.41926039042693e-14
Ccnb2	9.4796142733592e-19	1.96297871467004	0.938	0.153	3.19425082555112e-14
Aurka	1.17890162526437e-18	1.32522056508963	0.812	0.115	3.97242691649082e-14
Cenpe	1.69706133097342e-18	1.68472234192363	0.938	0.154	5.71841786084804e-14
Gtse1	3.94996858104876e-18	0.464966519778436	0.562	0.057	1.33098141307019e-13
H2bc11	4.04813702794909e-18	1.1136018295952	0.875	0.13	1.36406025293772e-13
Kif20b	5.50959373735677e-18	1.38974374775263	0.938	0.163	1.85651270573974e-13
Ncaph	6.86678169780195e-18	0.899691370475573	0.875	0.132	2.31383076089135e-13
Kpna2	7.42980553155949e-18	1.23653158527749	0.812	0.122	2.50354727191429e-13
Ncapg	8.06370067875935e-18	0.955771673912672	0.812	0.117	2.71714458071475e-13
Birc5	1.03215585790083e-17	1.93719164800616	0.938	0.163	3.47795237878262e-13
Arhgap19	1.13662838166614e-17	0.751645211610925	0.75	0.1	3.82998299486221e-13
Bub1b	1.15563884170983e-17	1.26454261370293	0.875	0.143	3.89404064102543e-13
Rtkn2	1.26067581025144e-17	0.668874259059036	0.688	0.086	4.24797321022326e-13
Cdca3	1.26990406105053e-17	1.50770572633823	0.875	0.143	4.27906872411586e-13
Depdc1b	1.59970593719989e-17	1.16646953334418	0.688	0.089	5.39036912598874e-13
Spc24	1.92687267188212e-17	1.57012046558259	0.875	0.15	6.49279015517398e-13
Tacc3	2.17382262210228e-17	1.50697062517361	0.875	0.143	7.32491270743583e-13
Spag5	2.25631390437101e-17	0.807226076899246	0.688	0.086	7.60287533216856e-13
Kif18a	2.28869190147381e-17	1.30386784766636	0.875	0.144	7.71197623120617e-13
Cit	2.82182003774899e-17	0.745565027423462	0.812	0.116	9.508404799199e-13
Kif24	3.97111142007617e-17	0.745166551071595	0.812	0.118	1.33810570410886e-12
Spc25	4.23097465001206e-17	1.08402684807475	0.812	0.12	1.42566921806806e-12
Prc1	4.40996029620723e-17	2.07211713609865	0.875	0.159	1.48598022140999e-12
Knstrn	8.17364667664513e-17	1.09370013654763	0.875	0.145	2.75419198416234e-12
Kif15	9.86074882050156e-17	1.43669526618447	0.875	0.146	3.3226779225562e-12
Fam83d	9.90000779072627e-17	0.271059257970842	0.562	0.058	3.33590662516312e-12
Mki67	1.02466383385285e-16	2.26441806796422	0.938	0.184	3.45270725455057e-12
Gale	1.11420942915517e-16	0.464854170583836	0.5	0.049	3.75444009248125e-12
Kif2c	2.24862224208943e-16	0.749404599716661	0.688	0.092	7.57695750694455e-12
Chek2	2.34116540512828e-16	0.552987449543653	0.75	0.104	7.88879094912026e-12
Kif14	2.38927300816584e-16	0.996288368885074	0.688	0.094	8.05089432831561e-12
Cenpw	2.50572539833237e-16	1.04659866030667	0.875	0.154	8.44329230222076e-12
2610318N02Rik	2.7233079918771e-16	1.06782201062068	0.688	0.094	9.17645860942908e-12
Ndc80	3.01001826344129e-16	1.0177633683526	0.875	0.143	1.01425575404918e-11
Gm20628	3.44045037815899e-16	0.325473793669777	0.438	0.039	1.15929415942445e-11
Bub1	4.03047011731631e-16	1.13457645155169	0.75	0.114	1.35810721073091e-11
Nek2	4.17332222163396e-16	0.573318763443501	0.625	0.078	1.40624265580178e-11
H3c2	4.36430992130309e-16	0.927560562258752	0.688	0.095	1.47059787108229e-11
Cenpa	4.43665285529189e-16	2.06460720570612	1	0.201	1.49497454611916e-11
Dlgap5	5.96533062779952e-16	1.31008962088639	0.812	0.134	2.01007780834333e-11
Rrm2	8.18732821925113e-16	1.49143581085985	0.875	0.148	2.75880211675886e-11
Mad2l1	1.35296571968624e-15	0.951316092531468	0.812	0.139	4.55895328905474e-11
Efcab11	1.49429160404431e-15	1.32225239857396	0.688	0.098	5.03516498898770e-11
Fbxo5	1.52919863898041e-15	1.27254788773776	0.875	0.152	5.15278773390839e-11
H2bc18	1.91633336442977e-15	1.07513378561864	0.812	0.13	6.45727690478254e-11
H2bc14	2.09067158640062e-15	0.82772895924232	0.75	0.112	7.04472697753553e-11
H2ac4	2.41255130284772e-15	2.02832160034217	0.875	0.163	8.12933287007567e-11
Asf1b	3.07851666041798e-15	0.865051007406027	0.812	0.13	1.03733697389444e-10
Arhgap11a	3.14589304009453e-15	1.07371670893696	0.812	0.136	1.06004011879025e-10
Ulbp1	3.53715043758303e-15	0.943473656605836	0.875	0.158	1.19187821144798e-10
Sdk1	4.50515177702555e-15	1.3913888599862	0.438	0.044	1.51805594278653e-10
