	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
F8	0	1.64168623635139	0.996	0.001	0
Cenpa	2.07330637017355e-15	0.551002154490693	0.402	0.199	6.98621314493678e-11
Ccnb1	1.36441594156078e-14	0.36025464047172	0.273	0.114	4.5975359566832e-10
Uhrf1	1.57667269223142e-14	0.377131655784085	0.373	0.178	5.31275630374299e-10
Plac8	2.44714880557821e-14	0.468426669842317	0.165	0.053	8.24591261527634e-10
Diaph3	1.01765123349943e-13	0.493576320447978	0.345	0.165	3.42907759639968e-09
Nucks1	1.13264529448946e-13	0.631942151912226	0.635	0.417	3.81656158431168e-09
Ccnb2	1.25317824154714e-13	0.501002983794637	0.321	0.151	4.22270940271724e-09
Gzma	1.64725246855387e-13	0.449804004756074	0.329	0.153	5.55058191803913e-09
Knstrn	3.18894084759168e-13	0.274609250429108	0.309	0.143	1.07454550800449e-08
Zfp704	3.62932743445558e-13	0.312891705729711	0.418	0.219	1.22293817231415e-08
Spc24	7.78394307143029e-13	0.358336777814101	0.317	0.148	2.62287745734915e-08
Rrm1	9.45148827275612e-13	0.25135388411352	0.382	0.187	3.1847734883879e-08
Aspm	1.15939377861318e-12	0.29563343449587	0.245	0.105	3.90669327641496e-08
Dlgap5	1.59887095991669e-12	0.38083338981657	0.285	0.133	5.38755558653527e-08
Nap1l1	1.83133077574097e-12	0.460019485274304	0.635	0.404	6.17085218193676e-08
Cenpe	2.92406567886884e-12	0.600574778464166	0.313	0.153	9.85293171151644e-08
Cdc20	3.27281511765974e-12	0.412525832501014	0.277	0.129	1.10280778204663e-07
Bub1b	3.85072426779106e-12	0.3089206044476	0.301	0.141	1.29754004927488e-07
Rad51b	4.46506752850952e-12	0.31373294096259	0.273	0.124	1.50454915440657e-07
Lockd	8.51855884973564e-12	0.56578210767489	0.442	0.245	2.87041359000692e-07
Cenpp	1.17411920474019e-11	0.36339445555529	0.353	0.178	3.95631207229254e-07
Rpl23a	1.20495265089587e-11	0.392171128993713	0.928	0.809	4.06020845245874e-07
Cks1b	1.20639693807499e-11	0.474997266791139	0.382	0.211	4.06507512253749e-07
Anp32e	1.55323937415661e-11	0.491850965594078	0.755	0.567	5.23379539515812e-07
Hmgn5	1.85175261078309e-11	0.315116802252042	0.394	0.211	6.23966559729469e-07
Racgap1	1.91088759754539e-11	0.28189537730546	0.305	0.146	6.43892684868894e-07
Clspn	1.96562638357433e-11	0.270053039693217	0.281	0.13	6.62337466209206e-07
Tpx2	2.12221789768934e-11	0.456492488547234	0.293	0.141	7.151025428054e-07
Top2a	2.22880143326011e-11	0.659454675621133	0.378	0.2	7.51016930951325e-07
Smarcb1	2.38071257475154e-11	0.273484118106812	0.486	0.277	8.0220490918828e-07
H2ax	2.39388285959181e-11	0.570632044053261	0.47	0.27	8.06642768368057e-07
Pclaf	4.5198209231685e-11	0.452948301040865	0.341	0.173	1.52299885827086e-06
Tmem256	5.07578901715503e-11	0.251683137714663	0.466	0.265	1.71033786722056e-06
Malat1	9.50911139666153e-11	-0.325883682567262	0.996	0.999	3.20419017621907e-06
Cdca3	1.13023856309725e-10	0.354100938754437	0.289	0.142	3.80845186221251e-06
Gria3	1.17702118723752e-10	0.41612576849142	0.153	0.056	3.96609059251555e-06
Siva1	1.19626623031161e-10	0.271769938844636	0.386	0.207	4.03093868965799e-06
Myl10	1.42065000839542e-10	0.360666619094467	0.237	0.106	4.78702226828919e-06
Cks2	2.04582933003928e-10	0.496157525232939	0.386	0.214	6.89362651050037e-06
Snrpf	3.47096671881179e-10	0.404272547336329	0.815	0.62	1.16957694557082e-05
Birc5	3.53179664506847e-10	0.491795793979407	0.313	0.162	1.19007419752227e-05
Trdc	3.71691616214338e-10	0.287911295558929	0.337	0.179	1.25245206999583e-05
Ran	5.23673156307128e-10	0.420479697403004	0.731	0.527	1.7645690674925e-05
Lgals1	5.26836505334624e-10	0.421793582037375	0.667	0.47	1.77522828837555e-05
Sgo1	5.46750444324279e-10	0.263956023179106	0.265	0.129	1.84233029719509e-05
Hells	6.1131886978425e-10	0.361944332838668	0.277	0.139	2.05990006362501e-05
Mki67	7.627854017095e-10	0.68855599731005	0.333	0.182	2.57028168960033e-05
Knl1	8.65873809694808e-10	0.391271628553923	0.301	0.156	2.91764838914762e-05
Hint1	8.85705638907505e-10	0.387737583578481	0.602	0.4	2.98447372086273e-05
Mcm6	1.07117393180927e-09	0.327304260149599	0.369	0.206	3.60942768062453e-05
Ube2c	1.0755684133242e-09	0.71588010870069	0.301	0.16	3.62423532553723e-05
Ccdc18	1.13485592367298e-09	0.310364184886263	0.265	0.134	3.82401052040847e-05
Cdk1	1.23438847542848e-09	0.370412111340373	0.281	0.141	4.15939540680382e-05
Ppp1r14b	1.3139659107594e-09	0.336619704106472	0.835	0.642	4.42753953289487e-05
Cdca8	1.3326474729397e-09	0.354477261277459	0.297	0.152	4.49048892481761e-05
Hsp90b1	1.5178498182667e-09	0.61801417399224	0.643	0.444	5.11454674763149e-05
Rpl3	2.19329246021569e-09	0.436283858684186	0.88	0.73	7.39051827394278e-05
Crip1	2.60814566502521e-09	0.670760248809915	0.679	0.508	8.78840763286896e-05
Nusap1	2.6335135302016e-09	0.450572102463553	0.277	0.14	8.8738871913673e-05
Rps5	2.65242831814847e-09	0.348163276414859	0.924	0.807	8.93762246083309e-05
Rpl39	2.8511388558384e-09	0.336631103713096	0.94	0.835	9.60719748863308e-05
H2ac4	3.26070502998167e-09	0.388901441595412	0.309	0.162	0.000109872716690262
Incenp	3.63996658691733e-09	0.308119499768538	0.317	0.173	0.000122652314112766
Prc1	3.92663993513964e-09	0.447948081735373	0.297	0.158	0.000132312059254465
Rplp2	3.99281755580595e-09	0.304570888827534	0.944	0.86	0.000134541980360437
Selenoh	4.97679034102357e-09	0.282908737228363	0.43	0.258	0.00016769792733113
Rpl31	5.13738603398572e-09	0.311684972689006	0.888	0.747	0.000173109359801183
Ect2	5.582003380156e-09	0.358032548192297	0.305	0.164	0.000188091185897737
Prickle1	5.58508633630255e-09	0.256358651374195	0.462	0.275	0.000188195069188051
Rpl4	6.21413215270936e-09	0.319964012259308	0.871	0.724	0.000209391397017695
Mns1	7.85175356947338e-09	0.363224392262302	0.61	0.395	0.000264572688276975
Kif18a	7.97217524165374e-09	0.283839135639988	0.273	0.143	0.000268630416942765
Ezh2	8.17354197597356e-09	0.287751061446125	0.795	0.592	0.000275415670422405
Rps20	8.48870393919365e-09	0.336527058238593	0.964	0.858	0.000286035367935069
Atp5g2	9.00591098020604e-09	0.303822287685897	0.771	0.577	0.000303463176389023
Kif20b	9.60322550940453e-09	0.290873313336133	0.301	0.162	0.000323590286764895
Kpna2	1.03537874413759e-08	0.267898805607576	0.241	0.121	0.000348881221624603
Dut	1.04008658689536e-08	0.446451096320165	0.57	0.391	0.000350467576320261
H2ac10	1.07283996147246e-08	0.252931401785871	0.225	0.106	0.000361504153417759
Spc25	1.10285435578853e-08	0.275462446290058	0.241	0.119	0.000371617803726504
Rpl35	1.33405066276809e-08	0.333854674209263	0.92	0.77	0.000449521711326336
Kif11	1.49272288397553e-08	0.461600314847009	0.293	0.158	0.000502987902984394
Hmgn2	1.62288684266377e-08	0.527261964707583	0.598	0.432	0.000546847950503986
H2ac22	1.69144712551544e-08	0.328715702956387	0.305	0.163	0.000569950023413683
Cdk4	1.73414216241203e-08	0.250615207747755	0.454	0.275	0.000584336543046359
Rps29	1.80268146496624e-08	0.261550406042891	0.948	0.88	0.000607431546435025
Rpl28	1.9595814761293e-08	0.30738846424051	0.952	0.866	0.00066030057419653
Rpl32	2.06887832901256e-08	0.325117031098127	0.964	0.866	0.000697129241744073
Rpl22l1	2.49648664204542e-08	0.301609863341837	0.755	0.549	0.000841216138903623
