	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rab6b	0	-0.686903515933959	0.009	0.225	0
Mir142hg	0	0.549516444315766	0.979	0.924	0
Gm56655	2.44520119342392e-299	-0.554866560622823	0.048	0.237	8.23934994136124e-295
Hnrnpa0	2.37180068331634e-249	-0.563928482334715	0.707	0.797	7.99201958250274e-245
Kif1b	3.8600228666961e-218	0.650879632831444	0.326	0.123	1.30067330516192e-213
Agtrap	1.35718710785249e-188	-0.451634534404049	0.088	0.248	4.57317767861975e-184
Gm43305	5.49640379381437e-169	0.53827644001149	0.253	0.09	1.85206822236369e-164
Cmss1	1.80668371625329e-144	-0.303362932063304	0.97	0.973	6.08780145028708e-140
Jun	4.56488933055811e-139	-0.472079024624537	0.058	0.174	1.53818510882486e-134
Rsrp1	5.26651502031917e-119	0.346049444648758	0.946	0.901	1.77460490124675e-114
Gphn	2.81691172817903e-108	-0.360449467400143	0.904	0.928	9.49186575927206e-104
Gm10076	2.61104086731806e-105	0.494550052112272	0.676	0.588	8.79816330651494e-101
Camk1d	3.59428876550389e-98	-0.399960660564491	0.958	0.977	1.21113154242419e-93
Srsf7	2.90609334235094e-80	0.291435142051175	0.809	0.72	9.79237212638572e-76
Gm19951	6.10533031129853e-73	-0.368997267808143	0.215	0.333	2.05725210169515e-68
Rps29	5.42338438589129e-70	0.293555391048096	0.89	0.867	1.82746360266993e-65
2610035D17Rik	2.27588279639948e-69	-0.411871488868306	0.27	0.392	7.66881467074768e-65
Hspa8	1.62715294409256e-66	-0.401995835206434	0.748	0.783	5.48285456041428e-62
Slc15a2	8.02852583711824e-65	0.286123494254574	0.193	0.097	2.70529206607536e-60
Zmynd8	2.05173343799518e-59	0.314637022339651	0.485	0.372	6.91352099266856e-55
Gm47283	3.19122366014675e-58	-0.349227475418278	0.415	0.517	1.07531472452305e-53
H2ac6	3.37631667980776e-55	-0.322049240732243	0.124	0.206	1.13768366842802e-50
Rbm3	1.79365476687952e-45	0.301912342657643	0.716	0.655	6.04389910247721e-41
Btg2	3.51594375227764e-43	0.260158344780121	0.851	0.799	1.18473240676747e-38
Rnaset2a	5.22208685084093e-43	-0.253034226934435	0.363	0.45	1.75963438525936e-38
Lars2	5.34726644675868e-43	-0.259227668181467	0.729	0.786	1.80181490189981e-38
H2bc4	3.5886167655449e-20	-0.255608624513288	0.158	0.207	1.20922030531801e-15
Mllt3	5.25924050840779e-19	-0.257845657634661	0.641	0.684	1.77215368171309e-14
Tex14	6.63474736273277e-08	-0.324030669248267	0.228	0.26	0.00223564447134643
H2ac24	0.850003697155807	0.321254458491177	0.221	0.225	1
