	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cd74	0	-5.88805592473444	0.032	0.647	0
H2-Aa	0	-5.0306107492401	0.009	0.613	0
H2-Eb1	0	-4.81426314484262	0.008	0.583	0
H2-Ab1	0	-4.71936635720067	0.027	0.603	0
Lyz2	0	-4.65573036094533	0.006	0.397	0
C1qa	0	-3.76294829249271	0.002	0.299	0
Fcer1g	0	-3.45238461632049	0.012	0.623	0
Tyrobp	0	-3.37828657935701	0.006	0.525	0
C1qb	0	-3.3765238869423	0.002	0.279	0
C1qc	0	-3.33875608039903	0.002	0.284	0
Ctss	0	-3.29044143431031	0.065	0.76	0
Vcam1	0	-3.17288927057488	0.002	0.279	0
Lgals3	0	-3.07272870059529	0.017	0.539	0
Ifi30	0	-2.96178067896505	0.038	0.696	0
Bank1	0	-2.88909335966128	0.003	0.309	0
Aif1	0	-2.73351269886683	0.003	0.387	0
S100a6	0	-2.60391435385174	0.023	0.48	0
Iglc2	0	-2.44608425835809	0.002	0.265	0
Lyn	0	-2.40044386535079	0.025	0.676	0
Irf8	0	-2.34451560756725	0.027	0.5	0
Cd63	0	-2.33596797365685	0.004	0.255	0
Cybb	0	-2.29055667418522	0.003	0.471	0
Mpeg1	0	-2.28913662263582	0.002	0.456	0
Sirpa	0	-2.26829366593193	0.002	0.402	0
Cd79a	0	-2.19384043441114	0.004	0.245	0
Slc40a1	0	-2.16962010062221	0.001	0.186	0
Mef2c	0	-2.12768636410486	0.007	0.426	0
Ctsh	0	-2.12510842569644	0.002	0.525	0
Wfdc17	0	-2.12225652972026	0.002	0.235	0
Wdfy4	0	-2.0948841378694	0.011	0.485	0
Gm15987	0	-2.07931042907111	0.002	0.397	0
Lgmn	0	-2.04836166062408	0.01	0.333	0
Ly86	0	-2.03675256447511	0.004	0.51	0
Marchf1	0	-1.97263119536965	0.002	0.451	0
Plbd1	0	-1.96114787080889	0.003	0.402	0
Unc93b1	0	-1.94235609903235	0.017	0.578	0
Hpgd	0	-1.85101760252486	0.001	0.172	0
Trf	0	-1.81097938456178	0.006	0.294	0
Clec7a	0	-1.80148680776802	0.001	0.221	0
Sdc3	0	-1.78002363626298	0.006	0.348	0
Grn	0	-1.77620632093366	0.019	0.417	0
Igf1	0	-1.72741241114903	0.001	0.176	0
Ms4a1	0	-1.6694527313615	0.001	0.225	0
Spi1	0	-1.64644666316225	0.002	0.426	0
Clec4n	0	-1.64271365685837	0.001	0.201	0
Cd68	0	-1.59598467234503	0.01	0.363	0
Plek	0	-1.58500445733252	0.004	0.544	0
Mrc1	0	-1.56223387506281	0.001	0.162	0
Tmem163	0	-1.53839100593147	0.008	0.324	0
Lpl	0	-1.49364566688565	0.001	0.152	0
Iglc3	0	-1.47948939656276	0.002	0.265	0
H2-DMb1	0	-1.47798866288644	0.005	0.397	0
Napsa	0	-1.45779078475878	0.003	0.436	0
Myo1e	0	-1.44146460793401	0.013	0.358	0
Bcl11a	0	-1.43405219155635	0.007	0.328	0
Lpcat2	0	-1.42294799755778	0.003	0.26	0
Ms4a7	0	-1.41009601295444	0.001	0.172	0
Entpd1	0	-1.40209353846369	0.01	0.431	0
Pid1	0	-1.37254022715973	0.002	0.196	0
Kynu	0	-1.37152204618066	0.001	0.358	0
Pik3ap1	0	-1.37098622642171	0.008	0.456	0
Cd86	0	-1.33296655629674	0.01	0.373	0
Cd300a	0	-1.31432625090058	0	0.25	0
Slamf7	0	-1.30336673429764	0.009	0.407	0
Ear2	0	-1.29732550573888	0	0.127	0
Adgre1	0	-1.28105885209922	0.001	0.191	0
Setbp1	0	-1.26648447886874	0.007	0.294	0
Fcgr2b	0	-1.26407729962909	0.002	0.377	0
Rnase6	0	-1.25765494052368	0.002	0.397	0
Rassf4	0	-1.24981237116555	0.003	0.392	0
Plcg2	0	-1.24943928679121	0.015	0.441	0
Cd300c2	0	-1.24823736368404	0.001	0.265	0
Ciita	0	-1.2377449522066	0.006	0.368	0
Il18	0	-1.20653901704979	0.002	0.221	0
Cd38	0	-1.20257358516832	0.004	0.294	0
Cdk14	0	-1.20172576340534	0.002	0.289	0
Mt1	0	-1.19310680479597	0.002	0.211	0
Cd180	0	-1.18767279662732	0.002	0.363	0
Hck	0	-1.17152124950287	0.001	0.324	0
Gm30211	0	-1.15264759041502	0.002	0.206	0
Tgfbi	0	-1.14147083036678	0	0.181	0
Pkib	0	-1.13845301538943	0.004	0.314	0
H2-DMb2	0	-1.11964187769952	0.004	0.309	0
Pla2g7	0	-1.09724132499423	0	0.157	0
Pax5	0	-1.09045342307754	0	0.196	0
Fcgr3	0	-1.07932963769278	0.001	0.181	0
Csf1r	0	-1.05798300447416	0.003	0.206	0
Cd83	0	-1.05043394218227	0.003	0.25	0
Bcar3	0	-1.05023171842005	0.001	0.235	0
Lrrk1	0	-1.02613076538139	0.006	0.446	0
Fgl2	0	-0.994443633695894	0.009	0.363	0
Lrrk2	0	-0.992040636056739	0.003	0.27	0
Cxcl16	0	-0.986640035099556	0.001	0.206	0
Gm31243	0	-0.971706860296272	0.002	0.211	0
Dnase1l3	0	-0.942809011270363	0.001	0.181	0
Ifi207	0	-0.935548627379878	0.001	0.26	0
App	0	-0.935280139281077	0.007	0.343	0
Gsap	0	-0.932532642908619	0.021	0.436	0
Shtn1	0	-0.930099818165307	0.001	0.23	0
Fcmr	0	-0.929765138189963	0	0.191	0
Snx9	0	-0.909822292748471	0.02	0.471	0
Bcl2a1a	0	-0.873439382187345	0.001	0.181	0
F630028O10Rik	0	-0.869425844191978	0	0.142	0
Ifi211	0	-0.84568317949631	0.001	0.211	0
Clec4a3	0	-0.844842387147083	0.001	0.137	0
Rasgrp3	0	-0.843939399750762	0.001	0.279	0
Apba1	0	-0.842389990274453	0.001	0.255	0
Fcrl5	0	-0.829477389294752	0.001	0.181	0
Itgb5	0	-0.821571276495149	0.001	0.142	0
Btk	0	-0.814601300500041	0.005	0.363	0
Tbc1d9	0	-0.813075680605628	0.003	0.26	0
Wdfy3	0	-0.793376553767986	0.002	0.186	0
Lilrb4a	0	-0.781540933072861	0.001	0.201	0
Siglecg	0	-0.77015877727788	0.001	0.26	0
Cd300lf	0	-0.755655977440532	0	0.157	0
Gm43388	0	-0.751051569829772	0.001	0.191	0
Ncf4	0	-0.732052934345615	0.012	0.353	0
Sulf2	0	-0.730782090569928	0.003	0.225	0
Zfp366	0	-0.725488321366585	0.001	0.176	0
Gm56600	0	-0.723362686097099	0.001	0.147	0
Clec4a2	0	-0.722209427897593	0	0.132	0
Nav1	0	-0.716770067250375	0.004	0.216	0
Fgd2	0	-0.71237282162129	0.001	0.27	0
Hhex	0	-0.705222865478278	0.003	0.245	0
Pirb	0	-0.682028683831295	0.005	0.255	0
Atp6v0a1	0	-0.677478560546522	0.007	0.275	0
Fcgrt	0	-0.675642301101951	0.003	0.216	0
Ptpro	0	-0.653530471435865	0.001	0.186	0
Irf5	0	-0.652998128593485	0.006	0.358	0
Itgax	0	-0.652602141723724	0.001	0.196	0
Serpina3g	0	-0.65246632696759	0.003	0.235	0
Nrp2	0	-0.636762383658667	0.003	0.191	0
Clec1b	0	-0.626701504440178	0	0.113	0
Myadm	0	-0.622230403742137	0.001	0.201	0
Snx8	0	-0.619728636261316	0.004	0.255	0
Havcr2	0	-0.617180327307227	0.001	0.181	0
Gatm	0	-0.616623609262174	0.001	0.152	0
Slc15a3	0	-0.61520015865485	0.001	0.211	0
Lmo2	0	-0.610707530774332	0.003	0.275	0
Itpripl2	0	-0.608633798926644	0.002	0.23	0
Scimp	0	-0.601875698401474	0.002	0.216	0
Cd22	0	-0.600144827171131	0	0.172	0
H2-Eb2	0	-0.597922475046158	0.001	0.211	0
Cyp4f18	0	-0.589860716052733	0.002	0.191	0
Adap2	0	-0.58249013356515	0	0.137	0
Ifi204	0	-0.574170464375056	0.001	0.152	0
Themis2	0	-0.562884284653612	0.003	0.225	0
Olfm1	0	-0.560408152899093	0.001	0.167	0
Il15	0	-0.558632500423304	0.003	0.225	0
Tasl	0	-0.557087574296933	0.006	0.27	0
Fmn1	0	-0.546195119030996	0.001	0.142	0
Il13ra1	0	-0.544501879653637	0.002	0.221	0
Ncf1	0	-0.53034463565409	0.007	0.284	0
Trim7	0	-0.520372048918473	0.001	0.211	0
Tlr4	0	-0.515916557238958	0.001	0.147	0
Cd40	0	-0.51346779435784	0.001	0.181	0
Cd19	0	-0.503623035337645	0	0.176	0
Csf2rb	0	-0.492015979672218	0.001	0.201	0
Ptafr	0	-0.48872781069534	0	0.123	0
Gas7	0	-0.448709441952065	0.002	0.167	0
