	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rab6b	0	-0.690599638915794	0.009	0.224	0
Mir142hg	0	0.548775160995488	0.978	0.922	0
Gm56655	6.49248706804148e-295	-0.556092647461182	0.048	0.236	2.18770844244726e-290
Hnrnpa0	2.10508147055248e-246	-0.566310963877505	0.703	0.795	7.09328252317365e-242
Kif1b	4.82364872091111e-214	0.650095457422828	0.32	0.119	1.62537667299821e-209
Agtrap	2.01864394866724e-192	-0.457342021593	0.088	0.25	6.80202264942912e-188
Gm43305	1.35939556015912e-164	0.540205985132993	0.251	0.09	4.58061927951219e-160
Cmss1	3.42507346027512e-143	-0.304200817882323	0.97	0.972	1.1541127531743e-138
Jun	5.28331801556424e-139	-0.475876646482041	0.058	0.174	1.78026683852453e-134
Rsrp1	6.64447430869641e-116	0.343602807157458	0.945	0.9	2.23892206305834e-111
Gphn	2.57856430124247e-107	-0.360549945944194	0.903	0.928	8.68873026946663e-103
Gm10076	6.99640021223789e-105	0.496742565943201	0.672	0.582	2.35750701551568e-100
Camk1d	7.15996482801571e-100	-0.404306560483382	0.958	0.977	2.41262174844817e-95
Srsf7	3.98824595086603e-81	0.295301551302653	0.807	0.716	1.34387935560382e-76
Gm19951	6.49784659293871e-72	-0.37161466075345	0.215	0.332	2.18951438795663e-67
Rps29	3.16321809192186e-71	0.294699616048858	0.889	0.865	1.06587796825399e-66
2610035D17Rik	4.37096030135923e-68	-0.412458730306891	0.269	0.389	1.47283878314601e-63
Slc15a2	1.09850226544221e-64	0.286680580584527	0.193	0.097	3.70151323363406e-60
Hspa8	2.70285282172731e-64	-0.396743883874796	0.745	0.78	9.10753286809234e-60
Zmynd8	9.18869836889949e-59	0.314706912471428	0.482	0.369	3.09622380238437e-54
Gm47283	1.09541830967758e-56	-0.347239764694376	0.412	0.515	3.69112153628957e-52
H2ac6	6.51827627121024e-56	-0.325889416037956	0.125	0.208	2.196398372347e-51
Rbm3	1.91842086755571e-44	0.301067346373455	0.713	0.652	6.46431095531572e-40
Rnaset2a	4.72905883609914e-42	-0.252994771407709	0.359	0.445	1.59350366541197e-37
Lars2	5.35176253333377e-42	-0.258103928251102	0.727	0.784	1.80332990323215e-37
Btg2	1.54170076184902e-41	0.256866133802379	0.851	0.8	5.19491488712646e-37
H2bc4	1.31500577914723e-20	-0.257252576250636	0.159	0.209	4.43104347341452e-16
Mllt3	2.12747125798466e-19	-0.26091622674006	0.638	0.682	7.16872715090512e-15
Tex14	5.22166352155089e-08	-0.330171058135893	0.228	0.261	0.00175949174022179
H2ac24	0.761765935053396	0.319975209971547	0.222	0.227	1
