	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Rpl29	1.71120679207091e-35	-3.36067573545131	0.194	1	5.76608240656215e-31	Cluster_13	preDP_ISP
Rps29	1.90918544300045e-35	-3.29722697125605	0.507	1	6.43319126873433e-31	Cluster_13	preDP_ISP
Rpl11	1.97855059681908e-35	-2.95826479852639	0.567	1	6.66692409104158e-31	Cluster_13	preDP_ISP
Ppia	2.10708037430479e-35	-3.41546653023774	0.672	1	7.1000180292574e-31	Cluster_13	preDP_ISP
Rps26	2.14604369910425e-35	-3.63667897011277	0.328	1	7.23130884850168e-31	Cluster_13	preDP_ISP
Rpl35	2.17547022681618e-35	-3.22368894014167	0.179	1	7.33046447627981e-31	Cluster_13	preDP_ISP
Rpl35a	2.33374304312579e-35	-3.17646885452781	0.403	1	7.86378055811665e-31	Cluster_13	preDP_ISP
Rpl22	2.33417203621963e-35	-3.30701432615225	0.299	1	7.86522609324568e-31	Cluster_13	preDP_ISP
Rps11	2.46208294184019e-35	-3.16903924437951	0.463	1	8.29623468082469e-31	Cluster_13	preDP_ISP
Rpl19	2.9374133312142e-35	-3.09010467006998	0.507	1	9.89790796085938e-31	Cluster_13	preDP_ISP
Rps18	3.10963381268746e-35	-3.54667340694761	0.313	1	1.04782220952317e-30	Cluster_13	preDP_ISP
Tpt1	3.15990634577736e-35	-3.22561582436582	0.657	1	1.06476204227314e-30	Cluster_13	preDP_ISP
Rpl26	3.22050022213611e-35	-3.05049144588078	0.418	1	1.08517975485098e-30	Cluster_13	preDP_ISP
Rps12	3.24037609438342e-35	-3.64799121520469	0.448	1	1.09187712876344e-30	Cluster_13	preDP_ISP
Rps8	3.63711688980758e-35	-3.24451540708146	0.597	1	1.22556290718956e-30	Cluster_13	preDP_ISP
Rps23	3.6415341027913e-35	-3.27313080163664	0.418	1	1.22705133127656e-30	Cluster_13	preDP_ISP
Rpl37	3.6835249541224e-35	-3.05582058552687	0.388	1	1.24120056854109e-30	Cluster_13	preDP_ISP
Rps5	3.74038798429944e-35	-3.48294507992748	0.284	1	1.26036113518954e-30	Cluster_13	preDP_ISP
Rpl13	4.11520103558482e-35	-3.22961981095886	0.522	1	1.38665814095066e-30	Cluster_13	preDP_ISP
Rpl17	4.14243869423869e-35	-3.24482061140083	0.403	1	1.39583614241067e-30	Cluster_13	preDP_ISP
Rps10	4.1564084919173e-35	-3.20532298886204	0.478	1	1.40054340543645e-30	Cluster_13	preDP_ISP
Rpl15	4.18394505680954e-35	-3.28019377687959	0.373	1	1.40982212634254e-30	Cluster_13	preDP_ISP
Rpl36	4.22233047316352e-35	-3.06624658832444	0.328	1	1.42275647623718e-30	Cluster_13	preDP_ISP
Rpl32	4.32402127014486e-35	-3.67802201478361	0.478	0.996	1.45702220718801e-30	Cluster_13	preDP_ISP
Rps17	4.66982183480051e-35	-3.41769227218418	0.254	1	1.57354316545438e-30	Cluster_13	preDP_ISP
Rpl13a	4.67615320536077e-35	-2.8086153246906	0.567	1	1.57567658407837e-30	Cluster_13	preDP_ISP
Gapdh	4.77630324674906e-35	-3.06564885692041	0.269	1	1.60942314202456e-30	Cluster_13	preDP_ISP
Rps16	4.79564062439699e-35	-3.21676330905946	0.478	1	1.61593906479681e-30	Cluster_13	preDP_ISP
Rpl27a	4.90754872184976e-35	-2.88932893033718	0.582	1	1.65364761731449e-30	Cluster_13	preDP_ISP
Rpl38	5.28748160651811e-35	-2.83071208385959	0.328	1	1.78166980213234e-30	Cluster_13	preDP_ISP
Rps14	5.59040386908717e-35	-3.12286107619826	0.522	1	1.88374248772761e-30	Cluster_13	preDP_ISP
Rps24	5.70929409668828e-35	-3.36441413411354	0.418	1	1.92380373882008e-30	Cluster_13	preDP_ISP
Rpl23	5.77125907093069e-35	-2.9243115599284	0.627	1	1.94468345654081e-30	Cluster_13	preDP_ISP
Rpl23a	5.94482440976509e-35	-3.13745336064023	0.373	0.996	2.00316803311445e-30	Cluster_13	preDP_ISP
Rpl39	6.14860079684549e-35	-3.51861333029424	0.358	0.996	2.07183252450506e-30	Cluster_13	preDP_ISP
Rps13	6.38621821127377e-35	-2.98842868350972	0.507	1	2.15190008847081e-30	Cluster_13	preDP_ISP
Rpl18a	6.64721934204905e-35	-2.86718037312784	0.478	1	2.23984702949685e-30	Cluster_13	preDP_ISP
Rps15a	7.51687161809716e-35	-3.24641146283264	0.507	1	2.53288506043402e-30	Cluster_13	preDP_ISP
Rpl12	7.59364546668933e-35	-3.34022250083248	0.358	1	2.55875477645564e-30	Cluster_13	preDP_ISP
Rplp2	7.99499429217335e-35	-2.78921360253978	0.627	1	2.69399327669073e-30	Cluster_13	preDP_ISP
Rpl34	8.16822615514916e-35	-2.96198436195366	0.388	1	2.75236548523906e-30	Cluster_13	preDP_ISP
Rplp0	8.23359587801675e-35	-3.21042246559967	0.522	1	2.77439246705652e-30	Cluster_13	preDP_ISP
Rps19	8.46016124209425e-35	-3.10134632991036	0.463	0.996	2.85073593213608e-30	Cluster_13	preDP_ISP
Btf3	9.67341240852489e-35	-2.70452408489978	0.224	1	3.25955304517655e-30	Cluster_13	preDP_ISP
Rps2	9.89299740440944e-35	-3.22594563166002	0.493	1	3.33354440538981e-30	Cluster_13	preDP_ISP
Rpl6	1.00310345696613e-34	-2.8763137463322	0.433	1	3.38005740859308e-30	Cluster_13	preDP_ISP
Atp5e	1.0565526234728e-34	-2.68650635211967	0.134	0.996	3.56015972005395e-30	Cluster_13	preDP_ISP
Rps20	1.06226630188978e-34	-3.44678546714866	0.507	1	3.57941253084779e-30	Cluster_13	preDP_ISP
Cox6b1	1.08553119066561e-34	-2.43693686294056	0.09	0.991	3.65780590006682e-30	Cluster_13	preDP_ISP
Rpl21	1.09554211306065e-34	-3.01312157968373	0.418	1	3.69153870416915e-30	Cluster_13	preDP_ISP
Serf2	1.14890862075908e-34	-2.4205207454777	0.313	1	3.87136248850979e-30	Cluster_13	preDP_ISP
Rpl27	1.26292013136893e-34	-2.96062075844478	0.358	1	4.25553567466075e-30	Cluster_13	preDP_ISP
Rpl14	1.29688985500783e-34	-2.91272915341562	0.403	1	4.37000005543439e-30	Cluster_13	preDP_ISP
Rps3a1	1.38527793068105e-34	-2.88324800250981	0.582	1	4.66783251522287e-30	Cluster_13	preDP_ISP
Rps3	1.38585631863871e-34	-3.19551748124657	0.388	1	4.66978145128501e-30	Cluster_13	preDP_ISP
Rps9	1.4913219505815e-34	-2.65387535657599	0.567	1	5.02515844467942e-30	Cluster_13	preDP_ISP
Rpl28	1.69089867478576e-34	-3.20165289799918	0.537	1	5.69765217455811e-30	Cluster_13	preDP_ISP
