	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Bach2	1.64833673221675e-149	-3.68159522634309	0.07	0.751	5.55423545287755e-145	Cluster_2_6	CD8_exhausted_naive
Bcl2	1.55566326575043e-123	-3.3090755819457	0.062	0.65	5.24196294027265e-119	Cluster_2_6	CD8_exhausted_naive
Arpp21	8.81244199991641e-108	2.68342797990173	0.983	0.401	2.96944045629183e-103	Cluster_2_6	CD8_exhausted_naive
Tox	1.9033576109638e-107	-2.76156984098664	0.544	0.984	6.41355380590363e-103	Cluster_2_6	CD8_exhausted_naive
Cd5	1.37644112079367e-106	-2.64387046702012	0.073	0.615	4.63805600062635e-102	Cluster_2_6	CD8_exhausted_naive
A430093F15Rik	7.91093296472276e-104	-2.52501529368286	0.011	0.42	2.66566797179298e-99	Cluster_2_6	CD8_exhausted_naive
B630019A10Rik	4.03724128889644e-84	-2.01178148868168	0.008	0.342	1.36038882470655e-79	Cluster_2_6	CD8_exhausted_naive
Rag1	3.19249207207893e-73	2.94812346368427	0.757	0.117	1.07574212860772e-68	Cluster_2_6	CD8_exhausted_naive
Hivep3	2.24386559752722e-70	-2.53038505793534	0.032	0.381	7.56092951742772e-66	Cluster_2_6	CD8_exhausted_naive
Maml2	4.32708385180097e-70	-2.32949989233529	0.296	0.809	1.45805417470286e-65	Cluster_2_6	CD8_exhausted_naive
Cd226	4.41260863637407e-70	-2.06673006337207	0.033	0.385	1.48687260611261e-65	Cluster_2_6	CD8_exhausted_naive
Glcci1	4.60838089912724e-68	1.78506148165852	0.928	0.56	1.55284002776991e-63	Cluster_2_6	CD8_exhausted_naive
Pacsin1	4.43111775985591e-66	-1.65049787742916	0.022	0.339	1.49310944036105e-61	Cluster_2_6	CD8_exhausted_naive
Mad1l1	1.07619114717658e-62	1.89423502898144	0.864	0.366	3.62633368952621e-58	Cluster_2_6	CD8_exhausted_naive
Retreg1	3.37999311157363e-61	-1.67270496088793	0.021	0.315	1.13892247887585e-56	Cluster_2_6	CD8_exhausted_naive
Themis	2.7238437631621e-59	1.02990333097067	0.998	0.973	9.178263944351e-55	Cluster_2_6	CD8_exhausted_naive
Lef1	3.7582383612751e-59	-2.05495916716673	0.687	0.926	1.26637599821526e-54	Cluster_2_6	CD8_exhausted_naive
Plcl2	4.0669112249763e-59	-1.86623860983236	0.179	0.654	1.37038640636801e-54	Cluster_2_6	CD8_exhausted_naive
Chd3	1.9358580488688e-58	-1.60313463558607	0.033	0.346	6.5230672814683e-54	Cluster_2_6	CD8_exhausted_naive
St6gal1	3.86584358503918e-57	-1.73939807830319	0.252	0.724	1.3026346544148e-52	Cluster_2_6	CD8_exhausted_naive
Cd2	5.25618898986468e-57	-1.5042217168945	0.038	0.35	1.7711254420248e-52	Cluster_2_6	CD8_exhausted_naive
Ikzf2	1.92743336314745e-55	-3.36743906117044	0.164	0.564	6.49467946046164e-51	Cluster_2_6	CD8_exhausted_naive
Btla	1.86374729909313e-54	-1.30149586855403	0	0.195	6.28008289902421e-50	Cluster_2_6	CD8_exhausted_naive
Mier1	3.61560545127399e-54	1.64458324386098	0.866	0.525	1.21831441286128e-49	Cluster_2_6	CD8_exhausted_naive
Ssbp2	8.40505304553906e-53	1.40518240539561	0.938	0.669	2.83216667422484e-48	Cluster_2_6	CD8_exhausted_naive
Chl1	1.69944088394003e-51	-1.90291010663169	0.002	0.198	5.72643600252434e-47	Cluster_2_6	CD8_exhausted_naive
Tcf12	6.23077416710992e-51	1.1893310254346	0.958	0.875	2.09952166334936e-46	Cluster_2_6	CD8_exhausted_naive
4930417O13Rik	7.03143568986033e-51	-1.49929206792469	0.038	0.335	2.36931257005534e-46	Cluster_2_6	CD8_exhausted_naive
Rapgef6	2.07307347485743e-50	-1.6939172399802	0.385	0.79	6.98542838087959e-46	Cluster_2_6	CD8_exhausted_naive
Cd6	2.28213423159568e-48	-1.80582463489674	0.146	0.533	7.6898795067848e-44	Cluster_2_6	CD8_exhausted_naive
Arid5b	5.28636017684833e-48	-1.86672426153806	0.068	0.397	1.78129192519081e-43	Cluster_2_6	CD8_exhausted_naive
Gramd1b	1.65608560904027e-47	-2.27188221706512	0.062	0.374	5.5803460682221e-43	Cluster_2_6	CD8_exhausted_naive
Clec2d	2.12989946178857e-44	-1.49336458843131	0.068	0.374	7.17690922644275e-40	Cluster_2_6	CD8_exhausted_naive
Galnt6	6.18660960361734e-44	-1.20059504297761	0.027	0.268	2.0846399720349e-39	Cluster_2_6	CD8_exhausted_naive
Ppm1h	6.38208503001973e-44	1.37637386728843	0.889	0.572	2.15050737171545e-39	Cluster_2_6	CD8_exhausted_naive
Gpr174	9.51980285680656e-44	-1.37268579005468	0.022	0.253	3.20779277062954e-39	Cluster_2_6	CD8_exhausted_naive
Cd53	1.43262982531505e-42	-1.14019898207785	0.019	0.237	4.82738945938158e-38	Cluster_2_6	CD8_exhausted_naive
Fyn	1.5131057388327e-42	-1.4494412203434	0.328	0.739	5.09856109757065e-38	Cluster_2_6	CD8_exhausted_naive
Dntt	2.56003204265799e-41	1.80286982681464	0.67	0.198	8.62628397094036e-37	Cluster_2_6	CD8_exhausted_naive
