	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il1r1	5.03773158207792e-267	-3.54068058472959	0	1	1.69751403389697e-262	Cluster_2_6	Cluster_14
Il23r	1.8870003712342e-254	-4.02406252644386	0.001	1	6.35843645091075e-250	Cluster_2_6	Cluster_14
Blk	4.09448904219631e-254	-3.39737438058851	0.001	1	1.37967902765847e-249	Cluster_2_6	Cluster_14
Clnk	1.42742323972416e-253	-3.78861859459644	0	0.95	4.80984534857452e-249	Cluster_2_6	Cluster_14
Cdh10	3.84994389559005e-240	-2.75135798913241	0	0.9	1.29727709505802e-235	Cluster_2_6	Cluster_14
Ccr6	3.84994389559005e-240	-1.70384462194795	0	0.9	1.29727709505802e-235	Cluster_2_6	Cluster_14
Il18r1	6.27924789239016e-233	-3.24144994262862	0.002	1	2.11585536981979e-228	Cluster_2_6	Cluster_14
S100a4	1.24186956470285e-227	-4.559666322676	0.001	0.9	4.18460368522274e-223	Cluster_2_6	Cluster_14
Serpinb1a	1.65728648864676e-227	-2.83262759434379	0.001	0.9	5.58439255214411e-223	Cluster_2_6	Cluster_14
Zbtb16	9.88654477246785e-227	-2.43493122991951	0	0.85	3.33137012653077e-222	Cluster_2_6	Cluster_14
Niban1	3.07302937240937e-218	-2.18010736969566	0.002	0.95	1.03548797732706e-213	Cluster_2_6	Cluster_14
Jaml	1.71105491061716e-216	-2.51153038517863	0.002	0.9	5.76557062681558e-212	Cluster_2_6	Cluster_14
Sntb1	9.67554478397612e-214	-2.28271209241231	0.001	0.85	3.26027157040859e-209	Cluster_2_6	Cluster_14
Myo1e	2.41791020451965e-213	-1.78512498056248	0	0.8	8.14739022514941e-209	Cluster_2_6	Cluster_14
Pxdc1	2.41791020451965e-213	-1.70936244206069	0	0.8	8.14739022514941e-209	Cluster_2_6	Cluster_14
Cst7	2.41791020451965e-213	-1.59776434374211	0	0.8	8.14739022514941e-209	Cluster_2_6	Cluster_14
Mmp25	2.41791020451965e-213	-1.41968608396306	0	0.8	8.14739022514941e-209	Cluster_2_6	Cluster_14
Capg	6.36552931968173e-206	-2.64235572646731	0.002	0.9	2.14492875955996e-201	Cluster_2_6	Cluster_14
Podnl1	4.45394942718088e-202	-1.41030212306783	0.002	0.85	1.50080279898287e-197	Cluster_2_6	Cluster_14
Maf	1.83044559513286e-201	-3.1897789092375	0.004	0.95	6.16786947735968e-197	Cluster_2_6	Cluster_14
Bcl2a1b	1.39055221096522e-200	-1.85095505725395	0.001	0.8	4.68560473006839e-196	Cluster_2_6	Cluster_14
Ccr2	1.85092506345224e-200	-2.07231117670143	0.001	0.8	6.23687709380867e-196	Cluster_2_6	Cluster_14
Pvt1	2.46349444690722e-200	-1.7909607582123	0.001	0.8	8.30099088829856e-196	Cluster_2_6	Cluster_14
Kcnk1	5.63344285172225e-200	-1.59314617321501	0	0.75	1.89824490331633e-195	Cluster_2_6	Cluster_14
Trgc1	1.36832939270149e-192	-2.92036045330407	0.002	0.85	4.61072272164695e-188	Cluster_2_6	Cluster_14
Il7r	2.13031377388165e-192	-4.61054413941978	0.007	1	7.17830529247159e-188	Cluster_2_6	Cluster_14
Atp8b4	9.10188958948834e-192	-2.01575181173959	0.002	0.85	3.06697271607399e-187	Cluster_2_6	Cluster_14
Prr13	4.42282827092948e-191	-2.06221894164253	0.005	0.95	1.4903162141724e-186	Cluster_2_6	Cluster_14
Scart1	7.24351319142536e-190	-4.31798476626211	0.002	0.8	2.44077420498269e-185	Cluster_2_6	Cluster_14
Ly6a	1.13680559912526e-189	-3.49826405924386	0.002	0.8	3.83058014681248e-185	Cluster_2_6	Cluster_14
Trgc4	4.38819664854275e-189	-2.03766355063408	0.002	0.8	1.47864674269297e-184	Cluster_2_6	Cluster_14
Bcl2a1d	6.88043217658717e-189	-1.69396095686686	0.002	0.8	2.31843042622281e-184	Cluster_2_6	Cluster_14
Itgae	1.54476839210807e-187	-2.49429512405817	0.004	0.9	5.20525157404734e-183	Cluster_2_6	Cluster_14
Cd7	2.07496643169892e-187	-1.85634696089048	0.001	0.75	6.99180688825269e-183	Cluster_2_6	Cluster_14
Or13a27	1.25082985164115e-186	-1.88142993000446	0	0.7	4.21479626809002e-182	Cluster_2_6	Cluster_14
Sox13	1.25082985164115e-186	-1.46511161289045	0	0.7	4.21479626809002e-182	Cluster_2_6	Cluster_14
Zfp462	1.25082985164115e-186	-1.38060798036384	0	0.7	4.21479626809002e-182	Cluster_2_6	Cluster_14
Trpm6	1.25082985164115e-186	-1.2716440771487	0	0.7	4.21479626809002e-182	Cluster_2_6	Cluster_14
Tnfrsf25	1.25082985164115e-186	-1.11875057161956	0	0.7	4.21479626809002e-182	Cluster_2_6	Cluster_14
H2-Q7	4.40266449379672e-182	-1.6570022567081	0.003	0.85	1.48352182782974e-177	Cluster_2_6	Cluster_14
Ahnak	1.84083510517334e-179	-2.34852898711277	0.002	0.8	6.2028779703921e-175	Cluster_2_6	Cluster_14
Actn2	6.21652938651314e-176	-1.6943911119257	0.002	0.75	2.09472174207947e-171	Cluster_2_6	Cluster_14
Pik3ap1	7.49681699972812e-174	-1.45901309841094	0.001	0.7	2.52612745622839e-169	Cluster_2_6	Cluster_14
Chd7	8.23860126263381e-174	-1.58462859008645	0.001	0.7	2.77607908145709e-169	Cluster_2_6	Cluster_14
Ltb4r1	2.64783897832649e-173	-1.0569788389196	0	0.65	8.92215822136894e-169	Cluster_2_6	Cluster_14
Cxcr6	1.39467885060744e-172	-3.26607546320297	0.007	0.95	4.69950985500682e-168	Cluster_2_6	Cluster_14
Samhd1	1.68773561139289e-165	-1.7343470266904	0.005	0.85	5.68699391614948e-161	Cluster_2_6	Cluster_14
Klk8	1.04161864371717e-162	-1.12781386946901	0.002	0.7	3.50983818186937e-158	Cluster_2_6	Cluster_14
Gprin3	1.1378763333468e-162	-1.46978799124004	0.002	0.7	3.83418809284536e-158	Cluster_2_6	Cluster_14
Abi3bp	1.17417415792754e-161	-2.57059686341235	0.004	0.8	3.95649724255262e-157	Cluster_2_6	Cluster_14
Farp1	4.34686293650068e-161	-1.68818634072673	0.004	0.8	1.46471893508327e-156	Cluster_2_6	Cluster_14
Arnt2	1.18852800209967e-160	-1.45040548414193	0.001	0.65	4.00486395587503e-156	Cluster_2_6	Cluster_14
Ar	1.57475895874145e-160	-1.60533950165338	0.001	0.65	5.3063077873752e-156	Cluster_2_6	Cluster_14
Trdv4	5.34646091154188e-160	-3.01632812749705	0	0.6	1.80154346875315e-155	Cluster_2_6	Cluster_14
Trgv2	5.34646091154188e-160	-2.03551446046974	0	0.6	1.80154346875315e-155	Cluster_2_6	Cluster_14
Lrrn2	5.34646091154188e-160	-1.40562741801846	0	0.6	1.80154346875315e-155	Cluster_2_6	Cluster_14
Prelid2	5.34646091154188e-160	-1.23526475362913	0	0.6	1.80154346875315e-155	Cluster_2_6	Cluster_14
Smco4	1.59855167338929e-158	-1.47320844988616	0.006	0.85	5.38647971865256e-154	Cluster_2_6	Cluster_14
Osbpl3	7.02328955719395e-158	-2.4721667039718	0.007	0.9	2.36656764919207e-153	Cluster_2_6	Cluster_14
Rarg	4.71359811281707e-157	-1.79312730936936	0.003	0.75	1.58829402009484e-152	Cluster_2_6	Cluster_14
S100a6	3.22133796750632e-155	-4.64195543354626	0.007	0.85	1.08546204153093e-150	Cluster_2_6	Cluster_14
Gpr183	1.0498909592736e-151	-1.80520384986147	0.008	0.9	3.53771257636833e-147	Cluster_2_6	Cluster_14
Ccnd2	2.25180827864186e-149	-2.29727829621154	0.004	0.75	7.5876931757116e-145	Cluster_2_6	Cluster_14
Tmem176b	1.16430105484564e-148	-2.66372770847942	0.006	0.8	3.92322883440787e-144	Cluster_2_6	Cluster_14
Cpe	2.55525690771719e-147	-1.16028190310408	0.001	0.6	8.61019367624385e-143	Cluster_2_6	Cluster_14
9930111J21Rik2	2.55525690771719e-147	-1.05448084700602	0.001	0.6	8.61019367624385e-143	Cluster_2_6	Cluster_14
Ly6g5b	1.03034160890436e-146	-1.0832020627964	0	0.55	3.47183908536413e-142	Cluster_2_6	Cluster_14
Krt83	1.03034160890436e-146	-0.902689453818495	0	0.55	3.47183908536413e-142	Cluster_2_6	Cluster_14
Jag1	1.03034160890436e-146	-0.850550684048855	0	0.55	3.47183908536413e-142	Cluster_2_6	Cluster_14
Sdf2l1	3.99624113932506e-140	-1.20133155920898	0.002	0.65	1.34657341430697e-135	Cluster_2_6	Cluster_14
Rnf43	6.69474993834952e-137	-1.43131311459016	0.002	0.6	2.25586293922626e-132	Cluster_2_6	Cluster_14
Rasgef1b	1.45789153525108e-136	-1.27894079060831	0.002	0.6	4.91251131718205e-132	Cluster_2_6	Cluster_14
Fstl4	8.26481365210581e-136	-2.15480318008386	0.009	0.85	2.78491160821358e-131	Cluster_2_6	Cluster_14
AW112010	1.89123077128073e-135	-1.92780257175556	0.006	0.75	6.37269120690755e-131	Cluster_2_6	Cluster_14
Fat3	2.01465313330738e-134	-1.67344910601211	0.001	0.55	6.78857519799256e-130	Cluster_2_6	Cluster_14
Coro2a	3.50901744961625e-134	-1.33715891431757	0.001	0.55	1.18239851982269e-129	Cluster_2_6	Cluster_14
Cpd	3.84882767643924e-134	-1.12793559342848	0.001	0.55	1.29690097385297e-129	Cluster_2_6	Cluster_14
Rhobtb1	3.84882767643924e-134	-0.932866429936654	0.001	0.55	1.29690097385297e-129	Cluster_2_6	Cluster_14
Stab2	1.89652341588956e-133	-2.38085994633173	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Pard3	1.89652341588956e-133	-1.54011227227912	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Il18rap	1.89652341588956e-133	-1.25377160032409	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Fgl2	1.89652341588956e-133	-1.24602224588851	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Zbtb7c	1.89652341588956e-133	-1.15685431009669	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Trgv6	1.89652341588956e-133	-1.15433635453401	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Adam19	1.89652341588956e-133	-1.06116321658029	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Lrrc17	1.89652341588956e-133	-1.05680794317212	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Gm12185	1.89652341588956e-133	-0.906372473148958	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Xkr6	1.89652341588956e-133	-0.840926883060898	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Acsbg1	1.89652341588956e-133	-0.839119727625054	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
Fam83a	1.89652341588956e-133	-0.819364006735239	0	0.5	6.39052530218146e-129	Cluster_2_6	Cluster_14
