	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ccnd2	7.17964842518279e-244	-2.4350007766613	0.004	0.889	2.41925433334959e-239	Cluster_2_6	Monocyte_Macrophages_Dendritic
AW112010	5.43248821314815e-232	-3.38504724728682	0.006	0.859	1.8305312283024e-227	Cluster_2_6	Monocyte_Macrophages_Dendritic
Ms4a4b	3.69271059473003e-227	-3.58875166711707	0.013	0.889	1.24429576200023e-222	Cluster_2_6	Monocyte_Macrophages_Dendritic
H2-K1	3.76698216604466e-219	-3.91820852285621	0.032	0.97	1.26932231067041e-214	Cluster_2_6	Monocyte_Macrophages_Dendritic
H2-Q7	1.94822721690712e-218	-2.3499111025027	0.003	0.8	6.56474643009023e-214	Cluster_2_6	Monocyte_Macrophages_Dendritic
Cd53	3.27187664054229e-216	-1.98040705206518	0.019	0.919	1.10249155279713e-211	Cluster_2_6	Monocyte_Macrophages_Dendritic
Nkg7	9.19667464462945e-215	-2.94861952973138	0.002	0.77	3.09891148825434e-210	Cluster_2_6	Monocyte_Macrophages_Dendritic
Il2rb	2.1991288608062e-210	-1.9977636907985	0	0.741	7.41018460937259e-206	Cluster_2_6	Monocyte_Macrophages_Dendritic
Il7r	1.12669376076817e-202	-3.32874845403287	0.007	0.77	3.79650729628444e-198	Cluster_2_6	Monocyte_Macrophages_Dendritic
Chn2	1.56933324014308e-201	-3.11686546144161	0.002	0.726	5.28802528598613e-197	Cluster_2_6	Monocyte_Macrophages_Dendritic
Gimap3	5.08957304441468e-201	-1.6635401963355	0.001	0.719	1.71498253304597e-196	Cluster_2_6	Monocyte_Macrophages_Dendritic
Gimap4	9.71719972353813e-201	-2.088821693082	0.003	0.741	3.27430761884341e-196	Cluster_2_6	Monocyte_Macrophages_Dendritic
Ctsw	1.14291130077976e-196	-1.84654158917233	0.003	0.726	3.85115391910749e-192	Cluster_2_6	Monocyte_Macrophages_Dendritic
Gm2682	6.20580463559707e-191	-4.34690139032226	0.007	0.733	2.09110793001079e-186	Cluster_2_6	Monocyte_Macrophages_Dendritic
Shisa5	2.68078795326988e-190	-2.81189871105724	0.046	0.948	9.0331830873382e-186	Cluster_2_6	Monocyte_Macrophages_Dendritic
Ahnak	4.40741946624108e-183	-1.80362437471967	0.002	0.674	1.48512406334459e-178	Cluster_2_6	Monocyte_Macrophages_Dendritic
S100a6	1.33211742104933e-182	-3.38883196965817	0.007	0.704	4.48870286196781e-178	Cluster_2_6	Monocyte_Macrophages_Dendritic
ENSMUSG00000121501	1.95160289371244e-182	-1.38188242052201	0.003	0.681	6.57612111065345e-178	Cluster_2_6	Monocyte_Macrophages_Dendritic
Atp8b4	1.4784715344606e-178	-2.0512814169037	0.002	0.659	4.98185768251842e-174	Cluster_2_6	Monocyte_Macrophages_Dendritic
Hcst	7.69099233259905e-178	-2.13509100646949	0.024	0.815	2.59155677639258e-173	Cluster_2_6	Monocyte_Macrophages_Dendritic
Id2	1.22994792219537e-174	-2.66830563905845	0.013	0.726	4.14443251862952e-170	Cluster_2_6	Monocyte_Macrophages_Dendritic
Il18r1	7.33276060940403e-173	-2.17478932585617	0.002	0.637	2.47084701494478e-168	Cluster_2_6	Monocyte_Macrophages_Dendritic
Coro2a	2.64153017824456e-172	-1.72155205259082	0.001	0.622	8.90090008861285e-168	Cluster_2_6	Monocyte_Macrophages_Dendritic
Nme2	3.93210849095271e-172	-1.97693682240644	0.043	0.911	1.32496327711143e-167	Cluster_2_6	Monocyte_Macrophages_Dendritic
Cnn2	1.78812480385948e-170	-1.39713531263042	0.015	0.741	6.0252653390849e-166	Cluster_2_6	Monocyte_Macrophages_Dendritic
H2-D1	3.96447260384483e-169	-3.33869860397777	0.079	0.978	1.33586868859155e-164	Cluster_2_6	Monocyte_Macrophages_Dendritic
Runx3	5.3582948683622e-169	-1.55787899412861	0.007	0.667	1.80553103884333e-164	Cluster_2_6	Monocyte_Macrophages_Dendritic
Klf2	2.07294659780621e-168	-2.02134795542994	0.01	0.689	6.9850008559678e-164	Cluster_2_6	Monocyte_Macrophages_Dendritic
Hopx	2.28931073077443e-168	-1.76636035536121	0	0.6	7.71406143841753e-164	Cluster_2_6	Monocyte_Macrophages_Dendritic
Cd7	3.0418468058712e-168	-1.94472224729655	0.001	0.607	1.02498069970636e-163	Cluster_2_6	Monocyte_Macrophages_Dendritic
S100a11	5.68896453563276e-166	-2.14523756780219	0.038	0.852	1.91695348992681e-161	Cluster_2_6	Monocyte_Macrophages_Dendritic
Klk8	1.20497862931885e-165	-1.18701237236354	0.002	0.607	4.06029598935279e-161	Cluster_2_6	Monocyte_Macrophages_Dendritic
Hint1	3.63811637945613e-165	-1.60909624212714	0.035	0.852	1.22589969522154e-160	Cluster_2_6	Monocyte_Macrophages_Dendritic
Smad7	3.2485680084133e-163	-1.31025208821311	0.002	0.607	1.09463747611495e-158	Cluster_2_6	Monocyte_Macrophages_Dendritic
Vim	1.65712028137772e-162	-2.04500895658095	0.022	0.748	5.58383250013036e-158	Cluster_2_6	Monocyte_Macrophages_Dendritic
Gm10076	8.68100135087586e-162	-2.24891161232152	0.062	0.933	2.92515021519113e-157	Cluster_2_6	Monocyte_Macrophages_Dendritic
Chd7	2.01680415137639e-161	-1.41261193325361	0.001	0.585	6.79582326847787e-157	Cluster_2_6	Monocyte_Macrophages_Dendritic
Pvt1	6.50347413957041e-155	-1.44869082984113	0.001	0.563	2.19141064606965e-150	Cluster_2_6	Monocyte_Macrophages_Dendritic
Srgn	8.96558490349037e-155	-2.24131184930928	0.056	0.896	3.02104348908011e-150	Cluster_2_6	Monocyte_Macrophages_Dendritic
Cd2	3.98701211771053e-154	-1.80143815719633	0.038	0.822	1.34346360318374e-149	Cluster_2_6	Monocyte_Macrophages_Dendritic
Prr13	1.05762835460062e-153	-1.10735473122913	0.005	0.6	3.56378450366225e-149	Cluster_2_6	Monocyte_Macrophages_Dendritic
Lncpint	7.1023553835526e-153	-1.59426501551386	0.024	0.741	2.39320967004188e-148	Cluster_2_6	Monocyte_Macrophages_Dendritic
B2m	2.27646738071039e-152	-3.43383875344091	0.106	0.978	7.67078448604171e-148	Cluster_2_6	Monocyte_Macrophages_Dendritic
Psme2	7.75567547000522e-151	-1.48349081700682	0.023	0.726	2.61335240637296e-146	Cluster_2_6	Monocyte_Macrophages_Dendritic
Ifi27l2a	2.60120340026938e-150	-2.89391660499727	0.011	0.63	8.76501497754772e-146	Cluster_2_6	Monocyte_Macrophages_Dendritic
Tpm4	3.42993659017485e-147	-1.33724660949317	0.032	0.778	1.15575143342532e-142	Cluster_2_6	Monocyte_Macrophages_Dendritic
Samhd1	3.17565517914051e-145	-1.47705775673562	0.005	0.57	1.07006876916319e-140	Cluster_2_6	Monocyte_Macrophages_Dendritic
Emp3	6.29756556914816e-145	-1.80368879019349	0.034	0.763	2.12202769418016e-140	Cluster_2_6	Monocyte_Macrophages_Dendritic
Hspe1	8.37098733675694e-145	-1.49860413722956	0.052	0.867	2.82068789299362e-140	Cluster_2_6	Monocyte_Macrophages_Dendritic
Rpl3	6.32644422919389e-144	-3.49527333588407	0.124	0.978	2.13175864746917e-139	Cluster_2_6	Monocyte_Macrophages_Dendritic
Ctss	1.70609200571338e-143	-1.18901099177681	0.002	0.541	5.74884762245179e-139	Cluster_2_6	Monocyte_Macrophages_Dendritic
Rgs3	7.58199893380687e-143	-1.0733764172148	0.006	0.57	2.55483036073556e-138	Cluster_2_6	Monocyte_Macrophages_Dendritic
Klrk1	3.71274751833218e-142	-2.63608065117815	0.001	0.519	1.25104740377721e-137	Cluster_2_6	Monocyte_Macrophages_Dendritic
Sema4a	5.28968027712234e-142	-1.09598659095351	0.001	0.519	1.78241066617914e-137	Cluster_2_6	Monocyte_Macrophages_Dendritic
Rpl22l1	9.02984206079921e-142	-2.50233113421686	0.088	0.926	3.0426955808069e-137	Cluster_2_6	Monocyte_Macrophages_Dendritic
Cdk2ap2	1.04263284974313e-141	-1.30409020591724	0.029	0.733	3.51325565049446e-137	Cluster_2_6	Monocyte_Macrophages_Dendritic
Eef1d	7.7917150395e-141	-1.69284255246298	0.064	0.896	2.62549629970992e-136	Cluster_2_6	Monocyte_Macrophages_Dendritic
9930111J21Rik2	6.15804958260495e-140	-1.21520060383758	0.001	0.511	2.07501638735456e-135	Cluster_2_6	Monocyte_Macrophages_Dendritic
Eef1b2	1.49187374786938e-139	-3.07944204865969	0.124	0.97	5.02701778082066e-135	Cluster_2_6	Monocyte_Macrophages_Dendritic
Ms4a6b	2.22712154165477e-138	-1.97787169228182	0.05	0.815	7.50450874675993e-134	Cluster_2_6	Monocyte_Macrophages_Dendritic
Il18rap	3.73163303575386e-138	-1.2027856679533	0	0.496	1.25741106772762e-133	Cluster_2_6	Monocyte_Macrophages_Dendritic
Klrd1	5.33604411945439e-138	-1.96461576208282	0.002	0.511	1.79803342649135e-133	Cluster_2_6	Monocyte_Macrophages_Dendritic
Uba52	6.55188103968508e-138	-2.31701183542476	0.105	0.97	2.20772183513229e-133	Cluster_2_6	Monocyte_Macrophages_Dendritic
Ifi203	5.25307013437034e-137	-1.7790688814036	0.055	0.852	1.77007451247743e-132	Cluster_2_6	Monocyte_Macrophages_Dendritic
Cd44	7.16727088111047e-137	-1.30721868447105	0.015	0.622	2.41508359609899e-132	Cluster_2_6	Monocyte_Macrophages_Dendritic
Anxa6	1.89709028260006e-136	-1.34330482304518	0.038	0.77	6.39243541624917e-132	Cluster_2_6	Monocyte_Macrophages_Dendritic
S100a4	1.2560008383198e-135	-2.14588796542074	0.001	0.496	4.2322204248024e-131	Cluster_2_6	Monocyte_Macrophages_Dendritic
Retreg1	6.83180042521443e-135	-1.17313516999611	0.021	0.659	2.30204347128025e-130	Cluster_2_6	Monocyte_Macrophages_Dendritic
Crip1	4.41840540428314e-134	-2.34521869833966	0.07	0.874	1.48882588502725e-129	Cluster_2_6	Monocyte_Macrophages_Dendritic
Arsb	1.30557087677068e-133	-1.41883312124368	0.001	0.489	4.39925162636649e-129	Cluster_2_6	Monocyte_Macrophages_Dendritic
Cxcr6	3.12614380411532e-133	-1.81187483097037	0.007	0.548	1.0533854162347e-128	Cluster_2_6	Monocyte_Macrophages_Dendritic
Ppib	4.56563806205537e-133	-1.64143320772127	0.067	0.874	1.53843740139018e-128	Cluster_2_6	Monocyte_Macrophages_Dendritic
Chd3	1.04987803856179e-132	-1.26507612008645	0.033	0.733	3.5376690387378e-128	Cluster_2_6	Monocyte_Macrophages_Dendritic
Ttc39b	1.23326145006233e-132	-1.11835122518893	0.004	0.519	4.15559778213002e-128	Cluster_2_6	Monocyte_Macrophages_Dendritic
Atp5g2	1.54585722297619e-131	-1.63674204702456	0.068	0.881	5.20892049854058e-127	Cluster_2_6	Monocyte_Macrophages_Dendritic
Cd82	5.0214732497849e-131	-1.04073589211475	0.012	0.578	1.69203562624752e-126	Cluster_2_6	Monocyte_Macrophages_Dendritic
Capg	6.20834730273574e-131	-1.21942822927687	0.002	0.496	2.09196470712984e-126	Cluster_2_6	Monocyte_Macrophages_Dendritic
Slfn1	7.20335317238939e-131	-1.19421307196767	0.002	0.496	2.42724188496833e-126	Cluster_2_6	Monocyte_Macrophages_Dendritic
Tagln2	1.24005049787918e-130	-1.33875952348227	0.018	0.622	4.1784741576537e-126	Cluster_2_6	Monocyte_Macrophages_Dendritic
Itgb7	4.98229647992862e-130	-1.25426121740393	0.014	0.593	1.67883462187675e-125	Cluster_2_6	Monocyte_Macrophages_Dendritic
