	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Actg1	3.61915014664142e-270	-2.73338184900223	0.158	0.965	1.21950883341229e-265	Cluster_2_6	SP
Pfn1	1.51898052642712e-269	-2.61862715589174	0.401	1	5.11835678184883e-265	Cluster_2_6	SP
Tmsb4x	4.12087098219654e-266	-2.73466151529243	0.462	1	1.38856868616095e-261	Cluster_2_6	SP
Rpl9	2.63792262389761e-264	-2.51859126969911	0.266	0.993	8.88874407348538e-260	Cluster_2_6	SP
Actb	4.12496409504596e-263	-2.52750927141165	0.618	1	1.38994790146669e-258	Cluster_2_6	SP
Rps10	4.28261510196775e-263	-2.44021682909668	0.332	0.999	1.44306998475905e-258	Cluster_2_6	SP
Rps4x	1.13067076120302e-262	-2.54978230526227	0.226	0.987	3.80990819694969e-258	Cluster_2_6	SP
Rps13	1.52121728691799e-262	-2.49957163941074	0.302	0.997	5.12589376999887e-258	Cluster_2_6	SP
Rpl10	3.16007707930113e-262	-2.45180818079867	0.159	0.957	1.06481957264131e-257	Cluster_2_6	SP
Rps15a	7.46823643690733e-262	-2.52891019611763	0.32	0.997	2.51649694978029e-257	Cluster_2_6	SP
Rps16	6.64821138062573e-257	-2.33477034305492	0.352	1	2.24018130681565e-252	Cluster_2_6	SP
Rps27a	2.79722559096984e-256	-2.4021945733544	0.289	0.996	9.42553135133196e-252	Cluster_2_6	SP
Rps9	4.06000786463015e-255	-2.40918817669739	0.358	0.999	1.36806025006577e-250	Cluster_2_6	SP
Rpl30	2.18467766496521e-252	-2.37680190545649	0.294	0.993	7.36148985986676e-248	Cluster_2_6	SP
Rps7	4.06344692413789e-252	-2.44270255896302	0.276	0.985	1.3692190755575e-247	Cluster_2_6	SP
Rpl8	8.07952713865944e-252	-2.33335625521662	0.281	0.991	2.72247746464268e-247	Cluster_2_6	SP
Tpt1	1.00627694217187e-251	-2.42442331257091	0.516	1	3.39075078434233e-247	Cluster_2_6	SP
H3f3a	3.29414270298649e-251	-2.15246119752418	0.472	1	1.10999432519833e-246	Cluster_2_6	SP
Rps3a1	8.94544111709294e-251	-2.38656412359356	0.375	0.996	3.01425583881564e-246	Cluster_2_6	SP
Fau	1.38272690742338e-250	-2.35507617729919	0.335	1	4.65923658725383e-246	Cluster_2_6	SP
Rps27	4.48935310235301e-250	-2.33184304033824	0.318	0.999	1.51273242136887e-245	Cluster_2_6	SP
Rpl15	9.39859259803089e-250	-2.34472818419193	0.269	0.991	3.16694976183249e-245	Cluster_2_6	SP
Rpl34	1.70366607643579e-249	-2.39236252933565	0.293	0.994	5.74067321115804e-245	Cluster_2_6	SP
Rps24	8.2294484988461e-249	-2.33790068587399	0.373	1	2.77299496617118e-244	Cluster_2_6	SP
Rpl41	1.18361255254413e-248	-2.32850249876591	0.29	0.993	3.9883008570527e-244	Cluster_2_6	SP
Rpl18	1.58240221024716e-248	-2.30683771972151	0.267	0.996	5.33206248764885e-244	Cluster_2_6	SP
Rplp0	8.70079977997986e-248	-2.43341107055897	0.29	0.991	2.93182149386201e-243	Cluster_2_6	SP
Ftl1	6.05648986971442e-247	-2.25133177809167	0.207	0.975	2.04079482649897e-242	Cluster_2_6	SP
Rps23	5.69661356177027e-245	-2.26475660629588	0.322	0.997	1.91953090577411e-240	Cluster_2_6	SP
Cfl1	1.2783777253455e-244	-2.20023390604224	0.316	0.999	4.30762158332418e-240	Cluster_2_6	SP
Rpl21	1.65831648450347e-244	-2.26473611632009	0.232	0.985	5.58786322618291e-240	Cluster_2_6	SP
Rplp1	2.03502033846248e-244	-2.32103089109157	0.382	1	6.85720453248318e-240	Cluster_2_6	SP
Rps26	2.86551896904054e-243	-2.3572535581783	0.259	0.987	9.655652718079e-239	Cluster_2_6	SP
Rpsa	4.84966584350763e-243	-2.3948676393219	0.278	0.984	1.63414340262833e-238	Cluster_2_6	SP
Rpl27	9.64830911341142e-242	-2.22690502914969	0.315	0.99	3.25109423885511e-237	Cluster_2_6	SP
Rps3	5.71777550644539e-240	-2.28011455654374	0.257	0.978	1.92666163465184e-235	Cluster_2_6	SP
Rpl23	1.50395011099375e-239	-2.31317668629703	0.325	0.993	5.06771029400453e-235	Cluster_2_6	SP
Tmsb10	1.76718536008488e-239	-3.68600896921047	0.282	0.965	5.954707789342e-235	Cluster_2_6	SP
Cd3d	6.52710385617305e-239	-2.19024686958399	0.31	0.997	2.19937291537607e-234	Cluster_2_6	SP
Ppia	1.13029037732012e-237	-2.25780163489027	0.336	0.988	3.80862645541789e-233	Cluster_2_6	SP
Cd5	3.54570367350783e-237	-2.5982661277025	0.073	0.833	1.1947603098252e-232	Cluster_2_6	SP
Eef1a1	9.00071647887874e-237	-2.19763125288846	0.446	0.997	3.03288142472298e-232	Cluster_2_6	SP
