	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Hells	7.25853789482664e-269	-2.2920993048309	0.017	0.982	2.44583692904078e-264	Cluster_2_6	preDP_ISP
Mcm3	1.19752768592854e-268	-2.02211989166542	0.012	0.96	4.03518929050481e-264	Cluster_2_6	preDP_ISP
Pclaf	1.08651671499517e-263	-2.85306805511709	0.017	0.96	3.66112672284771e-259	Cluster_2_6	preDP_ISP
Rrm2	3.38394510597635e-263	-2.05134764397357	0.009	0.929	1.14025414290979e-258	Cluster_2_6	preDP_ISP
Lig1	7.56963657907492e-260	-1.81519275008373	0.015	0.956	2.55066474168508e-255	Cluster_2_6	preDP_ISP
Uhrf1	6.22282312168612e-253	-2.00738026659853	0.022	0.965	2.09684247908336e-248	Cluster_2_6	preDP_ISP
Prim1	8.61897824525559e-252	-1.43582340108583	0.006	0.876	2.90425090952132e-247	Cluster_2_6	preDP_ISP
Rfc4	3.60772883104691e-250	-1.4564758019896	0.007	0.876	1.21566030690957e-245	Cluster_2_6	preDP_ISP
Hint1	2.29202942098677e-248	-2.46461990073455	0.035	0.987	7.72322233695701e-244	Cluster_2_6	preDP_ISP
Mcm5	1.01183593785665e-244	-1.55995368527396	0.012	0.889	3.40948237620177e-240	Cluster_2_6	preDP_ISP
Siva1	8.41105563934246e-244	-1.84243874527425	0.026	0.956	2.83418930823283e-239	Cluster_2_6	preDP_ISP
Cks1b	5.72212866971546e-242	-1.6799016614434	0.014	0.894	1.92812847654732e-237	Cluster_2_6	preDP_ISP
Tipin	7.11919156449322e-241	-1.72691995829261	0.028	0.96	2.39888278957164e-236	Cluster_2_6	preDP_ISP
Ncapg2	7.19656279294464e-241	-1.49494329807277	0.001	0.81	2.42495379871063e-236	Cluster_2_6	preDP_ISP
Gmnn	7.77070855607025e-239	-1.76419908824117	0.022	0.929	2.61841795505343e-234	Cluster_2_6	preDP_ISP
Dhfr	7.39671161704351e-237	-1.37046781102978	0.006	0.832	2.49239594647898e-232	Cluster_2_6	preDP_ISP
Mki67	4.69930059450659e-236	-2.06977338100842	0.023	0.925	1.58347632832494e-231	Cluster_2_6	preDP_ISP
Clspn	4.97493227639863e-236	-1.66157512131001	0.011	0.858	1.67635317985528e-231	Cluster_2_6	preDP_ISP
Hmgn2	7.89204957308673e-235	-3.33820942118078	0.066	0.996	2.6593050241473e-230	Cluster_2_6	preDP_ISP
Rfc3	3.368821400516e-232	-1.33215364745721	0.015	0.876	1.13515805911787e-227	Cluster_2_6	preDP_ISP
Zfp367	3.98965404583167e-231	-1.37011516363473	0.01	0.841	1.34435382728344e-226	Cluster_2_6	preDP_ISP
Nme2	6.5975418358501e-231	-2.52663830217159	0.043	0.965	2.22310769700805e-226	Cluster_2_6	preDP_ISP
Cenpk	9.47226575837603e-231	-1.21257317009387	0.006	0.814	3.19177466994239e-226	Cluster_2_6	preDP_ISP
Dctpp1	4.88732745975219e-230	-1.42325208311408	0.009	0.832	1.6468338608381e-225	Cluster_2_6	preDP_ISP
Dtl	5.05772161988228e-230	-1.74099657293745	0.022	0.907	1.70424987703553e-225	Cluster_2_6	preDP_ISP
Spc24	2.16942747240534e-229	-1.29040175956489	0.008	0.827	7.31010281101704e-225	Cluster_2_6	preDP_ISP
Cdc6	8.01701789437088e-228	-1.31116253302715	0.006	0.805	2.70141434968721e-223	Cluster_2_6	preDP_ISP
Tuba1b	9.9171233530273e-228	-2.60026716121894	0.044	0.96	3.34167388503608e-223	Cluster_2_6	preDP_ISP
Lsm2	2.56965424770387e-227	-1.45452085742148	0.03	0.947	8.65870695306296e-223	Cluster_2_6	preDP_ISP
Mcm6	7.64449006896111e-227	-1.97584065120704	0.04	0.965	2.57588737363713e-222	Cluster_2_6	preDP_ISP
Rad51	3.35831769525058e-224	-1.12243209842435	0.007	0.805	1.13161873059163e-219	Cluster_2_6	preDP_ISP
Selenoh	4.64833546870333e-224	-1.7074632904509	0.015	0.841	1.56630311953427e-219	Cluster_2_6	preDP_ISP
Cenpw	2.78404595684887e-223	-1.07203544285994	0.006	0.792	9.38112125619794e-219	Cluster_2_6	preDP_ISP
Tyms	6.35417013295555e-222	-1.43823839513611	0.018	0.863	2.1411011680007e-217	Cluster_2_6	preDP_ISP
Fabp5	2.74564186970768e-220	-1.56020444675541	0.013	0.823	9.251714844167e-216	Cluster_2_6	preDP_ISP
Rrm1	5.9311456092323e-220	-1.42409797666529	0.023	0.885	1.99855882448691e-215	Cluster_2_6	preDP_ISP
Lsm6	2.67424131650785e-219	-1.69607913714742	0.041	0.956	9.01112354010484e-215	Cluster_2_6	preDP_ISP
