	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	2.25198928284695e-42	-4.0332739933196	0	1	7.58830308748109e-38	Cluster_9	Cluster_14
Il1r1	2.25198928284695e-42	-3.54068058472959	0	1	7.58830308748109e-38	Cluster_9	Cluster_14
Blk	2.25198928284695e-42	-3.41002746152731	0	1	7.58830308748109e-38	Cluster_9	Cluster_14
Il18r1	2.25198928284695e-42	-3.2503900504212	0	1	7.58830308748109e-38	Cluster_9	Cluster_14
Il7r	1.18450057442593e-40	-4.66996963867073	0.006	1	3.99129313558562e-36	Cluster_9	Cluster_14
Clnk	3.95589134584115e-40	-3.78861859459644	0	0.95	1.33297714789463e-35	Cluster_9	Cluster_14
Niban1	3.95589134584115e-40	-2.19942793896593	0	0.95	1.33297714789463e-35	Cluster_9	Cluster_14
S100a4	6.59007042350725e-38	-4.57914670291835	0	0.9	2.220590129905e-33	Cluster_9	Cluster_14
Serpinb1a	6.59007042350725e-38	-2.83843508564495	0	0.9	2.220590129905e-33	Cluster_9	Cluster_14
Cdh10	6.59007042350725e-38	-2.75135798913241	0	0.9	2.220590129905e-33	Cluster_9	Cluster_14
Jaml	6.59007042350725e-38	-2.51630167290136	0	0.9	2.220590129905e-33	Cluster_9	Cluster_14
Ccr6	6.59007042350725e-38	-1.70384462194795	0	0.9	2.220590129905e-33	Cluster_9	Cluster_14
Itgb7	8.20340011066987e-37	-2.53500812063281	0.012	0.95	2.76421770129132e-32	Cluster_9	Cluster_14
Zbtb16	1.04188294641629e-35	-2.43493122991951	0	0.85	3.51072877624433e-31	Cluster_9	Cluster_14
Sntb1	1.04188294641629e-35	-2.29322894202325	0	0.85	3.51072877624433e-31	Cluster_9	Cluster_14
Podnl1	1.04188294641629e-35	-1.42208369941793	0	0.85	3.51072877624433e-31	Cluster_9	Cluster_14
Cxcr6	2.43992760113138e-35	-3.30104810089631	0.018	0.95	8.22158004477231e-31	Cluster_9	Cluster_14
Maf	4.47819958896721e-34	-3.18632151470513	0.024	0.95	1.50897413349839e-29	Cluster_9	Cluster_14
Samhd1	9.52388785441451e-34	-1.78614171489909	0.006	0.85	3.20916925142351e-29	Cluster_9	Cluster_14
Scart1	1.56442918430994e-33	-4.33474484348055	0	0.8	5.27150057945077e-29	Cluster_9	Cluster_14
Ccr2	1.56442918430994e-33	-2.0801476709334	0	0.8	5.27150057945077e-29	Cluster_9	Cluster_14
Bcl2a1b	1.56442918430994e-33	-1.85522414671839	0	0.8	5.27150057945077e-29	Cluster_9	Cluster_14
Myo1e	1.56442918430994e-33	-1.78512498056248	0	0.8	5.27150057945077e-29	Cluster_9	Cluster_14
Pxdc1	1.56442918430994e-33	-1.70936244206069	0	0.8	5.27150057945077e-29	Cluster_9	Cluster_14
Bcl2a1d	1.56442918430994e-33	-1.70779382698644	0	0.8	5.27150057945077e-29	Cluster_9	Cluster_14
Cst7	1.56442918430994e-33	-1.59776434374211	0	0.8	5.27150057945077e-29	Cluster_9	Cluster_14
Mmp25	1.56442918430994e-33	-1.41968608396306	0	0.8	5.27150057945077e-29	Cluster_9	Cluster_14
Cd53	1.03393377164236e-32	-2.0775413180933	0.018	0.9	3.48394323692611e-28	Cluster_9	Cluster_14
Cd226	2.4617252419416e-32	-2.84558359345607	0.012	0.85	8.29502937524641e-28	Cluster_9	Cluster_14
Trgc1	2.71803613419183e-32	-2.92510438024816	0.012	0.85	9.15869455777278e-28	Cluster_9	Cluster_14
Atp8b4	5.42663524347635e-32	-2.02061214236456	0.012	0.85	1.82855901164179e-27	Cluster_9	Cluster_14
Pvt1	9.83189408245385e-32	-1.79477476120451	0.006	0.8	3.31295503002365e-27	Cluster_9	Cluster_14
Ubash3b	1.08999184680528e-31	-1.81440642277312	0.006	0.8	3.67283652699508e-27	Cluster_9	Cluster_14
Farp1	1.08999184680528e-31	-1.71694573439146	0.006	0.8	3.67283652699508e-27	Cluster_9	Cluster_14
Abi3bp	1.20830446360497e-31	-2.60306529516944	0.006	0.8	4.07150272056331e-27	Cluster_9	Cluster_14
Gpr183	2.18927588227915e-31	-1.83466926153069	0.024	0.9	7.37698401292783e-27	Cluster_9	Cluster_14
Ccnd2	2.23274136547553e-31	-2.33712833783954	0	0.75	7.52344530510633e-27	Cluster_9	Cluster_14
Cd7	2.23274136547553e-31	-1.85891796887905	0	0.75	7.52344530510633e-27	Cluster_9	Cluster_14
Rarg	2.23274136547553e-31	-1.82185056765032	0	0.75	7.52344530510633e-27	Cluster_9	Cluster_14
Kcnk1	2.23274136547553e-31	-1.59314617321501	0	0.75	7.52344530510633e-27	Cluster_9	Cluster_14
S100a6	6.68156632051308e-31	-4.6781146408976	0.018	0.85	2.25142058736009e-26	Cluster_9	Cluster_14
H2-Q7	8.87106482519126e-31	-1.67234457934244	0.018	0.85	2.98919400349645e-26	Cluster_9	Cluster_14
Trgc4	5.76998116381911e-30	-2.02891008021664	0.012	0.8	1.94425285296049e-25	Cluster_9	Cluster_14
Tmem176a	2.08014172676983e-29	-2.96295289401276	0.024	0.85	7.00924556252362e-25	Cluster_9	Cluster_14
Actn2	2.19311500697832e-29	-1.69084739210641	0.006	0.75	7.38992032751415e-25	Cluster_9	Cluster_14
Or13a27	3.03124108177167e-29	-1.88142993000446	0	0.7	1.02140699491378e-24	Cluster_9	Cluster_14
Chd7	3.03124108177167e-29	-1.59264803842257	0	0.7	1.02140699491378e-24	Cluster_9	Cluster_14
Gprin3	3.03124108177167e-29	-1.4799855205288	0	0.7	1.02140699491378e-24	Cluster_9	Cluster_14
Sox13	3.03124108177167e-29	-1.46511161289045	0	0.7	1.02140699491378e-24	Cluster_9	Cluster_14
Pik3ap1	3.03124108177167e-29	-1.463742319983	0	0.7	1.02140699491378e-24	Cluster_9	Cluster_14
Zfp462	3.03124108177167e-29	-1.38060798036384	0	0.7	1.02140699491378e-24	Cluster_9	Cluster_14
Trpm6	3.03124108177167e-29	-1.2716440771487	0	0.7	1.02140699491378e-24	Cluster_9	Cluster_14
Tnfrsf25	3.03124108177167e-29	-1.11875057161956	0	0.7	1.02140699491378e-24	Cluster_9	Cluster_14
