	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	3.36357842728675e-52	-3.23671602099803	0.006	0.937	1.13339138685854e-47	Cluster_9	DN_Precursors
Il2ra	9.95413730507534e-51	-3.27563171676185	0.03	0.937	3.35414610631819e-46	Cluster_9	DN_Precursors
Atp8b4	2.51128029101561e-50	-2.91051555059512	0.012	0.919	8.4620100686062e-46	Cluster_9	DN_Precursors
Trgc2	4.14955063337509e-47	-2.69515517080412	0.012	0.874	1.39823258142207e-42	Cluster_9	DN_Precursors
Cd8a	5.09348944179515e-47	3.46384543471495	1	0.081	1.71630220230729e-42	Cluster_9	DN_Precursors
Cdk6	1.34458170556102e-46	-3.47338884363731	0.494	1	4.53070251505843e-42	Cluster_9	DN_Precursors
Cd8b1	2.55500057426068e-46	3.92705254441504	1	0.162	8.60932993502878e-42	Cluster_9	DN_Precursors
Myl10	2.89863791127999e-46	-3.25880138461143	0.185	0.955	9.76725030584907e-42	Cluster_9	DN_Precursors
Trgc1	1.11857084686414e-45	-2.69246628738357	0.012	0.856	3.76913632559342e-41	Cluster_9	DN_Precursors
Ptms	8.55387544005637e-45	3.11708063026933	0.988	0.234	2.8823138682814e-40	Cluster_9	DN_Precursors
Plac8	2.17991999847378e-44	-3.42793563516873	0.012	0.838	7.34545842685724e-40	Cluster_9	DN_Precursors
Ccnd2	5.59226693319677e-44	-1.91609480716822	0	0.82	1.88437026580998e-39	Cluster_9	DN_Precursors
Calm1	1.10341253660764e-42	2.21999725352489	1	0.793	3.71805888335312e-38	Cluster_9	DN_Precursors
Glcci1	1.89645585107878e-42	2.91226308794611	0.988	0.559	6.39029763579506e-38	Cluster_9	DN_Precursors
Cd4	2.52890618731832e-42	2.53726219510157	0.964	0.081	8.5214022887878e-38	Cluster_9	DN_Precursors
Gria3	2.82255495824565e-42	-2.14931987861715	0.048	0.865	9.51088118730455e-38	Cluster_9	DN_Precursors
Hes1	4.17702542085142e-42	-2.1191055508999	0	0.793	1.4074904858101e-37	Cluster_9	DN_Precursors
Hdac4	1.08824039563588e-41	-2.74951390247608	0.208	0.937	3.66693483713465e-37	Cluster_9	DN_Precursors
Trgc4	4.10181221839829e-41	-2.16096744269672	0.012	0.793	1.38214664511149e-36	Cluster_9	DN_Precursors
Lockd	6.92525751818503e-41	2.9053466427072	0.946	0.162	2.33353477332763e-36	Cluster_9	DN_Precursors
Hmgb1	9.59267141618975e-41	2.117439418802	1	0.982	3.2323465603993e-36	Cluster_9	DN_Precursors
Satb1	3.97073211045098e-40	2.05862745418142	1	0.973	1.33797789193756e-35	Cluster_9	DN_Precursors
Ccnd3	4.04666880711708e-40	1.88262699433494	1	0.937	1.36356552124617e-35	Cluster_9	DN_Precursors
Wwox	4.15552314569028e-40	-3.55316965044452	0.304	0.991	1.4002450791718e-35	Cluster_9	DN_Precursors
