	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ccnb2	4.42789464689641e-150	2.8359953090364	0.869	0.009	1.49202338021821e-145	Cluster_9	SP
Lockd	2.19975251964188e-135	2.99607146309477	0.946	0.072	7.41228609018528e-131	Cluster_9	SP
Cenpe	6.86656211328355e-135	2.34344205912241	0.815	0.015	2.31375676969203e-130	Cluster_9	SP
Cenpf	1.53157069543988e-133	3.42276737639442	0.833	0.023	5.16078061535422e-129	Cluster_9	SP
Birc5	9.61814134872383e-133	2.66848831479941	0.839	0.025	3.24092890886598e-128	Cluster_9	SP
Mki67	2.73651588417079e-124	2.98753453313726	0.81	0.031	9.2209639233019e-120	Cluster_9	SP
Knstrn	5.05332364702299e-119	1.65945473903549	0.75	0.016	1.70276793610087e-114	Cluster_9	SP
Tpx2	9.61119081575641e-119	2.20869574985168	0.732	0.013	3.23858685727728e-114	Cluster_9	SP
Cenpa	9.4096358231864e-118	2.90867089053277	0.905	0.1	3.17067088698089e-113	Cluster_9	SP
Cdca8	7.05603776488774e-116	2.07288675425318	0.732	0.018	2.37760248525657e-111	Cluster_9	SP
Ube2c	5.15638359527985e-110	3.70359302731861	0.738	0.029	1.7374950162655e-105	Cluster_9	SP
Dlgap5	2.75301678317826e-109	1.81483974098929	0.667	0.007	9.27656535259748e-105	Cluster_9	SP
Cdc20	2.11343746175176e-107	2.45495881304291	0.69	0.018	7.12143887111874e-103	Cluster_9	SP
Cdca3	1.40051869041673e-104	1.46093046788818	0.673	0.015	4.71918777922822e-100	Cluster_9	SP
Knl1	3.32723855811328e-104	2.02221500558648	0.69	0.022	1.12114630454185e-99	Cluster_9	SP
Hmmr	4.19784314649226e-96	1.93971122345753	0.601	0.009	1.41450522664203e-91	Cluster_9	SP
Ccnb1	4.86936402834733e-96	2.02063717110612	0.619	0.013	1.64078090299192e-91	Cluster_9	SP
Cks2	3.75718121690264e-89	2.73443653238411	0.78	0.104	1.26601978284751e-84	Cluster_9	SP
Depdc1a	5.60056194797394e-89	1.21913920314019	0.536	0.001	1.8871653539893e-84	Cluster_9	SP
Kif4	3.29324622639983e-88	1.07316623126066	0.524	0	1.10969224844769e-83	Cluster_9	SP
