	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cd74	5.92203820383218e-42	-6.43325143631721	0.024	0.877	1.99548999316329e-37	Cluster_9	Stroma
Ctss	9.82706260914441e-42	-3.63704973560023	0.006	0.849	3.3113270167773e-37	Cluster_9	Stroma
H2-Aa	2.14458711149021e-38	-5.29360478283019	0.006	0.795	7.22640073087741e-34	Cluster_9	Stroma
H2-Eb1	3.7798056081413e-35	-5.04306317063423	0.006	0.74	1.27364329771929e-30	Cluster_9	Stroma
H2-Ab1	1.26080078756533e-34	-4.93273074338011	0.071	0.822	4.24839433378013e-30	Cluster_9	Stroma
Cd3g	1.89305807617198e-34	3.18600025552902	1	0.192	6.37884849346911e-30	Cluster_9	Stroma
Stmn1	3.65724174716042e-34	3.66823347616893	1	0.26	1.23234417912318e-29	Cluster_9	Stroma
Hmgb1	6.55548638989667e-34	3.31656429823062	1	0.822	2.20893669393958e-29	Cluster_9	Stroma
Trbc2	9.39042691169965e-34	3.94031139218196	1	0.342	3.16419825216631e-29	Cluster_9	Stroma
Dntt	1.34265256556658e-33	3.26183048694466	1	0.192	4.52420208493316e-29	Cluster_9	Stroma
Lyn	2.98235294439926e-33	-2.77677474495237	0.042	0.767	1.00493364814477e-28	Cluster_9	Stroma
Ifi30	9.91390768410005e-33	-3.03273667875166	0.048	0.767	3.34059033323435e-28	Cluster_9	Stroma
Cd8b1	1.84307857168442e-32	3.08217762407643	1	0.247	6.21043755514783e-28	Cluster_9	Stroma
Gmfg	2.00902152423721e-32	2.36199409603641	1	0.548	6.76959892806971e-28	Cluster_9	Stroma
Cd3d	1.23700406053178e-31	2.57097782810838	0.994	0.178	4.16820888236789e-27	Cluster_9	Stroma
Lat	1.69216543914641e-31	2.3787894796184	0.982	0.192	5.70192066374774e-27	Cluster_9	Stroma
Tcf7	1.81346806257045e-31	2.60175196753995	1	0.37	6.1106619836374e-27	Cluster_9	Stroma
Thy1	2.33411313929682e-31	2.53285351071783	0.988	0.178	7.86502763417457e-27	Cluster_9	Stroma
Hmgn2	2.33423386832755e-31	2.86904632856878	0.982	0.397	7.86543444271653e-27	Cluster_9	Stroma
Ctsh	2.65155224024618e-31	-2.39162311277841	0.006	0.671	8.93467042873354e-27	Cluster_9	Stroma
Mns1	3.10895154800274e-31	2.82076448545492	0.94	0.096	1.047592313615e-26	Cluster_9	Stroma
Rag1	1.00785471887398e-30	2.78597824378398	0.988	0.219	3.39606726071775e-26	Cluster_9	Stroma
Endou	1.7114464660099e-30	2.34372910824689	0.988	0.192	5.76689001186696e-26	Cluster_9	Stroma
Lockd	2.43994498519951e-30	2.84190766199004	0.946	0.178	8.22163862212826e-26	Cluster_9	Stroma
H2az2	4.79256374975779e-30	2.4523392391899	0.988	0.452	1.61490228111839e-25	Cluster_9	Stroma
A630014C17Rik	6.15101764184329e-30	2.04923978471691	0.958	0.137	2.07264690459551e-25	Cluster_9	Stroma
Septin1	9.25866486719133e-30	2.08784355168071	0.964	0.301	3.11979971364879e-25	Cluster_9	Stroma
Ppp1r14b	9.3671861096513e-30	2.2408693026942	1	0.438	3.1563670315081e-25	Cluster_9	Stroma
Ly86	9.48577813644245e-30	-2.32818952731183	0	0.63	3.19632780085565e-25	Cluster_9	Stroma
Ptma	2.79457496478137e-29	1.97722021857759	1	0.904	9.41659980132732e-25	Cluster_9	Stroma
Ccnd3	3.06991224647524e-29	2.31374192883742	1	0.575	1.0344376305723e-24	Cluster_9	Stroma
Cd3e	3.48259917168037e-29	2.21220630852175	0.982	0.205	1.17349661688942e-24	Cluster_9	Stroma
Cybb	5.11159409937738e-29	-2.60071845601864	0	0.616	1.7224027477262e-24	Cluster_9	Stroma
Unc93b1	5.11159409937738e-29	-2.08292828753893	0	0.616	1.7224027477262e-24	Cluster_9	Stroma
Sh2d1a	5.122962380903e-29	2.38236943902622	0.964	0.178	1.72623340386907e-24	Cluster_9	Stroma
Hmgb2	6.66624275224634e-29	3.67368530201252	0.97	0.575	2.24625715779693e-24	Cluster_9	Stroma
Btg2	1.62979134121255e-28	2.00619959594004	0.994	0.562	5.49174490334981e-24	Cluster_9	Stroma
Ramp1	3.44085853252663e-28	1.88091149002632	0.982	0.315	1.15943169112017e-23	Cluster_9	Stroma
Aqp11	5.67592719396955e-28	2.33201582075228	0.917	0.123	1.91256042727998e-23	Cluster_9	Stroma
H2-K1	6.20955322196751e-28	-3.61593788146608	0.292	0.863	2.09237105367417e-23	Cluster_9	Stroma
Cd8a	8.13777400293337e-28	2.31238020172358	1	0.274	2.74210432802843e-23	Cluster_9	Stroma
Desi1	8.60759428588637e-28	1.86561288215905	0.94	0.288	2.90041497057227e-23	Cluster_9	Stroma
Rmnd5a	1.54140100088282e-27	2.14007381083537	0.988	0.384	5.19390481257474e-23	Cluster_9	Stroma
Glcci1	1.57447223349632e-27	2.20563365439226	0.988	0.411	5.3053416379892e-23	Cluster_9	Stroma
Samhd1	2.26643392609686e-27	-1.74119480076774	0.006	0.603	7.63697575737596e-23	Cluster_9	Stroma
Anxa2	2.51877208867488e-27	2.00703357219791	0.994	0.438	8.48725442999886e-23	Cluster_9	Stroma
Gm4258	4.03899475243924e-27	2.42781140418928	1	0.438	1.36097967178193e-22	Cluster_9	Stroma
Ccnb2	5.4908548565944e-27	2.67296642803122	0.869	0.068	1.85019845247805e-22	Cluster_9	Stroma
Tyrobp	7.42154017017267e-27	-3.71214358271496	0.006	0.589	2.50076217574138e-22	Cluster_9	Stroma
Cd247	8.28896294694024e-27	2.08258042325455	0.988	0.219	2.79304895460098e-22	Cluster_9	Stroma
Fcer1g	9.00718870309106e-27	-3.51880123879268	0.006	0.589	3.03506230539356e-22	Cluster_9	Stroma
Cenpa	1.24952917483481e-26	2.63312739231828	0.905	0.164	4.21041350752337e-22	Cluster_9	Stroma
Ccr9	2.46408620537202e-26	2.09918569176982	0.976	0.233	8.30298487762155e-22	Cluster_9	Stroma
Anp32e	2.90854112796191e-26	2.02576197757221	0.952	0.493	9.80062018478044e-22	Cluster_9	Stroma
Ldhb	2.96753730439164e-26	2.03447565857782	0.929	0.178	9.99941370087809e-22	Cluster_9	Stroma
Lck	3.24169105481273e-26	1.90899255991278	0.988	0.26	1.0923202178297e-21	Cluster_9	Stroma
Bcl11b	3.94177868240117e-26	2.26070725908968	1	0.274	1.3282217448219e-21	Cluster_9	Stroma
H2-Q7	3.9518940236426e-26	-2.09817238416238	0.018	0.603	1.33163021020661e-21	Cluster_9	Stroma
Rgcc	5.16682392892756e-26	2.29277197714965	0.917	0.192	1.74101299109143e-21	Cluster_9	Stroma
H2az1	5.5659406356513e-26	2.04700315285687	0.994	0.781	1.87549935658906e-21	Cluster_9	Stroma
Cd27	5.63426235852347e-26	1.81481509897565	0.935	0.164	1.89852104432807e-21	Cluster_9	Stroma
Wdfy4	7.18653708528888e-26	-2.31598854702798	0.012	0.589	2.42157553625894e-21	Cluster_9	Stroma
Arpp21	7.22521832236313e-26	2.21664238798521	0.994	0.233	2.43460956590348e-21	Cluster_9	Stroma
Cenpf	1.47147228592468e-25	3.37860438327437	0.833	0.055	4.95827301465181e-21	Cluster_9	Stroma
Satb1	1.7384606823061e-25	2.12428419143964	1	0.493	5.85791711509865e-21	Cluster_9	Stroma
Xrcc6	1.83946261165854e-25	2.02454339249478	0.905	0.247	6.19825321624462e-21	Cluster_9	Stroma
Mpeg1	1.89992999412321e-25	-2.07511230954443	0	0.548	6.40200410819758e-21	Cluster_9	Stroma
Snx9	1.89992999412321e-25	-1.04462232855216	0	0.548	6.40200410819758e-21	Cluster_9	Stroma
Nsg2	1.96159623947093e-25	1.96807809081	0.946	0.151	6.60979468852126e-21	Cluster_9	Stroma
Ezr	2.43954287894802e-25	1.59417716974922	0.988	0.521	8.22028368490325e-21	Cluster_9	Stroma
Birc5	2.77421748144026e-25	2.56633659565121	0.839	0.041	9.34800322546109e-21	Cluster_9	Stroma
Themis	3.06632120466168e-25	2.30488361274387	1	0.274	1.0332275931228e-20	Cluster_9	Stroma
Dynll1	3.08277977817977e-25	1.7756421416364	1	0.74	1.03877347405546e-20	Cluster_9	Stroma
Napsa	9.45585219557693e-25	-1.4509088595403	0	0.534	3.1862439558216e-20	Cluster_9	Stroma
Ets1	1.11611762785275e-24	1.74889869063433	0.994	0.479	3.76086995881264e-20	Cluster_9	Stroma
Cenpe	2.34915317026426e-24	2.25077566158504	0.815	0.041	7.91570652252246e-20	Cluster_9	Stroma
Cd53	2.46952100045796e-24	-1.57047413112646	0.018	0.575	8.32129796314316e-20	Cluster_9	Stroma
Hnrnpa0	3.73518488086229e-24	1.39592521730635	0.994	0.63	1.25860789745536e-19	Cluster_9	Stroma
Marchf1	4.64619658568414e-24	-1.99058198978312	0	0.521	1.56558240151213e-19	Cluster_9	Stroma
Cd86	4.64619658568414e-24	-1.70489482934753	0	0.521	1.56558240151213e-19	Cluster_9	Stroma
Pik3ap1	4.64619658568414e-24	-1.70403436107642	0	0.521	1.56558240151213e-19	Cluster_9	Stroma
Cd180	4.64619658568414e-24	-1.49245796225107	0	0.521	1.56558240151213e-19	Cluster_9	Stroma
Skap1	4.877516581319e-24	1.8477234129312	0.988	0.274	1.64352798724125e-19	Cluster_9	Stroma
Nucks1	1.41314662609088e-23	1.93835905121008	0.94	0.589	4.76173887127584e-19	Cluster_9	Stroma
Pycard	1.53307409769538e-23	1.55387359243347	0.976	0.507	5.16584647959434e-19	Cluster_9	Stroma
Rag2	1.8970394285501e-23	1.83430832834032	0.815	0.11	6.3922640584424e-19	Cluster_9	Stroma
Grn	2.2541462792226e-23	-1.86878861660301	0	0.507	7.59557130246846e-19	Cluster_9	Stroma
Rcbtb2	2.40767810624269e-23	1.61024776512356	0.911	0.301	8.11291214679538e-19	Cluster_9	Stroma
Lgals3	2.41695571844417e-23	-3.50856710936003	0.018	0.548	8.14417398886949e-19	Cluster_9	Stroma
Lgals1	3.26328381304817e-23	1.90184914250283	0.97	0.479	1.09959611364471e-18	Cluster_9	Stroma
Znrf1	4.83835744390464e-23	1.73342153115473	0.976	0.397	1.63033292429811e-18	Cluster_9	Stroma
Gm37065	9.97808783859898e-23	1.56181942083522	0.827	0.123	3.36221647809431e-18	Cluster_9	Stroma
H2-D1	1.00087603258353e-22	-2.69430857584762	0.595	0.89	3.37255187939347e-18	Cluster_9	Stroma
Sirpa	1.07996136337095e-22	-2.56642454950955	0	0.493	3.63903781001474e-18	Cluster_9	Stroma
Mef2c	1.07996136337095e-22	-2.34681248760416	0	0.493	3.63903781001474e-18	Cluster_9	Stroma
Bcl2a1b	1.07996136337095e-22	-1.95614471266853	0	0.493	3.63903781001474e-18	Cluster_9	Stroma
2610307P16Rik	1.15261524414835e-22	1.94251546355099	0.952	0.219	3.88385232668229e-18	Cluster_9	Stroma
Ms4a6c	1.21533780304771e-22	-1.7400732720494	0.012	0.521	4.09520226114958e-18	Cluster_9	Stroma
Rassf4	1.31744364663483e-22	-1.42720690898776	0.006	0.507	4.43925811170071e-18	Cluster_9	Stroma
Paip2	2.03820829224566e-22	1.52918862810795	0.97	0.603	6.86794666155099e-18	Cluster_9	Stroma
Spacdr	2.17409946137932e-22	1.46787745173334	1	0.644	7.32584554506377e-18	Cluster_9	Stroma
Ntrk3	2.18592994224581e-22	1.62866821408395	0.875	0.178	7.36570953339147e-18	Cluster_9	Stroma
Sfpq	2.37060902453801e-22	1.51233858873515	0.964	0.644	7.98800416908328e-18	Cluster_9	Stroma
Top2b	2.93716303612725e-22	1.53609667114931	0.94	0.507	9.8970645665344e-18	Cluster_9	Stroma
Zeb2	2.9484090285738e-22	-2.83394570309761	0.012	0.521	9.93495906268228e-18	Cluster_9	Stroma
Aif1	5.1101098883023e-22	-3.12802866090251	0	0.479	1.72190262796234e-17	Cluster_9	Stroma
Gm15987	5.1101098883023e-22	-2.28149649510894	0	0.479	1.72190262796234e-17	Cluster_9	Stroma
Spi1	5.1101098883023e-22	-1.56680332974042	0	0.479	1.72190262796234e-17	Cluster_9	Stroma
Plek	5.1101098883023e-22	-1.4294406747859	0	0.479	1.72190262796234e-17	Cluster_9	Stroma
Trat1	5.93201900506446e-22	1.61387151235107	0.917	0.192	1.99885312394652e-17	Cluster_9	Stroma
Lyz2	6.39520187767034e-22	-4.68228680551086	0.006	0.493	2.1549272246998e-17	Cluster_9	Stroma
Rbm3	6.86013118351731e-22	1.38062782211507	0.988	0.74	2.31158980359799e-17	Cluster_9	Stroma
Hp1bp3	6.99713982893572e-22	1.59914535549525	0.905	0.507	2.35775623675818e-17	Cluster_9	Stroma
Mki67	1.20712637883113e-21	2.65086424701464	0.81	0.164	4.06753304610939e-17	Cluster_9	Stroma
Smc4	1.31156246937135e-21	1.96284074785555	0.923	0.425	4.4194408967937e-17	Cluster_9	Stroma
Rhoh	2.13483079180068e-21	1.62745742740857	0.94	0.452	7.19352583605156e-17	Cluster_9	Stroma
Plbd1	3.15071574520329e-21	-2.29828315830037	0.012	0.493	1.0616651775037e-16	Cluster_9	Stroma
Cd4	3.55945204350776e-21	1.57211756704704	0.964	0.274	1.19939296058037e-16	Cluster_9	Stroma
