	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	7.86580596868039e-30	-4.0332739933196	0	1	2.65046197920654e-25	DN_Precursors	Cluster_14
Il18r1	7.86580596868039e-30	-3.2503900504212	0	1	2.65046197920654e-25	DN_Precursors	Cluster_14
Il1r1	1.04899601116473e-28	-3.53129763918439	0.009	1	3.53469695922067e-24	DN_Precursors	Cluster_14
Cxcr6	4.65522846301114e-27	-3.32542755623468	0.009	0.95	1.56862578289623e-22	DN_Precursors	Cluster_14
Cdh10	1.31288704718283e-26	-2.75135798913241	0	0.9	4.42390419418727e-22	DN_Precursors	Cluster_14
Ccr6	1.31288704718283e-26	-1.70384462194795	0	0.9	4.42390419418727e-22	DN_Precursors	Cluster_14
Clnk	5.08479723768303e-26	-3.77495736638681	0.018	0.95	1.71337327720967e-21	DN_Precursors	Cluster_14
S100a4	1.95167788079111e-25	-4.57403611657385	0.009	0.9	6.57637378711372e-21	DN_Precursors	Cluster_14
Jaml	1.95167788079111e-25	-2.50356548508999	0.009	0.9	6.57637378711372e-21	DN_Precursors	Cluster_14
Itgb7	4.45600045012929e-25	-2.52557592298217	0.027	0.95	1.50149391167557e-20	DN_Precursors	Cluster_14
Zbtb16	4.94528793938882e-25	-2.43493122991951	0	0.85	1.66636422405646e-20	DN_Precursors	Cluster_14
S100a6	7.73673098356626e-24	-4.70259438437483	0.009	0.85	2.60696887222249e-19	DN_Precursors	Cluster_14
Fstl4	1.19388820710438e-23	-2.20163319954517	0.009	0.85	4.02292570265891e-19	DN_Precursors	Cluster_14
Abi3bp	1.76693073324359e-23	-2.6194046241356	0	0.8	5.95384979873759e-19	DN_Precursors	Cluster_14
Pxdc1	1.76693073324359e-23	-1.70936244206069	0	0.8	5.95384979873759e-19	DN_Precursors	Cluster_14
Bcl2a1d	1.76693073324359e-23	-1.70779382698644	0	0.8	5.95384979873759e-19	DN_Precursors	Cluster_14
Mmp25	1.76693073324359e-23	-1.41968608396306	0	0.8	5.95384979873759e-19	DN_Precursors	Cluster_14
Marchf3	2.96895759828446e-23	-3.2294862988139	0.027	0.9	1.00041995231793e-18	DN_Precursors	Cluster_14
Samhd1	1.86617622922556e-22	-1.76728113388827	0.018	0.85	6.28826742199846e-18	DN_Precursors	Cluster_14
Ahnak	2.90244485864756e-22	-2.34684138364563	0.009	0.8	9.78007819569882e-18	DN_Precursors	Cluster_14
Ckb	2.90244485864756e-22	-2.20268625668544	0.009	0.8	9.78007819569882e-18	DN_Precursors	Cluster_14
Farp1	2.90244485864756e-22	-1.71678277499271	0.009	0.8	9.78007819569882e-18	DN_Precursors	Cluster_14
Bcl2a1b	3.59740027941769e-22	-1.84082430663412	0.009	0.8	1.21217999815259e-17	DN_Precursors	Cluster_14
Rarg	5.99458378626719e-22	-1.82185056765032	0	0.75	2.01993495262059e-17	DN_Precursors	Cluster_14
Kcnk1	5.99458378626719e-22	-1.59314617321501	0	0.75	2.01993495262059e-17	DN_Precursors	Cluster_14
Niban1	6.30611674943059e-22	-2.13619518156201	0.063	0.95	2.12490909988813e-17	DN_Precursors	Cluster_14
Maf	1.98786134783705e-21	-3.11173802193733	0.072	0.95	6.69829759767174e-17	DN_Precursors	Cluster_14
Rora	2.73770362463082e-21	-2.32643421695242	0.045	0.9	9.224966133556e-17	DN_Precursors	Cluster_14
Ikzf3	5.46569854770741e-21	-2.58489057046001	0.099	1	1.84172178263549e-16	DN_Precursors	Cluster_14
Gm26740	5.93031497655655e-21	-2.25310381439512	0.099	1	1.9982789345005e-16	DN_Precursors	Cluster_14
Apol7e	6.74312149071138e-21	-1.71331099606405	0.036	0.85	2.27216221751011e-16	DN_Precursors	Cluster_14
Myo1e	7.88252890291566e-21	-1.7388728513043	0.018	0.8	2.65609693912646e-16	DN_Precursors	Cluster_14
Adam12	1.03132110130443e-20	-2.64440557395136	0.009	0.75	3.4751395829554e-16	DN_Precursors	Cluster_14
Or13a27	1.93317636375132e-20	-1.88142993000446	0	0.7	6.51403107529646e-16	DN_Precursors	Cluster_14
Zfp462	1.93317636375132e-20	-1.38060798036384	0	0.7	6.51403107529646e-16	DN_Precursors	Cluster_14
Trpm6	1.93317636375132e-20	-1.2716440771487	0	0.7	6.51403107529646e-16	DN_Precursors	Cluster_14
Il17re	1.93317636375132e-20	-1.17375197618382	0	0.7	6.51403107529646e-16	DN_Precursors	Cluster_14
Tnfrsf25	1.93317636375132e-20	-1.11875057161956	0	0.7	6.51403107529646e-16	DN_Precursors	Cluster_14
St3gal6	3.23988217709246e-20	-2.13649466967658	0.027	0.8	1.09171069839308e-15	DN_Precursors	Cluster_14
F2r	4.14282521753574e-20	-2.13746285060462	0.045	0.85	1.39596638530084e-15	DN_Precursors	Cluster_14
Ccr2	5.26426604422829e-20	-2.03636678797638	0.027	0.8	1.77384708626317e-15	DN_Precursors	Cluster_14
Itgae	5.7382898934333e-20	-2.28049058837198	0.054	0.9	1.93357416249128e-15	DN_Precursors	Cluster_14
Podnl1	1.12458901152379e-19	-1.37526223233227	0.045	0.85	3.78941513323057e-15	DN_Precursors	Cluster_14
Nav2	2.26464336126776e-19	-2.43417611462741	0.072	0.9	7.63094227012783e-15	DN_Precursors	Cluster_14
Cd44	2.37146916000639e-19	-2.15915785435155	0.054	0.85	7.99090248155752e-15	DN_Precursors	Cluster_14
Coro2b	2.83015497398258e-19	-1.62538463154976	0.018	0.75	9.53649020033169e-15	DN_Precursors	Cluster_14
Pik3ap1	3.47378586332744e-19	-1.45816960477535	0.009	0.7	1.17052688450682e-14	DN_Precursors	Cluster_14
Chd7	4.75543746537307e-19	-1.57367102784997	0.009	0.7	1.60239220833211e-14	DN_Precursors	Cluster_14
Arnt2	5.93249226024132e-19	-1.45464895752571	0	0.65	1.99901259201092e-14	DN_Precursors	Cluster_14
Apol7b	5.93249226024132e-19	-1.10982126078051	0	0.65	1.99901259201092e-14	DN_Precursors	Cluster_14
Ltb4r1	5.93249226024132e-19	-1.0569788389196	0	0.65	1.99901259201092e-14	DN_Precursors	Cluster_14
Icos	7.37297287358957e-19	-2.25075392198307	0.054	0.85	2.48439693948474e-14	DN_Precursors	Cluster_14
Cers4	3.70202456096069e-18	-1.64181719623145	0.027	0.75	1.24743419606132e-13	DN_Precursors	Cluster_14
Cd226	6.53665185933236e-18	-2.69106893113107	0.072	0.85	2.20259021052063e-13	DN_Precursors	Cluster_14
Gpr183	9.67677589652635e-18	-1.66730904908215	0.081	0.9	3.26068640609352e-13	DN_Precursors	Cluster_14
Trdv4	1.734454911065e-17	-3.01632812749705	0	0.6	5.84441926832462e-13	DN_Precursors	Cluster_14
Rnf43	1.734454911065e-17	-1.43804759370994	0	0.6	5.84441926832462e-13	DN_Precursors	Cluster_14
Lrrn2	1.734454911065e-17	-1.40562741801846	0	0.6	5.84441926832462e-13	DN_Precursors	Cluster_14
Rasgef1b	1.734454911065e-17	-1.29101663943303	0	0.6	5.84441926832462e-13	DN_Precursors	Cluster_14
Cpe	1.734454911065e-17	-1.16599555429848	0	0.6	5.84441926832462e-13	DN_Precursors	Cluster_14
