	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Mki67	2.8304313927765e-123	3.65095594702812	1	0.016	9.53742162109971e-119	DPblast	CD8_exhausted_naive
Top2a	3.09681629759115e-122	4.12759163227562	1	0.047	1.04350321963632e-117	DPblast	CD8_exhausted_naive
Hmgb2	3.18260773034332e-122	4.88583435809938	1	0.187	1.07241150081648e-117	DPblast	CD8_exhausted_naive
Ppia	9.50581751707351e-122	4.01074556129478	1	0.3	3.20308027055309e-117	DPblast	CD8_exhausted_naive
Hmgn2	1.67448312605002e-121	3.71751190516579	0.998	0.101	5.64233834153815e-117	DPblast	CD8_exhausted_naive
H2ac22	2.10535260314673e-121	3.3330165130628	0.992	0.012	7.09419613156322e-117	DPblast	CD8_exhausted_naive
Stmn1	2.26435390138817e-121	3.90216478852216	1	0.152	7.62996690611757e-117	DPblast	CD8_exhausted_naive
H1f5	2.52834985829441e-121	5.65705600002765	0.992	0.062	8.51952768250885e-117	DPblast	CD8_exhausted_naive
H2ac4	2.53531239922175e-121	3.91969758518903	0.99	0.004	8.54298866041761e-117	DPblast	CD8_exhausted_naive
H2ac8	3.29531818478322e-121	4.66896676584167	0.992	0.047	1.11039041554455e-116	DPblast	CD8_exhausted_naive
Ptma	4.93086861121867e-121	3.64242483547421	1	0.65	1.66150548723624e-116	DPblast	CD8_exhausted_naive
H2ac24	8.00060484473387e-121	4.26282881274088	0.989	0.016	2.69588380848152e-116	DPblast	CD8_exhausted_naive
H2az1	1.18212394160897e-120	4.23597013175543	1	0.156	3.98328483364559e-116	DPblast	CD8_exhausted_naive
Hmgb1	1.32923259644524e-120	3.42751626742968	1	0.506	4.47898215698189e-116	DPblast	CD8_exhausted_naive
H4c4	2.73109069699005e-120	3.9977898156417	0.997	0.093	9.20268321257766e-116	DPblast	CD8_exhausted_naive
Cox8a	6.31815145838955e-120	3.00824687834696	0.997	0.054	2.12896431541894e-115	DPblast	CD8_exhausted_naive
H3c3	8.26856176160725e-120	3.88352668713214	0.987	0.016	2.78617457119118e-115	DPblast	CD8_exhausted_naive
Spc24	1.22757357180171e-119	2.25378493109771	0.987	0.008	4.13643190754304e-115	DPblast	CD8_exhausted_naive
Rpl28	1.59405530730035e-119	3.29023545897561	1	0.311	5.37132876347926e-115	DPblast	CD8_exhausted_naive
Rps16	4.15667581891194e-119	3.46423676144631	1	0.304	1.40063348394057e-114	DPblast	CD8_exhausted_naive
Tpt1	5.86518703297072e-119	2.98429171055669	1	0.533	1.97633342262981e-114	DPblast	CD8_exhausted_naive
Rpl19	7.05372618878304e-119	3.12495834800461	1	0.339	2.37682357657233e-114	DPblast	CD8_exhausted_naive
Tuba1b	9.43278180742149e-119	3.36746841492752	1	0.089	3.17847015782875e-114	DPblast	CD8_exhausted_naive
H2ax	1.18361552846119e-118	3.19559568324849	0.979	0.012	3.98831088470282e-114	DPblast	CD8_exhausted_naive
Pclaf	1.70718629848732e-118	3.60721639396157	0.981	0.019	5.75253495138286e-114	DPblast	CD8_exhausted_naive
Ubb	1.03270200204995e-117	3.33060394915139	1	0.385	3.47979266610752e-113	DPblast	CD8_exhausted_naive
Birc5	1.16919844033679e-117	2.93011778173001	0.986	0.019	3.93973106455885e-113	DPblast	CD8_exhausted_naive
Cdca8	1.3037835801016e-117	2.36184299557593	0.975	0.004	4.39322915151037e-113	DPblast	CD8_exhausted_naive
Rpl34	1.68648090570206e-117	3.09608043209207	0.998	0.222	5.68276605985365e-113	DPblast	CD8_exhausted_naive
Rps24	4.21500888078857e-117	3.31183132301541	1	0.311	1.42028939247052e-112	DPblast	CD8_exhausted_naive
H2ac20	5.64375320075257e-117	2.84656550481673	0.984	0.047	1.90171907852559e-112	DPblast	CD8_exhausted_naive
Fbxo5	8.04047225329606e-117	2.27424977694086	0.973	0.004	2.70931753047064e-112	DPblast	CD8_exhausted_naive
H2ac10	1.05791722247219e-116	2.40057466885904	0.967	0	3.5647578728423e-112	DPblast	CD8_exhausted_naive
Atp5h	1.17423131300715e-116	2.83993113314568	0.997	0.14	3.95668983230889e-112	DPblast	CD8_exhausted_naive
Rpl32	2.54034179627655e-116	3.31127405474254	1	0.304	8.55993571673348e-112	DPblast	CD8_exhausted_naive
H1f4	2.9121560782852e-116	3.5245985643552	0.99	0.086	9.81280112138981e-112	DPblast	CD8_exhausted_naive
Rps29	3.46988110481309e-116	2.89852413509345	1	0.327	1.16921113707782e-111	DPblast	CD8_exhausted_naive
Tubb5	6.48002937161831e-116	2.81184916923058	1	0.315	2.18351069706051e-111	DPblast	CD8_exhausted_naive
Rps10	7.15686060924189e-116	3.19711551913293	1	0.288	2.41157575089015e-111	DPblast	CD8_exhausted_naive
Nusap1	7.2375371036968e-116	3.17694087895201	0.973	0.019	2.43876050246167e-111	DPblast	CD8_exhausted_naive
Kif11	8.24498387651591e-116	2.65182826873277	0.99	0.035	2.7782297670308e-111	DPblast	CD8_exhausted_naive
Fau	2.49225379178685e-115	2.99704626529383	1	0.307	8.39789837680497e-111	DPblast	CD8_exhausted_naive
Knl1	3.00447331913154e-115	2.51034840682377	0.973	0.008	1.01238732961456e-110	DPblast	CD8_exhausted_naive
Cks2	4.27560946350692e-115	2.83173950567044	0.99	0.039	1.44070936482329e-110	DPblast	CD8_exhausted_naive
Rpl35a	8.37690203922578e-115	2.90737047071997	1	0.292	2.82268091113752e-110	DPblast	CD8_exhausted_naive
Rpl13	1.24367420425204e-114	3.27145086256135	1	0.327	4.19068459864768e-110	DPblast	CD8_exhausted_naive
H2bc11	1.25421461703512e-114	1.97417165653277	0.965	0.004	4.22620157356154e-110	DPblast	CD8_exhausted_naive
Rps8	1.75311430767677e-114	3.19067190929395	0.998	0.354	5.90729397114763e-110	DPblast	CD8_exhausted_naive
Prc1	1.78172939698654e-114	2.60168519848865	0.976	0.016	6.00371537608585e-110	DPblast	CD8_exhausted_naive
Rps15a	1.96170200591703e-114	3.04839346287979	0.998	0.304	6.61015107913803e-110	DPblast	CD8_exhausted_naive
Rplp0	2.14004884974999e-114	3.35272523769185	0.998	0.261	7.21110860411757e-110	DPblast	CD8_exhausted_naive
Crip1	2.84886519570392e-114	2.81818502608208	0.995	0.062	9.59953616344393e-110	DPblast	CD8_exhausted_naive
Rps14	6.5523716254368e-114	2.98722592896643	1	0.311	2.20788714290718e-109	DPblast	CD8_exhausted_naive
Rpl15	6.72099276009774e-114	3.1040428847601	0.997	0.245	2.26470572044253e-109	DPblast	CD8_exhausted_naive
Rps17	6.76315578461844e-114	2.82345003715753	1	0.233	2.27891297318503e-109	DPblast	CD8_exhausted_naive
Txn1	8.45449632902865e-114	2.74954784923593	0.997	0.128	2.84882708302949e-109	DPblast	CD8_exhausted_naive
Kif15	1.28244187043168e-113	2.13138746826773	0.968	0.008	4.3213161266066e-109	DPblast	CD8_exhausted_naive
Rpl7	1.61343722739351e-113	2.96027886398277	0.997	0.214	5.43663808142519e-109	DPblast	CD8_exhausted_naive
Rps5	1.63238804122185e-113	3.15633483296284	0.997	0.163	5.50049474370114e-109	DPblast	CD8_exhausted_naive
Lockd	1.77749821169959e-113	2.78251796359493	0.99	0.047	5.98945797414295e-109	DPblast	CD8_exhausted_naive
Lsm5	3.94173397930771e-113	2.04175053793945	0.995	0.031	1.32820668166753e-108	DPblast	CD8_exhausted_naive
H1f1	4.14363940759233e-113	2.81252188914917	0.973	0.035	1.39624073478231e-108	DPblast	CD8_exhausted_naive
Rps3	4.31781712414474e-113	2.91243884940278	0.998	0.276	1.45493165815181e-108	DPblast	CD8_exhausted_naive
Rpl23	5.21748637663549e-113	3.11414334511795	0.998	0.3	1.75808420947109e-108	DPblast	CD8_exhausted_naive
Rps4x	8.45340765793828e-113	3.28269004259011	0.995	0.195	2.84846024441888e-108	DPblast	CD8_exhausted_naive
Rps9	8.47650726724339e-113	2.81792469443452	1	0.304	2.85624388877033e-108	DPblast	CD8_exhausted_naive
Cox7a2	1.30343263073302e-112	2.40636816299991	0.994	0.078	4.39204659251798e-108	DPblast	CD8_exhausted_naive
Rpl21	1.48842455756767e-112	2.76168836804176	0.998	0.311	5.01539538918e-108	DPblast	CD8_exhausted_naive
H2az2	1.76308914191662e-112	2.97281554532481	0.998	0.175	5.94090517260223e-108	DPblast	CD8_exhausted_naive
Rpl18a	2.02071629449629e-112	2.95815924413962	1	0.28	6.80900562593472e-108	DPblast	CD8_exhausted_naive
Rpl11	2.17999471811889e-112	2.82696534464107	1	0.339	7.3457102021734e-108	DPblast	CD8_exhausted_naive
