	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H1f5	1.86728295483383e-85	4.51610318946408	0.992	0.548	6.29199664460809e-81	DPblast	Cluster_9
H2ac8	3.86247121161647e-85	3.77237695962695	0.992	0.595	1.30149829946629e-80	DPblast	Cluster_9
H2ac22	2.85366209965147e-84	2.74378704183974	0.992	0.357	9.6156998109856e-80	DPblast	Cluster_9
H2ac4	6.75695826975987e-84	3.25833186037726	0.99	0.393	2.27682465857828e-79	DPblast	Cluster_9
H3c3	7.3771574911719e-84	3.41096837989852	0.987	0.292	2.48580698822528e-79	DPblast	Cluster_9
H2ac24	1.41447828692742e-83	3.14495261242216	0.989	0.601	4.76622603563064e-79	DPblast	Cluster_9
H4c4	1.8686017183251e-83	3.29071835734003	0.997	0.542	6.29644035006827e-79	DPblast	Cluster_9
H2ac10	7.52071677330197e-82	2.29421840757425	0.967	0.083	2.53418072393183e-77	DPblast	Cluster_9
H1f4	1.07213689990952e-81	2.97820496371605	0.99	0.488	3.61267249793511e-77	DPblast	Cluster_9
H2ac20	3.33872158234432e-81	2.49353711797683	0.984	0.292	1.12501562438674e-76	DPblast	Cluster_9
Fbxo5	1.51539737669839e-79	2.05145892931852	0.973	0.173	5.10628300052288e-75	DPblast	Cluster_9
H1f1	5.90219733210804e-79	2.55582426439227	0.973	0.232	1.98880441302712e-74	DPblast	Cluster_9
H1f3	6.16574939149118e-79	2.38824676725774	0.981	0.339	2.07761091495687e-74	DPblast	Cluster_9
Dek	1.14138805390229e-77	2.06597527235314	0.994	0.655	3.84602118642916e-73	DPblast	Cluster_9
Rrm2	1.8933701591639e-77	2.5174140069677	0.956	0.167	6.37990008831867e-73	DPblast	Cluster_9
Esco2	1.91046607215451e-74	1.83187611973768	0.922	0.054	6.43750647673185e-70	DPblast	Cluster_9
Pclaf	7.26315105293768e-74	2.4949056636496	0.981	0.512	2.44739137879788e-69	DPblast	Cluster_9
H3c6	2.93847500495522e-71	1.86033961633444	0.946	0.19	9.90148537669712e-67	DPblast	Cluster_9
H2bc15	1.13424607016956e-69	1.81268423078434	0.954	0.208	3.82195555804334e-65	DPblast	Cluster_9
Clspn	1.9670285181707e-68	1.68391302901157	0.9	0.089	6.62809929482801e-64	DPblast	Cluster_9
Ezh2	3.91585585812525e-68	1.47225134332632	0.998	0.762	1.31948678995388e-63	DPblast	Cluster_9
Ncapg2	4.35556675825042e-68	1.53461280798413	0.903	0.101	1.46765177486006e-63	DPblast	Cluster_9
Nsd2	6.1448882184008e-68	1.77249198631646	0.976	0.405	2.07058153407233e-63	DPblast	Cluster_9
Tyms	8.5374884859799e-68	1.99913183805847	0.917	0.232	2.87679212023579e-63	DPblast	Cluster_9
H3c2	1.36009159205898e-67	1.42874980639708	0.897	0.071	4.58296462860194e-63	DPblast	Cluster_9
Dut	2.39712975533336e-67	2.14453631282971	0.978	0.595	8.07736842357129e-63	DPblast	Cluster_9
H2bc11	4.95817169626285e-67	1.56812218944935	0.965	0.268	1.67070553477273e-62	DPblast	Cluster_9
Gmfg	9.90795275301382e-66	-1.3715758376741	0.987	1	3.33858375965554e-61	DPblast	Cluster_9
E2f8	2.95195838011203e-65	1.46139811333004	0.873	0.071	9.9469189576255e-61	DPblast	Cluster_9
H4c8	7.36368971544143e-65	1.72423231705883	0.979	0.429	2.48126888651514e-60	DPblast	Cluster_9
H3c11	1.75359953748902e-64	1.53522061798375	0.93	0.185	5.90892900152301e-60	DPblast	Cluster_9
H3c7	2.34926722124496e-64	1.53279952623681	0.9	0.131	7.91609082870701e-60	DPblast	Cluster_9
H2bc18	1.10347048155226e-63	1.61231614914977	0.937	0.214	3.7182541346385e-59	DPblast	Cluster_9
Atad2	2.93071502726997e-63	1.87478603216682	0.937	0.274	9.87533735588888e-59	DPblast	Cluster_9
Asf1b	1.67922685841382e-62	1.36520401509126	0.883	0.125	5.65832282211119e-58	DPblast	Cluster_9
Pbk	8.01166527585259e-62	1.52839485894332	0.906	0.19	2.69961073135129e-57	DPblast	Cluster_9
Tmsb4x	1.11349077791891e-61	-1.57095269725024	1	1	3.75201852527556e-57	DPblast	Cluster_9
Ncapd3	3.44759744837997e-61	1.38300892911495	0.971	0.435	1.16170243620611e-56	DPblast	Cluster_9
Neil3	1.07985067558203e-60	1.68220833231033	0.948	0.315	3.63866483644122e-56	DPblast	Cluster_9
Tipin	9.30315474463074e-60	1.51025409079714	0.892	0.167	3.13479102275077e-55	DPblast	Cluster_9
Pdcd4	1.06924308020358e-59	-1.52154069133552	0.824	0.994	3.60292148305399e-55	DPblast	Cluster_9
Slbp	1.8306658433489e-59	1.89440236617302	0.898	0.208	6.16861162574847e-55	DPblast	Cluster_9
Btg2	2.08905867824191e-59	-1.46301385180073	0.924	0.994	7.03929212220392e-55	DPblast	Cluster_9
Rag1	3.40376903739311e-59	-1.69332146158429	0.841	0.988	1.14693401483998e-54	DPblast	Cluster_9
Rrm1	1.9825615044831e-58	1.34176059725777	0.938	0.339	6.68043924550624e-54	DPblast	Cluster_9
Kif15	3.11345346137276e-58	1.44695232845898	0.968	0.405	1.04910927834417e-53	DPblast	Cluster_9
Tuba1b	3.24794154594872e-58	1.71094096448247	1	0.53	1.09442638332288e-53	DPblast	Cluster_9
Ccr9	5.74612398830684e-58	-1.74238818865133	0.695	0.976	1.93621393909987e-53	DPblast	Cluster_9
Gmnn	1.02366350021016e-57	1.35879785688332	0.94	0.315	3.44933653030815e-53	DPblast	Cluster_9
Anp32b	1.61196192863588e-57	1.14345238067762	1	0.952	5.43166691473146e-53	DPblast	Cluster_9
