	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H2ac22	2.27325856480173e-284	3.3681057743778	0.992	0.021	7.65997205995591e-280	DPblast	DPsel
H3c3	4.20976343951165e-282	3.97571246385971	0.987	0.02	1.41852188857785e-277	DPblast	DPsel
H2ac4	1.34243156456126e-281	3.90903428220803	0.99	0.031	4.52345739994561e-277	DPblast	DPsel
Spc24	1.53605482773893e-280	2.24892170422433	0.987	0.02	5.1758903475491e-276	DPblast	DPsel
Mki67	5.73120583411396e-280	3.54917166676191	1	0.043	1.93118711786304e-275	DPblast	DPsel
H2ac24	1.01348400773461e-279	4.30975319442907	0.989	0.039	3.41503571246255e-275	DPblast	DPsel
Kif11	4.60972259239133e-277	2.76212477496454	0.99	0.034	1.55329212473218e-272	DPblast	DPsel
H2ac10	1.54918401385827e-276	2.39153188134494	0.967	0.005	5.22013045309683e-272	DPblast	DPsel
Birc5	1.61523966546195e-276	2.9651097124899	0.986	0.026	5.44271157674059e-272	DPblast	DPsel
Top2a	2.95484376149437e-275	4.27985099240481	1	0.092	9.95664153873141e-271	DPblast	DPsel
Pclaf	9.36855945180378e-273	3.60922479220739	0.981	0.051	3.1568297928798e-268	DPblast	DPsel
Nusap1	1.47272095056064e-271	3.20696127726903	0.973	0.031	4.96248051500914e-267	DPblast	DPsel
Cdk1	2.07142051296277e-271	2.26167500065743	0.975	0.024	6.97985856047935e-267	DPblast	DPsel
Knl1	2.80836634497443e-271	2.51643130090436	0.973	0.022	9.46307123602584e-267	DPblast	DPsel
H2ac8	5.69493522861543e-271	4.75677696604876	0.992	0.097	1.91896537463426e-266	DPblast	DPsel
H1f5	2.45135044446205e-270	5.7904001874883	0.992	0.103	8.26007045765933e-266	DPblast	DPsel
Prc1	4.4162843594953e-270	2.65095271325877	0.976	0.039	1.48811117777554e-265	DPblast	DPsel
H2bc11	5.29377708758222e-270	1.97527512195609	0.965	0.019	1.7837911274317e-265	DPblast	DPsel
H1f1	1.0089873824994e-269	2.92103838148604	0.973	0.041	3.39988388406999e-265	DPblast	DPsel
Lockd	4.44340849648613e-268	2.96947025310636	0.99	0.058	1.49725092697597e-263	DPblast	DPsel
Kif15	4.78005947558454e-268	2.16679984170788	0.968	0.028	1.61068884089297e-263	DPblast	DPsel
Rrm2	4.09275449316433e-267	2.7418960024319	0.956	0.022	1.37909455401665e-262	DPblast	DPsel
Cdca8	1.1784031173573e-266	2.29066766854392	0.975	0.039	3.97074714424717e-262	DPblast	DPsel
Neil3	3.82168075088448e-266	2.25158687030723	0.948	0.012	1.28775354581803e-261	DPblast	DPsel
H2bc15	4.16817998992717e-265	2.11636183532603	0.954	0.019	1.40450992940586e-260	DPblast	DPsel
Fbxo5	3.65871987256678e-264	2.20030160079662	0.973	0.053	1.2328422482601e-259	DPblast	DPsel
Ccna2	8.32629402812849e-264	1.98299886597465	0.952	0.02	2.80562803571818e-259	DPblast	DPsel
H1f3	2.69711503168947e-262	2.79615070695816	0.981	0.09	9.08819881078083e-258	DPblast	DPsel
Spc25	1.78715693051758e-261	1.9747078347069	0.944	0.019	6.02200399307205e-257	DPblast	DPsel
H2bc18	7.26676305886801e-260	1.97357568965276	0.937	0.014	2.44860848031616e-255	DPblast	DPsel
Cks2	1.01374724768618e-259	2.86026930441611	0.99	0.106	3.41592272580335e-255	DPblast	DPsel
Esco2	6.75935725006158e-259	1.89708646541534	0.922	0.002	2.27763301898075e-254	DPblast	DPsel
Diaph3	1.22247969049054e-258	2.37158469927902	0.979	0.068	4.11926756507692e-254	DPblast	DPsel
E2f2	1.16757852747007e-257	1.93914247870634	0.973	0.064	3.93427260616314e-253	DPblast	DPsel
Tpx2	2.27500821019623e-257	2.3255659920456	0.943	0.025	7.66586766507721e-253	DPblast	DPsel
H2ac20	1.32733749396345e-255	2.76128046082782	0.984	0.14	4.47259641965924e-251	DPblast	DPsel
Cdca3	3.86265417329703e-254	2.20741062484404	0.93	0.02	1.30155995023417e-249	DPblast	DPsel
Cenpe	2.60509906540609e-253	2.39698652272814	0.933	0.024	8.77814181079236e-249	DPblast	DPsel
H1f4	4.23191119761838e-253	3.6191992177735	0.99	0.211	1.42598479714949e-248	DPblast	DPsel
Kif4	7.73035630154694e-252	1.852936918199	0.929	0.019	2.60482085936926e-247	DPblast	DPsel
Pbk	3.45033815102651e-251	1.80324538814904	0.906	0.005	1.16262594336989e-246	DPblast	DPsel
Cenpp	1.0560535787498e-250	2.28789324695147	0.962	0.064	3.55847813895532e-246	DPblast	DPsel
Bub1b	2.72577387434782e-250	1.7211138572866	0.922	0.019	9.18476764700242e-246	DPblast	DPsel
H3c2	9.20389599431821e-250	1.52422002587054	0.897	0	3.10134479424547e-245	DPblast	DPsel
Mis18bp1	1.7740716087107e-249	1.88362898866524	0.917	0.017	5.97791169271159e-245	DPblast	DPsel
Sgo1	2.57596213722445e-249	1.58932014571505	0.917	0.014	8.67996201759149e-245	DPblast	DPsel
Depdc1a	3.94961261673325e-249	1.90353070660695	0.911	0.012	1.33086146733443e-244	DPblast	DPsel
Aurkb	7.93107865373654e-249	1.62238272872875	0.905	0.007	2.67245626316306e-244	DPblast	DPsel
H2bc3	1.84212560559513e-247	1.56858417895387	0.902	0.008	6.20722644061334e-243	DPblast	DPsel
H3c11	2.0993261091476e-247	1.75925276680623	0.93	0.032	7.07388925738374e-243	DPblast	DPsel
Ndc80	3.34427388633099e-247	1.75860763574392	0.949	0.048	1.12688652873809e-242	DPblast	DPsel
Tacc3	3.49066788017347e-246	1.67666463624299	0.922	0.03	1.17621544890325e-241	DPblast	DPsel
Cenpf	6.54389931628842e-246	2.82286790289015	0.916	0.021	2.20503231361654e-241	DPblast	DPsel
H4c8	1.092363426445e-245	2.22926044190275	0.979	0.122	3.68082780174908e-241	DPblast	DPsel
H2bc14	1.59018796494347e-245	1.54090133150128	0.892	0.006	5.3582973666735e-241	DPblast	DPsel
H4c4	2.70852101772248e-245	3.8549988338893	0.997	0.336	9.12663242131768e-241	DPblast	DPsel
H2ax	2.24710960266743e-244	2.88611158457936	0.979	0.165	7.57186051714816e-240	DPblast	DPsel
Ccnf	1.70106190996167e-243	1.55681306405012	0.903	0.013	5.73189821180686e-239	DPblast	DPsel
Clspn	2.00751325778179e-240	1.77704233374298	0.9	0.026	6.76451667342151e-236	DPblast	DPsel
H3c6	3.06972081871298e-240	1.99468342308664	0.946	0.073	1.03437312707353e-235	DPblast	DPsel
Hmgb2	6.69088491655202e-240	4.69358722080446	1	0.549	2.25456058148137e-235	DPblast	DPsel
