	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cd53	1.03909457379232e-111	-1.9571271429989	0.068	0.919	3.50133307585059e-107	DPblast	Monocyte_Macrophages_Dendritic
Il2rb	2.66028289802104e-105	-1.97504727332257	0.019	0.741	8.96408925317168e-101	DPblast	Monocyte_Macrophages_Dendritic
Ccnd2	6.45832154331541e-105	-2.22942864088251	0.065	0.889	2.17619602723556e-100	DPblast	Monocyte_Macrophages_Dendritic
Nkg7	4.88770102094679e-104	-2.81687292142473	0.027	0.77	1.64695973601823e-99	DPblast	Monocyte_Macrophages_Dendritic
Ms4a4b	9.33357187736297e-103	-3.21674501010363	0.076	0.889	3.14504037979622e-98	DPblast	Monocyte_Macrophages_Dendritic
S100a6	1.293616377388e-100	-3.42255638705211	0.016	0.704	4.3589697452466e-96	DPblast	Monocyte_Macrophages_Dendritic
Il18r1	7.27776682262039e-94	-2.16714699644466	0.008	0.637	2.45231630855017e-89	DPblast	Monocyte_Macrophages_Dendritic
Ahnak	9.91344840211706e-94	-1.78908502557428	0.017	0.674	3.34043557357736e-89	DPblast	Monocyte_Macrophages_Dendritic
Gimap3	7.13153774474603e-93	-1.6181083603692	0.032	0.719	2.40304295846962e-88	DPblast	Monocyte_Macrophages_Dendritic
Gng2	8.28512195003196e-93	-1.48400958227792	0.043	0.741	2.79175469228277e-88	DPblast	Monocyte_Macrophages_Dendritic
Il7r	7.02794889559157e-92	-3.25258296358975	0.057	0.77	2.36813765985853e-87	DPblast	Monocyte_Macrophages_Dendritic
Gimap4	1.85660966472213e-89	-1.98185482416569	0.043	0.741	6.25603192624768e-85	DPblast	Monocyte_Macrophages_Dendritic
Chn2	5.42106570961673e-89	-2.97847809878602	0.043	0.726	1.82668230151245e-84	DPblast	Monocyte_Macrophages_Dendritic
Gm2682	6.42031318153628e-89	-4.04954862462788	0.048	0.733	2.16338872965046e-84	DPblast	Monocyte_Macrophages_Dendritic
Hopx	1.35765871083168e-87	-1.75607539220779	0.008	0.6	4.57476679201841e-83	DPblast	Monocyte_Macrophages_Dendritic
H2-Q7	1.17450754515081e-86	-2.20792715137314	0.078	0.8	3.95762062414018e-82	DPblast	Monocyte_Macrophages_Dendritic
Arid5b	2.33907142810887e-86	-2.17975588663047	0.059	0.748	7.88173508415565e-82	DPblast	Monocyte_Macrophages_Dendritic
Shisa5	1.37211613739511e-84	-2.64823400744094	0.217	0.948	4.62348253656658e-80	DPblast	Monocyte_Macrophages_Dendritic
Ctsw	7.52138746748247e-84	-1.76862315215497	0.054	0.726	2.53440672104289e-79	DPblast	Monocyte_Macrophages_Dendritic
Cd7	2.37406579834859e-81	-1.91846225131429	0.019	0.607	7.9996521141154e-77	DPblast	Monocyte_Macrophages_Dendritic
Inpp4b	4.21809601527116e-81	-3.5909989337866	0.152	0.881	1.42132963330577e-76	DPblast	Monocyte_Macrophages_Dendritic
Coro2a	6.77159389654399e-81	-1.70846775159601	0.025	0.622	2.28175627937946e-76	DPblast	Monocyte_Macrophages_Dendritic
