	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Mki67	3.07790635409403e-246	3.65889618846758	1	0.031	1.03713132507552e-241	DPblast	SP
Top2a	1.10728703558226e-243	4.33601684647792	1	0.057	3.73111439509797e-239	DPblast	SP
H3c3	1.00922357924999e-242	3.97147150922466	0.987	0.019	3.40067977264078e-238	DPblast	SP
Spc24	3.36233643624915e-242	2.2569642292502	0.987	0.013	1.13297288555851e-237	DPblast	SP
H2ac4	7.16081749132423e-241	3.84414810881571	0.99	0.04	2.41290906187661e-236	DPblast	SP
H2ac22	1.09596650538266e-240	3.28710556961358	0.992	0.05	3.69296873653741e-236	DPblast	SP
Birc5	2.5710653508618e-239	2.98613805988287	0.986	0.025	8.66346180626391e-235	DPblast	SP
Kif11	8.46459010118482e-239	2.7579860198252	0.99	0.041	2.85222828049524e-234	DPblast	SP
Pclaf	9.13581412899573e-238	3.60741249005629	0.981	0.029	3.0784039289064e-233	DPblast	SP
Cdk1	4.16587201726861e-237	2.29369153029668	0.975	0.01	1.40373223493883e-232	DPblast	SP
Nusap1	1.21497935874463e-236	3.25171216991703	0.973	0.018	4.09399444722591e-232	DPblast	SP
H2ac24	2.93278294344372e-236	4.15763709236915	0.989	0.084	9.88230540622797e-232	DPblast	SP
H2ac10	1.42721904891038e-235	2.38029808767396	0.967	0.007	4.80915730720843e-231	DPblast	SP
Cdca8	1.98656608962297e-235	2.33625976689128	0.975	0.018	6.69393309559355e-231	DPblast	SP
Prc1	7.13251612194211e-235	2.66215877049324	0.976	0.025	2.40337263244961e-230	DPblast	SP
Kif15	3.15914188624198e-233	2.18849529094052	0.968	0.013	1.0645044499881e-228	DPblast	SP
Knl1	3.77126942927347e-233	2.51625397215864	0.973	0.022	1.27076694688799e-228	DPblast	SP
Diaph3	9.65481455912579e-233	2.45276919728844	0.979	0.025	3.25328631384303e-228	DPblast	SP
H2ac8	9.49714376608271e-232	4.58714763043843	0.992	0.144	3.20015756341923e-227	DPblast	SP
H2bc11	1.70051198002544e-231	1.97258613730992	0.965	0.013	5.73004516789371e-227	DPblast	SP
Lockd	2.73777870652138e-230	2.94410260108375	0.99	0.072	9.22521912949444e-226	DPblast	SP
Ccna2	3.0510087137782e-230	2.0076339933326	0.952	0.006	1.0280678961947e-225	DPblast	SP
Neil3	2.47611310448859e-229	2.26004360754446	0.948	0.004	8.34351071688476e-225	DPblast	SP
Rrm2	9.03247604515095e-229	2.72701540431851	0.956	0.019	3.04358312817406e-224	DPblast	SP
H1f5	6.34273525019712e-227	5.29896274834305	0.992	0.205	2.13724806990642e-222	DPblast	SP
Tuba1b	8.9311257669272e-226	3.2240673162571	1	0.257	3.00943213842379e-221	DPblast	SP
Fbxo5	1.90904282002302e-225	2.17088557779622	0.973	0.045	6.43271068634957e-221	DPblast	SP
Tpx2	5.68014062851936e-225	2.36063240157167	0.943	0.013	1.91398018618588e-220	DPblast	SP
Spc25	6.56753313798019e-225	1.97653235382439	0.944	0.012	2.2129959661738e-220	DPblast	SP
Cks2	3.45679765627719e-224	2.80642224318779	0.99	0.104	1.16480253825916e-219	DPblast	SP
Kif4	8.0366831669537e-224	1.90213705916171	0.929	0	2.70804075993672e-219	DPblast	SP
H1f1	2.74743627788998e-223	2.78005164390665	0.973	0.081	9.25776128197809e-219	DPblast	SP
Cenpe	2.8213877674853e-221	2.4375612479039	0.933	0.015	9.50694822131848e-217	DPblast	SP
Cdca3	1.06198630339888e-219	2.22332387356019	0.93	0.015	3.57846904793287e-215	DPblast	SP
H4c4	2.53992049244993e-219	3.71843004749991	0.997	0.324	8.55851609135929e-215	DPblast	SP
Cenpp	2.79998493167766e-219	2.29252705105652	0.962	0.04	9.43482922578104e-215	DPblast	SP
Hmgb2	2.51664136973433e-218	4.64203097923677	1	0.54	8.4800747594568e-214	DPblast	SP
H2ac20	3.21123189400999e-218	2.63349186410535	0.984	0.151	1.08205669900561e-213	DPblast	SP
Esco2	3.82988701720521e-218	1.87972705270031	0.922	0.006	1.29051872931747e-213	DPblast	SP
Ndc80	6.55847005157619e-218	1.77629225057266	0.949	0.025	2.20994206857911e-213	DPblast	SP
H2bc15	3.23380192049764e-217	2.04171981169353	0.954	0.041	1.08966189513088e-212	DPblast	SP
Tacc3	7.87968265915657e-217	1.7027629123838	0.922	0.01	2.6551378688294e-212	DPblast	SP
Depdc1a	1.09930991136976e-216	1.92449141523667	0.911	0.001	3.70423467735154e-212	DPblast	SP
Sgo1	6.51329534851482e-216	1.60113933068417	0.917	0.006	2.19472000063555e-211	DPblast	SP
Mis18bp1	3.52226046150635e-213	1.88262554601147	0.917	0.016	1.18686088510918e-208	DPblast	SP
Aurkb	8.06293590169695e-213	1.62597432307339	0.905	0.006	2.7168868814358e-208	DPblast	SP
Cenpf	1.61445910332455e-212	2.87915039829477	0.916	0.023	5.44008139456242e-208	DPblast	SP
Racgap1	1.64880185447139e-212	1.75710017920602	0.921	0.018	5.55580272882679e-208	DPblast	SP
H2bc18	2.58377910149596e-212	1.90504577312476	0.937	0.035	8.70630206040078e-208	DPblast	SP
H3c2	3.18867472836258e-212	1.52297840609653	0.897	0.001	1.07445583646906e-207	DPblast	SP
Ptma	5.41470356408736e-212	2.00604321656622	1	0.997	1.82453851295488e-207	DPblast	SP
Bub1b	9.7587910848535e-212	1.70498016616257	0.922	0.019	3.28832224395224e-207	DPblast	SP
Pbk	1.160450295334e-211	1.78891835920088	0.906	0.009	3.91025331515743e-207	DPblast	SP
Ccnf	1.93555019652728e-211	1.5726629821457	0.903	0.006	6.52202994221831e-207	DPblast	SP
Hmgn2	1.10919118008181e-210	2.81005010714072	0.998	0.482	3.73753060040368e-206	DPblast	SP
H2bc14	9.69096880504697e-210	1.54161178451985	0.892	0.001	3.26546884854863e-205	DPblast	SP
Incenp	1.48360013621819e-209	1.76607227994746	0.956	0.057	4.99913901900081e-205	DPblast	SP
Clspn	5.09664073328251e-209	1.79303930743746	0.9	0.01	1.71736406148687e-204	DPblast	SP
H2bc3	5.35538386529601e-209	1.55695224000605	0.902	0.007	1.80455014725014e-204	DPblast	SP
Hmgb1	4.95042423691237e-208	2.00722728626158	1	0.988	1.66809495086999e-203	DPblast	SP
H2ax	7.01078267783509e-208	2.77235529628121	0.979	0.177	2.36235333112331e-203	DPblast	SP
Ube2c	1.20813853658925e-206	3.48053731326714	0.905	0.029	4.07094361289115e-202	DPblast	SP
H3c11	1.26253906623161e-206	1.72489645103634	0.93	0.038	4.25425163757404e-202	DPblast	SP
Ncapg2	2.11681557421813e-206	1.61710524681803	0.903	0.013	7.1328217588854e-202	DPblast	SP
Tmpo	3.86387468998583e-206	2.24176771764784	1	0.428	1.30197121553763e-201	DPblast	SP
H1f4	1.04111180948045e-205	3.0028256777055	0.99	0.343	3.50813035322534e-201	DPblast	SP
H1f3	1.6079609131632e-205	2.45547912820886	0.981	0.196	5.41818509299473e-201	DPblast	SP
D17H6S56E-5	2.49712737924263e-205	1.59466022922961	0.93	0.032	8.41432041709598e-201	DPblast	SP
Tyms	2.99340360444937e-205	2.16782808978568	0.917	0.043	1.00865727855526e-200	DPblast	SP
