	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H2-Aa	6.5227826811933e-108	-5.30347158464005	0.011	0.795	2.1979168522549e-103	DPblast	Stroma
Ctss	3.52435866687615e-104	-3.61332019093788	0.025	0.849	1.18756789639059e-99	DPblast	Stroma
H2-Eb1	6.62740343764023e-104	-5.05566524923151	0.006	0.74	2.23316986234725e-99	DPblast	Stroma
Ctsh	1.52899040906336e-100	-2.39868532970081	0	0.671	5.1520860823799e-96	DPblast	Stroma
Cd74	4.58395370526547e-100	-6.42864252267876	0.038	0.877	1.54460904052625e-95	DPblast	Stroma
Lyn	1.28671689245423e-94	-2.8132237697154	0.021	0.767	4.33572124081378e-90	DPblast	Stroma
Cybb	5.75885569703443e-92	-2.60071845601864	0	0.616	1.94050401567272e-87	DPblast	Stroma
Ly86	1.39757971514265e-84	-2.31506686465783	0.008	0.63	4.70928460814468e-80	DPblast	Stroma
Tyrobp	8.94956115638482e-84	-3.71847126346342	0.003	0.589	3.01564412725543e-79	DPblast	Stroma
Mpeg1	2.22163017615578e-81	-2.07511230954443	0	0.548	7.48600504157452e-77	DPblast	Stroma
Unc93b1	5.52721198162607e-78	-2.07459392759008	0.013	0.616	1.86244934932872e-73	DPblast	Stroma
Cd180	3.46917774088359e-77	-1.49245796225107	0	0.521	1.16897413156813e-72	DPblast	Stroma
Napsa	2.83389140931252e-75	-1.44911035599637	0.003	0.534	9.54908049281947e-71	DPblast	Stroma
Fcer1g	3.09068492536611e-75	-3.52786040013514	0.011	0.589	1.04143719245136e-70	DPblast	Stroma
Marchf1	3.79849004510586e-75	-1.98940919468897	0.002	0.521	1.27993920559887e-70	DPblast	Stroma
Wdfy4	4.18063632409934e-72	-2.33353017131556	0.014	0.589	1.40870721576852e-67	DPblast	Stroma
Pik3ap1	3.34109171975254e-71	-1.69934082164956	0.005	0.521	1.12581426588781e-66	DPblast	Stroma
Aif1	6.12703415607827e-71	-3.12802866090251	0	0.479	2.06456542923214e-66	DPblast	Stroma
Spi1	6.12703415607827e-71	-1.56680332974042	0	0.479	2.06456542923214e-66	DPblast	Stroma
Cd86	1.69965362473554e-69	-1.70068389809429	0.006	0.521	5.72715285390887e-65	DPblast	Stroma
Lyz2	5.30227498317721e-69	-4.68723128020623	0.003	0.493	1.78665457833139e-64	DPblast	Stroma
Sirpa	5.44936244884242e-69	-2.56482704904332	0.003	0.493	1.83621717076194e-64	DPblast	Stroma
Gm15987	6.92804147108262e-69	-2.28066027181083	0.002	0.479	2.334472854096e-64	DPblast	Stroma
Plek	9.43061888838236e-69	-1.42637957008985	0.002	0.479	3.17774134062932e-64	DPblast	Stroma
Rassf4	1.83978148507966e-67	-1.43012352311655	0.006	0.507	6.19932769212443e-63	DPblast	Stroma
Mef2c	4.93274632307108e-67	-2.34152561236027	0.005	0.493	1.66213820102203e-62	DPblast	Stroma
Rnase6	8.38222514419172e-67	-1.2150217201113	0	0.452	2.82447458458684e-62	DPblast	Stroma
Fcgr2b	1.21897056972708e-66	-1.41054462488867	0.002	0.466	4.10744323175238e-62	DPblast	Stroma
Plbd1	2.17706325534639e-65	-2.3046869980187	0.006	0.493	7.33583234521518e-61	DPblast	Stroma
Kynu	9.6144212279755e-65	-1.71319150776279	0	0.438	3.23967537697863e-60	DPblast	Stroma
Ciita	9.9451750447133e-65	-1.4539006743778	0.002	0.452	3.35112618306659e-60	DPblast	Stroma
