	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Bach2	1.9531267539362e-244	-4.14459370367796	0.07	0.751	6.58125591006341e-240	DPre	CD8_exhausted_naive
Bcl2	2.18927250889136e-175	-3.56475403615475	0.079	0.65	7.37697264596034e-171	DPre	CD8_exhausted_naive
A430093F15Rik	1.8112839609861e-163	-2.54900825101711	0.022	0.42	6.10330243493877e-159	DPre	CD8_exhausted_naive
Tpt1	1.12509309427208e-147	2.8575619158995	0.999	0.533	3.79111369045919e-143	DPre	CD8_exhausted_naive
Rps9	2.23440676461555e-145	2.91545650153983	0.997	0.304	7.52905703404857e-141	DPre	CD8_exhausted_naive
Rag1	7.01175881562659e-144	3.62375985995633	0.984	0.117	2.36268225051353e-139	DPre	CD8_exhausted_naive
Rps10	1.71405190731125e-142	2.8612450225006	0.997	0.288	5.775669306876e-138	DPre	CD8_exhausted_naive
Rps14	1.80868100527273e-142	2.91352268200624	0.998	0.311	6.094531515367e-138	DPre	CD8_exhausted_naive
Rpl19	2.79857482345795e-142	2.7763292115251	0.997	0.339	9.43007772512392e-138	DPre	CD8_exhausted_naive
Rps16	6.16505803957992e-142	2.76753815531492	0.997	0.304	2.07737795701685e-137	DPre	CD8_exhausted_naive
Cd8b1	5.76643459699421e-141	2.90644028945067	0.999	0.249	1.94305780180317e-136	DPre	CD8_exhausted_naive
Fau	6.07233646757309e-141	2.89737615933357	0.997	0.307	2.04613449611343e-136	DPre	CD8_exhausted_naive
B630019A10Rik	1.91957007129681e-139	-2.02983241746846	0.015	0.342	6.46818331224172e-135	DPre	CD8_exhausted_naive
Rpl7	2.68406906976728e-139	2.91394005263188	0.987	0.214	9.04423913748784e-135	DPre	CD8_exhausted_naive
Rps24	1.04105010645341e-138	2.85037760129261	0.996	0.311	3.50792243870541e-134	DPre	CD8_exhausted_naive
Tox	3.44308258958534e-138	-3.62876122487	0.627	0.984	1.16018110938668e-133	DPre	CD8_exhausted_naive
Rpl34	6.95683342680449e-138	2.89280209726259	0.99	0.222	2.34417459149604e-133	DPre	CD8_exhausted_naive
Rps27	9.00183402435489e-137	2.69376217123295	0.996	0.268	3.03325799284662e-132	DPre	CD8_exhausted_naive
Rpl9	2.63801635479331e-134	2.64278062990541	0.991	0.272	8.88905990911153e-130	DPre	CD8_exhausted_naive
Rpl23	2.95807696015412e-134	2.62990353487843	0.991	0.3	9.96753612493531e-130	DPre	CD8_exhausted_naive
Rplp0	2.37829484430134e-133	2.73240108467674	0.988	0.261	8.01390230735779e-129	DPre	CD8_exhausted_naive
Rps11	5.52662470235476e-133	2.61175864632219	0.997	0.339	1.86225145970546e-128	DPre	CD8_exhausted_naive
Rpl18a	1.36039265638822e-132	2.73278471429012	0.99	0.28	4.58397909496576e-128	DPre	CD8_exhausted_naive
Rps13	1.6620353160641e-132	2.59552506929486	0.995	0.28	5.60039420100961e-128	DPre	CD8_exhausted_naive
Rps15a	3.00897702353218e-132	2.55653281917258	0.997	0.304	1.0139048978494e-127	DPre	CD8_exhausted_naive
Rps3a1	4.76849349185677e-132	2.39216500460171	0.996	0.428	1.60679156701606e-127	DPre	CD8_exhausted_naive
Rps7	5.544580296523e-132	2.64307667413967	0.984	0.272	1.86830177671639e-127	DPre	CD8_exhausted_naive
Rpl11	9.93508537678705e-131	2.53504087315914	0.995	0.339	3.34772636856217e-126	DPre	CD8_exhausted_naive
Rpl13	1.83459142710699e-130	2.56897807708805	0.992	0.327	6.1818392727797e-126	DPre	CD8_exhausted_naive
Rpl28	3.27167772686025e-130	2.62261988071627	0.992	0.311	1.10242452684283e-125	DPre	CD8_exhausted_naive
Rpl32	1.25682377196091e-129	2.62590459002538	0.991	0.304	4.23499338199949e-125	DPre	CD8_exhausted_naive
Rpl15	2.50871585869013e-129	2.54499993193565	0.986	0.245	8.45336895744226e-125	DPre	CD8_exhausted_naive
Rps4x	1.81135446181921e-128	2.68332371382292	0.975	0.195	6.10353999454601e-124	DPre	CD8_exhausted_naive
Rpl35a	2.8406005863691e-128	2.4731680602521	0.993	0.292	9.5716877358293e-124	DPre	CD8_exhausted_naive
Hmgb1	8.44773251425975e-127	2.21632209202718	0.999	0.506	2.84654794800497e-122	DPre	CD8_exhausted_naive
Tmsb4x	9.40895190379361e-127	2.20029114927072	1	0.514	3.17044043350229e-122	DPre	CD8_exhausted_naive
