	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Endou	7.79683901060842e-178	-2.83668163849531	0.046	0.988	2.62722287301461e-173	DPsel	Cluster_9
Lockd	3.027837767154e-161	-3.02143911511738	0.058	0.946	1.02026021402021e-156	DPsel	Cluster_9
Ccnb2	6.09545923927311e-161	-2.75922691031482	0.03	0.869	2.05392594526547e-156	DPsel	Cluster_9
Cenpf	1.53118788909789e-157	-3.3664848809898	0.021	0.833	5.15949071110425e-153	DPsel	Cluster_9
Birc5	8.51179052963554e-155	-2.64745996740645	0.026	0.839	2.86813293686599e-150	DPsel	Cluster_9
Cenpe	2.39616398919186e-151	-2.30286733394665	0.024	0.815	8.0741141779809e-147	DPsel	Cluster_9
Ly6d	1.01483284503777e-146	-4.37482238775947	0.098	0.952	3.41958075463927e-142	DPsel	Cluster_9
Rag1	1.44110558888255e-144	-3.23229497357792	0.117	0.988	4.85594939229864e-140	DPsel	Cluster_9
Anxa2	8.64283887981092e-144	-3.22590891030911	0.143	0.994	2.91229098894109e-139	DPsel	Cluster_9
Rag2	6.90320387790472e-140	-1.89511930910254	0.039	0.815	2.32610357869877e-135	DPsel	Cluster_9
Mki67	2.15244427079482e-135	-2.8778100114316	0.043	0.81	7.25287621487023e-131	DPsel	Cluster_9
Aqp11	9.74525543005486e-135	-2.41249075484445	0.093	0.917	3.28376126971129e-130	DPsel	Cluster_9
Dntt	1.32788144139838e-133	-3.60366960291487	0.187	1	4.47442930493599e-129	DPsel	Cluster_9
Tpx2	5.87192744981716e-131	-2.17362934032561	0.025	0.732	1.97860467349039e-126	DPsel	Cluster_9
A930003A15Rik	3.62453424892218e-129	-1.40455102319477	0.008	0.661	1.22132306051682e-124	DPsel	Cluster_9
Rorc	1.62820938323507e-127	-1.79925579560508	0.073	0.863	5.4864143377489e-123	DPsel	Cluster_9
Ube2c	1.25970544627616e-126	-3.6313906445071	0.032	0.738	4.24470347177216e-122	DPsel	Cluster_9
Cdc20	6.67435319863096e-125	-2.44240774354609	0.02	0.69	2.24899005381069e-120	DPsel	Cluster_9
Arpp21	2.50225048066657e-123	-3.59778026497252	0.2	0.994	8.43158321965406e-119	DPsel	Cluster_9
Knstrn	1.46477403586681e-122	-1.61550778962537	0.04	0.75	4.93570259125681e-118	DPsel	Cluster_9
Knl1	1.82976639379324e-122	-2.0223923343322	0.022	0.69	6.1655808405257e-118	DPsel	Cluster_9
Mns1	4.60649514981604e-121	-2.68255863249878	0.165	0.94	1.55220460568201e-116	DPsel	Cluster_9
Cdca8	6.33960319026816e-121	-2.02729465590582	0.039	0.732	2.13619269099276e-116	DPsel	Cluster_9
Dgkeos	6.42886028147285e-120	-1.53485722837511	0.031	0.708	2.16626876044509e-115	DPsel	Cluster_9
Cdca3	5.13150576996327e-119	-1.44501721917203	0.02	0.673	1.72911218424682e-114	DPsel	Cluster_9
Gm37065	5.39428289209446e-119	-1.60699048995167	0.073	0.827	1.81765756332015e-114	DPsel	Cluster_9
Gm13919	7.10787151825868e-118	-1.53111348228797	0.071	0.827	2.39506838679245e-113	DPsel	Cluster_9
Cenpa	5.30195973895061e-116	-2.80698952030402	0.145	0.905	1.7865483536368e-111	DPsel	Cluster_9
Ccnb1	4.60388263948203e-114	-2.03263807402515	0.014	0.619	1.55132429419987e-109	DPsel	Cluster_9
Gm525	9.27297215482503e-110	-1.40300897407891	0.009	0.583	3.12462069728984e-105	DPsel	Cluster_9
Nebl	1.50834976182621e-109	-1.70464146184273	0.07	0.786	5.08253535744961e-105	DPsel	Cluster_9
Hmmr	3.70564297799087e-107	-1.9021504744735	0.017	0.601	1.2486534578638e-102	DPsel	Cluster_9
Ldlrad3	2.65504491541854e-102	-1.62114164477596	0.071	0.762	8.94643934699431e-98	DPsel	Cluster_9
Lgals1	6.21451411482413e-102	-2.93047031740626	0.292	0.97	2.09404267613114e-97	DPsel	Cluster_9
Aspm	5.61113167261351e-101	-1.51399929640133	0.012	0.554	1.89072692840385e-96	DPsel	Cluster_9
Dlgap5	2.14757806829105e-100	-1.74456494615945	0.047	0.667	7.23647905891352e-96	DPsel	Cluster_9
Cks2	6.55285502694225e-100	-2.78828359361242	0.106	0.78	2.20805002987846e-95	DPsel	Cluster_9
