	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Trgc1	6.55452038454678e-174	-2.69658957331457	0.001	0.856	2.20861118877688e-169	DPsel	DN_Precursors
Gm4632	9.57251351219711e-174	-3.18991517400483	0.015	0.937	3.22555415306994e-169	DPsel	DN_Precursors
Trgc2	1.2749693327914e-169	-2.67945345651112	0.007	0.874	4.29613666377391e-165	DPsel	DN_Precursors
Il2ra	1.66297670396941e-169	-3.25001607015547	0.019	0.937	5.60356630169532e-165	DPsel	DN_Precursors
Hes1	1.70163288526122e-158	-2.11500284567075	0.002	0.793	5.73382217017619e-154	DPsel	DN_Precursors
Trgc4	1.69270829702977e-156	-2.1686614951846	0.004	0.793	5.70374987767151e-152	DPsel	DN_Precursors
Notch3	1.31499977068672e-149	-2.3104185978706	0.021	0.865	4.43102322730598e-145	DPsel	DN_Precursors
1500009L16Rik	2.99530046409489e-141	-1.34684414234122	0.007	0.748	1.00929644438141e-136	DPsel	DN_Precursors
5830418P13Rik	1.33250809616935e-136	-2.16485425478234	0.05	0.928	4.49001928085224e-132	DPsel	DN_Precursors
Tmem121	9.01125512002305e-133	-1.40954764774104	0.002	0.676	3.03643252524297e-128	DPsel	DN_Precursors
Zeb2	1.7685437659756e-131	-2.0046940543462	0.009	0.721	5.95928507383137e-127	DPsel	DN_Precursors
Adamts17	4.15427254814343e-130	-1.80738881572915	0.017	0.757	1.39982367782241e-125	DPsel	DN_Precursors
Plac8	1.94417078909214e-127	-3.28705565377923	0.038	0.838	6.55107789092486e-123	DPsel	DN_Precursors
Trgv2	6.99186738893349e-127	-2.15306469667258	0.004	0.658	2.35597963537503e-122	DPsel	DN_Precursors
Gfra1	1.13524007497418e-124	-1.95481981633866	0.009	0.685	3.825304956633e-120	DPsel	DN_Precursors
Gm2629	2.45373180578716e-123	-1.94823117381686	0.035	0.82	8.2680946927804e-119	DPsel	DN_Precursors
Prss57	5.31191288663169e-123	-1.01831122479356	0.001	0.622	1.78990216627941e-118	DPsel	DN_Precursors
Ly6d	2.0201524912999e-121	-3.68488904236894	0.098	0.973	6.80710583468414e-117	DPsel	DN_Precursors
Myl10	5.77496282976803e-121	-3.31235786144783	0.096	0.955	1.94593147511863e-116	DPsel	DN_Precursors
Ldlr	6.06210550189289e-121	-1.43381221958458	0.014	0.703	2.04268706991783e-116	DPsel	DN_Precursors
Rapgef3	3.73389790942963e-120	-1.19272783432616	0.028	0.775	1.25817423956141e-115	DPsel	DN_Precursors
Nckap5	3.80760434510194e-120	-1.49723797288534	0.011	0.676	1.28301036012555e-115	DPsel	DN_Precursors
Aqp11	5.74117976512201e-117	-2.42173105612071	0.093	0.964	1.93454793365551e-112	DPsel	DN_Precursors
Epb41l4b	2.16107719585061e-113	-1.00229780439699	0.001	0.577	7.28196571913822e-109	DPsel	DN_Precursors
Ptcra	2.72554494794838e-111	-1.67993239535812	0.015	0.658	9.18399625660685e-107	DPsel	DN_Precursors
Cbfa2t3	4.71738693544685e-111	-1.30430341150483	0.025	0.712	1.58957070176817e-106	DPsel	DN_Precursors
Angpt1	1.93247443172883e-110	-1.84397538240925	0.039	0.784	6.51166584515346e-106	DPsel	DN_Precursors
Ifitm2	6.33182595247516e-106	-1.01707452864268	0.008	0.595	2.13357207294603e-101	DPsel	DN_Precursors
Tns3	4.478049887934e-104	-0.941420586303376	0.009	0.595	1.50892369023824e-99	DPsel	DN_Precursors
Ccdc18	1.18565622918472e-102	-1.63232909802081	0.022	0.658	3.99518722986083e-98	DPsel	DN_Precursors
Fads2	2.20078676451605e-100	-0.811748737838745	0.001	0.514	7.41577108171329e-96	DPsel	DN_Precursors
Bst1	2.28689478702652e-98	-0.930261557175711	0.001	0.505	7.70592067436457e-94	DPsel	DN_Precursors
Dntt	3.03324982236574e-98	-3.24301567671772	0.187	0.982	1.02208386014436e-93	DPsel	DN_Precursors
Arpp21	4.91917581089894e-97	-4.05189840927453	0.2	1	1.65756548124051e-92	DPsel	DN_Precursors
Gm5111	9.31955970103124e-97	-0.716700202757097	0	0.486	3.14031883685949e-92	DPsel	DN_Precursors
Bfsp2	4.03638039332019e-96	-1.14442286854464	0.028	0.667	1.36009873733317e-91	DPsel	DN_Precursors
Smim5	9.5822686885541e-95	-0.773132877713639	0.004	0.505	3.22884125729519e-90	DPsel	DN_Precursors
Uhrf1	1.10991893598863e-92	-1.48384132897554	0.044	0.703	3.7399828467073e-88	DPsel	DN_Precursors
Dgkeos	1.27525873383666e-91	-1.19239157932337	0.031	0.649	4.29711182953601e-87	DPsel	DN_Precursors
Wdfy4	4.30301063394522e-89	-0.848414456750493	0.001	0.459	1.44994246321418e-84	DPsel	DN_Precursors
