	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	2.08809104713935e-32	-3.93752813004652	0.015	1	7.03603159244075e-28	Monocyte_Macrophages_Dendritic	Cluster_14
Cdh10	8.11507236510896e-30	-2.74031807054521	0.007	0.9	2.73445478414712e-25	Monocyte_Macrophages_Dendritic	Cluster_14
Il1r1	2.58434378758951e-28	-3.41659120804884	0.044	1	8.70820482666161e-24	Monocyte_Macrophages_Dendritic	Cluster_14
Fstl4	4.25595793446011e-28	-2.21909557338779	0.007	0.85	1.43408758559568e-23	Monocyte_Macrophages_Dendritic	Cluster_14
Serpinb1a	2.60808697307968e-27	-2.786538814466	0.022	0.9	8.78820986448928e-23	Monocyte_Macrophages_Dendritic	Cluster_14
Pxdc1	3.23894002988714e-26	-1.69436886705042	0.007	0.8	1.09139323247077e-21	Monocyte_Macrophages_Dendritic	Cluster_14
Blk	4.0478436358266e-26	-3.1198512965247	0.059	1	1.36396139152813e-21	Monocyte_Macrophages_Dendritic	Cluster_14
Kcnk1	6.2752361484581e-26	-1.59314617321501	0	0.75	2.11450357258444e-21	Monocyte_Macrophages_Dendritic	Cluster_14
Mmp25	1.26023986677948e-25	-1.3811554178011	0.007	0.8	4.24650425510015e-21	Monocyte_Macrophages_Dendritic	Cluster_14
Abi3bp	5.80152443568217e-25	-2.60484448764603	0.015	0.8	1.95488167384746e-20	Monocyte_Macrophages_Dendritic	Cluster_14
Or13a27	3.71154160799882e-24	-1.88142993000446	0	0.7	1.25064106023128e-19	Monocyte_Macrophages_Dendritic	Cluster_14
Zfp462	3.71154160799882e-24	-1.38060798036384	0	0.7	1.25064106023128e-19	Monocyte_Macrophages_Dendritic	Cluster_14
Pde5a	8.9189888603584e-23	-2.16431073048011	0.052	0.9	3.00534248638637e-18	Monocyte_Macrophages_Dendritic	Cluster_14
Ccr6	2.46181268250473e-21	-1.44979774143722	0.044	0.9	8.29532401496793e-17	Monocyte_Macrophages_Dendritic	Cluster_14
Arnt2	1.02118361006359e-20	-1.44312324130095	0.007	0.65	3.44098029247028e-16	Monocyte_Macrophages_Dendritic	Cluster_14
Trdv4	1.1208181364279e-20	-3.01632812749705	0	0.6	3.77670879250746e-16	Monocyte_Macrophages_Dendritic	Cluster_14
Lrrn2	1.1208181364279e-20	-1.40562741801846	0	0.6	3.77670879250746e-16	Monocyte_Macrophages_Dendritic	Cluster_14
Cpe	1.1208181364279e-20	-1.16599555429848	0	0.6	3.77670879250746e-16	Monocyte_Macrophages_Dendritic	Cluster_14
Tmem176a	2.48648336630934e-20	-2.86690736413753	0.067	0.85	8.37845435111597e-16	Monocyte_Macrophages_Dendritic	Cluster_14
Ltb4r1	2.46905314902376e-19	-1.03641144056905	0.015	0.65	8.31972149095047e-15	Monocyte_Macrophages_Dendritic	Cluster_14
Scart1	5.66825886353747e-19	-4.19200357421721	0.059	0.8	1.90997650665759e-14	Monocyte_Macrophages_Dendritic	Cluster_14
Fat3	5.73511446792221e-19	-1.67632449071028	0	0.55	1.93250417111107e-14	Monocyte_Macrophages_Dendritic	Cluster_14
Avpi1	6.71413082648491e-19	-1.24742114795558	0.03	0.7	2.26239352329236e-14	Monocyte_Macrophages_Dendritic	Cluster_14
Adam12	1.14389767584058e-18	-2.51247055828085	0.044	0.75	3.85447760851242e-14	Monocyte_Macrophages_Dendritic	Cluster_14
Tmem176b	1.61233406880566e-18	-2.56144648797471	0.067	0.8	5.43292087824757e-14	Monocyte_Macrophages_Dendritic	Cluster_14
Il17re	2.7615991423047e-17	-1.11772639986081	0.037	0.7	9.30548446990992e-13	Monocyte_Macrophages_Dendritic	Cluster_14
Stab2	2.8029068800272e-17	-2.38085994633173	0	0.5	9.44467502293965e-13	Monocyte_Macrophages_Dendritic	Cluster_14
Zbtb7c	2.8029068800272e-17	-1.15685431009669	0	0.5	9.44467502293965e-13	Monocyte_Macrophages_Dendritic	Cluster_14
Trgv6	2.8029068800272e-17	-1.15433635453401	0	0.5	9.44467502293965e-13	Monocyte_Macrophages_Dendritic	Cluster_14
Igf1r	5.01121841355694e-17	-2.59943344022668	0.185	1	1.68858015663215e-12	Monocyte_Macrophages_Dendritic	Cluster_14
Jag1	5.31683289952242e-17	-0.824749575400176	0.007	0.55	1.79156001382308e-12	Monocyte_Macrophages_Dendritic	Cluster_14
Ckb	5.73774836230345e-17	-2.01603335786165	0.081	0.8	1.93339168816177e-12	Monocyte_Macrophages_Dendritic	Cluster_14
Frmd4a	7.50739390573899e-17	-2.2961589249894	0.067	0.75	2.52969145047781e-12	Monocyte_Macrophages_Dendritic	Cluster_14
Coro2b	1.64478938972488e-16	-1.54996326993424	0.067	0.75	5.54228232761695e-12	Monocyte_Macrophages_Dendritic	Cluster_14
Il2ra	8.70358977093432e-16	-1.15368976058117	0.052	0.75	2.93276160921403e-11	Monocyte_Macrophages_Dendritic	Cluster_14
Pard3	1.09477998170144e-15	-1.52233074256306	0.007	0.5	3.68897062634116e-11	Monocyte_Macrophages_Dendritic	Cluster_14
Bcl2a1a	1.3102826953139e-15	-1.16335854405918	0	0.45	4.41512857012973e-11	Monocyte_Macrophages_Dendritic	Cluster_14
Mtcl1	1.3102826953139e-15	-0.723139868576258	0	0.45	4.41512857012973e-11	Monocyte_Macrophages_Dendritic	Cluster_14
Itgb4	1.3102826953139e-15	-0.592008439228673	0	0.45	4.41512857012973e-11	Monocyte_Macrophages_Dendritic	Cluster_14
Cryba4	1.3102826953139e-15	-0.514325468975249	0	0.45	4.41512857012973e-11	Monocyte_Macrophages_Dendritic	Cluster_14
Actn2	1.39950550587615e-15	-1.57082453705373	0.074	0.75	4.71577375260027e-11	Monocyte_Macrophages_Dendritic	Cluster_14
Lrrc17	1.46611304974154e-15	-1.04554817868388	0.007	0.5	4.94021453240909e-11	Monocyte_Macrophages_Dendritic	Cluster_14
Rorc	2.08888602984159e-15	-1.93963785911502	0.096	0.8	7.03871036615422e-11	Monocyte_Macrophages_Dendritic	Cluster_14
Fam83a	2.37868902574338e-15	-0.789531079825992	0.007	0.5	8.01523054114489e-11	Monocyte_Macrophages_Dendritic	Cluster_14
St3gal3	2.46800094936279e-15	-1.96687360359067	0.148	0.9	8.31617599897287e-11	Monocyte_Macrophages_Dendritic	Cluster_14
F2r	2.54136852144617e-14	-1.89154717900121	0.163	0.85	8.56339536986501e-10	Monocyte_Macrophages_Dendritic	Cluster_14
Marchf3	2.91010274619538e-14	-2.51624734440831	0.156	0.9	9.80588221357996e-10	Monocyte_Macrophages_Dendritic	Cluster_14
Krt83	3.08262649975389e-14	-0.855981687040774	0.022	0.55	1.03872182535707e-09	Monocyte_Macrophages_Dendritic	Cluster_14
Tns4	4.71842375487487e-14	-0.761905145626656	0.007	0.45	1.58992006844264e-09	Monocyte_Macrophages_Dendritic	Cluster_14
Grk3	5.71668755658427e-14	-1.14565766353889	0.007	0.45	1.92629503906664e-09	Monocyte_Macrophages_Dendritic	Cluster_14
Ppp1r14c	5.86893592726755e-14	-0.806701032064861	0	0.4	1.97759665005207e-09	Monocyte_Macrophages_Dendritic	Cluster_14
Sox13	6.11561993293959e-14	-1.04388580743512	0.052	0.7	2.06071929260332e-09	Monocyte_Macrophages_Dendritic	Cluster_14
Ablim3	1.01292156324411e-13	-1.13464905198021	0.007	0.45	3.41314049950736e-09	Monocyte_Macrophages_Dendritic	Cluster_14
Rhobtb1	1.18052136914038e-13	-0.891855272639632	0.03	0.55	3.97788480545542e-09	Monocyte_Macrophages_Dendritic	Cluster_14
Clnk	2.80564387154906e-13	-2.73099209753009	0.304	0.95	9.45389758957171e-09	Monocyte_Macrophages_Dendritic	Cluster_14
Ccr2	4.59653433078189e-13	-1.55413464775439	0.126	0.8	1.54884820810027e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Jaml	5.54057745327348e-13	-2.03583992948368	0.274	0.9	1.86695297865503e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Apol7b	7.06960739584389e-13	-1.0058530148101	0.059	0.65	2.38217490810356e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Podnl1	8.08916410374027e-13	-1.16465729541162	0.141	0.85	2.72572473639632e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Trdc	9.50488285716968e-13	-2.66599471996664	0.156	0.85	3.20276532755189e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Npl	2.12998551855529e-12	-0.840781557205192	0.007	0.4	7.1771992033239e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Stom	2.12998551855529e-12	-0.688176597150317	0.007	0.4	7.1771992033239e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Chst11	2.43441347919751e-12	-1.99425541381088	0.259	0.95	8.20299965950394e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Rnf150	2.52418697876878e-12	-1.06197589518329	0	0.35	8.50550044365927e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Gm9961	2.52418697876878e-12	-0.791117044362859	0	0.35	8.50550044365927e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Miat	2.52418697876878e-12	-0.687025072661875	0	0.35	8.50550044365927e-08	Monocyte_Macrophages_Dendritic	Cluster_14
Irak3	2.57134424694364e-12	-0.746737475177172	0.007	0.4	8.6644015745013e-08	Monocyte_Macrophages_Dendritic	Cluster_14
She	3.24790657103919e-12	-0.568407994594174	0.015	0.45	1.09441459817737e-07	Monocyte_Macrophages_Dendritic	Cluster_14
Hs6st2	3.73972877751398e-12	-1.21047858531685	0.007	0.4	1.26013900887111e-07	Monocyte_Macrophages_Dendritic	Cluster_14
Acpp	4.52966431863265e-12	-1.07053727148167	0.052	0.6	1.52631568880646e-07	Monocyte_Macrophages_Dendritic	Cluster_14
Syne1	8.027635787393e-12	-1.94930175783469	0.348	0.95	2.70499215491995e-07	Monocyte_Macrophages_Dendritic	Cluster_14
Plcb4	1.04123224015018e-11	-1.64399648803867	0.193	0.9	3.50853615641004e-07	Monocyte_Macrophages_Dendritic	Cluster_14
Aqp3	1.80667352724797e-11	-0.844510429751595	0.022	0.45	6.08776711741477e-07	Monocyte_Macrophages_Dendritic	Cluster_14
Plxnd1	1.86789604648925e-11	-0.822119552201639	0.067	0.6	6.29406251825019e-07	Monocyte_Macrophages_Dendritic	Cluster_14
Fyb	1.91557360881635e-11	2.52564656934123	0.963	0.1	6.45471683226757e-07	Monocyte_Macrophages_Dendritic	Cluster_14
Prkch	2.25753056011928e-11	2.73420896812669	0.97	0.15	7.60697497537792e-07	Monocyte_Macrophages_Dendritic	Cluster_14
