	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
S100a6	6.65223226713628e-135	3.4384061730839	0.704	0.008	2.24153618473424e-130	Monocyte_Macrophages_Dendritic	DPsel
Hopx	4.49914732391676e-113	1.75473102679	0.6	0.007	1.51603268226699e-108	Monocyte_Macrophages_Dendritic	DPsel
Coro2a	2.06737898384015e-106	1.68189446366057	0.622	0.017	6.96624022394777e-102	Monocyte_Macrophages_Dendritic	DPsel
Klrk1	1.48336036252469e-104	2.65101242430396	0.519	0	4.99833107756319e-100	Monocyte_Macrophages_Dendritic	DPsel
Il18rap	7.51083642307161e-100	1.2027856679533	0.496	0	2.53085144111821e-95	Monocyte_Macrophages_Dendritic	DPsel
S100a4	1.27548639731242e-96	2.16177270643485	0.496	0.002	4.29787896438393e-92	Monocyte_Macrophages_Dendritic	DPsel
Ahnak	3.07696254454994e-94	1.73483543520636	0.674	0.046	1.03681329901155e-89	Monocyte_Macrophages_Dendritic	DPsel
Ccl5	6.05033301810926e-92	4.03153032343568	0.467	0.001	2.0387202137821e-87	Monocyte_Macrophages_Dendritic	DPsel
Fgl2	5.54082608244728e-89	1.20967597780814	0.444	0	1.86703675674143e-84	Monocyte_Macrophages_Dendritic	DPsel
Samd3	7.64080441242126e-89	1.24202965120548	0.452	0.001	2.57464545480947e-84	Monocyte_Macrophages_Dendritic	DPsel
Itga1	2.16969800705681e-87	1.71965071078455	0.459	0.004	7.31101440457861e-83	Monocyte_Macrophages_Dendritic	DPsel
Styk1	2.33633959851295e-87	2.25099392271629	0.444	0.001	7.87252991114925e-83	Monocyte_Macrophages_Dendritic	DPsel
Klrb1c	2.48589455599775e-87	1.45809664938353	0.444	0.001	8.37647029589001e-83	Monocyte_Macrophages_Dendritic	DPsel
Il18r1	2.60975457235319e-87	2.05578280086131	0.637	0.045	8.7938290070013e-83	Monocyte_Macrophages_Dendritic	DPsel
Myo1f	5.67713234382434e-84	1.66501387176087	0.607	0.04	1.91296651457505e-79	Monocyte_Macrophages_Dendritic	DPsel
Cxcr3	6.16531387377476e-84	0.868413149260684	0.437	0.002	2.07746416290714e-79	Monocyte_Macrophages_Dendritic	DPsel
Klrc2	7.69172467855673e-83	1.42970903316425	0.415	0	2.59180354768648e-78	Monocyte_Macrophages_Dendritic	DPsel
Rbpms	1.07817118304074e-79	0.89331688601574	0.407	0.001	3.63300561837406e-75	Monocyte_Macrophages_Dendritic	DPsel
Klra9	3.52364748846383e-78	2.8366520808896	0.4	0.001	1.18732825771277e-73	Monocyte_Macrophages_Dendritic	DPsel
Xcl1	4.1847304662916e-78	1.38586371005558	0.452	0.009	1.41008677792162e-73	Monocyte_Macrophages_Dendritic	DPsel
Ly6c2	2.48791625343669e-75	3.02541998024229	0.474	0.018	8.38328260758026e-71	Monocyte_Macrophages_Dendritic	DPsel
Tbx21	8.99906695895412e-75	0.953669061776078	0.4	0.004	3.03232560248918e-70	Monocyte_Macrophages_Dendritic	DPsel
Cxcr6	2.77662144667475e-71	1.78699960013782	0.548	0.041	9.35610362671524e-67	Monocyte_Macrophages_Dendritic	DPsel
Klre1	3.38602130135145e-69	1.51880685186308	0.348	0	1.14095373770339e-64	Monocyte_Macrophages_Dendritic	DPsel
Tmem163	1.07338335116597e-67	1.22638139751127	0.341	0	3.61687254008886e-63	Monocyte_Macrophages_Dendritic	DPsel
Klrd1	3.91755533889208e-67	1.8520229946006	0.511	0.037	1.32005944699308e-62	Monocyte_Macrophages_Dendritic	DPsel
Zbtb16	8.38601968289516e-66	1.29219895413907	0.341	0.001	2.82575319234835e-61	Monocyte_Macrophages_Dendritic	DPsel
Tent5a	5.53978035538446e-65	0.886799059282237	0.43	0.018	1.86668438855035e-60	Monocyte_Macrophages_Dendritic	DPsel
Slamf7	1.04423026474965e-64	1.00272695585492	0.385	0.009	3.51863830010043e-60	Monocyte_Macrophages_Dendritic	DPsel
Hip1	5.79417617343764e-64	0.963251033801764	0.363	0.006	1.95240560340155e-59	Monocyte_Macrophages_Dendritic	DPsel
Trgc4	1.36177831095783e-62	1.07748096974884	0.341	0.004	4.58864819660351e-58	Monocyte_Macrophages_Dendritic	DPsel
Fasl	3.46021390345705e-62	0.704832546648586	0.363	0.007	1.16595367690889e-57	Monocyte_Macrophages_Dendritic	DPsel
Il2rb	9.61051798075388e-62	1.66952389823345	0.741	0.151	3.23836013879483e-57	Monocyte_Macrophages_Dendritic	DPsel
Niban1	3.29415759113302e-61	1.02724998709708	0.481	0.033	1.10999934190818e-56	Monocyte_Macrophages_Dendritic	DPsel
