	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Rplp1	9.93203715512913e-129	-3.58847212712203	0.401	0.999	3.34669923979231e-124	CD8_exhausted_naive	DPsel
Rps9	3.2554096124326e-127	-3.35182702776933	0.304	0.999	1.09694282300529e-122	CD8_exhausted_naive	DPsel
Rps4x	3.63779758538289e-127	-3.84249861526152	0.195	0.993	1.22579227437062e-122	CD8_exhausted_naive	DPsel
Rps15a	3.8537680964811e-127	-3.64635056989438	0.304	1	1.29856569779027e-122	CD8_exhausted_naive	DPsel
Rps18	6.73499660829528e-127	-3.58121892321	0.257	0.999	2.26942445713118e-122	CD8_exhausted_naive	DPsel
Rps24	7.01076441160088e-127	-3.7841829597307	0.311	0.999	2.36234717613303e-122	CD8_exhausted_naive	DPsel
Rpl13	8.77065793909173e-127	-3.4942648551726	0.327	0.998	2.95536089915635e-122	CD8_exhausted_naive	DPsel
Rps16	9.80315332264881e-127	-3.46175755684662	0.304	0.998	3.30327054359974e-122	CD8_exhausted_naive	DPsel
Rps10	1.04250544681364e-126	-3.31069694183749	0.288	0.998	3.51282635358325e-122	CD8_exhausted_naive	DPsel
Tpt1	2.78825097485894e-126	-3.1081093525894	0.533	1	9.39529048488469e-122	CD8_exhausted_naive	DPsel
Rps29	4.36194518483408e-126	-3.23034951132431	0.327	0.999	1.46980104948169e-121	CD8_exhausted_naive	DPsel
Rplp0	5.59635418041347e-126	-3.51355469410036	0.261	0.995	1.88574750463212e-121	CD8_exhausted_naive	DPsel
Rps20	8.97185326150004e-126	-3.37618241018596	0.366	1	3.02315567499505e-121	CD8_exhausted_naive	DPsel
Rpl23	1.17864252647871e-125	-3.58183019656908	0.3	0.996	3.97155385722265e-121	CD8_exhausted_naive	DPsel
Tmsb4x	1.46210126032019e-125	-3.30709009402915	0.514	1	4.92669640677493e-121	CD8_exhausted_naive	DPsel
Rpl34	1.94447190093581e-125	-3.45275206791347	0.222	0.995	6.5520925173933e-121	CD8_exhausted_naive	DPsel
Rpl12	2.0591606509588e-125	-3.16653631046841	0.3	0.999	6.93854772947079e-121	CD8_exhausted_naive	DPsel
Rps7	2.88334080406331e-125	-3.61838014139178	0.272	0.992	9.71570517337174e-121	CD8_exhausted_naive	DPsel
Rpl19	4.54592647757908e-125	-3.19522495569084	0.339	0.998	1.53179538588505e-120	CD8_exhausted_naive	DPsel
Rps8	1.07687710779399e-124	-3.3256365376943	0.354	1	3.62864510242263e-120	CD8_exhausted_naive	DPsel
Rpl27a	2.73887216333187e-124	-3.04871833757117	0.358	0.999	9.22890364156307e-120	CD8_exhausted_naive	DPsel
Rpl9	3.15681048209489e-124	-3.42338065473795	0.272	0.991	1.06371886004669e-119	CD8_exhausted_naive	DPsel
Rpl15	4.17924784253957e-124	-3.14618390887915	0.245	0.995	1.40823935302213e-119	CD8_exhausted_naive	DPsel
Rps13	4.3455668642515e-124	-3.23960856789434	0.28	0.998	1.46428221057818e-119	CD8_exhausted_naive	DPsel
Rps27	4.9070108099257e-124	-3.17824598724873	0.268	0.998	1.65346636251256e-119	CD8_exhausted_naive	DPsel
Rpl32	6.13526684080936e-124	-3.32652132854479	0.304	0.999	2.06733951467912e-119	CD8_exhausted_naive	DPsel
Rpl21	6.64883586881675e-124	-3.12184025331223	0.311	0.995	2.24039173435649e-119	CD8_exhausted_naive	DPsel
Rpl35a	9.02858179676504e-124	-3.22169570031846	0.292	0.996	3.04227092223795e-119	CD8_exhausted_naive	DPsel
Rpl8	9.25907589076107e-124	-3.05540978926944	0.265	0.993	3.11993821215085e-119	CD8_exhausted_naive	DPsel
Eef1a1	9.27949057602581e-124	-2.85178527877726	0.537	1	3.12681714449766e-119	CD8_exhausted_naive	DPsel
Rps11	1.84692699165259e-123	-3.00377451013933	0.339	0.999	6.22340519107258e-119	CD8_exhausted_naive	DPsel
Rps3a1	2.9538072086576e-123	-3.0107186202459	0.428	0.999	9.95314877029264e-119	CD8_exhausted_naive	DPsel
Rpl10	3.81663439662984e-123	-3.17784941379619	0.171	0.992	1.28605312628839e-118	CD8_exhausted_naive	DPsel
Rpl7	4.44199132204437e-123	-3.14294998024136	0.214	0.988	1.49677339587607e-118	CD8_exhausted_naive	DPsel
Rps14	6.38326228726799e-123	-3.1927632510269	0.311	0.999	2.15090406031782e-118	CD8_exhausted_naive	DPsel
Rpl39	6.4409160641566e-123	-3.30209293649868	0.253	0.996	2.17033107697821e-118	CD8_exhausted_naive	DPsel
Rps27a	6.68429407229204e-123	-3.23295151733042	0.311	0.994	2.25233973059953e-118	CD8_exhausted_naive	DPsel
Rpl30	1.05029390971842e-122	-3.13370989809166	0.323	0.991	3.53907035818718e-118	CD8_exhausted_naive	DPsel
Fau	1.23439627508254e-122	-3.21689786055893	0.307	0.994	4.15942168851814e-118	CD8_exhausted_naive	DPsel
Rps12	1.57842917245689e-122	-2.99016682035008	0.319	0.999	5.31867493951075e-118	CD8_exhausted_naive	DPsel
Cd52	3.68777388968935e-122	-3.30093612343767	0.296	0.999	1.24263228986972e-117	CD8_exhausted_naive	DPsel
Rpl5	3.85095441890414e-122	-2.99843618493017	0.237	0.995	1.29761760099394e-117	CD8_exhausted_naive	DPsel
Rps3	4.71493589961195e-122	-3.12205444529556	0.276	0.991	1.58874480073324e-117	CD8_exhausted_naive	DPsel
