	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Rps16	1.75277790982492e-117	-2.84672903918853	0.304	1	5.90616044494604e-113	CD8_exhausted_naive	SP
Rps10	1.091342018652e-116	-2.85334859514506	0.288	0.999	3.67738606604976e-112	CD8_exhausted_naive	SP
Rps9	2.16048533069117e-115	-2.86839883728247	0.304	0.999	7.27997137029695e-111	CD8_exhausted_naive	SP
Tpt1	3.14284517381204e-115	-2.79866401645963	0.533	1	1.0590131097677e-110	CD8_exhausted_naive	SP
Tmsb4x	9.08821848323128e-113	-2.73579149853322	0.514	1	3.06236610010961e-108	CD8_exhausted_naive	SP
Rpl19	5.48815956400484e-112	-2.5895462687688	0.339	0.999	1.84929024668707e-107	CD8_exhausted_naive	SP
Fau	1.01737211245021e-111	-2.76183487113863	0.307	1	3.42813707011222e-107	CD8_exhausted_naive	SP
Rpl34	2.01049248590558e-111	-2.86892317366819	0.222	0.994	6.77455548050746e-107	CD8_exhausted_naive	SP
Rps24	9.23566217119234e-111	-2.75910793146077	0.311	1	3.11204872520497e-106	CD8_exhausted_naive	SP
Rpl7	1.28031813980001e-110	-2.80903102542402	0.214	0.988	4.31416000387013e-106	CD8_exhausted_naive	SP
Rpl9	1.02038962705527e-109	-2.7205903176975	0.272	0.993	3.43830488732544e-105	CD8_exhausted_naive	SP
Rps15a	2.01702053402031e-109	-2.67228226279621	0.304	0.997	6.79655239143485e-105	CD8_exhausted_naive	SP
Rps13	2.40374470705146e-109	-2.72997265811796	0.28	0.997	8.09965816488058e-105	CD8_exhausted_naive	SP
Rps4x	6.38205314045435e-109	-2.8549719730556	0.195	0.987	2.1504966262075e-104	CD8_exhausted_naive	SP
Rps27	1.36098650722106e-108	-2.64768449278201	0.268	0.999	4.5859801347321e-104	CD8_exhausted_naive	SP
Rpl23	1.03558055856503e-107	-2.67429109273746	0.3	0.993	3.48949225014072e-103	CD8_exhausted_naive	SP
Rplp1	2.74128730197994e-107	-2.49602306323005	0.401	1	9.23704169275162e-103	CD8_exhausted_naive	SP
Rpl15	3.28337618726507e-107	-2.63024522745564	0.245	0.991	1.10636644006084e-102	CD8_exhausted_naive	SP
Rps7	8.53488432006048e-106	-2.63772340204945	0.272	0.985	2.87591462048758e-101	CD8_exhausted_naive	SP
Rpl11	1.14485938530399e-105	-2.41652410925572	0.339	1	3.85771818472031e-101	CD8_exhausted_naive	SP
Rps8	1.47147393780594e-105	-2.49880618462041	0.354	0.997	4.9582785808309e-101	CD8_exhausted_naive	SP
Rpl8	1.8594721089581e-105	-2.52412980730896	0.265	0.991	6.2656772183452e-101	CD8_exhausted_naive	SP
H3f3a	4.26742487505649e-105	-2.09673649670815	0.533	1	1.43795148589904e-100	CD8_exhausted_naive	SP
Rps3a1	4.90598338213846e-105	-2.39994392168203	0.428	0.996	1.65312016044537e-100	CD8_exhausted_naive	SP
Rplp0	6.75017035741808e-105	-2.67005147702602	0.261	0.991	2.2745374036356e-100	CD8_exhausted_naive	SP
Rps27a	2.9024730650399e-104	-2.44204218031479	0.311	0.996	9.78017323995846e-100	CD8_exhausted_naive	SP
Ppia	4.43195057778424e-104	-2.51773799570911	0.3	0.988	1.49339006669018e-99	CD8_exhausted_naive	SP
Rpl13	6.10167745964634e-104	-2.56211285096443	0.327	0.993	2.05602123680243e-99	CD8_exhausted_naive	SP
Rpl28	6.6698297976289e-104	-2.47753839048544	0.311	0.996	2.24746584860903e-99	CD8_exhausted_naive	SP
Rps11	8.92696458412305e-104	-2.44999804058836	0.339	1	3.0080299862661e-99	CD8_exhausted_naive	SP
Rps14	3.50945643903898e-103	-2.54142211537521	0.311	0.991	1.18254644169858e-98	CD8_exhausted_naive	SP
Rpl35a	5.03492334469437e-103	-2.44598495742291	0.292	0.996	1.69656777022822e-98	CD8_exhausted_naive	SP
Fth1	8.76435181245284e-103	-2.46964738078306	0.163	0.975	2.95323598672411e-98	CD8_exhausted_naive	SP
Rpl37a	2.69745977243784e-101	-2.3598448681077	0.311	0.994	9.08936044920656e-97	CD8_exhausted_naive	SP
Rpl32	2.77295802943779e-101	-2.49528415570766	0.304	0.99	9.34375937599357e-97	CD8_exhausted_naive	SP
Ftl1	3.80200546042043e-101	-2.42887972088171	0.198	0.975	1.28112375994327e-96	CD8_exhausted_naive	SP
Rpl30	4.43611087908475e-101	-2.38602951846061	0.323	0.993	1.4947919218164e-96	CD8_exhausted_naive	SP
Rpl18	9.30886841591287e-101	-2.39142877284012	0.245	0.996	3.136716301426e-96	CD8_exhausted_naive	SP
Rpl27	1.56101712495687e-100	-2.30062705362533	0.319	0.99	5.26000330425467e-96	CD8_exhausted_naive	SP
Rps18	3.94948861241378e-100	-2.41860526240364	0.257	0.984	1.33081968283895e-95	CD8_exhausted_naive	SP
Rps23	9.79957319112981e-100	-2.31521528021798	0.288	0.997	3.3020641824831e-95	CD8_exhausted_naive	SP
Rpl41	1.57968598898711e-99	-2.31008655636668	0.3	0.993	5.32290990849096e-95	CD8_exhausted_naive	SP
Rps3	2.72615161744496e-99	-2.39783112831228	0.276	0.978	9.18604049014255e-95	CD8_exhausted_naive	SP
Rps29	4.80242165879937e-99	-2.29887466152617	0.327	0.997	1.61822400214903e-94	CD8_exhausted_naive	SP
Rpl27a	7.6273553465506e-99	-2.2696253488862	0.358	0.997	2.57011365757369e-94	CD8_exhausted_naive	SP
Rpl24	5.0843559152032e-98	-2.41147639062712	0.237	0.984	1.71322456918687e-93	CD8_exhausted_naive	SP
Cfl1	5.50788422894884e-98	-2.21679499511373	0.307	0.999	1.8559366697866e-93	CD8_exhausted_naive	SP
Rps25	1.64995547799972e-97	-2.18977494519549	0.198	0.977	5.55968997866785e-93	CD8_exhausted_naive	SP
Rpl10	3.07227186433373e-97	-2.46445261095707	0.171	0.957	1.03523272740589e-92	CD8_exhausted_naive	SP
Rpl17	3.37248760846064e-97	-2.29966879239399	0.323	0.996	1.1363934245469e-92	CD8_exhausted_naive	SP
Oaz1	3.67695234205032e-97	-2.14743472012101	0.265	0.981	1.23898586117728e-92	CD8_exhausted_naive	SP
Rpl18a	5.28691325391616e-97	-2.45849283376168	0.28	0.985	1.78147829003959e-92	CD8_exhausted_naive	SP
Ubb	7.88856176926286e-97	-2.17655359235902	0.385	0.996	2.65812977377081e-92	CD8_exhausted_naive	SP
Rps26	1.2256565763222e-96	-2.37852438881784	0.265	0.987	4.12997239957528e-92	CD8_exhausted_naive	SP
Cd3d	4.20721250602897e-96	-2.07453112626221	0.393	0.997	1.41766232603152e-91	CD8_exhausted_naive	SP
Actg1	1.29791097982368e-95	-2.54598593906732	0.261	0.965	4.37344083761386e-91	CD8_exhausted_naive	SP
Eef1a1	1.50247042599225e-95	-2.05553350838024	0.537	0.997	5.06272434742349e-91	CD8_exhausted_naive	SP
Rpl26	5.71283628272796e-95	-2.2732920181301	0.292	0.981	1.92499731382801e-90	CD8_exhausted_naive	SP
Rpl29	6.29894184615499e-95	-2.31537730459488	0.136	0.952	2.12249144448039e-90	CD8_exhausted_naive	SP
Rpl13a	7.24761008861881e-95	-2.23817819487116	0.315	0.991	2.442154695461e-90	CD8_exhausted_naive	SP
Eif1	2.31131385447801e-94	-2.16842712674929	0.342	0.987	7.78820316404911e-90	CD8_exhausted_naive	SP
Arhgdib	7.90633360963341e-94	-2.15561010563966	0.37	0.979	2.66411817310207e-89	CD8_exhausted_naive	SP
Rpl39	1.68661342268624e-93	-2.2172710911916	0.253	0.982	5.68321258908356e-89	CD8_exhausted_naive	SP
