	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Mki67	2.0832389168421e-57	3.53064678112657	0.881	0.016	7.01968185419115e-53	Cluster_13	CD8_exhausted_naive
Top2a	1.22977427858399e-53	3.99962723338736	0.91	0.047	4.14384740911662e-49	Cluster_13	CD8_exhausted_naive
Knl1	3.04434439250418e-49	2.83933661973136	0.761	0.008	1.02582228649821e-44	Cluster_13	CD8_exhausted_naive
Cenpe	2.65448553994518e-47	2.79740758600659	0.746	0.012	8.94455447539929e-43	Cluster_13	CD8_exhausted_naive
Diaph3	7.42887523152613e-45	3.22687067159739	0.746	0.019	2.50323379801504e-40	Cluster_13	CD8_exhausted_naive
Kif11	1.8960886477365e-42	2.98408795735119	0.746	0.035	6.3890603074129e-38	Cluster_13	CD8_exhausted_naive
Ncapg2	9.15852640221524e-42	2.05333449877341	0.627	0	3.08605705649045e-37	Cluster_13	CD8_exhausted_naive
Bub1b	9.15852640221524e-42	1.95830731741349	0.627	0	3.08605705649045e-37	Cluster_13	CD8_exhausted_naive
Cenpf	1.22336037239958e-41	2.84123297907568	0.657	0.008	4.12223511083761e-37	Cluster_13	CD8_exhausted_naive
Cenpp	3.07780394033021e-41	2.82271497762105	0.746	0.035	1.03709681573367e-36	Cluster_13	CD8_exhausted_naive
E2f2	1.25285645755915e-40	2.22433068716877	0.731	0.031	4.22162511939131e-36	Cluster_13	CD8_exhausted_naive
Ect2	4.01343551271933e-39	2.368804782991	0.642	0.012	1.35236723036591e-34	Cluster_13	CD8_exhausted_naive
Anln	1.50781124626037e-38	1.94583019264448	0.582	0	5.08072077539895e-34	Cluster_13	CD8_exhausted_naive
Kif15	4.98094447070265e-38	2.47767229377264	0.612	0.008	1.67837904884796e-33	Cluster_13	CD8_exhausted_naive
Kif4	2.67801139061504e-37	2.16623823812884	0.582	0.004	9.02382718181642e-33	Cluster_13	CD8_exhausted_naive
Nusap1	3.90271304375023e-37	2.2894305790187	0.642	0.019	1.31505818722208e-32	Cluster_13	CD8_exhausted_naive
Depdc1a	4.24212632985803e-37	1.95824401105477	0.582	0.004	1.42942688810896e-32	Cluster_13	CD8_exhausted_naive
Lockd	1.25989223725932e-36	2.44945331724491	0.716	0.047	4.24533288266901e-32	Cluster_13	CD8_exhausted_naive
Prc1	7.29006028170125e-36	2.18019067104428	0.612	0.016	2.45645871252205e-31	Cluster_13	CD8_exhausted_naive
Aspm	4.05352533160738e-35	1.80584671691878	0.552	0.004	1.36587589573842e-30	Cluster_13	CD8_exhausted_naive
