	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Top2a	1.87103900021546e-33	4.24288627621958	0.91	0.096	6.30465301512602e-29	Cluster_13	Monocyte_Macrophages_Dendritic
Mki67	2.75124645348298e-32	3.47349062303596	0.881	0.081	9.27060004965626e-28	Cluster_13	Monocyte_Macrophages_Dendritic
Arpp21	8.70834316566758e-31	4.18997845728118	0.955	0.274	2.93436331310335e-26	Cluster_13	Monocyte_Macrophages_Dendritic
Rps15a	4.64466512677016e-30	-3.66396296565825	0.507	1	1.56506636111647e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rps18	4.8890512223984e-30	-3.99607316389893	0.313	0.985	1.64741469989937e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Tmsb10	4.97291664009942e-30	-4.43728986151585	0.224	0.993	1.6756739910479e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl38	7.35143191666159e-30	-3.44451007354118	0.328	0.985	2.47713849863829e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rps5	8.09154054453247e-30	-3.73738306431081	0.284	0.985	2.72652550188566e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl26	8.58290389039637e-30	-3.05352905267661	0.418	0.993	2.89209529490796e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl37	1.06349534477077e-29	-3.296560109948	0.388	0.985	3.5835539137396e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Tmsb4x	1.08799448452629e-29	-4.27135941687234	0.463	0.993	3.66610621505979e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl36	1.17618472807349e-29	-3.22723581340602	0.328	0.985	3.96327205971642e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl21	1.29300380774308e-29	-3.24001599351861	0.418	0.993	4.35690563057108e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Tpt1	1.39007686905476e-29	-3.50445227834518	0.657	0.993	4.6840030179669e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl32	1.5446158026381e-29	-3.54485529488358	0.478	0.985	5.20473740856935e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rps24	1.54872596535534e-29	-3.98899713034954	0.418	0.985	5.21858701286136e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl37a	1.59245976641845e-29	-3.39281292499267	0.522	0.985	5.3659524289236e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Kif11	1.7776315385316e-29	3.17634182713219	0.746	0.007	5.98990723223607e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl17	1.87827143925295e-29	-3.56396606737053	0.403	0.985	6.32902344170675e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rps14	2.12432449600293e-29	-3.17207898894648	0.522	0.993	7.15812382173146e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rplp1	2.31327353948568e-29	-3.75546789143173	0.463	0.985	7.79480651865094e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl27	2.40123853560903e-29	-3.17777806726303	0.358	0.985	8.09121336958818e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl35a	2.74259714151969e-29	-3.09982749836194	0.403	0.985	9.24145532806474e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rps7	2.9612658383273e-29	-3.47214947626757	0.448	0.993	9.97828136882767e-25	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl39	3.29142441174963e-29	-3.7881415924361	0.358	0.978	1.10907836978315e-24	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl34	3.61954439463892e-29	-3.1793877196538	0.388	0.985	1.21964167921753e-24	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl9	3.72595211820269e-29	-3.45040327427141	0.388	0.985	1.25549682574958e-24	Cluster_13	Monocyte_Macrophages_Dendritic
Rps12	3.76857249750703e-29	-3.64625943484316	0.448	0.985	1.26985818875997e-24	Cluster_13	Monocyte_Macrophages_Dendritic
B2m	3.97745488818071e-29	-3.42336130368448	0.164	0.978	1.34024319912137e-24	Cluster_13	Monocyte_Macrophages_Dendritic
Rpl11	4.00622991675169e-29	-2.52306461342739	0.567	0.993	1.34993923274865e-24	Cluster_13	Monocyte_Macrophages_Dendritic
Rps11	4.01495178895149e-29	-3.14633469086524	0.463	0.985	1.35287815480509e-24	Cluster_13	Monocyte_Macrophages_Dendritic
