	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ppia	3.33854692316693e-42	-3.28556380854389	0.672	1	1.12495677123033e-37	Cluster_13	preDP_DPblast
Tpt1	6.19067152672212e-42	-3.13792523412043	0.657	1	2.08600867764428e-37	Cluster_13	preDP_DPblast
Serf2	1.34220894902628e-41	-2.498802697325	0.313	1	4.52270727463896e-37	Cluster_13	preDP_DPblast
Rps29	1.99158611253399e-41	-3.07063341547649	0.507	1	6.71084856479453e-37	Cluster_13	preDP_DPblast
Rpl29	3.78361281698505e-41	-3.0190524296731	0.194	0.999	1.27492617481128e-36	Cluster_13	preDP_DPblast
Rpl32	3.84859921945569e-41	-3.29989743522817	0.478	0.999	1.29682399298779e-36	Cluster_13	preDP_DPblast
Rps17	5.9589536021497e-41	-3.15467865966364	0.254	1	2.00792900578036e-36	Cluster_13	preDP_DPblast
Rps11	7.01264292908515e-41	-2.89284125052335	0.463	1	2.36298016138453e-36	Cluster_13	preDP_DPblast
Ptma	7.51654665209727e-41	-2.47491849435534	0.955	1	2.5327755598907e-36	Cluster_13	preDP_DPblast
Gapdh	8.25461968106429e-41	-2.91761117774597	0.269	0.998	2.78147664773142e-36	Cluster_13	preDP_DPblast
Rpl35a	8.75675994996482e-41	-2.89035047240182	0.403	1	2.95067783274015e-36	Cluster_13	preDP_DPblast
H2az1	8.9759725747847e-41	-3.21754505843446	0.627	1	3.02454371879945e-36	Cluster_13	preDP_DPblast
Rps16	9.2981893391093e-41	-2.96006602383049	0.478	1	3.13311787970627e-36	Cluster_13	preDP_DPblast
Hmgn2	1.0113236268307e-40	-2.96106641431329	0.358	0.998	3.40775609296874e-36	Cluster_13	preDP_DPblast
Snrpd2	1.09529704998944e-40	-2.25595558028181	0.06	0.984	3.6907129396444e-36	Cluster_13	preDP_DPblast
Rpl19	1.1201217244356e-40	-2.84827767520721	0.507	1	3.7743621626582e-36	Cluster_13	preDP_DPblast
Rpl28	1.22577936783648e-40	-3.0030122066748	0.537	1	4.1303861578618e-36	Cluster_13	preDP_DPblast
Atp5e	1.50970746008075e-40	-2.50930825437054	0.134	0.992	5.08711025748808e-36	Cluster_13	preDP_DPblast
Cox6b1	2.25268031910571e-40	-2.27838466006965	0.09	0.992	7.59063160325859e-36	Cluster_13	preDP_DPblast
Rpl39	2.2738499974968e-40	-3.22040188305651	0.358	0.998	7.66196495156522e-36	Cluster_13	preDP_DPblast
Rpl11	2.35015536357998e-40	-2.62064824553001	0.567	1	7.91908351311911e-36	Cluster_13	preDP_DPblast
Rps24	2.55897959574591e-40	-3.15013477491414	0.418	1	8.62273764582543e-36	Cluster_13	preDP_DPblast
Crip1	3.06388344339657e-40	-2.74476327529052	0.149	0.994	1.03240616508691e-35	Cluster_13	preDP_DPblast
Snrpe	5.02630838972715e-40	-2.21903120815209	0.358	0.996	1.69366487500246e-35	Cluster_13	preDP_DPblast
Rps5	5.51030734621277e-40	-3.13705895227609	0.284	0.998	1.85675316337985e-35	Cluster_13	preDP_DPblast
Rps15a	5.61655466075957e-40	-2.95196200667427	0.507	0.999	1.89255425848954e-35	Cluster_13	preDP_DPblast
Hmgb1	6.18368157011305e-40	-2.03556601799516	0.955	1	2.0836533418653e-35	Cluster_13	preDP_DPblast
Rps26	6.60398737287624e-40	-3.19766986202453	0.328	1	2.22527958516438e-35	Cluster_13	preDP_DPblast
Fau	7.07328814406118e-40	-2.59655700653224	0.478	1	2.38341517302286e-35	Cluster_13	preDP_DPblast
Rps23	8.58878272162124e-40	-2.96503796459514	0.418	1	2.89407622587749e-35	Cluster_13	preDP_DPblast
Rpl23a	9.26767107012436e-40	-2.81580141814493	0.373	0.998	3.1228344437891e-35	Cluster_13	preDP_DPblast
Rpl38	1.22557659880829e-39	-2.57396408654405	0.328	0.999	4.12970290734441e-35	Cluster_13	preDP_DPblast
H3f3a	1.2383250815924e-39	-2.27874919022988	0.761	1	4.17266019493374e-35	Cluster_13	preDP_DPblast
Rpl13a	1.2831690774021e-39	-2.50945684762424	0.567	1	4.32376652321412e-35	Cluster_13	preDP_DPblast
Rpl34	1.52713134244003e-39	-2.70877050655791	0.388	0.999	5.14582177148592e-35	Cluster_13	preDP_DPblast
Atpif1	1.57061759074577e-39	-2.22361850248984	0.06	0.979	5.29235303377695e-35	Cluster_13	preDP_DPblast
Rpl35	1.64229744715581e-39	-2.913227007176	0.179	0.998	5.53388547793623e-35	Cluster_13	preDP_DPblast
Rpl17	1.7605051404953e-39	-2.89958686088162	0.403	0.999	5.93219812141298e-35	Cluster_13	preDP_DPblast
Rpl31	1.90200764187046e-39	-2.53787373040949	0.194	0.999	6.4090049500467e-35	Cluster_13	preDP_DPblast
Rps14	1.94245561461504e-39	-2.78100283448192	0.522	1	6.54529843900684e-35	Cluster_13	preDP_DPblast
Cfl1	2.3422282797588e-39	-2.26519974384244	0.388	0.999	7.89237241147526e-35	Cluster_13	preDP_DPblast
Rps3	2.5898223711067e-39	-2.87012421783796	0.388	0.999	8.72666546168114e-35	Cluster_13	preDP_DPblast
Rpl15	2.76290169834622e-39	-2.94403672026892	0.373	0.998	9.30987356274741e-35	Cluster_13	preDP_DPblast
Rps10	2.93705593412339e-39	-2.8989933608619	0.478	1	9.89670367562219e-35	Cluster_13	preDP_DPblast
Atp5h	3.1875229051732e-39	-2.38449503217464	0.343	0.998	1.07406771812716e-34	Cluster_13	preDP_DPblast
Rplp2	3.31866065501084e-39	-2.55406102074885	0.627	1	1.11825589431245e-34	Cluster_13	preDP_DPblast
Rps13	3.32957067395921e-39	-2.68882965423347	0.507	0.998	1.1219321342973e-34	Cluster_13	preDP_DPblast
Rpl22	3.42032398283342e-39	-3.00164720913238	0.299	0.994	1.15251236925555e-34	Cluster_13	preDP_DPblast
Rps8	3.70081148625617e-39	-2.851591215998	0.597	0.999	1.24702543840888e-34	Cluster_13	preDP_DPblast
Ndufb1	3.82987086898545e-39	-1.9791286442833	0.194	0.995	1.29051328801334e-34	Cluster_13	preDP_DPblast
Stmn1	3.83055142691738e-39	-2.63428021237803	0.582	1	1.29074260881408e-34	Cluster_13	preDP_DPblast
Rps18	4.72296348650255e-39	-3.12975112353703	0.313	0.998	1.5914497764119e-34	Cluster_13	preDP_DPblast
Lsm5	5.32549435204208e-39	-1.92918419949338	0.104	0.989	1.7944785768641e-34	Cluster_13	preDP_DPblast
Ndufb7	5.42443491086887e-39	-1.90055069701295	0.09	0.986	1.82781758756638e-34	Cluster_13	preDP_DPblast
Rps20	5.54804608610127e-39	-3.128838893113	0.507	0.999	1.86946960917268e-34	Cluster_13	preDP_DPblast
Rpl21	5.96404749075844e-39	-2.71863926246221	0.418	0.999	2.00964544248597e-34	Cluster_13	preDP_DPblast
Txn1	6.22310685854111e-39	-2.36985045461979	0.358	0.995	2.09693808705401e-34	Cluster_13	preDP_DPblast
Rpl27	6.47791592458686e-39	-2.67083955349882	0.358	1	2.18279854994879e-34	Cluster_13	preDP_DPblast
Rpl36	6.72844257705213e-39	-2.70878595069466	0.328	0.998	2.26721601076349e-34	Cluster_13	preDP_DPblast
Ubb	6.97613605022594e-39	-3.07851769600495	0.537	1	2.35067880348413e-34	Cluster_13	preDP_DPblast
Rpl37a	7.90094728940499e-39	-2.54045631920261	0.522	1	2.66230319863791e-34	Cluster_13	preDP_DPblast
Fth1	1.01319005733951e-38	-2.45928301190029	0.299	0.996	3.41404521721121e-34	Cluster_13	preDP_DPblast
Rpl13	1.16995471966865e-38	-2.84081195967317	0.522	1	3.94227942339548e-34	Cluster_13	preDP_DPblast
Tomm7	1.19665501782315e-38	-2.07749451105853	0.209	0.991	4.03224874805689e-34	Cluster_13	preDP_DPblast
Rpl24	1.38494011151809e-38	-2.45819269556158	0.448	0.999	4.66669419977136e-34	Cluster_13	preDP_DPblast
Rps12	1.44654714607047e-38	-3.19257635538763	0.448	0.999	4.87428526339907e-34	Cluster_13	preDP_DPblast
Rplp0	1.87574835877534e-38	-2.84862607128145	0.522	0.999	6.32052166972938e-34	Cluster_13	preDP_DPblast
Rps27l	1.96210749343747e-38	-2.18938328527394	0.119	0.975	6.61151740988689e-34	Cluster_13	preDP_DPblast
Btf3	2.05721679241599e-38	-2.34333995680175	0.224	0.991	6.93199770372492e-34	Cluster_13	preDP_DPblast
Elob	3.11323409021006e-38	-2.19512479831784	0.194	0.999	1.04903535903718e-33	Cluster_13	preDP_DPblast
Rpl26	3.16861124873598e-38	-2.66264571834212	0.418	1	1.06769524637407e-33	Cluster_13	preDP_DPblast
Rpl12	3.43511710432977e-38	-2.95049664923214	0.358	0.999	1.15749705947496e-33	Cluster_13	preDP_DPblast
Rplp1	3.56709841512281e-38	-3.01524886639098	0.463	0.999	1.20196948195978e-33	Cluster_13	preDP_DPblast
Cox7a2	4.32958011670394e-38	-2.12079785631327	0.239	0.994	1.45889531612456e-33	Cluster_13	preDP_DPblast
Atp5j2	4.53932626430076e-38	-2.03411434302621	0.224	0.996	1.52957137801879e-33	Cluster_13	preDP_DPblast
Rps19	5.95497329526901e-38	-2.78080211411895	0.463	0.999	2.00658780157385e-33	Cluster_13	preDP_DPblast
Gng5	6.98858753523724e-38	-2.00709725161943	0.134	0.986	2.35487445587354e-33	Cluster_13	preDP_DPblast
Rpl6	7.11354468248695e-38	-2.55350132196798	0.433	0.999	2.3969800162108e-33	Cluster_13	preDP_DPblast
