	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	3.09202806981005e-259	-3.22701012423685	0.002	0.937	1.04188977840319e-254	Cluster_2_6	DN_Precursors
Atp8b4	8.60782968217965e-253	-2.90565521997015	0.002	0.919	2.90049428970726e-248	Cluster_2_6	DN_Precursors
Myl10	7.17639243810548e-252	-3.50977111624945	0.007	0.955	2.41815719594402e-247	Cluster_2_6	DN_Precursors
Trgc2	1.3926652108605e-244	-2.69668143642035	0.001	0.874	4.69272469451556e-240	Cluster_2_6	DN_Precursors
Trgc1	6.86487014696734e-234	-2.68772236043947	0.002	0.856	2.31318664472212e-229	Cluster_2_6	DN_Precursors
Trgc4	9.94482669339756e-218	-2.16972091311416	0.002	0.793	3.35100880260724e-213	Cluster_2_6	DN_Precursors
Hes1	1.0927539333094e-217	-2.11068074007933	0.002	0.793	3.68214365367936e-213	Cluster_2_6	DN_Precursors
Ccnd2	3.81248351233232e-217	-1.87624476554022	0.004	0.82	1.2846544443155e-212	Cluster_2_6	DN_Precursors
Plac8	3.57617964775574e-212	-3.37384094046485	0.008	0.838	1.20502949410778e-207	Cluster_2_6	DN_Precursors
1500009L16Rik	9.29241921312045e-207	-1.34753346193564	0.001	0.748	3.13117357805307e-202	Cluster_2_6	DN_Precursors
Il2ra	1.66103085700048e-194	-3.03346279151171	0.029	0.937	5.59700957574883e-190	Cluster_2_6	DN_Precursors
Gria3	3.6541486876011e-191	-2.10096291419001	0.018	0.865	1.23130194177407e-186	Cluster_2_6	DN_Precursors
Tmem121	7.09851489487983e-186	-1.41071309044326	0.001	0.676	2.39191557897871e-181	Cluster_2_6	DN_Precursors
Zeb2	6.02845794799399e-185	-1.9500719933384	0.005	0.721	2.03134919015605e-180	Cluster_2_6	DN_Precursors
Trgv2	2.02434405611805e-183	-2.17258837645782	0	0.658	6.82122973149536e-179	Cluster_2_6	DN_Precursors
Mcub	1.51773908338806e-182	-1.32846244802914	0.002	0.685	5.1141736153844e-178	Cluster_2_6	DN_Precursors
Nckap5	4.4448471102482e-180	-1.4979672610699	0.002	0.676	1.49773568226923e-175	Cluster_2_6	DN_Precursors
Ldlr	1.81988663294883e-174	-1.40278951275879	0.007	0.703	6.13228999838436e-170	Cluster_2_6	DN_Precursors
H2-K1	3.46641250277318e-173	-2.06042329210847	0.032	0.901	1.16804235693445e-168	Cluster_2_6	DN_Precursors
Notch3	8.46908322126425e-171	-2.08493196489382	0.028	0.865	2.8537422822372e-166	Cluster_2_6	DN_Precursors
Pgls	1.34884722023788e-170	-1.73223206291201	0.039	0.937	4.54507559331356e-166	Cluster_2_6	DN_Precursors
Ifitm2	3.85648859086465e-165	-1.03688060715362	0	0.595	1.29948239557775e-160	Cluster_2_6	DN_Precursors
C1qbp	4.39297189528181e-165	-1.13498879812236	0.017	0.766	1.48025580983416e-160	Cluster_2_6	DN_Precursors
Prss57	2.77855857271504e-164	-0.984206710569771	0.002	0.622	9.3626309666206e-160	Cluster_2_6	DN_Precursors
Bst2	5.10863762705012e-164	-1.81402311618139	0.031	0.856	1.72140653481081e-159	Cluster_2_6	DN_Precursors
Il7r	5.19672340908237e-164	-1.31100959123437	0.007	0.667	1.75108791992439e-159	Cluster_2_6	DN_Precursors
AW112010	5.59156704814741e-164	-0.953963179749541	0.006	0.658	1.88413443254375e-159	Cluster_2_6	DN_Precursors
Phgdh	1.46534592003795e-160	-1.38181919830584	0.027	0.829	4.93762961215986e-156	Cluster_2_6	DN_Precursors
Crip1	1.23022803474112e-159	-4.25326262280418	0.07	0.964	4.14537638586368e-155	Cluster_2_6	DN_Precursors
Myc	3.60266447469953e-156	-1.20622451766954	0.007	0.649	1.21395382139475e-151	Cluster_2_6	DN_Precursors
Gpx1	2.75526808365897e-155	-1.5307323854721	0.031	0.829	9.28415133469725e-151	Cluster_2_6	DN_Precursors
Epb41l4b	4.83505410010187e-154	-0.988519645712933	0.002	0.577	1.62921982957032e-149	Cluster_2_6	DN_Precursors
1110038B12Rik	1.12932330255746e-151	-0.997167461411583	0.01	0.658	3.80536780029762e-147	Cluster_2_6	DN_Precursors
Nhp2	3.24051201575126e-151	-0.94093464050164	0.007	0.622	1.09192292882754e-146	Cluster_2_6	DN_Precursors
Notch1	2.33469250598204e-149	-2.14436987796183	0.06	0.964	7.8669798681571e-145	Cluster_2_6	DN_Precursors
Apex1	2.27320054230368e-148	-0.821552427920026	0.004	0.586	7.65977654734649e-144	Cluster_2_6	DN_Precursors
Pgpep1l	2.94635601657291e-148	-1.42234185330469	0.013	0.667	9.92804123344406e-144	Cluster_2_6	DN_Precursors
Pdrg1	4.3667350028755e-148	-1.2561360666875	0.031	0.811	1.47141502656893e-143	Cluster_2_6	DN_Precursors
Ctla2a	4.72737887965876e-147	-1.04904705682927	0	0.532	1.59293758728982e-142	Cluster_2_6	DN_Precursors
