	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ctss	7.01185823472285e-223	-3.60418510529941	0.002	0.849	2.36271575077221e-218	Cluster_2_6	Stroma
H2-Aa	5.23814164027291e-205	-5.29040660831438	0.003	0.795	1.76504420710636e-200	Cluster_2_6	Stroma
H2-Ab1	4.30730851990989e-203	-4.96435751969977	0.006	0.822	1.45139067886884e-198	Cluster_2_6	Stroma
Cd74	5.3908024756002e-200	-6.3647731086717	0.012	0.877	1.81648480217824e-195	Cluster_2_6	Stroma
H2-Eb1	2.87607172931351e-189	-5.03392257963637	0.003	0.74	9.6912112990948e-185	Cluster_2_6	Stroma
Ifi30	1.00412421636276e-186	-3.07476530859398	0.006	0.767	3.38349695945596e-182	Cluster_2_6	Stroma
Ctsh	5.92724861033081e-184	-2.39868532970081	0	0.671	1.99724569173707e-179	Cluster_2_6	Stroma
Lyn	3.55213031442672e-177	-2.75888067405111	0.008	0.767	1.19692583074923e-172	Cluster_2_6	Stroma
Ly86	2.62076212470065e-168	-2.3167140051399	0.001	0.63	8.83092005539131e-164	Cluster_2_6	Stroma
Cybb	1.53431271675475e-164	-2.58858878106165	0.001	0.616	5.1700201303768e-160	Cluster_2_6	Stroma
Unc93b1	6.31134911923095e-161	-2.07344216077319	0.002	0.616	2.12667219921606e-156	Cluster_2_6	Stroma
Wdfy4	6.40539430426583e-161	-2.34479465313356	0	0.589	2.15836166476541e-156	Cluster_2_6	Stroma
Tyrobp	3.15363229748436e-157	-3.71850674897337	0.001	0.589	1.06264793896033e-152	Cluster_2_6	Stroma
H2-Q7	1.52854140850935e-149	-2.08283006152804	0.003	0.603	5.15057313011311e-145	Cluster_2_6	Stroma
H2-K1	1.60083703865955e-149	-3.8319590328461	0.032	0.863	5.39418048546722e-145	Cluster_2_6	Stroma
Napsa	1.10812487246064e-145	-1.4509088595403	0	0.534	3.73393757024337e-141	Cluster_2_6	Stroma
Mpeg1	1.27029765731543e-145	-2.07106184071251	0.001	0.548	4.28039498609007e-141	Cluster_2_6	Stroma
Samhd1	1.48467250444094e-142	-1.68940011255905	0.005	0.603	5.00275247096418e-138	Cluster_2_6	Stroma
Cd86	6.91066054893751e-142	-1.70489482934753	0	0.521	2.32861617856998e-137	Cluster_2_6	Stroma
Cd180	6.91066054893751e-142	-1.49245796225107	0	0.521	2.32861617856998e-137	Cluster_2_6	Stroma
Ctsz	9.90500107701659e-141	-3.01092905901938	0.028	0.822	3.33758916291151e-136	Cluster_2_6	Stroma
Lgals3	2.51139412087519e-138	-3.49846849185624	0.002	0.548	8.46239362970105e-134	Cluster_2_6	Stroma
Pik3ap1	6.51670820002392e-138	-1.69930513950436	0.001	0.521	2.19586999508006e-133	Cluster_2_6	Stroma
Snx9	7.7642332412351e-138	-1.03137476817823	0.002	0.548	2.61623603296658e-133	Cluster_2_6	Stroma
Plcg2	9.57596240867745e-138	-1.21486166323186	0.001	0.521	3.22671629322795e-133	Cluster_2_6	Stroma
Rassf3	1.35290835576508e-137	-1.00319822595546	0.002	0.534	4.55875999558601e-133	Cluster_2_6	Stroma
Fcer1g	2.07282938349883e-137	-3.4858228488316	0.006	0.589	6.98460589063767e-133	Cluster_2_6	Stroma
Rassf4	5.77080317002239e-134	-1.40495969706267	0.001	0.507	1.94452983617074e-129	Cluster_2_6	Stroma
AW112010	4.93181437230005e-133	-2.48484242538513	0.006	0.575	1.66182417089022e-128	Cluster_2_6	Stroma
Apoe	1.20437908019281e-130	-5.98812503239308	0.013	0.644	4.05827574861768e-126	Cluster_2_6	Stroma
Aif1	1.54735244939467e-130	-3.12802866090251	0	0.479	5.21395881348029e-126	Cluster_2_6	Stroma
Gm15987	1.54735244939467e-130	-2.28149649510894	0	0.479	5.21395881348029e-126	Cluster_2_6	Stroma
Plek	1.54735244939467e-130	-1.4294406747859	0	0.479	5.21395881348029e-126	Cluster_2_6	Stroma
