	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Rplp0	0	2.4957606782097	0.988	0.29	0	DPre	Cluster_2_6
Fau	0	2.49061746549413	0.997	0.335	0	DPre	Cluster_2_6
Tpt1	0	2.48332121201078	0.999	0.516	0	DPre	Cluster_2_6
Rps9	0	2.45624584095475	0.997	0.358	0	DPre	Cluster_2_6
Rps10	0	2.44811325645222	0.997	0.332	0	DPre	Cluster_2_6
Rps7	0	2.44805583105324	0.984	0.276	0	DPre	Cluster_2_6
Rpl9	0	2.44078158190703	0.991	0.266	0	DPre	Cluster_2_6
Rps14	0	2.4391165683893	0.998	0.377	0	DPre	Cluster_2_6
Rpl18a	0	2.43501369723476	0.99	0.308	0	DPre	Cluster_2_6
Rps24	0	2.42917035570583	0.996	0.373	0	DPre	Cluster_2_6
Rpl34	0	2.41624145293005	0.99	0.293	0	DPre	Cluster_2_6
Rps15a	0	2.41316075249401	0.997	0.32	0	DPre	Cluster_2_6
Rpl30	0	2.38062299683003	0.987	0.294	0	DPre	Cluster_2_6
Rps3a1	0	2.37878520651325	0.996	0.375	0	DPre	Cluster_2_6
Rps4x	0	2.37813404602959	0.975	0.226	0	DPre	Cluster_2_6
Rps27	0	2.37792071878917	0.996	0.318	0	DPre	Cluster_2_6
Rps13	0	2.36512405058765	0.995	0.302	0	DPre	Cluster_2_6
Rps26	0	2.36196991919522	0.976	0.259	0	DPre	Cluster_2_6
Rpl18	0	2.35399988674083	0.985	0.267	0	DPre	Cluster_2_6
Rps3	0	2.33284007324825	0.974	0.257	0	DPre	Cluster_2_6
Rps27a	0	2.32041714307084	0.992	0.289	0	DPre	Cluster_2_6
Rpl7	0	2.31532666230387	0.987	0.292	0	DPre	Cluster_2_6
Rpl19	0	2.29246650442364	0.997	0.359	0	DPre	Cluster_2_6
Rpl11	0	2.27524033591551	0.995	0.345	0	DPre	Cluster_2_6
Rpl23	0	2.268789128438	0.991	0.325	0	DPre	Cluster_2_6
Rpl15	0	2.25948288867194	0.986	0.269	0	DPre	Cluster_2_6
Rps16	0	2.25557945918131	0.997	0.352	0	DPre	Cluster_2_6
Rps11	0	2.25136746421211	0.997	0.351	0	DPre	Cluster_2_6
Rpl8	0	2.23588367429399	0.981	0.281	0	DPre	Cluster_2_6
Rpl32	0	2.21779592898821	0.991	0.343	0	DPre	Cluster_2_6
Rpl13	0	2.21283775397949	0.992	0.345	0	DPre	Cluster_2_6
