	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cenpf	0	-3.36888620366876	0.031	0.833	0	DPre	Cluster_9
Mki67	0	-2.96333092907635	0.033	0.81	0	DPre	Cluster_9
Ccnb2	0	-2.79810633401664	0.017	0.869	0	DPre	Cluster_9
Birc5	0	-2.68878815059674	0.014	0.839	0	DPre	Cluster_9
Cdc20	0	-2.47128113150755	0.013	0.69	0	DPre	Cluster_9
Cenpe	0	-2.26885873407738	0.031	0.815	0	DPre	Cluster_9
Tpx2	0	-2.21688521582435	0.008	0.732	0	DPre	Cluster_9
Cdca8	0	-2.08229016992322	0.01	0.732	0	DPre	Cluster_9
Dlgap5	0	-1.81537145848776	0.006	0.667	0	DPre	Cluster_9
Hmmr	9.07267994383423e-308	-1.93233255162863	0.008	0.601	3.05713023387438e-303	DPre	Cluster_9
Ccnb1	2.4832309765913e-306	-2.03335070537484	0.01	0.619	8.36749509872206e-302	DPre	Cluster_9
Aspm	8.17201615197824e-299	-1.52531163913131	0.005	0.554	2.75364256257059e-294	DPre	Cluster_9
Cdca3	3.0051538208242e-293	-1.44731156847116	0.017	0.673	1.01261663146492e-288	DPre	Cluster_9
Ckap2l	4.23275558475155e-281	-1.21053196457288	0.006	0.542	1.42626932183788e-276	DPre	Cluster_9
Cdk1	1.36212347097063e-280	-1.7195170137459	0.007	0.548	4.58981124778263e-276	DPre	Cluster_9
Kif4	3.42669262170682e-276	-1.05563856645965	0.005	0.524	1.15465834581033e-271	DPre	Cluster_9
Depdc1a	6.54852009714398e-275	-1.20052606744739	0.006	0.536	2.20658933193364e-270	DPre	Cluster_9
Nek2	1.17472488989536e-274	-0.906416914464439	0.002	0.47	3.9583529889914e-270	DPre	Cluster_9
Knl1	4.50741176151131e-271	-2.00470172286615	0.024	0.69	1.51881746715885e-266	DPre	Cluster_9
Cep55	2.04045533282431e-267	-0.891561291648127	0.003	0.476	6.8755182894848e-263	DPre	Cluster_9
Cenpa	7.60344867940886e-261	-2.94052170727783	0.07	0.905	2.56205806701361e-256	DPre	Cluster_9
2610318N02Rik	1.48094902490586e-259	-1.06031346525943	0.011	0.565	4.9902058343228e-255	DPre	Cluster_9
Cks1b	2.56589618679605e-258	-1.9589725420936	0.041	0.78	8.64604379102797e-254	DPre	Cluster_9
Parpbp	2.68994150341e-252	-0.846337241874672	0.003	0.446	9.06402688989033e-248	DPre	Cluster_9
Ube2c	6.21908991076969e-249	-3.66134917748173	0.038	0.738	2.09558453633295e-244	DPre	Cluster_9
Kif2c	3.05590397575449e-248	-0.811607264022206	0.002	0.435	1.02971740367023e-243	DPre	Cluster_9
Ccna2	5.50872320023422e-246	-1.14938656166945	0.008	0.506	1.85621936955092e-241	DPre	Cluster_9
Cit	4.40101485178632e-242	-0.824258060538897	0.003	0.44	1.48296596445792e-237	DPre	Cluster_9
Racgap1	1.06228089389838e-233	-1.27059205189842	0.019	0.595	3.57946170007998e-229	DPre	Cluster_9
Ckap2	1.66964254661831e-233	-1.18940312504544	0.013	0.542	5.62602752508504e-229	DPre	Cluster_9
Kif11	5.64350948446954e-229	-1.78093189190519	0.02	0.589	1.90163695588686e-224	DPre	Cluster_9
Sgo2a	1.03230504833606e-226	-0.842328095037712	0.005	0.44	3.47845509087317e-222	DPre	Cluster_9
Knstrn	6.26607762576791e-226	-1.56222457328425	0.045	0.75	2.11141751677875e-221	DPre	Cluster_9
Cip2a	3.02528139184207e-221	-1.10284052346786	0.014	0.53	1.0193988177951e-216	DPre	Cluster_9
Spc24	2.61099457176274e-220	-0.958563197242841	0.013	0.518	8.79800730901172e-216	DPre	Cluster_9
Pimreg	2.26983310357592e-218	-0.77827132086441	0.002	0.381	7.64842962580943e-214	DPre	Cluster_9
Tacc3	6.12922128168198e-218	-1.14773507262667	0.015	0.536	2.06530240307556e-213	DPre	Cluster_9
